keyword,keyword_upper,caption_name,location_name,location_lower,type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
newjournal,NewJournal,Camden New Journal,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Camden New Journal,,LN_Mentioner,9fb3d83b3c321a22ce7baa71e07e5dd2,LN_Mentioner__9fb3d83b3c321a22ce7baa71e07e5dd2
croydonguardian,CroydonGuardian,Croydon Guardian,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Croydon Guardian,,LN_Mentioner,ec193221a949f1fdda9453c03719863c,LN_Mentioner__ec193221a949f1fdda9453c03719863c
fitzrovianews,FitzroviaNews,Fitzrovia News,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Fitzrovia News,,LN_Mentioner,01b08a2b4ebc268027ccad77a09acdd2,LN_Mentioner__01b08a2b4ebc268027ccad77a09acdd2
ilfordrecorder,IlfordRecorder,Ilford Recorder,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Ilford Recorder,,LN_Mentioner,dbb3a4d4c96e756e2aff31e2c5f51074,LN_Mentioner__dbb3a4d4c96e756e2aff31e2c5f51074
wimbledonnews,WimbledonNews,Wimbledon Times,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Wimbledon Times,,LN_Mentioner,c1597d1a3f614836b2885211699c3887,LN_Mentioner__c1597d1a3f614836b2885211699c3887
streathamnews,streathamnews,Streatham Guardian,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Streatham Guardian,,LN_Mentioner,7cf96562ccece19c49186e782cc7a6c7,LN_Mentioner__7cf96562ccece19c49186e782cc7a6c7
suttonguardian,suttonguardian,Sutton Guardian,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Sutton Guardian,,LN_Mentioner,7377d116e17a30b3a0b5f0c075e86144,LN_Mentioner__7377d116e17a30b3a0b5f0c075e86144
westminsterxtra,WestminsterXtra,Westminster Extra,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Westminster Extra,,LN_Mentioner,efbb9dd0a9d156f9d1397b1cad9da40e,LN_Mentioner__efbb9dd0a9d156f9d1397b1cad9da40e
hamandhigh,HamandHigh,Ham & High,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Ham & High,,LN_Mentioner,72155a469b600fe2b32f5f138705af18,LN_Mentioner__72155a469b600fe2b32f5f138705af18
hackneycitizen,hackneycitizen,Hackney Citizen,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Hackney Citizen,,LN_Mentioner,251cbb78ed94c6a3f5ecaf9957194ac7,LN_Mentioner__251cbb78ed94c6a3f5ecaf9957194ac7
853london,853london,853 London,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,853 London,,LN_Mentioner,c7e4af1746599a78a08e7408bb2dcfeb,LN_Mentioner__c7e4af1746599a78a08e7408bb2dcfeb
charltoncse7,CharltonCSE7,The Charlton Champion,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,The Charlton Champion,,LN_Mentioner,1f95668a3537a52c7a3a5deadf48c4fc,LN_Mentioner__1f95668a3537a52c7a3a5deadf48c4fc
dulwichdiverter,dulwichdiverter,Dulwich Diverter,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Dulwich Diverter,,LN_Mentioner,ff7980f660b0113cadc42b115b530725,LN_Mentioner__ff7980f660b0113cadc42b115b530725
enfielddispatch,EnfieldDispatch,Enfield Dispatch,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Enfield Dispatch,,LN_Mentioner,3744b8beed8bbf263ed82dede57f2757,LN_Mentioner__3744b8beed8bbf263ed82dede57f2757
insidecroydon,InsideCroydon,Inside Croydon,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Inside Croydon,,LN_Mentioner,50d939946c1728ba75005e3694c8dde9,LN_Mentioner__50d939946c1728ba75005e3694c8dde9
se1,se1,London SE1,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,London SE1,,LN_Mentioner,fb1f35131cf99b909721c6933808633d,LN_Mentioner__fb1f35131cf99b909721c6933808633d
peckhampeculiar,peckhampeculiar,The Peckham Peculiar,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,The Peckham Peculiar,,LN_Mentioner,6fc51afff1431bdb9f9deb618e4c8e94,LN_Mentioner__6fc51afff1431bdb9f9deb618e4c8e94
tottenhamcp,tottenhamcp,Tottenham Community Press,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Tottenham Community Press,,LN_Mentioner,ed19fc471a41eb62bf0135481d664c7d,LN_Mentioner__ed19fc471a41eb62bf0135481d664c7d
wfecho,WFEcho,Waltham Forest Echo,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Waltham Forest Echo,,LN_Mentioner,615dee10b482172799c7d465d63ae6d0,LN_Mentioner__615dee10b482172799c7d465d63ae6d0
yourharlow,yourharlow,Your Harlow,London,london,SLGLocalNewsOutlet,general.alert4,Slglocalnewsoutlet,Your Harlow,,LN_Mentioner,525d8aec22cc4b9bda7af7d8593aec77,LN_Mentioner__525d8aec22cc4b9bda7af7d8593aec77
