german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hovergasse,"Hovergasse in Bornheim, Germany",50.7553744,6.9501158,1,,,,,,Organization,"Hovergasse in Bornheim, Germany",,german_fires_bornheim_locations,af49181a2706e426ff5cddadba6b38c0,german_fires_bornheim_locations__af49181a2706e426ff5cddadba6b38c0
hubertusstrasse,"Hubertusstrasse in Bornheim, Germany",50.7701904,7.0395453,1,,,,,,Wells,"Hubertusstrasse in Bornheim, Germany",,german_fires_bornheim_locations,ee76deb8551b5b90c896b5b82e2ed70b,german_fires_bornheim_locations__ee76deb8551b5b90c896b5b82e2ed70b
huhnermarkt,"Huhnermarkt in Bornheim, Germany",50.7619399,6.9477331,1,,,,,,FTO,"Huhnermarkt in Bornheim, Germany",,german_fires_bornheim_locations,093a4022419deaa73e95c150dec92223,german_fires_bornheim_locations__093a4022419deaa73e95c150dec92223
huling,"Huling in Bornheim, Germany",50.7529409,6.9660148,1,,,,,,Shipping,"Huling in Bornheim, Germany",,german_fires_bornheim_locations,dcae47a74e01f71ee286e5a289928c00,german_fires_bornheim_locations__dcae47a74e01f71ee286e5a289928c00
huttengarten,"Huttengarten in Bornheim, Germany",50.795037,7.0253775,1,,,,,,Person,"Huttengarten in Bornheim, Germany",,german_fires_bornheim_locations,fc83db80394bd54860fc358b8b64a8dd,german_fires_bornheim_locations__fc83db80394bd54860fc358b8b64a8dd
hungerscheuerweg,"Hungerscheuerweg in Bornheim, Germany",50.7703927,6.8890698,1,,,,,,IndustryTerm,"Hungerscheuerweg in Bornheim, Germany",,german_fires_bornheim_locations,ef4dde9394d49c6c42834045e4985de5,german_fires_bornheim_locations__ef4dde9394d49c6c42834045e4985de5
hunsruckstrasse,"Hunsruckstrasse in Bornheim, Germany",50.7636143,6.9196488,1,,,,,,News,"Hunsruckstrasse in Bornheim, Germany",,german_fires_bornheim_locations,514f80e13d53c7d81c9d78dfd7a35c03,german_fires_bornheim_locations__514f80e13d53c7d81c9d78dfd7a35c03
husenbergweg,"Husenbergweg in Bornheim, Germany",50.7587238,6.9435373,1,,,,,,AAEntity,"Husenbergweg in Bornheim, Germany",,german_fires_bornheim_locations,fa154007854a968d1669c13ba5694dfd,german_fires_bornheim_locations__fa154007854a968d1669c13ba5694dfd
illerstrasse,"Illerstrasse in Bornheim, Germany",50.7704044,7.0514132,1,,,,,,IndustryTerm,"Illerstrasse in Bornheim, Germany",,german_fires_bornheim_locations,696fc69693f4ee5697416c2c0a9baa51,german_fires_bornheim_locations__696fc69693f4ee5697416c2c0a9baa51
im grommesgarten,"Im Grommesgarten in Bornheim, Germany",50.7920539,6.9496305,1,,,,,,Legislator,"Im Grommesgarten in Bornheim, Germany",,german_fires_bornheim_locations,d75f4a99a015896cc4c00040da121dce,german_fires_bornheim_locations__d75f4a99a015896cc4c00040da121dce
im klostergarten,"Im Klostergarten in Bornheim, Germany",50.7779468,6.9195758,1,,,,,,Media,"Im Klostergarten in Bornheim, Germany",,german_fires_bornheim_locations,3abc3675d6a59bd0771b417e5af6905c,german_fires_bornheim_locations__3abc3675d6a59bd0771b417e5af6905c
im konig,"Im Konig in Bornheim, Germany",50.7976138,6.913068,1,,,,,,CompanyKeyword,"Im Konig in Bornheim, Germany",,german_fires_bornheim_locations,e002ad4ccb7d609af74238aedd54aa79,german_fires_bornheim_locations__e002ad4ccb7d609af74238aedd54aa79
