keyword,caption_name,location,topic_id,guid,groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
australian space agency,Australian Space Agency,a1432,188261,,,,DiplomaticFacilities,Australian Space Agency,,dgm_spaceexclucompanies,7bc8c999a080a551fa137cdef6844ffc,dgm_spaceexclucompanies__7bc8c999a080a551fa137cdef6844ffc
china national space administration,China National Space Administration,a1433,188261,,,,LegislativeCommittee,China National Space Administration,,dgm_spaceexclucompanies,9c8259ba081b33ec630243089498b89f,dgm_spaceexclucompanies__9c8259ba081b33ec630243089498b89f
belarus space agency,Belarus Space Agency,a1434,188261,,,,Consulates,Belarus Space Agency,,dgm_spaceexclucompanies,0a17abbfd9b1ca619679481b2fba8766,dgm_spaceexclucompanies__0a17abbfd9b1ca619679481b2fba8766
central american association for aeronautics and space,Central American Association for Aeronautics and Space,a1435,188261,,,,Consulates,Central American Association for Aeronautics and Space,,dgm_spaceexclucompanies,3467b24d0834892bc1d340107c483432,dgm_spaceexclucompanies__3467b24d0834892bc1d340107c483432
el salvador aeropsace institute,El Salvador Aeropsace Institute,a1436,188261,,,,Person,El Salvador Aeropsace Institute,,dgm_spaceexclucompanies,b1c6452ec57b2f917f4fe1485573948b,dgm_spaceexclucompanies__b1c6452ec57b2f917f4fe1485573948b
uae space agency,UAE Space Agency,a1463,188261,,,,Organization,UAE Space Agency,,dgm_spaceexclucompanies,6647747435014495aaeb878867c2051e,dgm_spaceexclucompanies__6647747435014495aaeb878867c2051e
uaesa,UAE Space Agency,a1463,188261,,,,Diplomat,UAE Space Agency,,dgm_spaceexclucompanies,6647747435014495aaeb878867c2051e,dgm_spaceexclucompanies__6647747435014495aaeb878867c2051e
sarah bint,UAE Space Administrator Bint,a1463,188261,,,,IndustryTerm,UAE Space Administrator Bint,,dgm_spaceexclucompanies,f6d1b4135f4e9c0aa6e80f730fee04a1,dgm_spaceexclucompanies__f6d1b4135f4e9c0aa6e80f730fee04a1
mexican space agency,Mexican Space Agency,a1437,188261,,,,Keyphrase,Mexican Space Agency,,dgm_spaceexclucompanies,353312d3f5ef80e6657bd1c513daacdb,dgm_spaceexclucompanies__353312d3f5ef80e6657bd1c513daacdb
дмитрий рогозин,Roscosmos Administrator Rogozin,moscow,188261,,,,ForeignMinister,Roscosmos Administrator Rogozin,,dgm_spaceexclucompanies,323409284ed683166b7b40021939a0c6,dgm_spaceexclucompanies__323409284ed683166b7b40021939a0c6
algerian space agency,Algerian Space Agency,a1438,188261,,,,Shipping,Algerian Space Agency,,dgm_spaceexclucompanies,d52b67509770c7766ff30524b3562a7b,dgm_spaceexclucompanies__d52b67509770c7766ff30524b3562a7b
asia-pacific space cooperation organization,Asia-Pacific Space Cooperation Organization,a1433,188261,,,,Keyphrase,Asia-Pacific Space Cooperation Organization,,dgm_spaceexclucompanies,962f59e673b5d6e2138508c4a7324e79,dgm_spaceexclucompanies__962f59e673b5d6e2138508c4a7324e79
austrian space agency,Austrian Space Agency,a1439,188261,,,,ForeignMinistry,Austrian Space Agency,,dgm_spaceexclucompanies,727fdf99d7e3cb88f82f89622baddb12,dgm_spaceexclucompanies__727fdf99d7e3cb88f82f89622baddb12
space agency of the republic of azerbaijan,Space Agency of the Republic of Azerbaijan,a1440,188261,,,,Person,Space Agency of the Republic of Azerbaijan,,dgm_spaceexclucompanies,cab23cbac51c9e4068cc28c376770f44,dgm_spaceexclucompanies__cab23cbac51c9e4068cc28c376770f44
national space science agency,Bahrain National Space Science Agency,a1441,188261,,,,ForeignMinister,Bahrain National Space Science Agency,,dgm_spaceexclucompanies,fd64f3a45d425e8ba72a56bc0e06e332,dgm_spaceexclucompanies__fd64f3a45d425e8ba72a56bc0e06e332
belgian institute for space aeronomy,Belgian Institute for Space Aeronomy,a1442,188261,,,,Exec,Belgian Institute for Space Aeronomy,,dgm_spaceexclucompanies,359d0d0aea1d6640de9d014e1b063372,dgm_spaceexclucompanies__359d0d0aea1d6640de9d014e1b063372
bolivarian agency for space activities,Venezuelan Agency for Space Activities,a1443,188261,,,,AAEntity,Venezuelan Agency for Space Activities,,dgm_spaceexclucompanies,8e1a10d290db1e6c56db25d90514642a,dgm_spaceexclucompanies__8e1a10d290db1e6c56db25d90514642a
brazilian space agency,Brazilian Space Agency,a1444,188261,,,,Wells,Brazilian Space Agency,,dgm_spaceexclucompanies,50515b33a1d20ec6aa5f05b7b838cfb7,dgm_spaceexclucompanies__50515b33a1d20ec6aa5f05b7b838cfb7
uk space agency,UK Space Agency,a702,188261,,,,ForeignMinistry,UK Space Agency,,dgm_spaceexclucompanies,1c1832fdd1ae02f9447975ef1e70c05e,dgm_spaceexclucompanies__1c1832fdd1ae02f9447975ef1e70c05e
bolivian space agency,Bolivian Space Agency,a1446,188261,,,,News,Bolivian Space Agency,,dgm_spaceexclucompanies,fdbba102931683be72a790582c1c55bc,dgm_spaceexclucompanies__fdbba102931683be72a790582c1c55bc
bulgarian space agency,Bulgarian Space Agency,a1447,188261,,,,Organization,Bulgarian Space Agency,,dgm_spaceexclucompanies,9a9889abc422fa6b92d79e415f1e12f2,dgm_spaceexclucompanies__9a9889abc422fa6b92d79e415f1e12f2
canadian space agency,Canadian Space Agency,a808,188261,,,,ForeignMinistry,Canadian Space Agency,,dgm_spaceexclucompanies,ffc08ca4cbfa88f557233c462f25ce5c,dgm_spaceexclucompanies__ffc08ca4cbfa88f557233c462f25ce5c
colombian space comission,Colombian Space Agency,a1449,188261,,,,Exec,Colombian Space Agency,,dgm_spaceexclucompanies,c5e73aaedb2d2380afe66eb123c221fd,dgm_spaceexclucompanies__c5e73aaedb2d2380afe66eb123c221fd
dtu space,Danish Space Institute,a1450,188261,,,,ForeignMinister,Danish Space Institute,,dgm_spaceexclucompanies,2c786367ed59118148c0482af9a3f219,dgm_spaceexclucompanies__2c786367ed59118148c0482af9a3f219
european space agency,European Space Agency,a697,188261,,,,Media,European Space Agency,,dgm_spaceexclucompanies,469e4d438ac8d45d83049fe412a0b97d,dgm_spaceexclucompanies__469e4d438ac8d45d83049fe412a0b97d
german aerospace center,German Aerospace Center,a1452,188261,,,,News,German Aerospace Center,,dgm_spaceexclucompanies,586e836c644489d4d6031c1a996ea4bc,dgm_spaceexclucompanies__586e836c644489d4d6031c1a996ea4bc
indian space research organisation,Indian Space Research Organisation,a699,188261,,,,Refinery,Indian Space Research Organisation,,dgm_spaceexclucompanies,9cdedb0eb54d3cb9766806e1d04c6d5a,dgm_spaceexclucompanies__9cdedb0eb54d3cb9766806e1d04c6d5a
israeli space agency,Israeli Space Agency,a747,188261,,,,Shipping,Israeli Space Agency,,dgm_spaceexclucompanies,6d0ec3c57ef60a64b0a941f56e57e409,dgm_spaceexclucompanies__6d0ec3c57ef60a64b0a941f56e57e409
iranian space agency,Iranian Space Agency,a1455,188261,,,,Consulates,Iranian Space Agency,,dgm_spaceexclucompanies,667bfaa34d87627a020625e33192dcb2,dgm_spaceexclucompanies__667bfaa34d87627a020625e33192dcb2
japan aerospace exploration agency,Japan Aerospace Exploration Agency,a1456,188261,,,,space,Japan Aerospace Exploration Agency,,dgm_spaceexclucompanies,520400f88d794bf24a99c6939908ab9b,dgm_spaceexclucompanies__520400f88d794bf24a99c6939908ab9b
national aerospace development administration,North Korea National Aerospace Development Administration,a1457,188261,,,,DiplomaticFacilities,North Korea National Aerospace Development Administration,,dgm_spaceexclucompanies,1e4ec3e6db5b6f41f4c5f7b6f737e254,dgm_spaceexclucompanies__1e4ec3e6db5b6f41f4c5f7b6f737e254
korea aerospace research institute,South Korea Aerospace Research Institute,a1458,188261,,,,Diplomat,South Korea Aerospace Research Institute,,dgm_spaceexclucompanies,8965ba37672d6b01c97a2b04b39088c7,dgm_spaceexclucompanies__8965ba37672d6b01c97a2b04b39088c7
national centre for space studies,French National Centre for Space Studies,a697,188261,,,,Pipeline,French National Centre for Space Studies,,dgm_spaceexclucompanies,706176184e6b44b06420cd84e542c385,dgm_spaceexclucompanies__706176184e6b44b06420cd84e542c385
@cnes,French National Centre for Space Studies,a697,188261,,,,CompanyKeyword,French National Centre for Space Studies,,dgm_spaceexclucompanies,706176184e6b44b06420cd84e542c385,dgm_spaceexclucompanies__706176184e6b44b06420cd84e542c385
national institute of aeronautics and space,Indonesian National Institute of Aeronautics and Space,a1459,188261,,,,ForeignMinistry,Indonesian National Institute of Aeronautics and Space,,dgm_spaceexclucompanies,583c3cd9645d8c1d9664f8ec969182f4,dgm_spaceexclucompanies__583c3cd9645d8c1d9664f8ec969182f4
state space agency of ukraine,State Space Agency of Ukraine,a1460,188261,,,,Exec,State Space Agency of Ukraine,,dgm_spaceexclucompanies,c67c3c8043be35541d92bb8776263815,dgm_spaceexclucompanies__c67c3c8043be35541d92bb8776263815
roscosmos state corporation for space activities,Roscosmos,a708,188261,,,,CompanyKeyword,Roscosmos,,dgm_spaceexclucompanies,d5bea17c8acfaf5459ccddb2c29db812,dgm_spaceexclucompanies__d5bea17c8acfaf5459ccddb2c29db812
cnsa,China National Space Administration,a1433,188261,,,,Person,China National Space Administration,,dgm_spaceexclucompanies,9c8259ba081b33ec630243089498b89f,dgm_spaceexclucompanies__9c8259ba081b33ec630243089498b89f
national agency for space research,Belarus Space Agency,a1434,188261,,,,Wells,Belarus Space Agency,,dgm_spaceexclucompanies,0a17abbfd9b1ca619679481b2fba8766,dgm_spaceexclucompanies__0a17abbfd9b1ca619679481b2fba8766
acae,Central American Association for Aeronautics and Space,a1435,188261,,,,Media,Central American Association for Aeronautics and Space,,dgm_spaceexclucompanies,3467b24d0834892bc1d340107c483432,dgm_spaceexclucompanies__3467b24d0834892bc1d340107c483432
esai,El Salvador Aeropsace Institute,a1436,188261,,,,FTO,El Salvador Aeropsace Institute,,dgm_spaceexclucompanies,b1c6452ec57b2f917f4fe1485573948b,dgm_spaceexclucompanies__b1c6452ec57b2f917f4fe1485573948b
aem,Mexican Space Agency,a1437,188261,,,,Diplomat,Mexican Space Agency,,dgm_spaceexclucompanies,353312d3f5ef80e6657bd1c513daacdb,dgm_spaceexclucompanies__353312d3f5ef80e6657bd1c513daacdb
asal,Algerian Space Agency,a1438,188261,,,,DiplomaticFacilities,Algerian Space Agency,,dgm_spaceexclucompanies,d52b67509770c7766ff30524b3562a7b,dgm_spaceexclucompanies__d52b67509770c7766ff30524b3562a7b
apsco,Asia-Pacific Space Cooperation Organization,a1433,188261,,,,Consulates,Asia-Pacific Space Cooperation Organization,,dgm_spaceexclucompanies,962f59e673b5d6e2138508c4a7324e79,dgm_spaceexclucompanies__962f59e673b5d6e2138508c4a7324e79
alr,Austrian Space Agency,a1439,188261,,,,DiplomaticFacilities,Austrian Space Agency,,dgm_spaceexclucompanies,727fdf99d7e3cb88f82f89622baddb12,dgm_spaceexclucompanies__727fdf99d7e3cb88f82f89622baddb12
azercosmos,Space Agency of the Republic of Azerbaijan,a1440,188261,,,,LegislativeCommittee,Space Agency of the Republic of Azerbaijan,,dgm_spaceexclucompanies,cab23cbac51c9e4068cc28c376770f44,dgm_spaceexclucompanies__cab23cbac51c9e4068cc28c376770f44
nssa,Bahrain National Space Science Agency,a1441,188261,,,,LegislativeCommittee,Bahrain National Space Science Agency,,dgm_spaceexclucompanies,fd64f3a45d425e8ba72a56bc0e06e332,dgm_spaceexclucompanies__fd64f3a45d425e8ba72a56bc0e06e332
bira,Belgian Institute for Space Aeronomy,a1442,188261,,,,News,Belgian Institute for Space Aeronomy,,dgm_spaceexclucompanies,359d0d0aea1d6640de9d014e1b063372,dgm_spaceexclucompanies__359d0d0aea1d6640de9d014e1b063372
abae,Venezuelan Agency for Space Activities,a1443,188261,,,,Refinery,Venezuelan Agency for Space Activities,,dgm_spaceexclucompanies,8e1a10d290db1e6c56db25d90514642a,dgm_spaceexclucompanies__8e1a10d290db1e6c56db25d90514642a
aeb,Brazilian Space Agency,a1444,188261,,,,Consulates,Brazilian Space Agency,,dgm_spaceexclucompanies,50515b33a1d20ec6aa5f05b7b838cfb7,dgm_spaceexclucompanies__50515b33a1d20ec6aa5f05b7b838cfb7
uksa,UK Space Agency,a702,188261,,,,Diplomat,UK Space Agency,,dgm_spaceexclucompanies,1c1832fdd1ae02f9447975ef1e70c05e,dgm_spaceexclucompanies__1c1832fdd1ae02f9447975ef1e70c05e
abe,Bolivian Space Agency,a1446,188261,,,,space,Bolivian Space Agency,,dgm_spaceexclucompanies,fdbba102931683be72a790582c1c55bc,dgm_spaceexclucompanies__fdbba102931683be72a790582c1c55bc
sri-bas,Bulgarian Space Agency,a1447,188261,,,,Organization,Bulgarian Space Agency,,dgm_spaceexclucompanies,9a9889abc422fa6b92d79e415f1e12f2,dgm_spaceexclucompanies__9a9889abc422fa6b92d79e415f1e12f2
csa,Canadian Space Agency,a808,188261,,,,ForeignMinistry,Canadian Space Agency,,dgm_spaceexclucompanies,ffc08ca4cbfa88f557233c462f25ce5c,dgm_spaceexclucompanies__ffc08ca4cbfa88f557233c462f25ce5c
cce,Colombian Space Agency,a1449,188261,,,,ForeignMinister,Colombian Space Agency,,dgm_spaceexclucompanies,c5e73aaedb2d2380afe66eb123c221fd,dgm_spaceexclucompanies__c5e73aaedb2d2380afe66eb123c221fd
institut for rumforskning og rumteknologi,Danish Space Institute,a1450,188261,,,,Refinery,Danish Space Institute,,dgm_spaceexclucompanies,2c786367ed59118148c0482af9a3f219,dgm_spaceexclucompanies__2c786367ed59118148c0482af9a3f219
@esa,European Space Agency,a697,188261,,,,Legislator,European Space Agency,,dgm_spaceexclucompanies,469e4d438ac8d45d83049fe412a0b97d,dgm_spaceexclucompanies__469e4d438ac8d45d83049fe412a0b97d
dlr,German Aerospace Center,a1452,188261,,,,Shipping,German Aerospace Center,,dgm_spaceexclucompanies,586e836c644489d4d6031c1a996ea4bc,dgm_spaceexclucompanies__586e836c644489d4d6031c1a996ea4bc
isro,Indian Space Research Organisation,a699,188261,,,,Organization,Indian Space Research Organisation,,dgm_spaceexclucompanies,9cdedb0eb54d3cb9766806e1d04c6d5a,dgm_spaceexclucompanies__9cdedb0eb54d3cb9766806e1d04c6d5a
isa,Israeli Space Agency,a747,188261,,,,CompanyKeyword,Israeli Space Agency,,dgm_spaceexclucompanies,6d0ec3c57ef60a64b0a941f56e57e409,dgm_spaceexclucompanies__6d0ec3c57ef60a64b0a941f56e57e409
jaxa,Japan Aerospace Exploration Agency,a1456,188261,,,,ForeignMinister,Japan Aerospace Exploration Agency,,dgm_spaceexclucompanies,520400f88d794bf24a99c6939908ab9b,dgm_spaceexclucompanies__520400f88d794bf24a99c6939908ab9b
nada,North Korea National Aerospace Development Administration,a1457,188261,,,,Organization,North Korea National Aerospace Development Administration,,dgm_spaceexclucompanies,1e4ec3e6db5b6f41f4c5f7b6f737e254,dgm_spaceexclucompanies__1e4ec3e6db5b6f41f4c5f7b6f737e254
kari,South Korea Aerospace Research Institute,a1458,188261,,,,News,South Korea Aerospace Research Institute,,dgm_spaceexclucompanies,8965ba37672d6b01c97a2b04b39088c7,dgm_spaceexclucompanies__8965ba37672d6b01c97a2b04b39088c7
cnes,French National Centre for Space Studies,a697,188261,,,,Refinery,French National Centre for Space Studies,,dgm_spaceexclucompanies,706176184e6b44b06420cd84e542c385,dgm_spaceexclucompanies__706176184e6b44b06420cd84e542c385
lapan,Indonesian National Institute of Aeronautics and Space,a1459,188261,,,,Pipeline,Indonesian National Institute of Aeronautics and Space,,dgm_spaceexclucompanies,583c3cd9645d8c1d9664f8ec969182f4,dgm_spaceexclucompanies__583c3cd9645d8c1d9664f8ec969182f4
ssau,State Space Agency of Ukraine,a1460,188261,,,,Refinery,State Space Agency of Ukraine,,dgm_spaceexclucompanies,c67c3c8043be35541d92bb8776263815,dgm_spaceexclucompanies__c67c3c8043be35541d92bb8776263815
roscosmos,Roscosmos,a708,188261,,,,Legislator,Roscosmos,,dgm_spaceexclucompanies,d5bea17c8acfaf5459ccddb2c29db812,dgm_spaceexclucompanies__d5bea17c8acfaf5459ccddb2c29db812
国家航天局,China National Space Administration,a1433,188261,,,,CompanyKeyword,China National Space Administration,,dgm_spaceexclucompanies,9c8259ba081b33ec630243089498b89f,dgm_spaceexclucompanies__9c8259ba081b33ec630243089498b89f
беларускае касмічнае агенцтва,Belarus Space Agency,a1434,188261,,,,Diplomat,Belarus Space Agency,,dgm_spaceexclucompanies,0a17abbfd9b1ca619679481b2fba8766,dgm_spaceexclucompanies__0a17abbfd9b1ca619679481b2fba8766
asociación centroamericana de aeronáutica y del espacio,Central American Association for Aeronautics and Space,a1435,188261,,,,Legislator,Central American Association for Aeronautics and Space,,dgm_spaceexclucompanies,3467b24d0834892bc1d340107c483432,dgm_spaceexclucompanies__3467b24d0834892bc1d340107c483432
instituto aeroespacial de el salvador,El Salvador Aeropsace Institute,a1436,188261,,,,Refinery,El Salvador Aeropsace Institute,,dgm_spaceexclucompanies,b1c6452ec57b2f917f4fe1485573948b,dgm_spaceexclucompanies__b1c6452ec57b2f917f4fe1485573948b
agencia espacial mexicana,Mexican Space Agency,a1437,188261,,,,News,Mexican Space Agency,,dgm_spaceexclucompanies,353312d3f5ef80e6657bd1c513daacdb,dgm_spaceexclucompanies__353312d3f5ef80e6657bd1c513daacdb
agence spatiale algérienne,Algerian Space Agency,a1438,188261,,,,Legislator,Algerian Space Agency,,dgm_spaceexclucompanies,d52b67509770c7766ff30524b3562a7b,dgm_spaceexclucompanies__d52b67509770c7766ff30524b3562a7b
agentur für luft- und raumfahrt,Austrian Space Agency,a1439,188261,,,,space,Austrian Space Agency,,dgm_spaceexclucompanies,727fdf99d7e3cb88f82f89622baddb12,dgm_spaceexclucompanies__727fdf99d7e3cb88f82f89622baddb12
azərkosmos açıq səhmdar cəmiyyəti,Space Agency of the Republic of Azerbaijan,a1440,188261,,,,Keyphrase,Space Agency of the Republic of Azerbaijan,,dgm_spaceexclucompanies,cab23cbac51c9e4068cc28c376770f44,dgm_spaceexclucompanies__cab23cbac51c9e4068cc28c376770f44
الهيئة الوطنية لعلوم الفضاء,Bahrain National Space Science Agency,a1441,188261,,,,LegislativeCommittee,Bahrain National Space Science Agency,,dgm_spaceexclucompanies,fd64f3a45d425e8ba72a56bc0e06e332,dgm_spaceexclucompanies__fd64f3a45d425e8ba72a56bc0e06e332
koninklijk belgisch instituut voor ruimte-aeronomie,Belgian Institute for Space Aeronomy,a1442,188261,,,,Exec,Belgian Institute for Space Aeronomy,,dgm_spaceexclucompanies,359d0d0aea1d6640de9d014e1b063372,dgm_spaceexclucompanies__359d0d0aea1d6640de9d014e1b063372
agencia bolivariana para actividades espaciales,Venezuelan Agency for Space Activities,a1443,188261,,,,Wells,Venezuelan Agency for Space Activities,,dgm_spaceexclucompanies,8e1a10d290db1e6c56db25d90514642a,dgm_spaceexclucompanies__8e1a10d290db1e6c56db25d90514642a
agência espacial brasileira,Brazilian Space Agency,a1444,188261,,,,Media,Brazilian Space Agency,,dgm_spaceexclucompanies,50515b33a1d20ec6aa5f05b7b838cfb7,dgm_spaceexclucompanies__50515b33a1d20ec6aa5f05b7b838cfb7
agencia boliviana espacial,Bolivian Space Agency,a1446,188261,,,,News,Bolivian Space Agency,,dgm_spaceexclucompanies,fdbba102931683be72a790582c1c55bc,dgm_spaceexclucompanies__fdbba102931683be72a790582c1c55bc
институт за космически изследвания и технологии,Bulgarian Space Agency,a1447,188261,,,,Organization,Bulgarian Space Agency,,dgm_spaceexclucompanies,9a9889abc422fa6b92d79e415f1e12f2,dgm_spaceexclucompanies__9a9889abc422fa6b92d79e415f1e12f2
agence spatiale canadienne,Canadian Space Agency,a808,188261,,,,Exec,Canadian Space Agency,,dgm_spaceexclucompanies,ffc08ca4cbfa88f557233c462f25ce5c,dgm_spaceexclucompanies__ffc08ca4cbfa88f557233c462f25ce5c
comision colombiana del espacio,Colombian Space Agency,a1449,188261,,,,Exec,Colombian Space Agency,,dgm_spaceexclucompanies,c5e73aaedb2d2380afe66eb123c221fd,dgm_spaceexclucompanies__c5e73aaedb2d2380afe66eb123c221fd
deutsches zentrum für luft- und raumfahrt,German Aerospace Center,a1452,188261,,,,DiplomaticFacilities,German Aerospace Center,,dgm_spaceexclucompanies,586e836c644489d4d6031c1a996ea4bc,dgm_spaceexclucompanies__586e836c644489d4d6031c1a996ea4bc
bhāratīya antrikṣ anusandhān saṅgaṭhan,Indian Space Research Organisation,a699,188261,,,,ForeignMinister,Indian Space Research Organisation,,dgm_spaceexclucompanies,9cdedb0eb54d3cb9766806e1d04c6d5a,dgm_spaceexclucompanies__9cdedb0eb54d3cb9766806e1d04c6d5a
סוכנות החלל הישראלית,Israeli Space Agency,a747,188261,,,,Refinery,Israeli Space Agency,,dgm_spaceexclucompanies,6d0ec3c57ef60a64b0a941f56e57e409,dgm_spaceexclucompanies__6d0ec3c57ef60a64b0a941f56e57e409
سازمان فضایی ایران,Iranian Space Agency,a1455,188261,,,,FTO,Iranian Space Agency,,dgm_spaceexclucompanies,667bfaa34d87627a020625e33192dcb2,dgm_spaceexclucompanies__667bfaa34d87627a020625e33192dcb2
国立研究開発法人宇宙航空研究開発機構,Japan Aerospace Exploration Agency,a1456,188261,,,,Pipeline,Japan Aerospace Exploration Agency,,dgm_spaceexclucompanies,520400f88d794bf24a99c6939908ab9b,dgm_spaceexclucompanies__520400f88d794bf24a99c6939908ab9b
국가우주개발국,North Korea National Aerospace Development Administration,a1457,188261,,,,space,North Korea National Aerospace Development Administration,,dgm_spaceexclucompanies,1e4ec3e6db5b6f41f4c5f7b6f737e254,dgm_spaceexclucompanies__1e4ec3e6db5b6f41f4c5f7b6f737e254
한국항공우주연구원,South Korea Aerospace Research Institute,a1458,188261,,,,ForeignMinister,South Korea Aerospace Research Institute,,dgm_spaceexclucompanies,8965ba37672d6b01c97a2b04b39088c7,dgm_spaceexclucompanies__8965ba37672d6b01c97a2b04b39088c7
centre national d'études spatiales,French National Centre for Space Studies,a697,188261,,,,Person,French National Centre for Space Studies,,dgm_spaceexclucompanies,706176184e6b44b06420cd84e542c385,dgm_spaceexclucompanies__706176184e6b44b06420cd84e542c385
lembaga penerbangan dan antariksa nasional,Indonesian National Institute of Aeronautics and Space,a1459,188261,,,,ForeignMinistry,Indonesian National Institute of Aeronautics and Space,,dgm_spaceexclucompanies,583c3cd9645d8c1d9664f8ec969182f4,dgm_spaceexclucompanies__583c3cd9645d8c1d9664f8ec969182f4
державне космічне агентство україни,State Space Agency of Ukraine,a1460,188261,,,,Consulates,State Space Agency of Ukraine,,dgm_spaceexclucompanies,c67c3c8043be35541d92bb8776263815,dgm_spaceexclucompanies__c67c3c8043be35541d92bb8776263815
государственная корпорация,Roscosmos,a708,188261,,,,FTO,Roscosmos,,dgm_spaceexclucompanies,d5bea17c8acfaf5459ccddb2c29db812,dgm_spaceexclucompanies__d5bea17c8acfaf5459ccddb2c29db812
роскосмос,Roscosmos,a708,188261,,,,ForeignMinister,Roscosmos,,dgm_spaceexclucompanies,d5bea17c8acfaf5459ccddb2c29db812,dgm_spaceexclucompanies__d5bea17c8acfaf5459ccddb2c29db812
enrico palermo,Australian Space Agency Executive Palermo,a1432,188261,,,,IndustryTerm,Australian Space Agency Executive Palermo,,dgm_spaceexclucompanies,dedded61a410c9d53515f00e7276f9f3,dgm_spaceexclucompanies__dedded61a410c9d53515f00e7276f9f3
zhang keijan,China National Space Administration Administrator Keijan,a1433,188261,,,,space,China National Space Administration Administrator Keijan,,dgm_spaceexclucompanies,ec8d7debf8fb091a3052e493d05482d9,dgm_spaceexclucompanies__ec8d7debf8fb091a3052e493d05482d9
piotr vityaz,Belarus Space Agency Chief Vityaz,a1434,188261,,,,News,Belarus Space Agency Chief Vityaz,,dgm_spaceexclucompanies,2cc777b32421263ba5a572c764328bfa,dgm_spaceexclucompanies__2cc777b32421263ba5a572c764328bfa
luis alfaro,El Salvador Aeropsace Institute Chief Alfaro,a1436,188261,,,,Wells,El Salvador Aeropsace Institute Chief Alfaro,,dgm_spaceexclucompanies,99323863a22a82a97f73ffa4984c45a5,dgm_spaceexclucompanies__99323863a22a82a97f73ffa4984c45a5
salvador landeros ayala,Mexican Space Agency Administrator Ayala,a1437,188261,,,,Legislator,Mexican Space Agency Administrator Ayala,,dgm_spaceexclucompanies,d954f6113378f6c653338255686fc378,dgm_spaceexclucompanies__d954f6113378f6c653338255686fc378
azzedine oussedik,Algerian Space Agency Executive Oussedik,a1438,188261,,,,Person,Algerian Space Agency Executive Oussedik,,dgm_spaceexclucompanies,d0ba0091a069bfb7273ca8420f0f526b,dgm_spaceexclucompanies__d0ba0091a069bfb7273ca8420f0f526b
rashad nabiyev,Azercosmos Chairman Nabiyev,a1440,188261,,,,Shipping,Azercosmos Chairman Nabiyev,,dgm_spaceexclucompanies,8375245d7c2234ea751c11322d9a079b,dgm_spaceexclucompanies__8375245d7c2234ea751c11322d9a079b
mohamed al aseeri,Bahrain National Space Science Agency Administrator Al Aseeri,a1441,188261,,,,Media,Bahrain National Space Science Agency Administrator Al Aseeri,,dgm_spaceexclucompanies,1d652099e8b02377af83d4a3c312059b,dgm_spaceexclucompanies__1d652099e8b02377af83d4a3c312059b
martine de maziere,Belgian Institute for Space Aeronomy Director General Maziere,a1442,188261,,,,Media,Belgian Institute for Space Aeronomy Director General Maziere,,dgm_spaceexclucompanies,f78987a1f905642b9a26084cebff4d53,dgm_spaceexclucompanies__f78987a1f905642b9a26084cebff4d53
adolfo josé godoy pernía,Venezuelan Space Agency President Pernia,a1443,188261,,,,Shipping,Venezuelan Space Agency President Pernia,,dgm_spaceexclucompanies,7dd8d0a150e8990457d7a33dc94f5900,dgm_spaceexclucompanies__7dd8d0a150e8990457d7a33dc94f5900
carlos augusto teixeira de moura,Brazilian Space Agency Administrator Moura,a1444,188261,,,,LegislativeCommittee,Brazilian Space Agency Administrator Moura,,dgm_spaceexclucompanies,179bd6f7b0df3a8444e2432f1c064557,dgm_spaceexclucompanies__179bd6f7b0df3a8444e2432f1c064557
graham turnock,Uk Space Agency Chief Executive Turnock,a702,188261,,,,Pipeline,Uk Space Agency Chief Executive Turnock,,dgm_spaceexclucompanies,a10831fd0d31ea778cd916fe740490d2,dgm_spaceexclucompanies__a10831fd0d31ea778cd916fe740490d2
ivan zambrana,Bolivian Space Agency Administrator Zambrana,a1446,188261,,,,Exec,Bolivian Space Agency Administrator Zambrana,,dgm_spaceexclucompanies,b253525761bb85c247327e33953c1d4e,dgm_spaceexclucompanies__b253525761bb85c247327e33953c1d4e
lisa campbell,Canadian Space Agency President Campbell,a808,188261,,,,ForeignMinister,Canadian Space Agency President Campbell,,dgm_spaceexclucompanies,c4b711fbe731c9428eb1dec69e4be902,dgm_spaceexclucompanies__c4b711fbe731c9428eb1dec69e4be902
kristian pedersen,Danish Space Institute Administrator Pedersen,a1450,188261,,,,ForeignMinister,Danish Space Institute Administrator Pedersen,,dgm_spaceexclucompanies,38c1f0b287514b64f58b0666cf3f7740,dgm_spaceexclucompanies__38c1f0b287514b64f58b0666cf3f7740
josef aschbacher,ESA Administrator Aschbacher,a1433,188261,,,,ForeignMinister,ESA Administrator Aschbacher,,dgm_spaceexclucompanies,2d179eaee2757396f099f0789c83e8ed,dgm_spaceexclucompanies__2d179eaee2757396f099f0789c83e8ed
anke kaysser-pyzalla,German Aerospace Center Administrator Kaysser-Pyzalla,a1452,188261,,,,Shipping,German Aerospace Center Administrator Kaysser-Pyzalla,,dgm_spaceexclucompanies,4ba8f650f80edcc85b4ecee3904ef7b7,dgm_spaceexclucompanies__4ba8f650f80edcc85b4ecee3904ef7b7
kailasavadivoo sivan,Indian Space Research Organisation Secretary Sivan,a699,188261,,,,Shipping,Indian Space Research Organisation Secretary Sivan,,dgm_spaceexclucompanies,d351f0a2b61259a733971be936aec897,dgm_spaceexclucompanies__d351f0a2b61259a733971be936aec897
