german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kurt-schumacher-allee,"Kurt-Schumacher-Allee in Dietzenbach, Germany",50.0208144,8.7864942,1,,,,,,,,Shipping,"Kurt-Schumacher-Allee in Dietzenbach, Germany",,german_fires_dietzenbach_locations,606ee931d3534665bca3771db8f5af2d,german_fires_dietzenbach_locations__606ee931d3534665bca3771db8f5af2d
konigsteiner allee,"Konigsteiner Allee in Dietzenbach, Germany",50.0169382,8.7836544,1,,,,,,,,Wells,"Konigsteiner Allee in Dietzenbach, Germany",,german_fires_dietzenbach_locations,7ff88271d60c5bc3b72b9bb3388f2d2c,german_fires_dietzenbach_locations__7ff88271d60c5bc3b72b9bb3388f2d2c
landwehrstrasse,"Landwehrstrasse in Dietzenbach, Germany",50.0064992,8.7791777,1,,,,,,,,CompanyKeyword,"Landwehrstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a3d0bfd493dc435dca6d0e429102a55c,german_fires_dietzenbach_locations__a3d0bfd493dc435dca6d0e429102a55c
langgasserstrasse,"Langgasserstrasse in Dietzenbach, Germany",50.0230354,8.779543,1,,,,,,,,ForeignMinister,"Langgasserstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,83805c6d3a7070e25228bff8c63e05d5,german_fires_dietzenbach_locations__83805c6d3a7070e25228bff8c63e05d5
laufacher strasse,"Laufacher Strasse in Dietzenbach, Germany",50.0128162,8.784583,1,,,,,,,,DiplomaticFacilities,"Laufacher Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,71d50f132d4057e4d3d09cdd35d2fd52,german_fires_dietzenbach_locations__71d50f132d4057e4d3d09cdd35d2fd52
lehrstrasse,"Lehrstrasse in Dietzenbach, Germany",50.0104799,8.7829905,1,,,,,,,,ForeignMinistry,"Lehrstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,71c069d39a8a6972e7b6e88f924130af,german_fires_dietzenbach_locations__71c069d39a8a6972e7b6e88f924130af
lessingstrasse,"Lessingstrasse in Dietzenbach, Germany",50.0053832,8.7857274,1,,,,,,,,Legislator,"Lessingstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,2dd09c96e1c6cab4b84f9d9328204f78,german_fires_dietzenbach_locations__2dd09c96e1c6cab4b84f9d9328204f78
limburger strasse,"Limburger Strasse in Dietzenbach, Germany",49.9945279,8.7728764,1,,,,,,,,Wells,"Limburger Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,7963ffed286fd299c58e3ad47a9a2dd5,german_fires_dietzenbach_locations__7963ffed286fd299c58e3ad47a9a2dd5
limesstrasse,"Limesstrasse in Dietzenbach, Germany",50.0259683,8.7907143,1,,,,,,,,DiplomaticFacilities,"Limesstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,2b4c49e35f38ac803bd98d5b30e5c66a,german_fires_dietzenbach_locations__2b4c49e35f38ac803bd98d5b30e5c66a
lindenstrasse,"Lindenstrasse in Dietzenbach, Germany",50.0086468,8.7746894,1,,,,,,,,ForeignMinistry,"Lindenstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,2ce4584986ba9d601718c1f4cd76f927,german_fires_dietzenbach_locations__2ce4584986ba9d601718c1f4cd76f927
lindenweg,"Lindenweg in Dietzenbach, Germany",50.0072675,8.7752403,1,,,,,,,,News,"Lindenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a3615dee11c7984e525362bfc3a26a73,german_fires_dietzenbach_locations__a3615dee11c7984e525362bfc3a26a73
lise-meitner-strasse,"Lise-Meitner-Strasse in Dietzenbach, Germany",50.0111154,8.7908516,1,,,,,,,,AAEntity,"Lise-Meitner-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,345ce7a5988e795406ea58fea69843a4,german_fires_dietzenbach_locations__345ce7a5988e795406ea58fea69843a4
lohrer weg,"Lohrer Weg in Dietzenbach, Germany",50.0124881,8.785119,1,,,,,,,,Consulates,"Lohrer Weg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,2e47b625ebd3961aa3dfa0d807e8c3ba,german_fires_dietzenbach_locations__2e47b625ebd3961aa3dfa0d807e8c3ba
lowenstrasse,"Lowenstrasse in Dietzenbach, Germany",50.0062954,8.7781352,1,,,,,,,,space,"Lowenstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,0dcc44c021032d0e0faa60a9397d83fc,german_fires_dietzenbach_locations__0dcc44c021032d0e0faa60a9397d83fc
mainstrasse,"Mainstrasse in Dietzenbach, Germany",50.0298268,8.7926943,1,,,,,,,,Wells,"Mainstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f3d08faa5e1d00027becad0421339229,german_fires_dietzenbach_locations__f3d08faa5e1d00027becad0421339229
marburger strasse,"Marburger Strasse in Dietzenbach, Germany",49.9955302,8.7723255,1,,,,,,,,Consulates,"Marburger Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,8797c8b182b85e374a3e96562e0e7250,german_fires_dietzenbach_locations__8797c8b182b85e374a3e96562e0e7250
