keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Afghanistan,afghanistan,afghanistan,Country,Country,afghanistan,,dgm_traveladvisories_country_us,a8424b7baae263918301406bdc884e28,dgm_traveladvisories_country_us__a8424b7baae263918301406bdc884e28
Albania,albania,albania,Country,Country,albania,,dgm_traveladvisories_country_us,3303daf806aebcd0cfd114f7d267f109,dgm_traveladvisories_country_us__3303daf806aebcd0cfd114f7d267f109
Algeria,algeria,algeria,Country,Country,algeria,,dgm_traveladvisories_country_us,49f4fdc64da08e0cbac132fa06062d2d,dgm_traveladvisories_country_us__49f4fdc64da08e0cbac132fa06062d2d
Andorra,andorra,andorra,Country,Country,andorra,,dgm_traveladvisories_country_us,449f508e9fad3b1bd4debc02f0d2194b,dgm_traveladvisories_country_us__449f508e9fad3b1bd4debc02f0d2194b
Angola,angola,angola,Country,Country,angola,,dgm_traveladvisories_country_us,e5e0bd43b7f1a35aaf645f597de2ed08,dgm_traveladvisories_country_us__e5e0bd43b7f1a35aaf645f597de2ed08
Antigua and Barbuda,antigua and barbuda,antigua and barbuda,Country,Country,antigua and barbuda,,dgm_traveladvisories_country_us,b347fe1fd6b405d4944de73b9c5a39ca,dgm_traveladvisories_country_us__b347fe1fd6b405d4944de73b9c5a39ca
Argentina,argentina,argentina,Country,Country,argentina,,dgm_traveladvisories_country_us,2a52adc7b1da6a4e0a7a14e4c8db1b11,dgm_traveladvisories_country_us__2a52adc7b1da6a4e0a7a14e4c8db1b11
Armenia,armenia,armenia,Country,Country,armenia,,dgm_traveladvisories_country_us,3744c623dc4219b00a900ee527c16387,dgm_traveladvisories_country_us__3744c623dc4219b00a900ee527c16387
Australia,australia,australia,Country,Country,australia,,dgm_traveladvisories_country_us,fb2a54d637484c4ca8adb2343237b89f,dgm_traveladvisories_country_us__fb2a54d637484c4ca8adb2343237b89f
Austria,austria,austria,Country,Country,austria,,dgm_traveladvisories_country_us,6cd0c266688a7a579874167d67c74a66,dgm_traveladvisories_country_us__6cd0c266688a7a579874167d67c74a66
Azerbaijan,azerbaijan,azerbaijan,Country,Country,azerbaijan,,dgm_traveladvisories_country_us,620a71f90d5dbf8c9a80939d2cbc1eba,dgm_traveladvisories_country_us__620a71f90d5dbf8c9a80939d2cbc1eba
Bahamas,bahamas,bahamas,Country,Country,bahamas,,dgm_traveladvisories_country_us,19f9730000abcc9fe49e6e9051d109bc,dgm_traveladvisories_country_us__19f9730000abcc9fe49e6e9051d109bc
Bahrain,bahrain,bahrain,Country,Country,bahrain,,dgm_traveladvisories_country_us,97b78c7af698a19f89c414f8ede0ddd9,dgm_traveladvisories_country_us__97b78c7af698a19f89c414f8ede0ddd9
Bangladesh,bangladesh,bangladesh,Country,Country,bangladesh,,dgm_traveladvisories_country_us,b47bc9c3971a24ddbbfd211d7b692227,dgm_traveladvisories_country_us__b47bc9c3971a24ddbbfd211d7b692227
Barbados,barbados,barbados,Country,Country,barbados,,dgm_traveladvisories_country_us,8c7c9b1149e9de712b9e5abab45d700c,dgm_traveladvisories_country_us__8c7c9b1149e9de712b9e5abab45d700c
Belarus,belarus,belarus,Country,Country,belarus,,dgm_traveladvisories_country_us,f9bcd904ecd531c125ab9b42b5be3f35,dgm_traveladvisories_country_us__f9bcd904ecd531c125ab9b42b5be3f35
Belau,belau,belau,Country,Country,belau,,dgm_traveladvisories_country_us,630e5822f3935228c7b9a20876ef5c5a,dgm_traveladvisories_country_us__630e5822f3935228c7b9a20876ef5c5a
Belgium,belgium,belgium,Country,Country,belgium,,dgm_traveladvisories_country_us,73fa01094ea6c89f1f8efbeb57037499,dgm_traveladvisories_country_us__73fa01094ea6c89f1f8efbeb57037499
Belize,belize,belize,Country,Country,belize,,dgm_traveladvisories_country_us,48f621bb94135383a66d54914f195bfd,dgm_traveladvisories_country_us__48f621bb94135383a66d54914f195bfd
Benin,benin,benin,Country,Country,benin,,dgm_traveladvisories_country_us,9f1bf009168d01c56794edf2d1a94f83,dgm_traveladvisories_country_us__9f1bf009168d01c56794edf2d1a94f83
Bhutan,bhutan,bhutan,Country,Country,bhutan,,dgm_traveladvisories_country_us,6a748bb76e4fe708a3e321c77ed0d30c,dgm_traveladvisories_country_us__6a748bb76e4fe708a3e321c77ed0d30c
Bolivia,bolivia,bolivia,Country,Country,bolivia,,dgm_traveladvisories_country_us,76781be1c79df46b096f0cfb71f2bf82,dgm_traveladvisories_country_us__76781be1c79df46b096f0cfb71f2bf82
Bosnia,bosnia,bosnia,Country,Country,bosnia,,dgm_traveladvisories_country_us,1066e7ebc8eed98d3f77484d0ab2cbc6,dgm_traveladvisories_country_us__1066e7ebc8eed98d3f77484d0ab2cbc6
