keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
industrial plant,industrial plant,CompanyKeyword,industrial plant,,dgm_infrastructure,d4fb034b14b4543376067dc9d5713c9a,dgm_infrastructure__d4fb034b14b4543376067dc9d5713c9a
office park,office park,AAEntity,office park,,dgm_infrastructure,9d2c0745cd8b3a10bd91e71d317041d4,dgm_infrastructure__9d2c0745cd8b3a10bd91e71d317041d4
processing facility,processing facility,space,processing facility,,dgm_infrastructure,eee391177b2391cb50ae525e326a04f7,dgm_infrastructure__eee391177b2391cb50ae525e326a04f7
employee,employee,CompanyKeyword,employee,,dgm_infrastructure,fa5473530e4d1a5a1e1eb53d2fedb10c,dgm_infrastructure__fa5473530e4d1a5a1e1eb53d2fedb10c
employees,employees,Diplomat,employees,,dgm_infrastructure,582ca3f7cbaf4edcc1b445f8ea90b503,dgm_infrastructure__582ca3f7cbaf4edcc1b445f8ea90b503
staff,staff,Consulates,staff,,dgm_infrastructure,1253208465b1efa876f982d8a9e73eef,dgm_infrastructure__1253208465b1efa876f982d8a9e73eef
worker,worker,Pipeline,worker,,dgm_infrastructure,b61822e8357dcaff77eaaccf348d9134,dgm_infrastructure__b61822e8357dcaff77eaaccf348d9134
workers,workers,Keyphrase,workers,,dgm_infrastructure,a06be211ee1b949b0dc8cef92a4373a9,dgm_infrastructure__a06be211ee1b949b0dc8cef92a4373a9
staff member,staff member,ForeignMinistry,staff member,,dgm_infrastructure,fc4db3994cc73ee987310a820df7785e,dgm_infrastructure__fc4db3994cc73ee987310a820df7785e
leadership,leadership,FTO,leadership,,dgm_infrastructure,e9b74766edff1096ba7c67999ca259b6,dgm_infrastructure__e9b74766edff1096ba7c67999ca259b6
director,director,FTO,director,,dgm_infrastructure,3d4e992d8d8a7d848724aa26ed7f4176,dgm_infrastructure__3d4e992d8d8a7d848724aa26ed7f4176
CEO,CEO,Person,CEO,,dgm_infrastructure,858904c3e266f5640bfa88f16d2ed50a,dgm_infrastructure__858904c3e266f5640bfa88f16d2ed50a
CFO,executive,LegislativeCommittee,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
COO,executive,Consulates,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
CSO,executive,ForeignMinister,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
CIO,executive,Shipping,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
founder,founder,FTO,founder,,dgm_infrastructure,caaa84acca34f6fbe1be609bc4e81c43,dgm_infrastructure__caaa84acca34f6fbe1be609bc4e81c43
exec,executive,Pipeline,executive,,dgm_infrastructure,3250d1e21c4281d3cd9479f5685770b6,dgm_infrastructure__3250d1e21c4281d3cd9479f5685770b6
