keyword,caption_name,guid,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
lfg.com,Lincoln Financial,8f0b0014acf32d6ffcb122e9093b3b96,,,FTO,Lincoln Financial,,shodan_keyword_to_guid,90080bf00dbfaeb6467e1e52b8df7146,shodan_keyword_to_guid__90080bf00dbfaeb6467e1e52b8df7146
lincoln financial group,Lincoln Financial,8f0b0014acf32d6ffcb122e9093b3b96,,,Legislator,Lincoln Financial,,shodan_keyword_to_guid,90080bf00dbfaeb6467e1e52b8df7146,shodan_keyword_to_guid__90080bf00dbfaeb6467e1e52b8df7146
lincoln financial,Lincoln Financial,8f0b0014acf32d6ffcb122e9093b3b96,,,CompanyKeyword,Lincoln Financial,,shodan_keyword_to_guid,90080bf00dbfaeb6467e1e52b8df7146,shodan_keyword_to_guid__90080bf00dbfaeb6467e1e52b8df7146
caci.com,CACI,8aee35d3b245ef834884172cc6deec49,,,Legislator,CACI,,shodan_keyword_to_guid,bea73db7938437e6a6282442e9be2ac0,shodan_keyword_to_guid__bea73db7938437e6a6282442e9be2ac0
caci inc. - federal,CACI,8aee35d3b245ef834884172cc6deec49,,,Wells,CACI,,shodan_keyword_to_guid,bea73db7938437e6a6282442e9be2ac0,shodan_keyword_to_guid__bea73db7938437e6a6282442e9be2ac0
caesars.com/,Caesars Entertainment,1f6b09433ddff11d175e7e8680ef6f21,,,ForeignMinistry,Caesars Entertainment,,shodan_keyword_to_guid,a488d5a9f39967875e43e7d01e5cb7a4,shodan_keyword_to_guid__a488d5a9f39967875e43e7d01e5cb7a4
caesars entertainment operating company,Caesars Entertainment,1f6b09433ddff11d175e7e8680ef6f21,,,space,Caesars Entertainment,,shodan_keyword_to_guid,a488d5a9f39967875e43e7d01e5cb7a4,shodan_keyword_to_guid__a488d5a9f39967875e43e7d01e5cb7a4
caesars entertainment,Caesars Entertainment,1f6b09433ddff11d175e7e8680ef6f21,,,FTO,Caesars Entertainment,,shodan_keyword_to_guid,a488d5a9f39967875e43e7d01e5cb7a4,shodan_keyword_to_guid__a488d5a9f39967875e43e7d01e5cb7a4
comerica.com,Comerica,45c27df83ef28f4337e76813b416b9cd,,,Legislator,Comerica,,shodan_keyword_to_guid,86f9f3eac0a71ac237d30c18318b9cc0,shodan_keyword_to_guid__86f9f3eac0a71ac237d30c18318b9cc0
comerica incorporated,Comerica,45c27df83ef28f4337e76813b416b9cd,,,Keyphrase,Comerica,,shodan_keyword_to_guid,86f9f3eac0a71ac237d30c18318b9cc0,shodan_keyword_to_guid__86f9f3eac0a71ac237d30c18318b9cc0
comerica bank,Comerica,45c27df83ef28f4337e76813b416b9cd,,,FTO,Comerica,,shodan_keyword_to_guid,86f9f3eac0a71ac237d30c18318b9cc0,shodan_keyword_to_guid__86f9f3eac0a71ac237d30c18318b9cc0
caleres.com,Caleres,1aee4ad21cfe8b58271f72a21f0830e1,,,News,Caleres,,shodan_keyword_to_guid,685c6f54e857b6111b96a83d995926d7,shodan_keyword_to_guid__685c6f54e857b6111b96a83d995926d7
caleres inc.,Caleres,1aee4ad21cfe8b58271f72a21f0830e1,,,Refinery,Caleres,,shodan_keyword_to_guid,685c6f54e857b6111b96a83d995926d7,shodan_keyword_to_guid__685c6f54e857b6111b96a83d995926d7
crc.com,California Resources,96a75f60ba430f010970012077adee8a,,,ForeignMinister,California Resources,,shodan_keyword_to_guid,ac87e78ccdc1e415f48f1cfdf4f0dbb0,shodan_keyword_to_guid__ac87e78ccdc1e415f48f1cfdf4f0dbb0
california resources corporation,California Resources,96a75f60ba430f010970012077adee8a,,,Legislator,California Resources,,shodan_keyword_to_guid,ac87e78ccdc1e415f48f1cfdf4f0dbb0,shodan_keyword_to_guid__ac87e78ccdc1e415f48f1cfdf4f0dbb0
california resources corp,California Resources,96a75f60ba430f010970012077adee8a,,,Pipeline,California Resources,,shodan_keyword_to_guid,ac87e78ccdc1e415f48f1cfdf4f0dbb0,shodan_keyword_to_guid__ac87e78ccdc1e415f48f1cfdf4f0dbb0
calpine.com,Calpine,e225e0d2bab15091ce7a07d707db421e,,,Consulates,Calpine,,shodan_keyword_to_guid,8352e9fdbe86d003e0f51643d482e7e3,shodan_keyword_to_guid__8352e9fdbe86d003e0f51643d482e7e3
calpine corp,Calpine,e225e0d2bab15091ce7a07d707db421e,,,CompanyKeyword,Calpine,,shodan_keyword_to_guid,8352e9fdbe86d003e0f51643d482e7e3,shodan_keyword_to_guid__8352e9fdbe86d003e0f51643d482e7e3
cnoinc.com,CNO Financial,c0616e8e461935976e8ce5541ff4ff58,,,Wells,CNO Financial,,shodan_keyword_to_guid,86dab862da4f06b66232c0c7fe412654,shodan_keyword_to_guid__86dab862da4f06b66232c0c7fe412654
conesco companies,CNO Financial,c0616e8e461935976e8ce5541ff4ff58,,,Person,CNO Financial,,shodan_keyword_to_guid,86dab862da4f06b66232c0c7fe412654,shodan_keyword_to_guid__86dab862da4f06b66232c0c7fe412654
cno services llc,CNO Financial,c0616e8e461935976e8ce5541ff4ff58,,,Organization,CNO Financial,,shodan_keyword_to_guid,86dab862da4f06b66232c0c7fe412654,shodan_keyword_to_guid__86dab862da4f06b66232c0c7fe412654
synovus.com,Synovus,51794dd8f55a4e939bafed948b1da06b,,,LegislativeCommittee,Synovus,,shodan_keyword_to_guid,5d8dba8ddfe26a3c54710523274889d1,shodan_keyword_to_guid__5d8dba8ddfe26a3c54710523274889d1
synovus financial corp.,Synovus,51794dd8f55a4e939bafed948b1da06b,,,Legislator,Synovus,,shodan_keyword_to_guid,5d8dba8ddfe26a3c54710523274889d1,shodan_keyword_to_guid__5d8dba8ddfe26a3c54710523274889d1
cppinvestments.com,CPP Investments,fcc5ff72a09142958bfa34aa93da5905,,,ForeignMinistry,CPP Investments,,shodan_keyword_to_guid,f9bc3393151ad30f26176fefa4b7def4,shodan_keyword_to_guid__f9bc3393151ad30f26176fefa4b7def4
canada pension plan investment board,CPP Investments,fcc5ff72a09142958bfa34aa93da5905,,,Keyphrase,CPP Investments,,shodan_keyword_to_guid,f9bc3393151ad30f26176fefa4b7def4,shodan_keyword_to_guid__f9bc3393151ad30f26176fefa4b7def4
scotiabank.com,Scotiabank,df5ec78466b5193a66a72ce4c888146c,,,News,Scotiabank,,shodan_keyword_to_guid,f1b39e80b43ecba99170ac1588826f91,shodan_keyword_to_guid__f1b39e80b43ecba99170ac1588826f91
the bank of nova scotia,Scotiabank,df5ec78466b5193a66a72ce4c888146c,,,Person,Scotiabank,,shodan_keyword_to_guid,f1b39e80b43ecba99170ac1588826f91,shodan_keyword_to_guid__f1b39e80b43ecba99170ac1588826f91
chimerareit.com,Chimera Investment,8564d0e28397e1cd3f9f302ffd2dce2f,,,Consulates,Chimera Investment,,shodan_keyword_to_guid,2623a12698e7b02b083ff5867c52747b,shodan_keyword_to_guid__2623a12698e7b02b083ff5867c52747b
chimera investment corporation,Chimera Investment,8564d0e28397e1cd3f9f302ffd2dce2f,,,News,Chimera Investment,,shodan_keyword_to_guid,2623a12698e7b02b083ff5867c52747b,shodan_keyword_to_guid__2623a12698e7b02b083ff5867c52747b
cibc.com,CIBC,4e9e7d49f3fdceb3f60b4763bd4c7238,,,ForeignMinister,CIBC,,shodan_keyword_to_guid,8940a1f1c2e639791691182948545fcc,shodan_keyword_to_guid__8940a1f1c2e639791691182948545fcc
