keyword,caption_name,guid,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
benjamin moore & co.,Benjamin Moore,a5d91bcc184582038da424d86dbfb176,,,LegislativeCommittee,Benjamin Moore,,shodan_keyword_to_guid,d18b585d715615c0e57bd2f18c3dde79,shodan_keyword_to_guid__d18b585d715615c0e57bd2f18c3dde79
biglots.com,Big Lots,28d88a4eec74c3f84900254f454d6c06,,,IndustryTerm,Big Lots,,shodan_keyword_to_guid,ff506cb6ab66feb1ea5dac754b9fe8e1,shodan_keyword_to_guid__ff506cb6ab66feb1ea5dac754b9fe8e1
big lots stores,Big Lots,28d88a4eec74c3f84900254f454d6c06,,,Shipping,Big Lots,,shodan_keyword_to_guid,ff506cb6ab66feb1ea5dac754b9fe8e1,shodan_keyword_to_guid__ff506cb6ab66feb1ea5dac754b9fe8e1
big lots stores inc.,Big Lots,28d88a4eec74c3f84900254f454d6c06,,,LegislativeCommittee,Big Lots,,shodan_keyword_to_guid,ff506cb6ab66feb1ea5dac754b9fe8e1,shodan_keyword_to_guid__ff506cb6ab66feb1ea5dac754b9fe8e1
amerco.com,AMERCO,3a991b47125921dba181b242dd96b5a3,,,ForeignMinister,AMERCO,,shodan_keyword_to_guid,31643ab62bac9d4cdeaa2bc1a6b0fbe6,shodan_keyword_to_guid__31643ab62bac9d4cdeaa2bc1a6b0fbe6
southwest.com,Southwest Airlines,1fbbad0baa62e0c0298043a29d94cf28,,,Diplomat,Southwest Airlines,,shodan_keyword_to_guid,fc6b0abd259245a2df26a8f439a91db8,shodan_keyword_to_guid__fc6b0abd259245a2df26a8f439a91db8
southwest airlines co.,Southwest Airlines,1fbbad0baa62e0c0298043a29d94cf28,,,Refinery,Southwest Airlines,,shodan_keyword_to_guid,fc6b0abd259245a2df26a8f439a91db8,shodan_keyword_to_guid__fc6b0abd259245a2df26a8f439a91db8
biogen.com,Biogen,1f46a67ae7e6023e6cffca51f4a46c16,,,Shipping,Biogen,,shodan_keyword_to_guid,b34193a9204d2f50d15aedf8b222dbad,shodan_keyword_to_guid__b34193a9204d2f50d15aedf8b222dbad
biogen,Biogen,1f46a67ae7e6023e6cffca51f4a46c16,,,Media,Biogen,,shodan_keyword_to_guid,b34193a9204d2f50d15aedf8b222dbad,shodan_keyword_to_guid__b34193a9204d2f50d15aedf8b222dbad
biogen inc.,Biogen,1f46a67ae7e6023e6cffca51f4a46c16,,,IndustryTerm,Biogen,,shodan_keyword_to_guid,b34193a9204d2f50d15aedf8b222dbad,shodan_keyword_to_guid__b34193a9204d2f50d15aedf8b222dbad
bv.com,Black & Veatch,,,,FTO,Black & Veatch,,shodan_keyword_to_guid,babed22753c7c9176f1daa5230ac8ad0,shodan_keyword_to_guid__babed22753c7c9176f1daa5230ac8ad0
black & veatch international company,Black & Veatch,,,,Person,Black & Veatch,,shodan_keyword_to_guid,babed22753c7c9176f1daa5230ac8ad0,shodan_keyword_to_guid__babed22753c7c9176f1daa5230ac8ad0
black & veatch limited,Black & Veatch,,,,AAEntity,Black & Veatch,,shodan_keyword_to_guid,babed22753c7c9176f1daa5230ac8ad0,shodan_keyword_to_guid__babed22753c7c9176f1daa5230ac8ad0
black & veatch corporation,Black & Veatch,,,,News,Black & Veatch,,shodan_keyword_to_guid,babed22753c7c9176f1daa5230ac8ad0,shodan_keyword_to_guid__babed22753c7c9176f1daa5230ac8ad0
bloomberg.com,Bloomberg,13973f2df031fdfb9c5478fba4a9b0ba,,,Shipping,Bloomberg,,shodan_keyword_to_guid,208421fcbc090a62f099f85472ded9ba,shodan_keyword_to_guid__208421fcbc090a62f099f85472ded9ba
