german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
in den kampen,"In den Kampen in Hanover, Germany",52.3794789,9.7018034,1,,,,,,,,,FTO,"In den Kampen in Hanover, Germany",,german_fires_hannover_locations,bdece45cbbbcc353858448a99c926461,german_fires_hannover_locations__cb6140f6d29f1de96b2973b0839b9a4b
in den laher hofen,"In den Laher Hofen in Hanover, Germany",52.4181462,9.8211748,1,,,,,,,,,News,"In den Laher Hofen in Hanover, Germany",,german_fires_hannover_locations,4ea7b9e5054b2f0df64c6e78169291fd,german_fires_hannover_locations__e6b6231715b4b31180afd587796a42b4
in den obstwiesen,"In den Obstwiesen in Hanover, Germany",52.3689661,9.6659947,1,,,,,,,,,Person,"In den Obstwiesen in Hanover, Germany",,german_fires_hannover_locations,d454e7b0d68d483c5587f4cd3d7d1371,german_fires_hannover_locations__9b4b502d0a6cd843379c0e1de6fd905e
in den seeackern,"In den Seeackern in Hanover, Germany",52.3250056,9.6841646,1,,,,,,,,,Diplomat,"In den Seeackern in Hanover, Germany",,german_fires_hannover_locations,456976d6459489384c5b94340ecb8d68,german_fires_hannover_locations__cd96f18125b2d0568b3e3231bc1c289d
in den sieben stucken,"In den Sieben Stucken in Hanover, Germany",52.4081279,9.812048,1,,,,,,,,,Keyphrase,"In den Sieben Stucken in Hanover, Germany",,german_fires_hannover_locations,74ffbca94e2820b1ac00c2b688ca55cb,german_fires_hannover_locations__d2d55be1e60ff7b5695db35601b5a37b
in den siekwiesen,"In den Siekwiesen in Hanover, Germany",52.3548382,9.8340792,1,,,,,,,,,ForeignMinistry,"In den Siekwiesen in Hanover, Germany",,german_fires_hannover_locations,3b274addc420dc711e9b61721be713d6,german_fires_hannover_locations__63abec69a45576debeee6f03b654d386
in den sonnenhofen,"In den Sonnenhofen in Hanover, Germany",52.4199405,9.8194024,1,,,,,,,,,Wells,"In den Sonnenhofen in Hanover, Germany",,german_fires_hannover_locations,bbaa4d89e3eacd4fe4c6a53a1f33186d,german_fires_hannover_locations__d556ff2ba40ddb6905dc27bfb3be8458
in der bebie,"In der Bebie in Hanover, Germany",52.3533922,9.8385584,1,,,,,,,,,Media,"In der Bebie in Hanover, Germany",,german_fires_hannover_locations,85fce91c2b71fa92817c9b7519515d2d,german_fires_hannover_locations__787a613098e75c7cf1371406af010bae
in der bruchheide,"In der Bruchheide in Hanover, Germany",52.4296149,9.6543166,1,,,,,,,,,News,"In der Bruchheide in Hanover, Germany",,german_fires_hannover_locations,bd87a3bf7a00ba8ec1516609ed235c19,german_fires_hannover_locations__f53dcce9f4d0b57d2373bdb70be153d3
in der flage,"In der Flage in Hanover, Germany",52.3831939,9.7282836,1,,,,,,,,,ForeignMinister,"In der Flage in Hanover, Germany",,german_fires_hannover_locations,a378ecb010e7ba616517886f5d68e258,german_fires_hannover_locations__69a706e517d78586a530b1d3adb38d43
in der rehre,"In der Rehre in Hanover, Germany",52.3289854,9.704781,1,,,,,,,,,Organization,"In der Rehre in Hanover, Germany",,german_fires_hannover_locations,32bc9dc83c1ac5d4431f7a517500dcaa,german_fires_hannover_locations__3b9d29552effc725a5f57e4b063ca678
in der reuterwiese,"In der Reuterwiese in Hanover, Germany",52.3778879,9.6664704,1,,,,,,,,,IndustryTerm,"In der Reuterwiese in Hanover, Germany",,german_fires_hannover_locations,9410e7c99c4f923c01a5cacc8c8b4d2f,german_fires_hannover_locations__111cb5b7ab42703ca8299ab5d50a4c9b
in der steinbreite,"In der Steinbreite in Hanover, Germany",52.3732674,9.667687,1,,,,,,,,,IndustryTerm,"In der Steinbreite in Hanover, Germany",,german_fires_hannover_locations,e040e9917a55d142415c7557f21e2aed,german_fires_hannover_locations__f28aafc16a4bc08634a85e63923f4655
in der steinriede,"In der Steinriede in Hanover, Germany",52.3865172,9.7503622,1,,,,,,,,,ForeignMinister,"In der Steinriede in Hanover, Germany",,german_fires_hannover_locations,5c923085bb540b0693c920d079c6bb6c,german_fires_hannover_locations__465d8778221a03daab7c87d60c38a4ed
in der steintormasch,"In der Steintormasch in Hanover, Germany",52.3823367,9.7022666,1,,,,,,,,,ForeignMinister,"In der Steintormasch in Hanover, Germany",,german_fires_hannover_locations,54af167731ae8ceae5fcfe905c5591e0,german_fires_hannover_locations__63ad98a14feb8b5f76a8f71784ade056
industrieweg,"Industrieweg in Hanover, Germany",52.4215112,9.7206554,1,,,,,,,,,Consulates,"Industrieweg in Hanover, Germany",,german_fires_hannover_locations,dd8aae5899dc5424b221fefdd5afc629,german_fires_hannover_locations__42c8b3db5cfccc450c85f8c371b10f0b
inge-meier-hof,"Inge-Meier-Hof in Hanover, Germany",52.3433198,9.7923851,1,,,,,,,,,LegislativeCommittee,"Inge-Meier-Hof in Hanover, Germany",,german_fires_hannover_locations,fa8c51e9cf51b561558f397a2d5f6e8b,german_fires_hannover_locations__1e5ee57747a943caf3f438ebe4494bee
ingeborg-steinohrt-weg,"Ingeborg-Steinohrt-Weg in Hanover, Germany",52.3281628,9.7081907,1,,,,,,,,,Person,"Ingeborg-Steinohrt-Weg in Hanover, Germany",,german_fires_hannover_locations,ae035ce71a32bfaee79d9c24374aed07,german_fires_hannover_locations__8a68dca14414b42cbfdeae0062c4be47
innersteweg,"Innersteweg in Hanover, Germany",52.4079726,9.6921231,1,,,,,,,,,ForeignMinistry,"Innersteweg in Hanover, Germany",,german_fires_hannover_locations,a7a761c33b836309bb68bc21f6fbd4a8,german_fires_hannover_locations__0bc0dbd6739828c69daa30f23a186e78
innsbrucker strasse,"Innsbrucker strasse in Hanover, Germany",52.3480669,9.7704693,1,,,,,,,,,Media,"Innsbrucker strasse in Hanover, Germany",,german_fires_hannover_locations,8e73ad755c973975a233bdaa93394b31,german_fires_hannover_locations__4f206a3fbe076ca7690b7bc66e2e9553
innstrasse,"Innstrasse in Hanover, Germany",52.3364717,9.7679737,1,,,,,,,,,Refinery,"Innstrasse in Hanover, Germany",,german_fires_hannover_locations,03ebc4872bb2e79846563c1d4dc5366f,german_fires_hannover_locations__e1da5f785a50dea58be492431af90179
insterburger weg,"Insterburger Weg in Hanover, Germany",52.4126467,9.7843897,1,,,,,,,,,Organization,"Insterburger Weg in Hanover, Germany",,german_fires_hannover_locations,8345dc0987769b6620a0928e568d0276,german_fires_hannover_locations__bc0cb9353032efe5ab084c3ea2a39342
insterweg,"Insterweg in Hanover, Germany",52.3685052,9.8531037,1,,,,,,,,,Keyphrase,"Insterweg in Hanover, Germany",,german_fires_hannover_locations,798e5b9015ace1d33fa8b54d70593df4,german_fires_hannover_locations__703dedb6abfe3c98ceb0702487b951ee
ira-wolkowa-platz,"Ira-Wolkowa-Platz in Hanover, Germany",52.3765545,9.7410472,1,,,,,,,,,LegislativeCommittee,"Ira-Wolkowa-Platz in Hanover, Germany",,german_fires_hannover_locations,6be36acef156c27fe21efce3416ae414,german_fires_hannover_locations__22db675e4d49bcb1fe4e15ed7af778aa
ira-wolkowa-weg,"Ira-Wolkowa-Weg in Hanover, Germany",52.3754263,9.7174823,1,,,,,,,,,Refinery,"Ira-Wolkowa-Weg in Hanover, Germany",,german_fires_hannover_locations,8531d05b1478f1b6e18953d03f6d4db2,german_fires_hannover_locations__976a17aeedbc57b8561ea2d8aeffb799
irma-pickerd-weg,"Irma-Pickerd-Weg in Hanover, Germany",52.3275431,9.7047581,1,,,,,,,,,FTO,"Irma-Pickerd-Weg in Hanover, Germany",,german_fires_hannover_locations,359f0359676d59c3190d67fec78fb2d6,german_fires_hannover_locations__e0c57ad521084fa16beb43dc56d24c5a
