keyword,keyword_upper,caption_name,location,location_lower,type,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nycdot,nycdot,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,fc7b0b0dcec693479b016f7af10e4333,LN_Mentionee__fc7b0b0dcec693479b016f7af10e4333
nyc_dot,NYC_DOT,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,3611fd4339dd5a17dfba5b777eae4125,LN_Mentionee__3611fd4339dd5a17dfba5b777eae4125
new york city department of transportation,New York City Department of Transportation,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,c7225478a40ee179246619b24ffa2069,LN_Mentionee__c7225478a40ee179246619b24ffa2069
nycschools,NYCSchools,New York City Department of Education,NYC,nyc,SLGAgency,188114,3140002,Slgagency,New York City Department of Education,,LN_Mentionee,b3b2937a636e13f3a5636c3b3737cf57,LN_Mentionee__b3b2937a636e13f3a5636c3b3737cf57
new york city department of education,New York City Department of Education,New York City Department of Education,NYC,nyc,SLGAgency,188114,3140002,Slgagency,New York City Department of Education,,LN_Mentionee,9bc16d5eea6fb5b1ff3dfe347af8e932,LN_Mentionee__9bc16d5eea6fb5b1ff3dfe347af8e932
dsny,dsny,New York City Department of Sanitation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Sanitation,,LN_Mentionee,1598022277e99e4888cd612bbaa16e26,LN_Mentionee__1598022277e99e4888cd612bbaa16e26
new york city department of sanitation,New York City Department of Sanitation,New York City Department of Sanitation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Sanitation,,LN_Mentionee,b832e56ad87301879f20fac2bfafaea0,LN_Mentionee__b832e56ad87301879f20fac2bfafaea0
new york city department of homeless services,New York City Department of Homeless Services,New York City Department of Homeless Services,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Department of Homeless Services,,LN_Mentionee,ef7b1ee1a46fe29ebb830d5443fd6769,LN_Mentionee__ef7b1ee1a46fe29ebb830d5443fd6769
new york city housing authority,New York City Housing Authority,New York City Housing Authority,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Housing Authority,,LN_Mentionee,7378c1e5db2d739aa0cfece70dad2333,LN_Mentionee__7378c1e5db2d739aa0cfece70dad2333
nycha,NYCHA,New York City Housing Authority,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Housing Authority,,LN_Mentionee,a106860d0a79b8745b0ad2225c485ac6,LN_Mentionee__a106860d0a79b8745b0ad2225c485ac6
new york city department of environmental protection,New York City Department of Environmental Protection,New York City Department of Environmental Protection,NYC,nyc,SLGAgency,188133,3140002,Slgagency,New York City Department of Environmental Protection,,LN_Mentionee,a94f24fe688c1e578a7af80e8c83b66b,LN_Mentionee__a94f24fe688c1e578a7af80e8c83b66b
nycdep,nycdep,New York City Department of Environmental Protection,NYC,nyc,SLGAgency,188133,3140002,Slgagency,New York City Department of Environmental Protection,,LN_Mentionee,ad73a23579162fa3fbd4dcfce2b239a7,LN_Mentionee__ad73a23579162fa3fbd4dcfce2b239a7
new york city water board,New York City Water Board,New York City Water Board,NYC,nyc,SLGAgency,188242,3140002,Slgagency,New York City Water Board,,LN_Mentionee,d1c4d116af0a141def67e7f2080b6397,LN_Mentionee__d1c4d116af0a141def67e7f2080b6397
nychealthy,nycHealthy,New York City Department of Health and Mental Hygiene,NYC,nyc,SLGAgency,188124,3140002,Slgagency,New York City Department of Health and Mental Hygiene,,LN_Mentionee,c211ca8a2d3392e46283812585a95753,LN_Mentionee__c211ca8a2d3392e46283812585a95753
new york city department of health and mental hygiene,New York City Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,NYC,nyc,SLGAgency,188124,3140002,Slgagency,New York City Department of Health and Mental Hygiene,,LN_Mentionee,351a820cc541ee4a5f1b942731363aee,LN_Mentionee__351a820cc541ee4a5f1b942731363aee
nycparks,NYCParks,New York City Department of Parks and Recreation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Parks and Recreation,,LN_Mentionee,5d4ab4c43714ced6cdebcb6e66b54437,LN_Mentionee__5d4ab4c43714ced6cdebcb6e66b54437
new york city department of parks and recreation,New York City Department of Parks and Recreation,New York City Department of Parks and Recreation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Parks and Recreation,,LN_Mentionee,b5b5701e14dc979c294050bc1d641163,LN_Mentionee__b5b5701e14dc979c294050bc1d641163
los angeles department of parks and recreation,Los Angeles Department of Parks and Recreation,Los Angeles Department of Parks and Recreation,Los Angeles,los angeles,SLGAgency,188120,3140002,Slgagency,Los Angeles Department of Parks and Recreation,,LN_Mentionee,c565206016d3e5b3253e36fe7c8174d7,LN_Mentionee__c565206016d3e5b3253e36fe7c8174d7
los angeles county department of public health,Los Angeles County Department of Public Health,Los Angeles County Department of Public Health,Los Angeles,los angeles,SLGAgency,188124,3140002,Slgagency,Los Angeles County Department of Public Health,,LN_Mentionee,9cb3e904ae4cf15e719c8a5a35464108,LN_Mentionee__9cb3e904ae4cf15e719c8a5a35464108
lapublichealth,lapublichealth,Los Angeles County Department of Public Health,Los Angeles,los angeles,SLGAgency,188124,3140002,Slgagency,Los Angeles County Department of Public Health,,LN_Mentionee,e82f91dfd048984c49b318347b188533,LN_Mentionee__e82f91dfd048984c49b318347b188533
los angeles department of transportation,Los Angeles Department of Transportation,Los Angeles Department of Transportation,Los Angeles,los angeles,SLGAgency,188120,3140002,Slgagency,Los Angeles Department of Transportation,,LN_Mentionee,63c23102527015e7751c353b0075df40,LN_Mentionee__63c23102527015e7751c353b0075df40
ladot,ladot,Los Angeles Department of Transportation,Los Angeles,los angeles,SLGAgency,188120,3140002,Slgagency,Los Angeles Department of Transportation,,LN_Mentionee,04c5467ec3e359e4e3df93d2ea3cf2ef,LN_Mentionee__04c5467ec3e359e4e3df93d2ea3cf2ef
los angeles homeless services authority,Los Angeles Homeless Services Authority,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Homeless Services Authority,,LN_Mentionee,60191dd13ac925b41f7b60161aaa71ba,LN_Mentionee__60191dd13ac925b41f7b60161aaa71ba
lahsa,LAHSA,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Homeless Services Authority,,LN_Mentionee,4318de8559f210d70613c0bb2e9e6e0a,LN_Mentionee__4318de8559f210d70613c0bb2e9e6e0a
lahomeless,LAHomeless,Los Angeles Homeless Services Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Homeless Services Authority,,LN_Mentionee,5c5cd2c86dfec36569893e1287388658,LN_Mentionee__5c5cd2c86dfec36569893e1287388658
los angeles county office of education,Los Angeles County Office of Education,Los Angeles County Office of Education,Los Angeles,los angeles,SLGAgency,188114,3140002,Slgagency,Los Angeles County Office of Education,,LN_Mentionee,34f405c97a56de0d6e19cb15af0ad07e,LN_Mentionee__34f405c97a56de0d6e19cb15af0ad07e
los angeles department of water and power,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,Los Angeles,los angeles,SLGAgency,188241;188242,3140002,Slgagency,Los Angeles Department of Water and Power,,LN_Mentionee,c1df82894e6256cbeb72315df0657fc7,LN_Mentionee__c1df82894e6256cbeb72315df0657fc7
ladwp,ladwp,Los Angeles Department of Water and Power,Los Angeles,los angeles,SLGAgency,188241;188242,3140002,Slgagency,Los Angeles Department of Water and Power,,LN_Mentionee,e5e489bc4723f17811e6454a807f80b1,LN_Mentionee__e5e489bc4723f17811e6454a807f80b1
los angeles housing authority,Los Angeles Housing Authority,Los Angeles Housing Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Housing Authority,,LN_Mentionee,f0507a493ef96dd346713912f9444f14,LN_Mentionee__f0507a493ef96dd346713912f9444f14
hacla,hacla,Los Angeles Housing Authority,Los Angeles,los angeles,SLGAgency,188289,3140002,Slgagency,Los Angeles Housing Authority,,LN_Mentionee,9d58d071dbda62e4ae53d1542a2cf95f,LN_Mentionee__9d58d071dbda62e4ae53d1542a2cf95f
washington dc department of transportation,Washington DC Department of Transportation,"Washington, DC Department of Transportation",DC,dc,SLGAgency,188120,3140002,Slgagency,"Washington, DC Department of Transportation",,LN_Mentionee,167c92d1c8358862800a44652a06e11b,LN_Mentionee__167c92d1c8358862800a44652a06e11b
washington dc department of energy & environment,Washington DC Department of Energy & Environment,"Washington, DC Department of Energy and Environment",DC,dc,SLGAgency,188133,3140002,Slgagency,"Washington, DC Department of Energy and Environment",,LN_Mentionee,6168e53d0ae3863d846bb49f1dffd1a3,LN_Mentionee__6168e53d0ae3863d846bb49f1dffd1a3
doee,doee,"Washington, DC Department of Energy and Environment",DC,dc,SLGAgency,188133,3140002,Slgagency,"Washington, DC Department of Energy and Environment",,LN_Mentionee,238d983237d41b6b8ecb8bbf7ac138c1,LN_Mentionee__238d983237d41b6b8ecb8bbf7ac138c1
washington dc housing authority,Washington DC Housing Authority,"Washington, DC Housing Authority",DC,dc,SLGAgency,188289,3140002,Slgagency,"Washington, DC Housing Authority",,LN_Mentionee,6ca39bd383e0f6776f2d9ea4955f1ea5,LN_Mentionee__6ca39bd383e0f6776f2d9ea4955f1ea5
washington dc department of public works,Washington DC Department of Public Works,"Washington, DC Department of Public Works",DC,dc,SLGAgency,188120,3140002,Slgagency,"Washington, DC Department of Public Works",,LN_Mentionee,590a6bb6e8158fdb5965d4f04863974c,LN_Mentionee__590a6bb6e8158fdb5965d4f04863974c
washington dc department of water,Washington DC Department of Water,"Washington, DC Department of Water",DC,dc,SLGAgency,188242,3140002,Slgagency,"Washington, DC Department of Water",,LN_Mentionee,d71bf58b7ed7f1975e2d09c986d64760,LN_Mentionee__d71bf58b7ed7f1975e2d09c986d64760
dallas department of parks and recreation,Dallas Department of Parks and Recreation,Dallas Department of Parks and Recreation,Dallas,dallas,SLGAgency,188120,3140002,Slgagency,Dallas Department of Parks and Recreation,,LN_Mentionee,0a3f77b2b00782c1229d5c02304b5b74,LN_Mentionee__0a3f77b2b00782c1229d5c02304b5b74
dallas county department of health and human services,Dallas County Department of Health and Human Services,Dallas County Department of Health and Human Services,Dallas,dallas,SLGAgency,188124,3140002,Slgagency,Dallas County Department of Health and Human Services,,LN_Mentionee,b6ed7fbf4daf2512e26b7564f8b1eca5,LN_Mentionee__b6ed7fbf4daf2512e26b7564f8b1eca5
dallas department of transportation,Dallas Department of Transportation,Dallas Department of Transportation,Dallas,dallas,SLGAgency,188120,3140002,Slgagency,Dallas Department of Transportation,,LN_Mentionee,e26de7d3a32e513f8866d552816e55e0,LN_Mentionee__e26de7d3a32e513f8866d552816e55e0
dallas independent school district,Dallas Independent School District,Dallas Independent School District,Dallas,dallas,SLGAgency,188114,3140002,Slgagency,Dallas Independent School District,,LN_Mentionee,40f1adbefeeaf148473adbaa0a952a5e,LN_Mentionee__40f1adbefeeaf148473adbaa0a952a5e
dallas housing authority,Dallas Housing Authority,Dallas Housing Authority,Dallas,dallas,SLGAgency,188120,3140002,Slgagency,Dallas Housing Authority,,LN_Mentionee,7bc173b4c298467920b0174979478552,LN_Mentionee__7bc173b4c298467920b0174979478552
dallas department of sanitation,Dallas Department of Sanitation,Dallas Department of Sanitation,Dallas,dallas,SLGAgency,188120,3140002,Slgagency,Dallas Department of Sanitation,,LN_Mentionee,f8ce5a9c3bca3a8670ca662dc2c634d7,LN_Mentionee__f8ce5a9c3bca3a8670ca662dc2c634d7
dallas department of water utilities,Dallas Department of Water Utilities,Dallas Department of Water,Dallas,dallas,SLGAgency,188242,3140002,Slgagency,Dallas Department of Water,,LN_Mentionee,1a5939fb0fa7dd44e7c39cc2fbc39f1b,LN_Mentionee__1a5939fb0fa7dd44e7c39cc2fbc39f1b
houston department of parks and recreation,Houston Department of Parks and Recreation,Houston Department of Parks and Recreation,Houston,houston,SLGAgency,188120,3140002,Slgagency,Houston Department of Parks and Recreation,,LN_Mentionee,eefe2316b7d82930dab1bb56b9291e93,LN_Mentionee__eefe2316b7d82930dab1bb56b9291e93
houston health department,Houston Health Department,Houston Department of Health,Houston,houston,SLGAgency,188124,3140002,Slgagency,Houston Department of Health,,LN_Mentionee,9cd3d6f662db5ba39ada7c09eafb99ff,LN_Mentionee__9cd3d6f662db5ba39ada7c09eafb99ff
houston department of housing and community development,Houston Department of Housing and Community Development,Houston Department of Housing and Community Development,Houston,houston,SLGAgency,188289,3140002,Slgagency,Houston Department of Housing and Community Development,,LN_Mentionee,54fe492eec027919f1f6677cfb2363df,LN_Mentionee__54fe492eec027919f1f6677cfb2363df
miamiparks,miamiparks,Miami Department of Parks and Recreation,Miami,miami,SLGAgency,188120,3140002,Slgagency,Miami Department of Parks and Recreation,,LN_Mentionee,2b4eb1cb79fce5ac44f53b297310a38b,LN_Mentionee__2b4eb1cb79fce5ac44f53b297310a38b
miami department of parks and recreation,Miami Department of parks and Recreation,Miami Department of Parks and Recreation,Miami,miami,SLGAgency,188120,3140002,Slgagency,Miami Department of Parks and Recreation,,LN_Mentionee,f17db68a78fbbc52da91b1c838ab19c7,LN_Mentionee__f17db68a78fbbc52da91b1c838ab19c7
miami-dade county department of health,Miami-Dade County Department of Health,Miami-Dade County Department of Health,Miami,miami,SLGAgency,188124,3140002,Slgagency,Miami-Dade County Department of Health,,LN_Mentionee,e30b0bd85742cbf5f09ac102a981f469,LN_Mentionee__e30b0bd85742cbf5f09ac102a981f469
miami-dade county department of transportation,Miami-Dade County Department of Transportation,Miami-Dade County Department of Transportation,Miami,miami,SLGAgency,188120,3140002,Slgagency,Miami-Dade County Department of Transportation,,LN_Mentionee,93f4887537f0606c42d86e704ff4e5af,LN_Mentionee__93f4887537f0606c42d86e704ff4e5af
miami-dade county public schools,Miami-Dade County Public Schools,Miami-Dade County Public Schools,Miami,miami,SLGAgency,188114,3140002,Slgagency,Miami-Dade County Public Schools,,LN_Mentionee,468730ab4ee3e86ec64bd80d15fc7b2a,LN_Mentionee__468730ab4ee3e86ec64bd80d15fc7b2a
miami-dade county department of water and sewer,Miami-Dade County Department of Water and Sewer,Miami-Dade County Department of Water and Sewer,Miami,miami,SLGAgency,188242,3140002,Slgagency,Miami-Dade County Department of Water and Sewer,,LN_Mentionee,20e7416de94abc835db1e6d2d23691eb,LN_Mentionee__20e7416de94abc835db1e6d2d23691eb
philadelphia department of parks and recreation,Philadelphia Department of Parks and Recreation,Philadelphia Department of Parks and Recreation,Philadelphia,philadelphia,SLGAgency,188120,3140002,Slgagency,Philadelphia Department of Parks and Recreation,,LN_Mentionee,6c78595891568903dd89930a2e508bc6,LN_Mentionee__6c78595891568903dd89930a2e508bc6
philadelphia department of public health,Philadelphia Department of Public Health,Philadelphia Department of Public Health,Philadelphia,philadelphia,SLGAgency,188124,3140002,Slgagency,Philadelphia Department of Public Health,,LN_Mentionee,113dd1d32a8208600f79697d6d083d99,LN_Mentionee__113dd1d32a8208600f79697d6d083d99
"philadelphia office of transportation, infrastructure and sustainability","Philadelphia Office of Transportation, Infrastructure and Sustainability","Philadelphia Office of Transportation, Infrastructure and Sustainability",Philadelphia,philadelphia,SLGAgency,188120,3140002,Slgagency,"Philadelphia Office of Transportation, Infrastructure and Sustainability",,LN_Mentionee,e158d4a42aa3bab74ea5fd1c5a56c739,LN_Mentionee__e158d4a42aa3bab74ea5fd1c5a56c739
philadelphia housing authority,Philadelphia Housing Authority,Philadelphia Housing Authority,Philadelphia,philadelphia,SLGAgency,188289,3140002,Slgagency,Philadelphia Housing Authority,,LN_Mentionee,025538a4664dc9b21e4f1d4a37254432,LN_Mentionee__025538a4664dc9b21e4f1d4a37254432
detroit department of parks and recreation,Detroit Department of Parks and Recreation,Detroit Department of Parks and Recreation,Detroit,detroit,SLGAgency,188120,3140002,Slgagency,Detroit Department of Parks and Recreation,,LN_Mentionee,8bd864790e223a5799d5243e4faf835b,LN_Mentionee__8bd864790e223a5799d5243e4faf835b
detroit health department,Detroit Health Department,Detroit Health Department,Detroit,detroit,SLGAgency,188124,3140002,Slgagency,Detroit Health Department,,LN_Mentionee,a79423fbfbc98522b49862eebb11f051,LN_Mentionee__a79423fbfbc98522b49862eebb11f051
detroit housing and revitalization department,Detroit Housing and Revitalization Department,Detroit Housing and Revitalization Department,Detroit,detroit,SLGAgency,188289,3140002,Slgagency,Detroit Housing and Revitalization Department,,LN_Mentionee,3bc4346cd45a171c4e94be1fbb559830,LN_Mentionee__3bc4346cd45a171c4e94be1fbb559830
detroit water and sewerage department,Detroit Water and Sewerage Department,Detroit Department of Water and Sewerage,Detroit,detroit,SLGAgency,188242,3140002,Slgagency,Detroit Department of Water and Sewerage,,LN_Mentionee,3ca160d954d8033965ae91ec52d52cc4,LN_Mentionee__3ca160d954d8033965ae91ec52d52cc4
"detroit buildings, safety, engineering and environmental department","Detroit Buildings, Safety, Engineering and Environmental Department","Detroit Buildings, Safety, Engineering and Environmental Department",Detroit,detroit,SLGAgency,188120,3140002,Slgagency,"Detroit Buildings, Safety, Engineering and Environmental Department",,LN_Mentionee,69693544f8c123599541e3e03eabe28d,LN_Mentionee__69693544f8c123599541e3e03eabe28d
atlanta department of parks and recreation,Atlanta Department of Parks and Recreation,Atlanta Department of Parks and Recreation,Atlanta,atlanta,SLGAgency,188120,3140002,Slgagency,Atlanta Department of Parks and Recreation,,LN_Mentionee,ded70b0b5a905a5b0d5f0517ab96259b,LN_Mentionee__ded70b0b5a905a5b0d5f0517ab96259b
atlanta department of public works,Atlanta Department of Public Works,Atlanta Department of Public Works,Atlanta,atlanta,SLGAgency,188120,3140002,Slgagency,Atlanta Department of Public Works,,LN_Mentionee,c94c0b43a488b164da63c604e6db4a58,LN_Mentionee__c94c0b43a488b164da63c604e6db4a58
atlanta department of transportation,Atlanta Department of Transportation,Atlanta Department of Transportation,Atlanta,atlanta,SLGAgency,188120,3140002,Slgagency,Atlanta Department of Transportation,,LN_Mentionee,9bdef06b0a6b79615f7f02921c62cb7e,LN_Mentionee__9bdef06b0a6b79615f7f02921c62cb7e
atlanta department of city planning,Atlanta Department of City Planning,Atlanta Department of City Planning,Atlanta,atlanta,SLGAgency,188120,3140002,Slgagency,Atlanta Department of City Planning,,LN_Mentionee,f9051ccf69251c56ca9642892cadaaaa,LN_Mentionee__f9051ccf69251c56ca9642892cadaaaa
atlanta department of watershed management,Atlanta Department of Watershed Management,Atlanta Department of Watershed Management,Atlanta,atlanta,SLGAgency,188133,3140002,Slgagency,Atlanta Department of Watershed Management,,LN_Mentionee,d8cf5449fe3834f03d41fcbe637bad7d,LN_Mentionee__d8cf5449fe3834f03d41fcbe637bad7d
fulton county department of public health,Fulton County Department of Public Health,Fulton County Department of Public Health,Atlanta,atlanta,SLGAgency,188124,3140002,Slgagency,Fulton County Department of Public Health,,LN_Mentionee,c82e4bf363665b2c1bb589505f5014f5,LN_Mentionee__c82e4bf363665b2c1bb589505f5014f5
chicago parks district,Chicago Parks District,Chicago Parks District,Chicago,chicago,SLGAgency,188120,3140002,Slgagency,Chicago Parks District,,LN_Mentionee,589ec5e760ba11377b1abeafcd2f0105,LN_Mentionee__589ec5e760ba11377b1abeafcd2f0105
chicago department of public health,Chicago Department of Public Health,Chicago Department of Public Health,Chicago,chicago,SLGAgency,188124,3140002,Slgagency,Chicago Department of Public Health,,LN_Mentionee,d7513978603f01a19d0bfe43e1d02782,LN_Mentionee__d7513978603f01a19d0bfe43e1d02782
chicago department of transportation,Chicago Department of Transportation,Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,Slgagency,Chicago Department of Transportation,,LN_Mentionee,e1f8321ab99b6cb0169fc5e4e8d3207f,LN_Mentionee__e1f8321ab99b6cb0169fc5e4e8d3207f
(cdot; chicago),(cdot; Chicago),Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,Slgagency,Chicago Department of Transportation,,LN_Mentionee,19ca4e749d1c937b9bd9d70ebe15b1c3,LN_Mentionee__19ca4e749d1c937b9bd9d70ebe15b1c3
@chicagodot,@ChicagoDOT,Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,Slgagency,Chicago Department of Transportation,,LN_Mentionee,9ca02ed92a2c086599f752c52514bbba,LN_Mentionee__9ca02ed92a2c086599f752c52514bbba
#chicagodot,#chicagoDOT,Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,Slgagency,Chicago Department of Transportation,,LN_Mentionee,be5acc90d4cb4d00eec77f95624b78d8,LN_Mentionee__be5acc90d4cb4d00eec77f95624b78d8
chicagodot,ChicagoDOT,Chicago Department of Transportation,Chicago,chicago,SLGAgency,188120,3140002,Slgagency,Chicago Department of Transportation,,LN_Mentionee,a7fc320810f030d18ba3fd6b18c0085c,LN_Mentionee__a7fc320810f030d18ba3fd6b18c0085c
chicago housing authority,Chicago Housing Authority,Chicago Housing Authority,Chicago,chicago,SLGAgency,188289,3140002,Slgagency,Chicago Housing Authority,,LN_Mentionee,ff590cfed4a218776419d5a262bd28fa,LN_Mentionee__ff590cfed4a218776419d5a262bd28fa
chicago department of streets and sanitation,Chicago Department of Streets and Sanitation,Chicago Department of Streets and Sanitation,Chicago,chicago,SLGAgency,188120,3140002,Slgagency,Chicago Department of Streets and Sanitation,,LN_Mentionee,cb870d83d8a4ff7c826cbfa985ee4f01,LN_Mentionee__cb870d83d8a4ff7c826cbfa985ee4f01
dss,dss,Chicago Department of Streets and Sanitation,Chicago,chicago,SLGAgency,188120,3140002,Slgagency,Chicago Department of Streets and Sanitation,,LN_Mentionee,293016dbe8fedca7d1be91a1900ac50e,LN_Mentionee__293016dbe8fedca7d1be91a1900ac50e
chicago department of water management,Chicago Department of Water Management,Chicago Department of Water Management,Chicago,chicago,SLGAgency,188242,3140002,Slgagency,Chicago Department of Water Management,,LN_Mentionee,4cc7a666ac2752b720eb8a593780f4ac,LN_Mentionee__4cc7a666ac2752b720eb8a593780f4ac
san diego department of parks and recreation,San Diego Department of Parks and Recreation,San Diego Department of Parks and Recreation,San Diego,san diego,SLGAgency,188120,3140002,Slgagency,San Diego Department of Parks and Recreation,,LN_Mentionee,34a3fbb2ad8168b4cfdc56d53444b609,LN_Mentionee__34a3fbb2ad8168b4cfdc56d53444b609
san diego county health & human services agency,San Diego County Health & Human Services Agency,San Diego County Health & Human Services Agency,San Diego,san diego,SLGAgency,188124,3140002,Slgagency,San Diego County Health & Human Services Agency,,LN_Mentionee,22412a4068c0cd4bf932260d0786f053,LN_Mentionee__22412a4068c0cd4bf932260d0786f053
san diego county transportation division,San Diego County Transportation Division,San Diego County Transportation Division,San Diego,san diego,SLGAgency,188120,3140002,Slgagency,San Diego County Transportation Division,,LN_Mentionee,a3b80277283e6be07828b84779f9e833,LN_Mentionee__a3b80277283e6be07828b84779f9e833
san diego housing commission,San Diego Housing Commission,San Diego Housing Commission,San Diego,san diego,SLGAgency,188289,3140002,Slgagency,San Diego Housing Commission,,LN_Mentionee,b24cf26fa5e1e9ecd10300bc2eb3272d,LN_Mentionee__b24cf26fa5e1e9ecd10300bc2eb3272d
sdhc,sdhc,San Diego Housing Commission,San Diego,san diego,SLGAgency,188289,3140002,Slgagency,San Diego Housing Commission,,LN_Mentionee,dd46b3dc6864d1e81283d8ed4f766bd7,LN_Mentionee__dd46b3dc6864d1e81283d8ed4f766bd7
san diego department of environmental services,San Diego Department of Environmental Services,San Diego Department of Environmental Services,San Diego,san diego,SLGAgency,188133,3140002,Slgagency,San Diego Department of Environmental Services,,LN_Mentionee,ff4132f252d280cbb585df0473027b56,LN_Mentionee__ff4132f252d280cbb585df0473027b56
san diego department of public utilities,San Diego Department of Public Utilities,San Diego Department of Public Utilities,San Diego,san diego,SLGAgency,188133,3140002,Slgagency,San Diego Department of Public Utilities,,LN_Mentionee,98401298a9092f796f2cc2925b1a87d6,LN_Mentionee__98401298a9092f796f2cc2925b1a87d6
columbus recreation and parks department,Columbus Recreation and Parks Department,Columbus Recreation and Parks Department,Columbus,columbus,SLGAgency,188120,3140002,Slgagency,Columbus Recreation and Parks Department,,LN_Mentionee,930a0a339c8d7580bc0980266b497ab9,LN_Mentionee__930a0a339c8d7580bc0980266b497ab9
columbus public health,Columbus Public Health,Columbus Public Health,Columbus,columbus,SLGAgency,188124,3140002,Slgagency,Columbus Public Health,,LN_Mentionee,9d984e1e0846688803dc4ed435265965,LN_Mentionee__9d984e1e0846688803dc4ed435265965
columbus department of education,Columbus Department of Education,Columbus Department of Education,Columbus,columbus,SLGAgency,188114,3140002,Slgagency,Columbus Department of Education,,LN_Mentionee,b51b37db667d11cf9c3edb05b7d18d88,LN_Mentionee__b51b37db667d11cf9c3edb05b7d18d88
columbus metropolitan housing authority,Columbus Metropolitan Housing Authority,Columbus Metropolitan Housing Authority,Columbus,columbus,SLGAgency,188289,3140002,Slgagency,Columbus Metropolitan Housing Authority,,LN_Mentionee,5ed01e0df995ffe22094b65c613d93b9,LN_Mentionee__5ed01e0df995ffe22094b65c613d93b9
columbus department of public service,Columbus Department of Public Service,Columbus Department of Public Service,Columbus,columbus,SLGAgency,188120,3140002,Slgagency,Columbus Department of Public Service,,LN_Mentionee,bbdbcf0e3747bb91f179a946453273f3,LN_Mentionee__bbdbcf0e3747bb91f179a946453273f3
columbus department of public utilities,Columbus Department of Public Utilities,Columbus Department of Public Utilities,Columbus,columbus,SLGAgency,188133,3140002,Slgagency,Columbus Department of Public Utilities,,LN_Mentionee,5475d5f734583a8bedc245f9aa2a4b91,LN_Mentionee__5475d5f734583a8bedc245f9aa2a4b91
mecklenburg county parks and recreation,Mecklenburg County Parks and Recreation,Mecklenburg County Parks and Recreation,Charlotte,charlotte,SLGAgency,188120,3140002,Slgagency,Mecklenburg County Parks and Recreation,,LN_Mentionee,fab024ef088ac5220a9b285680d000a0,LN_Mentionee__fab024ef088ac5220a9b285680d000a0
mecklenburg county department of health,Mecklenburg County Department of Health,Mecklenburg County Department of Health,Charlotte,charlotte,SLGAgency,188124,3140002,Slgagency,Mecklenburg County Department of Health,,LN_Mentionee,36fc8f654d8276251c7b26f36aab9f82,LN_Mentionee__36fc8f654d8276251c7b26f36aab9f82
charlotte-mecklenburg schools board of education,Charlotte-Mecklenburg Schools Board of Education,Charlotte-Mecklenburg Schools Board of Education,Charlotte,charlotte,SLGAgency,188114,3140002,Slgagency,Charlotte-Mecklenburg Schools Board of Education,,LN_Mentionee,0141e1d4fb992c028a6d98da1b3296b4,LN_Mentionee__0141e1d4fb992c028a6d98da1b3296b4
inlivian,Inlivian,Inlivian,Charlotte,charlotte,SLGAgency,188289,3140002,Slgagency,Inlivian,,LN_Mentionee,bdc3e40b200b20194ef545e987e25180,LN_Mentionee__bdc3e40b200b20194ef545e987e25180
charlotte water,Charlotte Water,Charlotte Water Department,Charlotte,charlotte,SLGAgency,188242,3140002,Slgagency,Charlotte Water Department,,LN_Mentionee,00f5a8a2e02022fba829ac29ae438e17,LN_Mentionee__00f5a8a2e02022fba829ac29ae438e17
san antonio metropolitan health district,San Antonio Metropolitan Health District,San Antonio Metropolitan Health District,San Antonio,san antonio,SLGAgency,188124,3140002,Slgagency,San Antonio Metropolitan Health District,,LN_Mentionee,4f31d5cae7ca35ff6fbec6dbc3d86a82,LN_Mentionee__4f31d5cae7ca35ff6fbec6dbc3d86a82
txdotsanantonio,TxDOTSanAntonio,San Antonio Department of Transportation,San Antonio,san antonio,SLGAgency,188120,3140002,Slgagency,San Antonio Department of Transportation,,LN_Mentionee,213ab59421bc4e0954f6d7d3012d5da3,LN_Mentionee__213ab59421bc4e0954f6d7d3012d5da3
