german_text,caption_text,lat,lon,.1,default location,default_lat,default_lon,.2,handle:einszweizweibot,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hagenberg im muhlkreis,"Hagenberg im Muhlkreis, Austria",48.3669367,14.5172741,,,,,,,Wells,"Hagenberg im Muhlkreis, Austria",,upper_austria_locations,aced9ed44cff4ee441ab2dd70e22d958,upper_austria_locations__aced9ed44cff4ee441ab2dd70e22d958
haibach,"Haibach, Austria",48.4111756,13.916294,,,,,,,Pipeline,"Haibach, Austria",,upper_austria_locations,14cf26ca37bbf20307d96310dfa04329,upper_austria_locations__14cf26ca37bbf20307d96310dfa04329
haibach im muhlkreis,"Haibach im Muhlkreis, Austria",48.4442409,14.3450169,,,,,,,Diplomat,"Haibach im Muhlkreis, Austria",,upper_austria_locations,313e9f3063d6863605eccff507914711,upper_austria_locations__313e9f3063d6863605eccff507914711
haibach ob der donau,"Haibach ob der Donau, Austria",48.4111756,13.916294,,,,,,,ForeignMinistry,"Haibach ob der Donau, Austria",,upper_austria_locations,8547a846ac2abbb40d267af3ee3ab1cb,upper_austria_locations__8547a846ac2abbb40d267af3ee3ab1cb
haid,"Haid, Austria",48.20782,14.24595,,,,,,,Wells,"Haid, Austria",,upper_austria_locations,14613687be3827d056b490b294c02f29,upper_austria_locations__14613687be3827d056b490b294c02f29
haiden,"Haiden, Austria",46.74143,14.1006,,,,,,,Consulates,"Haiden, Austria",,upper_austria_locations,f4256fb3975e0361dcb59344ed327f6c,upper_austria_locations__f4256fb3975e0361dcb59344ed327f6c
haiding,"Haiding, Austria",47.2558132,10.8831411,,,,,,,Organization,"Haiding, Austria",,upper_austria_locations,916f25aa952baba2e0d2b2568db887cb,upper_austria_locations__916f25aa952baba2e0d2b2568db887cb
haigermoos,"Haigermoos, Austria",48.0443673,12.8808994,,,,,,,space,"Haigermoos, Austria",,upper_austria_locations,25d28a35802ccfb70134945a93e0d59e,upper_austria_locations__25d28a35802ccfb70134945a93e0d59e
haimhausen,"Haimhausen, Austria",48.3128967,11.545927,,,,,,,Shipping,"Haimhausen, Austria",,upper_austria_locations,b38856f60b24d011346aeda9a4a31049,upper_austria_locations__b38856f60b24d011346aeda9a4a31049
hainbach,"Hainbach, Austria",47.97065,12.9854001,,,,,,,ForeignMinistry,"Hainbach, Austria",,upper_austria_locations,8289ed2db65f5aea677d0b79d0bf8d7b,upper_austria_locations__8289ed2db65f5aea677d0b79d0bf8d7b
hallstatt,"Hallstatt, Austria",47.5622342,13.6492617,,,,,,,AAEntity,"Hallstatt, Austria",,upper_austria_locations,c9d3e0d9988ec06865ceec8f4004d0e5,upper_austria_locations__c9d3e0d9988ec06865ceec8f4004d0e5
hammersdorf,"Hammersdorf, Austria",47.95978,14.05901,,,,,,,Legislator,"Hammersdorf, Austria",,upper_austria_locations,d06f5fd60c7bfb26c7eb693e142617e4,upper_austria_locations__d06f5fd60c7bfb26c7eb693e142617e4
hammersedt,"Hammersedt, Austria",48.08137,14.0164499,,,,,,,CompanyKeyword,"Hammersedt, Austria",,upper_austria_locations,2052e950bbec4d3df74ded703fbeea55,upper_austria_locations__2052e950bbec4d3df74ded703fbeea55
handenberg,"Handenberg, Austria",48.1338227,13.0059521,,,,,,,Wells,"Handenberg, Austria",,upper_austria_locations,b763cdb0195847700b185b76e8067a6e,upper_austria_locations__b763cdb0195847700b185b76e8067a6e
hargelsberg,"Hargelsberg, Austria",48.1490102,14.4288543,,,,,,,Diplomat,"Hargelsberg, Austria",,upper_austria_locations,ece1aa99b1dc970965a8001873fea8ae,upper_austria_locations__ece1aa99b1dc970965a8001873fea8ae
harmannsdorf,"Harmannsdorf, Austria",48.3933533,16.3706334,,,,,,,Legislator,"Harmannsdorf, Austria",,upper_austria_locations,290afb2dac266007645e78983755699e,upper_austria_locations__290afb2dac266007645e78983755699e
harrachstal,"Harrachstal, Austria",48.47713,14.7263,,,,,,,ForeignMinistry,"Harrachstal, Austria",,upper_austria_locations,126e4cfd665053a391a157b79c8e7c9b,upper_austria_locations__126e4cfd665053a391a157b79c8e7c9b
hart,"Hart, Austria",46.6639773,14.928837,,,,,,,Exec,"Hart, Austria",,upper_austria_locations,69b624f745780c5932b8573d634cee91,upper_austria_locations__69b624f745780c5932b8573d634cee91
hartberg,"Hartberg, Austria",47.2815,15.97302,,,,,,,Exec,"Hartberg, Austria",,upper_austria_locations,c244726c4505ae1a7f31140a99343363,upper_austria_locations__c244726c4505ae1a7f31140a99343363
harterleithen,"Harterleithen, Austria",48.42577,14.56268,,,,,,,Person,"Harterleithen, Austria",,upper_austria_locations,897bf1d869ae185297e0d546e23429cc,upper_austria_locations__897bf1d869ae185297e0d546e23429cc
hartheim,"Hartheim, Austria",48.28088,14.11459,,,,,,,FTO,"Hartheim, Austria",,upper_austria_locations,db6c84422197dfb41a784ed1e60d3793,upper_austria_locations__db6c84422197dfb41a784ed1e60d3793
hartkirchen,"Hartkirchen, Austria",48.3613016,14.0062032,,,,,,,Diplomat,"Hartkirchen, Austria",,upper_austria_locations,293ff357fd10b835807d67e3179d45c7,upper_austria_locations__293ff357fd10b835807d67e3179d45c7
hartlberg,"Hartlberg, Austria",48.11542,13.4141,,,,,,,Exec,"Hartlberg, Austria",,upper_austria_locations,fe01a114a1f0806d595b4abcd4b67064,upper_austria_locations__fe01a114a1f0806d595b4abcd4b67064
hartlhof,"Hartlhof, Austria",48.12312,13.49575,,,,,,,Pipeline,"Hartlhof, Austria",,upper_austria_locations,a4fa06bc3a37793080f89258fa7fa494,upper_austria_locations__a4fa06bc3a37793080f89258fa7fa494
haselbach,"Haselbach, Austria",48.2533727,13.0561557,,,,,,,ForeignMinistry,"Haselbach, Austria",,upper_austria_locations,94fbf1d2978729a52e0e03481b3d98b4,upper_austria_locations__94fbf1d2978729a52e0e03481b3d98b4
haselreith,"Haselreith, Austria",48.10358,13.01307,,,,,,,Exec,"Haselreith, Austria",,upper_austria_locations,628dcdc579948da7d0db0d60a92fca13,upper_austria_locations__628dcdc579948da7d0db0d60a92fca13
hasenzagl,"Hasenzagl, Austria",48.2830367,15.695581,,,,,,,Exec,"Hasenzagl, Austria",,upper_austria_locations,d1dc6ca7f559aa910aef0b2aaf3d6ce2,upper_austria_locations__d1dc6ca7f559aa910aef0b2aaf3d6ce2
haslach an der muhl,"Haslach an der Muhl, Austria",48.5790683,14.0396111,,,,,,,Organization,"Haslach an der Muhl, Austria",,upper_austria_locations,cd1987cd9d65da6032a04a01537acbf8,upper_austria_locations__cd1987cd9d65da6032a04a01537acbf8
haus,"Haus, Austria",47.4108556,13.7730166,,,,,,,DiplomaticFacilities,"Haus, Austria",,upper_austria_locations,02809b962b1c7ee8e863f9c1cfd3ef0f,upper_austria_locations__02809b962b1c7ee8e863f9c1cfd3ef0f
hehenberg,"Hehenberg, Austria",48.0521,14.20046,,,,,,,FTO,"Hehenberg, Austria",,upper_austria_locations,7cf01011c6a91340a1e102fbc5e7cc83,upper_austria_locations__7cf01011c6a91340a1e102fbc5e7cc83
heiligenberg,"Heiligenberg, Austria",48.3545204,13.8215137,,,,,,,Refinery,"Heiligenberg, Austria",,upper_austria_locations,9119d758b5ff7d53d364d4504bb26ba3,upper_austria_locations__9119d758b5ff7d53d364d4504bb26ba3
heiligenstadt,"Heiligenstadt, Austria",48.274479,16.3347263,,,,,,,Legislator,"Heiligenstadt, Austria",,upper_austria_locations,7f42f75dd08a710a681bab46a16b8a9f,upper_austria_locations__7f42f75dd08a710a681bab46a16b8a9f
heitzing,"Heitzing, Austria",48.1761822,16.2756553,,,,,,,Pipeline,"Heitzing, Austria",,upper_austria_locations,452a4c47b6a46efc92ba41bbca423377,upper_austria_locations__452a4c47b6a46efc92ba41bbca423377
helfenberg,"Helfenberg, Austria",48.54344,14.14302,,,,,,,space,"Helfenberg, Austria",,upper_austria_locations,c31a5e46ad6adab62293a40d40cde8cb,upper_austria_locations__c31a5e46ad6adab62293a40d40cde8cb
hellmonsodt,"Hellmonsodt, Austria",48.431916,14.3007255,,,,,,,Person,"Hellmonsodt, Austria",,upper_austria_locations,d2851fbdc39625ec6f6a1c07f3dd37e8,upper_austria_locations__d2851fbdc39625ec6f6a1c07f3dd37e8
helpfau,"Helpfau, Austria",48.1539343,13.1182186,,,,,,,Exec,"Helpfau, Austria",,upper_austria_locations,2ae20fcbf3f9a1016687087211883478,upper_austria_locations__2ae20fcbf3f9a1016687087211883478
helpfau-uttendorf,"Helpfau-Uttendorf, Austria",48.1608116,13.1316216,,,,,,,Shipping,"Helpfau-Uttendorf, Austria",,upper_austria_locations,a96f6a12aeea4275841a7c6758f58c1e,upper_austria_locations__a96f6a12aeea4275841a7c6758f58c1e
henhart,"Henhart, Austria",48.1654621,13.2679459,,,,,,,AAEntity,"Henhart, Austria",,upper_austria_locations,27d1c52172ace6da9529679a32994e26,upper_austria_locations__27d1c52172ace6da9529679a32994e26
henndorf,"Henndorf, Austria",47.89783,13.1871899,,,,,,,Exec,"Henndorf, Austria",,upper_austria_locations,4109df7d7d91a2ad90cd60804b42241f,upper_austria_locations__4109df7d7d91a2ad90cd60804b42241f
herzogreith,"Herzogreith, Austria",48.43293,14.64678,,,,,,,Pipeline,"Herzogreith, Austria",,upper_austria_locations,8a2760c6ee460640ee4ce9ab292126f2,upper_austria_locations__8a2760c6ee460640ee4ce9ab292126f2
herzogsdorf,"Herzogsdorf, Austria",48.430478,14.113768,,,,,,,DiplomaticFacilities,"Herzogsdorf, Austria",,upper_austria_locations,92310a5e40761eca04de4187c9e0d713,upper_austria_locations__92310a5e40761eca04de4187c9e0d713
hiesendorf,"Hiesendorf, Austria",48.18691,14.47645,,,,,,,Refinery,"Hiesendorf, Austria",,upper_austria_locations,d12e46584b699e1bf079e603b5c1b2c7,upper_austria_locations__d12e46584b699e1bf079e603b5c1b2c7
hilbern,"Hilbern, Austria",48.0622122,14.2799084,,,,,,,ForeignMinister,"Hilbern, Austria",,upper_austria_locations,d52edaa5f01b4347fd28a15fdd54a839,upper_austria_locations__d52edaa5f01b4347fd28a15fdd54a839
hiltschen,"Hiltschen, Austria",48.62517,14.47749,,,,,,,Consulates,"Hiltschen, Austria",,upper_austria_locations,647a5362a4425c16c534e77d7cd5523a,upper_austria_locations__647a5362a4425c16c534e77d7cd5523a
hinding,"Hinding, Austria",48.5702501,13.52578,,,,,,,LegislativeCommittee,"Hinding, Austria",,upper_austria_locations,abfe680353cac450a06d2aed3997efa3,upper_austria_locations__abfe680353cac450a06d2aed3997efa3
hintenberg,"Hintenberg, Austria",48.68495,13.92466,,,,,,,Refinery,"Hintenberg, Austria",,upper_austria_locations,eaf5d005042ae91b3354f321d5a418fa,upper_austria_locations__eaf5d005042ae91b3354f321d5a418fa
hinterberg,"Hinterberg, Austria",47.67487,14.11489,,,,,,,Diplomat,"Hinterberg, Austria",,upper_austria_locations,ad50c793519c9e87a28baf8e15366db7,upper_austria_locations__ad50c793519c9e87a28baf8e15366db7
hinterndobl,"Hinterndobl, Austria",48.2575,13.62674,,,,,,,Exec,"Hinterndobl, Austria",,upper_austria_locations,5b471f651e5add798cd93ea622f3e4b4,upper_austria_locations__5b471f651e5add798cd93ea622f3e4b4
hintersteining,"Hintersteining, Austria",48.09647,13.48641,,,,,,,Diplomat,"Hintersteining, Austria",,upper_austria_locations,dfb3586745d203b65a8ff0752d0c9b1b,upper_austria_locations__dfb3586745d203b65a8ff0752d0c9b1b
hinterstoder,"Hinterstoder, Austria",47.6999703,14.1563946,,,,,,,Consulates,"Hinterstoder, Austria",,upper_austria_locations,d916467ef2d3c52af6bcadc4c25b6cb3,upper_austria_locations__d916467ef2d3c52af6bcadc4c25b6cb3
hintstein,"Hintstein, Austria",47.88019,14.57226,,,,,,,Shipping,"Hintstein, Austria",,upper_austria_locations,b0de35ec302dfabe0f01beadbd10ac83,upper_austria_locations__b0de35ec302dfabe0f01beadbd10ac83
hinzenbach,"Hinzenbach, Austria",48.31142,14.00355,,,,,,,Consulates,"Hinzenbach, Austria",,upper_austria_locations,a701549a03af4da5fa007cbefaae9a5d,upper_austria_locations__a701549a03af4da5fa007cbefaae9a5d
hirschbach im muhlkreis,"Hirschbach im Muhlkreis, Austria",48.4885623,14.4117933,,,,,,,Person,"Hirschbach im Muhlkreis, Austria",,upper_austria_locations,49d76b95163adc1b48cee5e9cccc85ef,upper_austria_locations__49d76b95163adc1b48cee5e9cccc85ef
hobmannsbach,"Hobmannsbach, Austria",48.43636,13.51469,,,,,,,Exec,"Hobmannsbach, Austria",,upper_austria_locations,0c0a0edfb3f55f74e1588f1775a331bd,upper_austria_locations__0c0a0edfb3f55f74e1588f1775a331bd
hochburg,"Hochburg, Austria",48.13085,12.87906,,,,,,,Person,"Hochburg, Austria",,upper_austria_locations,8f0b6e719a1cb7f0f225d53739b488e8,upper_austria_locations__8f0b6e719a1cb7f0f225d53739b488e8
hochburg-ach,"Hochburg-Ach, Austria",48.13085,12.87906,,,,,,,Consulates,"Hochburg-Ach, Austria",,upper_austria_locations,0054601eba86e3a724380dc4062cbdf7,upper_austria_locations__0054601eba86e3a724380dc4062cbdf7
hof,"Hof, Austria",47.81965769,13.21485459,,,,,,,DiplomaticFacilities,"Hof, Austria",,upper_austria_locations,040d50f53595c85e318ff828379ee2a3,upper_austria_locations__040d50f53595c85e318ff828379ee2a3
hofberg,"Hofberg, Austria",47.91565,14.60515,,,,,,,CompanyKeyword,"Hofberg, Austria",,upper_austria_locations,893053a16275923415089555dc1c6785,upper_austria_locations__893053a16275923415089555dc1c6785
hofkirchen an der trattnach,"Hofkirchen an der Trattnach, Austria",48.2221248,13.7403773,,,,,,,Pipeline,"Hofkirchen an der Trattnach, Austria",,upper_austria_locations,bd49d85552ea9c04ebad23c150a0aa5a,upper_austria_locations__bd49d85552ea9c04ebad23c150a0aa5a
hofkirchen im muhlkreis,"Hofkirchen im Muhlkreis, Austria",48.4829544,13.810014,,,,,,,ForeignMinistry,"Hofkirchen im Muhlkreis, Austria",,upper_austria_locations,1e679a5fe6b9aab3f36854aefcc65039,upper_austria_locations__1e679a5fe6b9aab3f36854aefcc65039
hofkirchen im traunkreis,"Hofkirchen im Traunkreis, Austria",48.1431351,14.3783313,,,,,,,Organization,"Hofkirchen im Traunkreis, Austria",,upper_austria_locations,006a2517cb5d135e8343d8df0566ea7d,upper_austria_locations__006a2517cb5d135e8343d8df0566ea7d
hofstadt,"Hofstadt, Austria",48.08056,12.84389,,,,,,,Exec,"Hofstadt, Austria",,upper_austria_locations,7e126d7bde6050b40b1b1b036abba9dd,upper_austria_locations__7e126d7bde6050b40b1b1b036abba9dd
hofstatt,"Hofstatt, Austria",47.46027,15.38616,,,,,,,News,"Hofstatt, Austria",,upper_austria_locations,0bab73e4cd2b24e075ad69ffb0f36675,upper_austria_locations__0bab73e4cd2b24e075ad69ffb0f36675
hofstetten,"Hofstetten, Austria",48.09561,15.50979,,,,,,,ForeignMinister,"Hofstetten, Austria",,upper_austria_locations,7143c47e374a79cd0e633c3a6460bd8b,upper_austria_locations__7143c47e374a79cd0e633c3a6460bd8b
