keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
krotz springs refinery,Krotz Springs refinery,188162;188132,refinery,krotz springs refinery;krotz springs refinery,,Refinery,Krotz Springs refinery,,og_mentionee_v3,6e957e97a496eb1ef2472b6733da0a1b,og_mentionee_v3__17701a27de31222ff857f843e8ad9828
#ku-maloob-zaap,Ku-Maloob-Zaap field,188162;188132,o&g field,ku-maloob-zaap;ku-maloob-zaap field,,O&gField,Ku-Maloob-Zaap field,,og_mentionee_v3,1d82569594c0ae80b40d8959303e4a9f,og_mentionee_v3__91b87f26d6a1d9515b0634bde9ffd63b
ku-maloob-zaap,Ku-Maloob-Zaap field,188162;188132,o&g field,ku-maloob-zaap;ku-maloob-zaap field,,O&gField,Ku-Maloob-Zaap field,,og_mentionee_v3,7447588a1ef47f16859176b7f4683dd6,og_mentionee_v3__91b87f26d6a1d9515b0634bde9ffd63b
#kuibyshev refinery,Kuibyshev refinery,188162;188132,refinery,kuibyshev refinery;kuibyshev refinery,,Refinery,Kuibyshev refinery,,og_mentionee_v3,d56cd8172d978efbccc13e2dc4c1d278,og_mentionee_v3__38adc413d5f79fc76990be3cc24eb94c
kuibyshev refinery,Kuibyshev refinery,188162;188132,refinery,kuibyshev refinery;kuibyshev refinery,,Refinery,Kuibyshev refinery,,og_mentionee_v3,ac5962edfb62e3caa72022c358334c75,og_mentionee_v3__38adc413d5f79fc76990be3cc24eb94c
#kulintang-1,Kulintang-1,188162;188132,wells,kulintang-1;kulintang-1,,Wells,Kulintang-1,,og_mentionee_v3,6d07823134833d4d5684c18d0f227118,og_mentionee_v3__5ba99e876ed6473c49b7afaf5b9884ad
kulintang-1,Kulintang-1,188162;188132,wells,kulintang-1;kulintang-1,,Wells,Kulintang-1,,og_mentionee_v3,01ff44322b226ace85866d88af4d00db,og_mentionee_v3__5ba99e876ed6473c49b7afaf5b9884ad
#kumkol crude,Kumkol crude,188162;188132,industry term,kumkol crude;kumkol crude,,IndustryTerm,Kumkol crude,,og_mentionee_v3,b1783e628f668ab7a6ae0d2a64f2720d,og_mentionee_v3__4e70dec0e1d0602cd1cf8ebc1109a943
kumkol crude,Kumkol crude,188162;188132,industry term,kumkol crude;kumkol crude,,IndustryTerm,Kumkol crude,,og_mentionee_v3,8519b14a803da14cb121562f951048a0,og_mentionee_v3__4e70dec0e1d0602cd1cf8ebc1109a943
#kuparuk oilfield,Kuparuk oil field,188162;188132,o&g field,kuparuk oilfield;kuparuk oil field,,O&gField,Kuparuk oil field,,og_mentionee_v3,8b97b079ac2e30f6c6cc344bc5ecd1ac,og_mentionee_v3__33645d18c71c1194917e074ac14ff206
