handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
repdavideprice,US Representative Price,north carolina,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,35.7595731,-79.0192997,,,Legislator,US Representative Price,,dgm_tsa_mentioner_entities,8d9011a2695580eec0a5e068d5b94a9b,dgm_tsa_mentioner_entities__8d9011a2695580eec0a5e068d5b94a9b
repdavejoyce,US Representative David Joyce,ohio,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.4172871,-82.907123,,,Legislator,US Representative David Joyce,,dgm_tsa_mentioner_entities,75a3eea439d063b96926cc94cb81d347,dgm_tsa_mentioner_entities__75a3eea439d063b96926cc94cb81d347
repdonaldpayne,US Representative Payne,new jersey,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.0583238,-74.4056612,,,Legislator,US Representative Payne,,dgm_tsa_mentioner_entities,2c1ce7493b2ebe50d495718f6cb3ceef,dgm_tsa_mentioner_entities__2c1ce7493b2ebe50d495718f6cb3ceef
replloyddoggett,US Representative Doggett,texas,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,31.9685988,-99.9018131,,,Legislator,US Representative Doggett,,dgm_tsa_mentioner_entities,add59916e7c71935655f1cda2e207252,dgm_tsa_mentioner_entities__add59916e7c71935655f1cda2e207252
joecourtneyct,US Representative Courtney,connecticut,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,41.6032207,-73.087749,,,Legislator,US Representative Courtney,,dgm_tsa_mentioner_entities,05b2fbec8b63eda969ffe6fa6beda50a,dgm_tsa_mentioner_entities__05b2fbec8b63eda969ffe6fa6beda50a
espaillatny,US Representative Espaillat,new york,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.7127753,-74.0059728,,,Legislator,US Representative Espaillat,,dgm_tsa_mentioner_entities,895953ba39738eda27c773d713b08f9e,dgm_tsa_mentioner_entities__895953ba39738eda27c773d713b08f9e
jerrymcnerney,US Representative McNerney,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative McNerney,,dgm_tsa_mentioner_entities,9a8c4aea5189a905971d785822deb143,dgm_tsa_mentioner_entities__9a8c4aea5189a905971d785822deb143
russfulcher,US Representative Fulcher,idaho,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,44.0682019,-114.7420408,,,Legislator,US Representative Fulcher,,dgm_tsa_mentioner_entities,504cf6d8720dd7060097bab917df0732,dgm_tsa_mentioner_entities__504cf6d8720dd7060097bab917df0732
lloyddoggetttx,US Representative Doggett,texas,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,31.9685988,-99.9018131,,,Legislator,US Representative Doggett,,dgm_tsa_mentioner_entities,add59916e7c71935655f1cda2e207252,dgm_tsa_mentioner_entities__add59916e7c71935655f1cda2e207252
matsui4congress,US Representative Matsui,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative Matsui,,dgm_tsa_mentioner_entities,425e9ac453e841ac27fc3e3887675fab,dgm_tsa_mentioner_entities__425e9ac453e841ac27fc3e3887675fab
repdavidscott,US Representative David Scott,georgia,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,32.1656221,-82.9000751,,,Legislator,US Representative David Scott,,dgm_tsa_mentioner_entities,b748fd3b1b2a873eefe8f08c5440f7a8,dgm_tsa_mentioner_entities__b748fd3b1b2a873eefe8f08c5440f7a8
repebj,US Representative Eddie Johnson,texas,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,31.9685988,-99.9018131,,,Legislator,US Representative Eddie Johnson,,dgm_tsa_mentioner_entities,6f209871fe3de768a10084e3eb84d851,dgm_tsa_mentioner_entities__6f209871fe3de768a10084e3eb84d851
repfilemonvela,US Representative Vela,texas,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,31.9685988,-99.9018131,,,Legislator,US Representative Vela,,dgm_tsa_mentioner_entities,37f1084ccef06f27276ddfb52a0bfadd,dgm_tsa_mentioner_entities__37f1084ccef06f27276ddfb52a0bfadd
repcuellar,US Representative Cuellar,texas,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,31.9685988,-99.9018131,,,Legislator,US Representative Cuellar,,dgm_tsa_mentioner_entities,bcb72843ca60080b1772a4bdd997c2d9,dgm_tsa_mentioner_entities__bcb72843ca60080b1772a4bdd997c2d9
whipclyburn,US Representative Clyburn,south carolina,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,33.836081,-81.1637245,,,Legislator,US Representative Clyburn,,dgm_tsa_mentioner_entities,e0f5e84aa3cf0119d4ce9aa7ba016e91,dgm_tsa_mentioner_entities__e0f5e84aa3cf0119d4ce9aa7ba016e91
defazio4oregon,US Representative DeFazio,oregon,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,43.8041334,-120.5542012,,,Legislator,US Representative DeFazio,,dgm_tsa_mentioner_entities,89761d0335dd08374f462e74f1e9366b,dgm_tsa_mentioner_entities__89761d0335dd08374f462e74f1e9366b
repjudychu,US Representative Chu,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative Chu,,dgm_tsa_mentioner_entities,391919e155b284ab5da98e492e9c08c8,dgm_tsa_mentioner_entities__391919e155b284ab5da98e492e9c08c8
pramilajayapal,US Representative Jayapal,washington,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,47.7510741,-120.7401385,,,Legislator,US Representative Jayapal,,dgm_tsa_mentioner_entities,5d7557a50a078519945d7a26403cf7ec,dgm_tsa_mentioner_entities__5d7557a50a078519945d7a26403cf7ec
foster4congress,US Representative Foster,illinois,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.6331249,-89.3985283,,,Legislator,US Representative Foster,,dgm_tsa_mentioner_entities,df70439b90cc524de8a4ff4a5282ad3d,dgm_tsa_mentioner_entities__df70439b90cc524de8a4ff4a5282ad3d
jimlangevin,US Representative Langevin,rhode island,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,41.5800945,-71.4774291,,,Legislator,US Representative Langevin,,dgm_tsa_mentioner_entities,b3ee31b207b966859b21cf009575044c,dgm_tsa_mentioner_entities__b3ee31b207b966859b21cf009575044c
usrepkeating,US Representative Keating,massachusetts,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,42.4072107,-71.3824374,,,Legislator,US Representative Keating,,dgm_tsa_mentioner_entities,87df62a8d26d8972a52c466699a9c235,dgm_tsa_mentioner_entities__87df62a8d26d8972a52c466699a9c235
joaquincastrotx,US Representative Castro,texas,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,31.9685988,-99.9018131,,,Legislator,US Representative Castro,,dgm_tsa_mentioner_entities,f2a9a5d99214f992c130cc8676e428ee,dgm_tsa_mentioner_entities__f2a9a5d99214f992c130cc8676e428ee
repbrendanboyle,US Representative Boyle,pennsylvania,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,41.2033216,-77.1945247,,,Legislator,US Representative Boyle,,dgm_tsa_mentioner_entities,928aea696c7c3b44d7a23644f73b3882,dgm_tsa_mentioner_entities__928aea696c7c3b44d7a23644f73b3882
repdavid,US Representative Schweikert,arizona,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,34.0489281,-111.0937311,,,Legislator,US Representative Schweikert,,dgm_tsa_mentioner_entities,a858f550fc9fb8c2865c9042c3b0b114,dgm_tsa_mentioner_entities__a858f550fc9fb8c2865c9042c3b0b114
repkinzinger,US Representative Kinzinger,illinois,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.6331249,-89.3985283,,,Legislator,US Representative Kinzinger,,dgm_tsa_mentioner_entities,5f5cdba4cf509c4e2ff499e57821cfd5,dgm_tsa_mentioner_entities__5f5cdba4cf509c4e2ff499e57821cfd5
annlwagner,US Representative Wagner,missouri,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,37.9642529,-91.8318334,,,Legislator,US Representative Wagner,,dgm_tsa_mentioner_entities,b3149373437c4a17fbb1cd10f3e0519e,dgm_tsa_mentioner_entities__b3149373437c4a17fbb1cd10f3e0519e
gregstantonaz,US Representative Stanton,arizona,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,34.0489281,-111.0937311,,,Legislator,US Representative Stanton,,dgm_tsa_mentioner_entities,6be78fae0768940e90d42c044fc7facd,dgm_tsa_mentioner_entities__6be78fae0768940e90d42c044fc7facd
repbilljohnson,US Representative Bill Johnson,ohio,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.4172871,-82.907123,,,Legislator,US Representative Bill Johnson,,dgm_tsa_mentioner_entities,378c1ea40d10dd8039cdb18f8a21012f,dgm_tsa_mentioner_entities__378c1ea40d10dd8039cdb18f8a21012f
repmobrooks,US Representative Mo Brooks,alabama,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,32.3182314,-86.902298,,,Legislator,US Representative Mo Brooks,,dgm_tsa_mentioner_entities,36fb6945d6908bf21a03a745d14c5983,dgm_tsa_mentioner_entities__36fb6945d6908bf21a03a745d14c5983
normajtorres,US Representative Torres,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative Torres,,dgm_tsa_mentioner_entities,5dee4894a554671a2326a3068ba826fa,dgm_tsa_mentioner_entities__5dee4894a554671a2326a3068ba826fa
desjarlaistn04,US Representative DesJarlais,tennessee,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,35.5174913,-86.5804473,,,Legislator,US Representative DesJarlais,,dgm_tsa_mentioner_entities,5c694e550cb3c6d863aa15cbb4b82d1f,dgm_tsa_mentioner_entities__5c694e550cb3c6d863aa15cbb4b82d1f
repchuck,US Representative Fleischmann,tennessee,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,35.5174913,-86.5804473,,,Legislator,US Representative Fleischmann,,dgm_tsa_mentioner_entities,5b0ef4725507e9c37f9156db5496c1d0,dgm_tsa_mentioner_entities__5b0ef4725507e9c37f9156db5496c1d0
repbobgibbs,US Representative Gibbs,ohio,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.4172871,-82.907123,,,Legislator,US Representative Gibbs,,dgm_tsa_mentioner_entities,7117ea6321f0df345cb2efbfb80b448b,dgm_tsa_mentioner_entities__7117ea6321f0df345cb2efbfb80b448b
replarrybucshon,US Representative Bucshon,indiana,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.2671941,-86.1349019,,,Legislator,US Representative Bucshon,,dgm_tsa_mentioner_entities,9e2d9a961f71b33684ad5e41b45c3885,dgm_tsa_mentioner_entities__9e2d9a961f71b33684ad5e41b45c3885
austinscottga08,US Representative Austin Scott,georgia,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,32.1656221,-82.9000751,,,Legislator,US Representative Austin Scott,,dgm_tsa_mentioner_entities,8a4ced7553c68263318d6194f4a33004,dgm_tsa_mentioner_entities__8a4ced7553c68263318d6194f4a33004
rep_stevewomack,US Representative Womack,arkansas,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,35.20105,-91.8318334,,,Legislator,US Representative Womack,,dgm_tsa_mentioner_entities,0671f4036e7a8d00927c74e5d732c7f3,dgm_tsa_mentioner_entities__0671f4036e7a8d00927c74e5d732c7f3
repmgriffith,US Representative Griffith,virginia,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,37.4315734,-78.6568942,,,Legislator,US Representative Griffith,,dgm_tsa_mentioner_entities,c9a91cbbbcf99b2449d53134555650f6,dgm_tsa_mentioner_entities__c9a91cbbbcf99b2449d53134555650f6
repwilson,US Representative Frederica Wilson,florida,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,27.6648274,-81.5157535,,,Legislator,US Representative Frederica Wilson,,dgm_tsa_mentioner_entities,891e5f03bdc46a378f7a1fdf590d843c,dgm_tsa_mentioner_entities__891e5f03bdc46a378f7a1fdf590d843c
rephuizenga,US Representative Huizenga,michigan,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,44.3148443,-85.6023643,,,Legislator,US Representative Huizenga,,dgm_tsa_mentioner_entities,8586fe2d55e1fa284862b9192f278991,dgm_tsa_mentioner_entities__8586fe2d55e1fa284862b9192f278991
reprickcrawford,US Representative Crawford,arkansas,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,35.20105,-91.8318334,,,Legislator,US Representative Crawford,,dgm_tsa_mentioner_entities,d46ace3bfd175fd16b0bf4fbb717e0fb,dgm_tsa_mentioner_entities__d46ace3bfd175fd16b0bf4fbb717e0fb
herrerabeutler,US Representative Herrera Beutler,washington,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,47.7510741,-120.7401385,,,Legislator,US Representative Herrera Beutler,,dgm_tsa_mentioner_entities,dd4588c27c8aae102a97e7af886645a7,dgm_tsa_mentioner_entities__dd4588c27c8aae102a97e7af886645a7
repfranklucas,US Representative Lucas,oklahoma,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,35.0077519,-97.092877,,,Legislator,US Representative Lucas,,dgm_tsa_mentioner_entities,1a37ded527df5c69b32cc75eaa558c1f,dgm_tsa_mentioner_entities__1a37ded527df5c69b32cc75eaa558c1f
repmcgovern,US Representative McGovern,massachusetts,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,42.4072107,-71.3824374,,,Legislator,US Representative McGovern,,dgm_tsa_mentioner_entities,60a180464c32beb0a2d2fe16fe53ddb7,dgm_tsa_mentioner_entities__60a180464c32beb0a2d2fe16fe53ddb7
repyvetteclarke,US Representative Clarke,new york,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,40.7127753,-74.0059728,,,Legislator,US Representative Clarke,,dgm_tsa_mentioner_entities,c5f76946b32b2f453f6d2651e892b62c,dgm_tsa_mentioner_entities__c5f76946b32b2f453f6d2651e892b62c
repgosar,US Representative Gosar,arizona,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,34.0489281,-111.0937311,,,Legislator,US Representative Gosar,,dgm_tsa_mentioner_entities,550105ece81e1b00686490ed193516ed,dgm_tsa_mentioner_entities__550105ece81e1b00686490ed193516ed
repmckinley,US Representative McKinley,west virginia,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,38.5976262,-80.4549026,,,Legislator,US Representative McKinley,,dgm_tsa_mentioner_entities,fba4ce7321962c1aab431e2b1bd3c10e,dgm_tsa_mentioner_entities__fba4ce7321962c1aab431e2b1bd3c10e
repjeffduncan,US Representative Duncan,south carolina,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,33.836081,-81.1637245,,,Legislator,US Representative Duncan,,dgm_tsa_mentioner_entities,cf36c5a395c60a3c6f1274f406f02977,dgm_tsa_mentioner_entities__cf36c5a395c60a3c6f1274f406f02977
repkarenbass,US Representative Bass,california,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,36.778261,-119.4179324,,,Legislator,US Representative Bass,,dgm_tsa_mentioner_entities,ea0687648c7d01beaa72e8fb9cdfe8f1,dgm_tsa_mentioner_entities__ea0687648c7d01beaa72e8fb9cdfe8f1
repwalberg,US Representative Walberg,michigan,agency;agency leadership;tsa international equivalents;airline operators;airport,Legislator,44.3148443,-85.6023643,,,Legislator,US Representative Walberg,,dgm_tsa_mentioner_entities,716e9fa737ffd9e06b945128aed3ca06,dgm_tsa_mentioner_entities__716e9fa737ffd9e06b945128aed3ca06
