keyword,caption_name,topic_id,.1,.2,.3,.4,.5,.6,.7,.8,.9,.10,.11,.12,.13,.14,.15,.16,.17,Source link,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
cicero waggin' tails animal shelter,Cicero Waggin' Tails Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://thetownofcicero.com,Organization,Cicero Waggin' Tails Animal Shelter,,burbio_groups,dac562c37a50ba03678768fae06dea08,burbio_groups__dac562c37a50ba03678768fae06dea08
allen animal shelter,Allen Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://www.cityofallen.org/AllenAnimalShelter?fbclid=IwAR0ns9gyy_8eHXZfYqEKx3IyEECLxUPcSklrjlblyT4N89D9Cnrpf46hzwI,Media,Allen Animal Shelter,,burbio_groups,dc4f26ba7e145cbbdff25e9d348d7c16,burbio_groups__dc4f26ba7e145cbbdff25e9d348d7c16
arlington animal services,Arlington Animal Services,188153,,,,,,,,,,,,,,,,,,https://arlingtontx.gov/,Legislator,Arlington Animal Services,,burbio_groups,15ce358787f36e9e731eb5bec1adc829,burbio_groups__15ce358787f36e9e731eb5bec1adc829
bakersfield animal control,Bakersfield Animal Control,188153,,,,,,,,,,,,,,,,,,http://bakersfieldcity.us,IndustryTerm,Bakersfield Animal Control,,burbio_groups,5c8171c38f8620fb44c9a0b14ebcd72a,burbio_groups__5c8171c38f8620fb44c9a0b14ebcd72a
bartlett animal shelter,Bartlett Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://cityofbartlett.org,CompanyKeyword,Bartlett Animal Shelter,,burbio_groups,c643c54166693675cd6c50518ff4d27b,burbio_groups__c643c54166693675cd6c50518ff4d27b
bossier city animal control volunteers - hand in paw,Bossier City Animal Control Volunteers,188153,,,,,,,,,,,,,,,,,,http://bossiercity.org,Organization,Bossier City Animal Control Volunteers,,burbio_groups,9752ae98fec20d2d9eadcc07f836aff7,burbio_groups__9752ae98fec20d2d9eadcc07f836aff7
burlington animal services,Burlington Animal Services,188153,,,,,,,,,,,,,,,,,,http://burlingtonnc.gov/,Keyphrase,Burlington Animal Services,,burbio_groups,83304648748fb168abb375b95ec37a68,burbio_groups__83304648748fb168abb375b95ec37a68
cabot animal shelter,Cabot Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://cabotar.gov,AAEntity,Cabot Animal Shelter,,burbio_groups,f8c389908e8484ae4ca81cf4a69f951e,burbio_groups__f8c389908e8484ae4ca81cf4a69f951e
chesapeake animal services unit,Chesapeake Animal Services Unit,188153,,,,,,,,,,,,,,,,,,http://www.cityofchesapeake.net/,Exec,Chesapeake Animal Services Unit,,burbio_groups,3d0f643c9d15c96da37ece5ef552beeb,burbio_groups__3d0f643c9d15c96da37ece5ef552beeb
city of chesapeake community animal response team - cart,City of Chesapeake Community Animal Response Team,188153,,,,,,,,,,,,,,,,,,http://www.cityofchesapeake.net/Government/City-Dep,Refinery,City of Chesapeake Community Animal Response Team,,burbio_groups,aee05db090ba809837e20dcac856631a,burbio_groups__aee05db090ba809837e20dcac856631a
