german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#davertstrasse,"Davertstrasse in Munster, Germany",51.8651575,7.6153979,1,,,,,,AAEntity,"Davertstrasse in Munster, Germany",,german_fires_munster_locations,5ab3755195adb98b103e5057e722b3cc,german_fires_munster_locations__5ab3755195adb98b103e5057e722b3cc
#dechaneischanze,"Dechaneischanze in Munster, Germany",51.9640619,7.6539551,1,,,,,,Person,"Dechaneischanze in Munster, Germany",,german_fires_munster_locations,ba9c49fd05c3a27a50a82131d0101e5b,german_fires_munster_locations__ba9c49fd05c3a27a50a82131d0101e5b
#dechaneistrasse,"Dechaneistrasse in Munster, Germany",51.964072,7.6512761,1,,,,,,ForeignMinistry,"Dechaneistrasse in Munster, Germany",,german_fires_munster_locations,5f9c04936b741a8252ceaaa92dd6c876,german_fires_munster_locations__5f9c04936b741a8252ceaaa92dd6c876
#deermannskamp,"Deermannskamp in Munster, Germany",51.9565205,7.53791,1,,,,,,News,"Deermannskamp in Munster, Germany",,german_fires_munster_locations,590e41d035a9c1549b76fc03b57578dd,german_fires_munster_locations__590e41d035a9c1549b76fc03b57578dd
#deermannstrasse,"Deermannstrasse in Munster, Germany",51.8842714,7.6019106,1,,,,,,Organization,"Deermannstrasse in Munster, Germany",,german_fires_munster_locations,cd61be6aa498836112dbe94c6d41c1e4,german_fires_munster_locations__cd61be6aa498836112dbe94c6d41c1e4
#deipenfohr,"Deipenfohr in Munster, Germany",51.9617974,7.5831003,1,,,,,,ForeignMinister,"Deipenfohr in Munster, Germany",,german_fires_munster_locations,037ab95de234c37508e89de0a68c611f,german_fires_munster_locations__037ab95de234c37508e89de0a68c611f
#deitersweg,"Deitersweg in Munster, Germany",51.9922643,7.592772,1,,,,,,Organization,"Deitersweg in Munster, Germany",,german_fires_munster_locations,4f873d74bb88e2aeec3005c98a9069f0,german_fires_munster_locations__4f873d74bb88e2aeec3005c98a9069f0
#delpstrasse,"Delpstrasse in Munster, Germany",51.9460447,7.6055925,1,,,,,,Diplomat,"Delpstrasse in Munster, Germany",,german_fires_munster_locations,bfd8ab0637c3962cd1c0777f86fc497d,german_fires_munster_locations__bfd8ab0637c3962cd1c0777f86fc497d
#delstrup,"Delstrup in Munster, Germany",51.9339482,7.6761141,1,,,,,,space,"Delstrup in Munster, Germany",,german_fires_munster_locations,8931dfc2dab563192625e495a5ead92c,german_fires_munster_locations__8931dfc2dab563192625e495a5ead92c
#dennenkamp,"Dennenkamp in Munster, Germany",51.9598406,7.5629163,1,,,,,,Consulates,"Dennenkamp in Munster, Germany",,german_fires_munster_locations,d9aeef8117df1b6f9dbabea067584ab7,german_fires_munster_locations__d9aeef8117df1b6f9dbabea067584ab7
#derkskamp,"Derkskamp in Munster, Germany",51.8825378,7.6013079,1,,,,,,space,"Derkskamp in Munster, Germany",,german_fires_munster_locations,cf080063c941075490c1b57cf998f5b9,german_fires_munster_locations__cf080063c941075490c1b57cf998f5b9
#derssenbrockstiege,"Derssenbrockstiege in Munster, Germany",52.0272001,7.5448479,1,,,,,,Refinery,"Derssenbrockstiege in Munster, Germany",,german_fires_munster_locations,3ebd8a8f7622e586f4722aa8e45f21a8,german_fires_munster_locations__3ebd8a8f7622e586f4722aa8e45f21a8
#dettenstrasse,"Dettenstrasse in Munster, Germany",51.9711026,7.6240259,1,,,,,,space,"Dettenstrasse in Munster, Germany",,german_fires_munster_locations,c373ce3e0a7ff405dca7420ba4b8160e,german_fires_munster_locations__c373ce3e0a7ff405dca7420ba4b8160e
#deventerstrasse,"Deventerstrasse in Munster, Germany",51.8884118,7.5821996,1,,,,,,Organization,"Deventerstrasse in Munster, Germany",,german_fires_munster_locations,c5f422858bb0bfe423d121eec8226270,german_fires_munster_locations__c5f422858bb0bfe423d121eec8226270
#dieckhoffweg,"Dieckhoffweg in Munster, Germany",52.0042448,7.6205699,1,,,,,,space,"Dieckhoffweg in Munster, Germany",,german_fires_munster_locations,51e583b32c39b46d312e30bcfbf3133c,german_fires_munster_locations__51e583b32c39b46d312e30bcfbf3133c
#dieckmannstrasse,"Dieckmannstrasse in Munster, Germany",51.9648336,7.5668129,1,,,,,,FTO,"Dieckmannstrasse in Munster, Germany",,german_fires_munster_locations,f287de73a1163de431667d2629af930e,german_fires_munster_locations__f287de73a1163de431667d2629af930e
#dieckstrasse,"Dieckstrasse in Munster, Germany",51.9735205,7.6527124,1,,,,,,Exec,"Dieckstrasse in Munster, Germany",,german_fires_munster_locations,df5fd373a2b3cf20897d51764486a417,german_fires_munster_locations__df5fd373a2b3cf20897d51764486a417
#diekbree,"Diekbree in Munster, Germany",51.9828405,7.7045899,1,,,,,,Shipping,"Diekbree in Munster, Germany",,german_fires_munster_locations,1d6dd4dbffab5b9f61b335fad06e60e9,german_fires_munster_locations__1d6dd4dbffab5b9f61b335fad06e60e9
#dieninckstrasse,"Dieninckstrasse in Munster, Germany",51.9119271,7.7166777,1,,,,,,Wells,"Dieninckstrasse in Munster, Germany",,german_fires_munster_locations,21b0fac9944701ab957023c463544051,german_fires_munster_locations__21b0fac9944701ab957023c463544051
#diepenbrockstrasse,"Diepenbrockstrasse in Munster, Germany",51.958797,7.6411885,1,,,,,,Exec,"Diepenbrockstrasse in Munster, Germany",,german_fires_munster_locations,4ba3973b8968f4a3c3c86a396622b1c9,german_fires_munster_locations__4ba3973b8968f4a3c3c86a396622b1c9
