handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
br24,BR24,FTO,BR24,,basementions_mentioner,616cc90bda6a0844725328f5bcd7e7d9,basementions_mentioner__616cc90bda6a0844725328f5bcd7e7d9
n/a,N/A,News,N/A,,basementions_mentioner,382b0f5185773fa0f67a8ed8056c7759,basementions_mentioner__382b0f5185773fa0f67a8ed8056c7759
echo_online,Echo,LegislativeCommittee,Echo,,basementions_mentioner,d31ef811301c6b4111380dda959d6125,basementions_mentioner__d31ef811301c6b4111380dda959d6125
nordbayern,Nord Bayern,IndustryTerm,Nord Bayern,,basementions_mentioner,ce05af74fb6d15a70b3bf341489685cc,basementions_mentioner__ce05af74fb6d15a70b3bf341489685cc
stn_news,Sttruttgarter Nachrichten,LegislativeCommittee,Sttruttgarter Nachrichten,,basementions_mentioner,9f749bb58c85d991da81684028ddcf44,basementions_mentioner__9f749bb58c85d991da81684028ddcf44
wknachrichten,Wiesbadener Kurier,Organization,Wiesbadener Kurier,,basementions_mentioner,cc3d43d6a43e54f28b67ee8a7a07e8e8,basementions_mentioner__cc3d43d6a43e54f28b67ee8a7a07e8e8
aachenerzeitung,Aachener Zeitung,space,Aachener Zeitung,,basementions_mentioner,f8fe60615a5aa1425a1235f89b260e46,basementions_mentioner__f8fe60615a5aa1425a1235f89b260e46
huntspost,The Hunts Post,Exec,The Hunts Post,,basementions_mentioner,555d0af3a14b4a123ee111d32558d998,basementions_mentioner__555d0af3a14b4a123ee111d32558d998
raffdspotters,RAF Fairford Spotters,AAEntity,RAF Fairford Spotters,,basementions_mentioner,ebe2a89fa74d495e2c9e1963c8acf20e,basementions_mentioner__ebe2a89fa74d495e2c9e1963c8acf20e
thestrayferret,The Stray Ferret,DiplomaticFacilities,The Stray Ferret,,basementions_mentioner,f80948806a2ccbb4dd30ef4d79f1e518,basementions_mentioner__f80948806a2ccbb4dd30ef4d79f1e518
diariocadiz,Diario de Cadiz,Pipeline,Diario de Cadiz,,basementions_mentioner,668d7f6db92390bce543d3c4541fa85f,basementions_mentioner__668d7f6db92390bce543d3c4541fa85f
diariosevilla,Diario de Sevilla,Wells,Diario de Sevilla,,basementions_mentioner,50c48ff13cdcef8e10b7804a6e6f1786,basementions_mentioner__50c48ff13cdcef8e10b7804a6e6f1786
bna_ar,Bahrain News Agency,Refinery,Bahrain News Agency,,basementions_mentioner,de90835d8f07effd97ad3d7e88982265,basementions_mentioner__de90835d8f07effd97ad3d7e88982265
bladetlokalavis,Bladet,DiplomaticFacilities,Bladet,,basementions_mentioner,20f549e71e5c31b91f33b68c96478a93,basementions_mentioner__20f549e71e5c31b91f33b68c96478a93
fosnafolket,Fosna Folket,Diplomat,Fosna Folket,,basementions_mentioner,3e277559f02f073bf135c5c38c977124,basementions_mentioner__3e277559f02f073bf135c5c38c977124
lavenir_net,La venir,AAEntity,La venir,,basementions_mentioner,fff0847584c14247769245cc8fcdc005,basementions_mentioner__fff0847584c14247769245cc8fcdc005
