handle,caption_name,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
los_fisher,Defense reporter,,FTO,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
chrisg_nsf,Defense reporter,,Pipeline,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
sandra_i_erwin,Defense reporter,,Diplomat,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
topol_mss27,Defense reporter,,Refinery,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
acapaccio,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
adegrandpre,Defense reporter,,CompanyKeyword,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
alexwardvox,Defense reporter,,Consulates,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
amyfiscus,Defense reporter,,Legislator,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
andclev,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
andrewtilghman,Defense reporter,,News,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
ashleytressel,Defense reporter,,Organization,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
avweekguy,Defense reporter,,CompanyKeyword,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
avweekleeann,Defense reporter,,Refinery,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
beverstine,Defense reporter,,Media,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
carlababbvoa,Defense reporter,,Legislator,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
carlwoog,Defense reporter,,Keyphrase,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
cbswalsh,Defense reporter,,Consulates,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
cdicksteindc,Defense reporter,,DiplomaticFacilities,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
ckubenbc,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
connorobriennh,Defense reporter,,Legislator,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
danlamothe,Defense reporter,,IndustryTerm,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
davidlarter,Defense reporter,,space,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
defensebaron,Defense reporter,,Media,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
dougcameron,Defense reporter,,Media,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
drewbrooks,Defense reporter,,Refinery,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
elainemgrossman,Defense reporter,,Person,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
gameofschanz,Defense reporter,,FTO,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
garamonedodnews,Defense reporter,,Keyphrase,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
ginaaharkins,Defense reporter,,Shipping,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
hopeseck,Defense reporter,,Pipeline,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
ibd_grich,Defense reporter,,Exec,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
idreesali114,Defense reporter,,ForeignMinister,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jackdetsch,Defense reporter,,DiplomaticFacilities,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jacqklimas,Defense reporter,,Diplomat,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jamesmartinrose,Defense reporter,,Shipping,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jamiejmcintyre,Defense reporter,,AAEntity,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jaredbkeller,Defense reporter,,AAEntity,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jaysolomon,Defense reporter,,Organization,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jbdimascio,Defense reporter,,Media,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jeffschogol,Defense reporter,,AAEntity,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jenjudson,Defense reporter,,Diplomat,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jimlaporta,Defense reporter,,Person,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jimmiklaszewski,Defense reporter,,IndustryTerm,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jjgreenwtop,Defense reporter,,Diplomat,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jlsdefense,Defense reporter,,DiplomaticFacilities,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jmhdinger,Defense reporter,,Organization,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jobywarrick,Defense reporter,,Diplomat,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
joertabet,Defense reporter,,Shipping,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
john_hudson,Defense reporter,,space,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
johnmdonnelly,Defense reporter,,Person,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jon_harper_,Defense reporter,,Legislator,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jonathanlanday,Defense reporter,,News,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
justindoubleday,Defense reporter,,LegislativeCommittee,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
kacurthoys,Defense reporter,,IndustryTerm,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
karoun,Defense reporter,,Pipeline,Defense reporter,,milpress_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
