handle,caption_name,location,Type,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
peterpsquare,Singer Peter Okoye,United States,Entertainment,united states,Entertainment,Singer Peter Okoye,,entertainment_mentioner,9e19f172be5afb998778e2d88eb1fe21,entertainment_mentioner__9e19f172be5afb998778e2d88eb1fe21
henrylau89,Singer Henry,United States,Entertainment,united states,Entertainment,Singer Henry,,entertainment_mentioner,77797bfe5ecde6803481454f790ebded,entertainment_mentioner__77797bfe5ecde6803481454f790ebded
michkeegan,Actor Michelle Keegan,United States,Entertainment,united states,Entertainment,Actor Michelle Keegan,,entertainment_mentioner,16d09e4d3112e5d5ffad61ece17d6f6d,entertainment_mentioner__16d09e4d3112e5d5ffad61ece17d6f6d
selcukerdem,Cartoonist Selcuk Erdem,United States,Entertainment,united states,Entertainment,Cartoonist Selcuk Erdem,,entertainment_mentioner,92e2e9836ba5f2de5fa05c127195ab19,entertainment_mentioner__92e2e9836ba5f2de5fa05c127195ab19
nickyjampr,Singer Nicky Jam,United States,Entertainment,united states,Entertainment,Singer Nicky Jam,,entertainment_mentioner,ea21186e82affc6e298a124eb9a0d29c,entertainment_mentioner__ea21186e82affc6e298a124eb9a0d29c
menongautham,Director Gautham Menon,United States,Entertainment,united states,Entertainment,Director Gautham Menon,,entertainment_mentioner,2a9c1c09bbd6743496192c0b5a782329,entertainment_mentioner__2a9c1c09bbd6743496192c0b5a782329
g_eazy,Rapper G-Eazy,United States,Entertainment,united states,Entertainment,Rapper G-Eazy,,entertainment_mentioner,a5a950d0268d00f4ca09f4cc9732f921,entertainment_mentioner__a5a950d0268d00f4ca09f4cc9732f921
cortezrafa,Journalist Rafael Cortez,United States,Entertainment,united states,Entertainment,Journalist Rafael Cortez,,entertainment_mentioner,9eb6b4e0f3ff54e079cd6ac4676f8c7d,entertainment_mentioner__9eb6b4e0f3ff54e079cd6ac4676f8c7d
liamgallagher,Liam Gallagher,United States,Entertainment,united states,Entertainment,Liam Gallagher,,entertainment_mentioner,29d669aa6bcf1dba73d1718a10f97c68,entertainment_mentioner__29d669aa6bcf1dba73d1718a10f97c68
jimjonescapo,Rapper Jim Jones,United States,Entertainment,united states,Entertainment,Rapper Jim Jones,,entertainment_mentioner,d844828f4d2a5b3b478d07e97c979b7c,entertainment_mentioner__d844828f4d2a5b3b478d07e97c979b7c
lemontwittor,Actor Keith Lemon,United States,Entertainment,united states,Entertainment,Actor Keith Lemon,,entertainment_mentioner,718d2f2cbe17da3063161316ec8d0e4c,entertainment_mentioner__718d2f2cbe17da3063161316ec8d0e4c
guyfieri,Guy Fieri,United States,Entertainment,united states,Entertainment,Guy Fieri,,entertainment_mentioner,0acb7dd1061799acc84e4ef25beea176,entertainment_mentioner__0acb7dd1061799acc84e4ef25beea176
chintskap,Rishi Kapoor,United States,Entertainment,united states,Entertainment,Rishi Kapoor,,entertainment_mentioner,242fdec6f2769e88a8d54f5c67920256,entertainment_mentioner__242fdec6f2769e88a8d54f5c67920256
marceloadnet,Actor Marcelo Adnet,United States,Entertainment,united states,Entertainment,Actor Marcelo Adnet,,entertainment_mentioner,bc5afb7482b58212d866c17af331675d,entertainment_mentioner__bc5afb7482b58212d866c17af331675d
bankyw,Singer Banky W,United States,Entertainment,united states,Entertainment,Singer Banky W,,entertainment_mentioner,a7af5545f955fbcaa7c0f87236d8d227,entertainment_mentioner__a7af5545f955fbcaa7c0f87236d8d227
cerati,Singer Gustavo Cerati,United States,Entertainment,united states,Entertainment,Singer Gustavo Cerati,,entertainment_mentioner,301820f45ee9cf78846a8b84c2254d9b,entertainment_mentioner__301820f45ee9cf78846a8b84c2254d9b
migos,Trio Migos,United States,Entertainment,united states,Entertainment,Trio Migos,,entertainment_mentioner,48bd3e1bccc0d57622c730962ee7ad5f,entertainment_mentioner__48bd3e1bccc0d57622c730962ee7ad5f
juanjaramilloe,Author Juan Pablo Jaramillo,United States,Entertainment,united states,Entertainment,Author Juan Pablo Jaramillo,,entertainment_mentioner,25b6544265aeb2960d9e89615ab908fc,entertainment_mentioner__25b6544265aeb2960d9e89615ab908fc
lopezandres,Comedian Andres Lopez,United States,Entertainment,united states,Entertainment,Comedian Andres Lopez,,entertainment_mentioner,8aca734d1ded80dc071f4ea671a35f51,entertainment_mentioner__8aca734d1ded80dc071f4ea671a35f51
questlove,Musician Questlove,United States,Entertainment,united states,Entertainment,Musician Questlove,,entertainment_mentioner,35d134d9ea9ef4e42d902544d226fee8,entertainment_mentioner__35d134d9ea9ef4e42d902544d226fee8
rollingstones,The Rolling Stones,United States,Entertainment,united states,Entertainment,The Rolling Stones,,entertainment_mentioner,0e2bad2ca7080a03a628963bb3d403cd,entertainment_mentioner__0e2bad2ca7080a03a628963bb3d403cd
yg,Rapper YG,United States,Entertainment,united states,Entertainment,Rapper YG,,entertainment_mentioner,9989e14c0dfc70d5ff7e72e2a415824e,entertainment_mentioner__9989e14c0dfc70d5ff7e72e2a415824e
jackybrv,Actor Jacky Bracamontes,United States,Entertainment,united states,Entertainment,Actor Jacky Bracamontes,,entertainment_mentioner,d55d7d4feadb7215952d9cfa7af4e72a,entertainment_mentioner__d55d7d4feadb7215952d9cfa7af4e72a
robertsemma,Emma Roberts,United States,Entertainment,united states,Entertainment,Emma Roberts,,entertainment_mentioner,e4102e17ff9b9a32588415d9ba4a5983,entertainment_mentioner__e4102e17ff9b9a32588415d9ba4a5983
xtianbautista,Singer Christian Bautista,United States,Entertainment,united states,Entertainment,Singer Christian Bautista,,entertainment_mentioner,f5e6425768b73df9898a362bfd46c9fa,entertainment_mentioner__f5e6425768b73df9898a362bfd46c9fa
