keyword,caption_name,groups,Location,Title,City,Organization Name (child),Organization Name (Intermediate),Twitter Handle,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
angeli achrekar,US Global AIDS Coordinator and U.S. Special Representative for Global Health Diplomacy Angeli Achrekar,,USA,Global AIDS Coordinator and U.S. Special Representative for Global Health Diplomacy,Washington DC,Office of Global AIDS Coordinator and Health Diplomacy,Office of the Secretary,PEPFAR,space,US Global AIDS Coordinator and U.S. Special Representative for Global Health Diplomacy Angeli Achrekar,,bp_mentionee,cde13f1c8d6d72dcbe3b2b8cf0af537b,bp_mentionee__cde13f1c8d6d72dcbe3b2b8cf0af537b
kwami adoboe-herrera,US Member Kwami Adoboe-Herrera,,USA,Member,Washington DC,United States Advisory Council on Human Trafficking,,,News,US Member Kwami Adoboe-Herrera,,bp_mentionee,86993ef6fd2d43a57a55c05729fb94a0,bp_mentionee__86993ef6fd2d43a57a55c05729fb94a0
timothy ballard,US Member Timothy Ballard,,USA,Member,Washington DC,Public-Private Partnership Advisory Council to End Human Trafficking,,,Pipeline,US Member Timothy Ballard,,bp_mentionee,f2589ec2f33849045845a98c241533fb,bp_mentionee__f2589ec2f33849045845a98c241533fb
erica barks-ruggles,US Assistant Secretary Erica Barks-Ruggles,,USA,Assistant Secretary,Washington DC,Bureau of International Organization Affairs,Under Secretary for Political Affairs,State_IO,Person,US Assistant Secretary Erica Barks-Ruggles,,bp_mentionee,b9bcd824eb21bb951ff6d5b1ff47b644,bp_mentionee__b9bcd824eb21bb951ff6d5b1ff47b644
richard bell,US Ambassador Richard Bell,,Cote d'Ivoire,Ambassador,Abidjan,Office of the U.S. Ambassador to Côte d'Ivoire,U.S. Embassy in Côte d'Ivoire,USEmbAbidjan,Exec,US Ambassador Richard Bell,,bp_mentionee,e8cfec001079a69a2086dca03dda9355,bp_mentionee__e8cfec001079a69a2086dca03dda9355
marcia bernicat,US Assistant Secretary Marcia Bernicat,,USA,Assistant Secretary,Washington DC,Bureau of Oceans and International Environmental and Scientific Affairs,"Under Secretary for Economic Growth, Energy, and the Environment",mbernicat,AAEntity,US Assistant Secretary Marcia Bernicat,,bp_mentionee,ba3dd2f08536e7c29baf6e982aae431f,bp_mentionee__ba3dd2f08536e7c29baf6e982aae431f
randy berry,US Ambassador Randy Berry,,Nepal,Ambassador,Kathmandu,Office of the U.S. Ambassador to Nepal,U.S. Embassy in Nepal,USAmbNepal,IndustryTerm,US Ambassador Randy Berry,,bp_mentionee,4b1e9bfb9e7261b043184505551648a5,bp_mentionee__4b1e9bfb9e7261b043184505551648a5
timothy betts,US Assistant Secretary Timothy Betts,,USA,Assistant Secretary,Washington DC,Bureau of Political-Military Affairs,Under Secretary for Arms Control and International Security,,ForeignMinistry,US Assistant Secretary Timothy Betts,,bp_mentionee,627bd7e01c2a91085cdb0a1d1ab8ac45,bp_mentionee__627bd7e01c2a91085cdb0a1d1ab8ac45
kevin blackstone,US Ambassador Kevin Blackstone,,Democratic Republic of Timor-Leste,Ambassador,Dili,Office of the U.S. Ambassador to Timor-Leste,U.S. Embassy in Timor-Leste,USEmbassyDili,Shipping,US Ambassador Kevin Blackstone,,bp_mentionee,0b71229361ac07504108ba1ce94b28c1,bp_mentionee__0b71229361ac07504108ba1ce94b28c1
steven bledsoe,US Member Steven Bledsoe,,USA,Member,Washington DC,Cultural Property Advisory Committee,Bureau of Educational and Cultural Affairs,,Person,US Member Steven Bledsoe,,bp_mentionee,224940b90536e0bae8a15637db66893d,bp_mentionee__224940b90536e0bae8a15637db66893d
antony blinken,US Secretary of State Antony Blinken,,USA,Secretary of State,Washington DC,Office of the Secretary,,ABlinken,Refinery,US Secretary of State Antony Blinken,,bp_mentionee,94ab6e293b7708cefbee0ee6ff0487d4,bp_mentionee__94ab6e293b7708cefbee0ee6ff0487d4
donald blome,US Ambassador Donald Blome,,Tunisia,Ambassador,Tunis,Office of the U.S. Ambassador to Tunisia,U.S. Embassy in Tunisia,usembassytunis,ForeignMinistry,US Ambassador Donald Blome,,bp_mentionee,1fae11e4228291121f98339e61b5e727,bp_mentionee__1fae11e4228291121f98339e61b5e727
bridget brink,US Ambassador Bridget Brink,,Slovakia,Ambassador,Bratislava,Office of the U.S. Ambassador to Slovakia,U.S. Embassy in Slovakia,https://www.instagram.com/usambslovakia/,Pipeline,US Ambassador Bridget Brink,,bp_mentionee,984b46c4281ca07f0093e8ca1769624c,bp_mentionee__984b46c4281ca07f0093e8ca1769624c
natalie brown,US Ambassador Natalie Brown,,Uganda,Ambassador,Kampala,Office of the U.S. Ambassador to Uganda,U.S. Embassy in Uganda,USAmbUganda,Person,US Ambassador Natalie Brown,,bp_mentionee,12fbb72a412a60ecfd534be00b5f4ab3,bp_mentionee__12fbb72a412a60ecfd534be00b5f4ab3
rachel brown,US Member Rachel Brown,,USA,Member,Washington DC,Cultural Property Advisory Committee,Bureau of Educational and Cultural Affairs,RFultonBrown,DiplomaticFacilities,US Member Rachel Brown,,bp_mentionee,3b08963d197577fa448b07ee8ee688be,bp_mentionee__3b08963d197577fa448b07ee8ee688be
todd brown,US Assistant Secretary for Diplomatic Security Todd Brown,,USA,Assistant Secretary for Diplomatic Security,Washington DC,Bureau of Diplomatic Security,Under Secretary for Management,StateDeptDSS,Diplomat,US Assistant Secretary for Diplomatic Security Todd Brown,,bp_mentionee,b85517e2ff525a53e2630fe8a6131f4e,bp_mentionee__b85517e2ff525a53e2630fe8a6131f4e
ian brownlee,US Assistant Secretary Ian Brownlee,,USA,Assistant Secretary,Washington DC,Bureau of Consular Affairs,Under Secretary for Management,,Wells,US Assistant Secretary Ian Brownlee,,bp_mentionee,3b7c1333d2f6b3f06794ddcfc786af35,bp_mentionee__3b7c1333d2f6b3f06794ddcfc786af35
kate byrnes,US Ambassador Kate Byrnes,,North Macedonia,Ambassador,Skopje,Office of the U.S. Ambassador to North Macedonia,U.S. Embassy in North Macedonia,USAmbNMacedonia,ForeignMinistry,US Ambassador Kate Byrnes,,bp_mentionee,87e7030a238aa2c600204ac58925047c,bp_mentionee__87e7030a238aa2c600204ac58925047c
roxanne cabral,US Ambassador Roxanne Cabral,,Marshall Islands,Ambassador,Majuro,Office of the U.S. Ambassador to the Marshall Islands,U.S. Embassy in the Marshall Islands,,Shipping,US Ambassador Roxanne Cabral,,bp_mentionee,627c9360837691800b1df838a9d97e2c,bp_mentionee__627c9360837691800b1df838a9d97e2c
carmen cantor,US Ambassador Carmen Cantor,,Federated States of Micronesia,Ambassador,Kolonia,Office of the Ambassador to the Federated States of Micronesia,U.S. Embassy in the Federated States of Micronesia,USEmbassyFSM,Exec,US Ambassador Carmen Cantor,,bp_mentionee,8adeaa7f7e3cfd4805e62275fb045b41,bp_mentionee__8adeaa7f7e3cfd4805e62275fb045b41
marlene carson,US Member Marlene Carson,,USA,Member,Washington DC,United States Advisory Council on Human Trafficking,President's Interagency Task Force To Monitor and Combat Trafficking in Persons,DrMarleneCarson,FTO,US Member Marlene Carson,,bp_mentionee,af6eb17a4567d605d320781d50bba5f6,bp_mentionee__af6eb17a4567d605d320781d50bba5f6
roger carstens,US Special Presidential Envoy for Hostage Affairs Roger Carstens,,USA,Special Presidential Envoy for Hostage Affairs,Washington DC,Office of the Special Presidential Envoy for Hostage Affairs,Office of the Secretary,StateSPEHA,Pipeline,US Special Presidential Envoy for Hostage Affairs Roger Carstens,,bp_mentionee,f32274b83748c6bc815b3806504e6c60,bp_mentionee__f32274b83748c6bc815b3806504e6c60
john carwile,US Ambassador John Carwile,,Latvia,Ambassador,Riga,Office of the U.S. Ambassador to Latvia,U.S. Embassy in Latvia,USEmbassyRiga,Organization,US Ambassador John Carwile,,bp_mentionee,84016f35e9a23779083f5f73eb8af6b0,bp_mentionee__84016f35e9a23779083f5f73eb8af6b0
todd chapman,US Ambassador Todd Chapman,,Brazil,Ambassador,Brasília,U.S. Embassy in Brazil,,usambbr,LegislativeCommittee,US Ambassador Todd Chapman,,bp_mentionee,3d5de52ac0fb372b9ec2d21d3fa83111,bp_mentionee__3d5de52ac0fb372b9ec2d21d3fa83111
karen cheeks-lomax,US Member Karen Cheeks-Lomax,,USA,Member,Washington DC,Public-Private Partnership Advisory Council to End Human Trafficking,,,ForeignMinister,US Member Karen Cheeks-Lomax,,bp_mentionee,686e3c145babedc12376615946514634,bp_mentionee__686e3c145babedc12376615946514634
nicole chulick,US Assistant Secretary Nicole Chulick,,USA,Assistant Secretary,Washington DC,Bureau of Global Public Affairs,Under Secretary for Public Diplomacy and Public Affairs,UnderSecPD,Legislator,US Assistant Secretary Nicole Chulick,,bp_mentionee,75bc9b168b170c2d9c6f406a046e9f8e,bp_mentionee__75bc9b168b170c2d9c6f406a046e9f8e
julie chung,US Assistant Secretary Julie Chung,,USA,Assistant Secretary,Washington DC,Bureau of Western Hemisphere Affairs,Under Secretary for Political Affairs,WHAAsstSecty,Consulates,US Assistant Secretary Julie Chung,,bp_mentionee,ed52f2cc8b9cf6b9151f3f0d398c8ee7,bp_mentionee__ed52f2cc8b9cf6b9151f3f0d398c8ee7
sandra clark,US Ambassador Sandra Clark,,Burkina Faso,Ambassador,Ouagadougou,Office of the U.S. Ambassador to Burkina Faso,U.S. Embassy in Burkina Faso,Usembassyouaga,News,US Ambassador Sandra Clark,,bp_mentionee,df3fcd4bcc63f94862e75e373371db8a,bp_mentionee__df3fcd4bcc63f94862e75e373371db8a
craig cloud,US Ambassador Craig Cloud,,Botswana,Ambassador,Gaborone,Office of the U.S. Ambassador to Botswana,U.S. Embassy in Botswana,USEmbassyBW,DiplomaticFacilities,US Ambassador Craig Cloud,,bp_mentionee,56c240130bf5364d68a17f13a434efce,bp_mentionee__56c240130bf5364d68a17f13a434efce
jonathan cohen,US Ambassador Jonathan Cohen,,Egypt,Ambassador,Cairo,Office of the U.S. Ambassador to Egypt,U.S. Embassy in Egypt,USEmbassyCairo,Keyphrase,US Ambassador Jonathan Cohen,,bp_mentionee,df26c13e572de8090450e6543d3c1f14,bp_mentionee__df26c13e572de8090450e6543d3c1f14
joan connelly,US Member Joan Connelly,,USA,Member,Washington DC,Cultural Property Advisory Committee,Bureau of Educational and Cultural Affairs,,ForeignMinistry,US Member Joan Connelly,,bp_mentionee,fa3d473cee49d12df8914eabdbafefa9,bp_mentionee__fa3d473cee49d12df8914eabdbafefa9
jane corwin,US Chair Jane Corwin,,USA,Chair,Washington DC,"International Joint Commission, Canada and United States -- United States Section",Office of the Secretary,jane_corwin,Consulates,US Chair Jane Corwin,,bp_mentionee,d58953421fb605b1a7536f853bec3b75,bp_mentionee__d58953421fb605b1a7536f853bec3b75
john daigle,US Ambassador John Daigle,,Cabo Verde,Ambassador,Praia,Office of the U.S. Ambassador to Cabo Verde,U.S. Embassy in Cabo Verde,USEmbassyPraia,Keyphrase,US Ambassador John Daigle,,bp_mentionee,32142b3498af2e12a4333a4717105629,bp_mentionee__32142b3498af2e12a4333a4717105629
teresa davison,US Member Teresa Davison,,USA,Member,Washington DC,Public-Private Partnership Advisory Council to End Human Trafficking,,,FTO,US Member Teresa Davison,,bp_mentionee,6e57ab61a3217f0af44bb7e4ad2f9b3f,bp_mentionee__6e57ab61a3217f0af44bb7e4ad2f9b3f
bruce deel,US Member Bruce Deel,,USA,Member,Washington DC,Public-Private Partnership Advisory Council to End Human Trafficking,,,LegislativeCommittee,US Member Bruce Deel,,bp_mentionee,f9c224df95aff23c910c1caecfd44910,bp_mentionee__f9c224df95aff23c910c1caecfd44910
kelly degnan,US Ambassador Kelly Degnan,,Georgia,Ambassador,Tbilisi,Office of the U.S. Ambassador to Georgia,U.S. Embassy in Georgia,usingeo,space,US Ambassador Kelly Degnan,,bp_mentionee,0e26fa55033a489519378f844a1617cf,bp_mentionee__0e26fa55033a489519378f844a1617cf
jeffrey delaurentis,US Alternate U.S. Representative for Special Political Affairs Jeffrey DeLaurentis,,USA,Alternate U.S. Representative for Special Political Affairs,New York,United States Mission to the United Nations,,,AAEntity,US Alternate U.S. Representative for Special Political Affairs Jeffrey DeLaurentis,,bp_mentionee,5a7ef844b3e67ac95429168129155811,bp_mentionee__5a7ef844b3e67ac95429168129155811
john deming,US Member John Deming,,USA,Member,Washington DC,Cultural Property Advisory Committee,Bureau of Educational and Cultural Affairs,,ForeignMinistry,US Member John Deming,,bp_mentionee,ba3b3a5ee9b0d06d4fed23d1cea2dec7,bp_mentionee__ba3b3a5ee9b0d06d4fed23d1cea2dec7
john destefano,US Member John DeStefano,,USA,Member,Washington DC,J. William Fulbright Foreign Scholarship Board,Bureau of Educational and Cultural Affairs,johnnydestefano,Diplomat,US Member John DeStefano,,bp_mentionee,187d269d65e55c2e71d7fbf2195aa5b8,bp_mentionee__187d269d65e55c2e71d7fbf2195aa5b8
john dinkelman,US Assistant Secretary John Dinkelman,,USA,Assistant Secretary,Washington DC,Bureau of Administration,Under Secretary for Management,JDinkelman,CompanyKeyword,US Assistant Secretary John Dinkelman,,bp_mentionee,6186fdc3e664711ddaf923bb4f6a55cb,bp_mentionee__6186fdc3e664711ddaf923bb4f6a55cb
robert faucher,US Assistant Secretary and Coordinator for Reconstruction and Stabilization Robert Faucher,,USA,Assistant Secretary and Coordinator for Reconstruction and Stabilization,Washington DC,Bureau of Conflict and Stabilization Operations,"Under Secretary for Civilian Security, Democracy, and Human Rights",csoasstsec,space,US Assistant Secretary and Coordinator for Reconstruction and Stabilization Robert Faucher,,bp_mentionee,1644308165e9a18bcffc425d91e15cf3,bp_mentionee__1644308165e9a18bcffc425d91e15cf3
julie fisher,US Ambassador Julie Fisher,,Belarus,Ambassador,Minsk,Office of the U.S. Ambassador to Belarus,U.S. Embassy in Belarus,USEmbBy,Diplomat,US Ambassador Julie Fisher,,bp_mentionee,64362e6b7946089a4f34aaad22b9975d,bp_mentionee__64362e6b7946089a4f34aaad22b9975d
nina fite,US Ambassador Nina Fite,,Angola,Ambassador,Luanda,Office of the U.S. Ambassador to Angola,U.S. Embassy in Angola,USAmbAngola,DiplomaticFacilities,US Ambassador Nina Fite,,bp_mentionee,1f2f085e8ddaf8c07c28bd4bd1df84af,bp_mentionee__1f2f085e8ddaf8c07c28bd4bd1df84af
michael fitzpatrick,US Ambassador Michael Fitzpatrick,,Ecuador,Ambassador,Quito,Office of the U.S. Ambassador to Ecuador,U.S. Embassy in Ecuador,USembassyEC,DiplomaticFacilities,US Ambassador Michael Fitzpatrick,,bp_mentionee,5010e334aa7fc261cbd420f26d60b7f8,bp_mentionee__5010e334aa7fc261cbd420f26d60b7f8
bradley freden,US U.S. Permanent Representative Bradley Freden,,USA,U.S. Permanent Representative,Washington DC,U.S. Mission to the Organization of American States,Bureau of Western Hemisphere Affairs,usamboas,Exec,US U.S. Permanent Representative Bradley Freden,,bp_mentionee,de1199a66d55d62803b18c8f044c612a,bp_mentionee__de1199a66d55d62803b18c8f044c612a
judith garber,US Ambassador Judith Garber,,Cyprus,Ambassador,Nicosia,Office of the U.S. Ambassador to Cyprus,U.S. Embassy in Cyprus,USAmbCy,Refinery,US Ambassador Judith Garber,,bp_mentionee,71ba366ea26f713d81c0c2c2c669bbe9,bp_mentionee__71ba366ea26f713d81c0c2c2c669bbe9
robert gilchrist,US Ambassador Robert Gilchrist,,Lithuania,Ambassador,Vilnius,Office of the U.S. Ambassador to Lithuania,U.S. Embassy in Lithuania,USEmbVilnius,Refinery,US Ambassador Robert Gilchrist,,bp_mentionee,e45a20cb07d2b46abd0673772b33982f,bp_mentionee__e45a20cb07d2b46abd0673772b33982f
john giordano,US U.S. Representative John Giordano,,USA,U.S. Representative,New York,Public Delegates,United States Mission to the United Nations,JohnWGiordano,ForeignMinister,US U.S. Representative John Giordano,,bp_mentionee,6b6e14c52661534470c3114f20060e03,bp_mentionee__6b6e14c52661534470c3114f20060e03
katherine givens,US Member Katherine Givens,,USA,Member,Washington DC,United States Advisory Council on Human Trafficking,,,AAEntity,US Member Katherine Givens,,bp_mentionee,42e12719461e0a3926a7e3798ed05cff,bp_mentionee__42e12719461e0a3926a7e3798ed05cff
robert godec,US Assistant Secretary Robert Godec,,USA,Assistant Secretary,Washington DC,Bureau of African Affairs,Under Secretary for Political Affairs,BobGodec,Diplomat,US Assistant Secretary Robert Godec,,bp_mentionee,ee56d7e1887abf1fe4a8ce618dc6f082,bp_mentionee__ee56d7e1887abf1fe4a8ce618dc6f082
anthony godfrey,US Ambassador Anthony Godfrey,,Serbia,Ambassador,Belgrade,Office of the U.S. Ambassador to Serbia,U.S. Embassy in Serbia,usambserbia,Shipping,US Ambassador Anthony Godfrey,,bp_mentionee,a4c8301f405d0edd0d9988e2357908b8,bp_mentionee__a4c8301f405d0edd0d9988e2357908b8
john godfrey,US Coordinator for Counterterrorism and Ambassador at Large John Godfrey,,USA,Coordinator for Counterterrorism and Ambassador at Large,Washington DC,Bureau of Counterterrorism and Countering Violent Extremism,"Under Secretary for Civilian Security, Democracy, and Human Rights",StateDeptCT,Diplomat,US Coordinator for Counterterrorism and Ambassador at Large John Godfrey,,bp_mentionee,684c55c699bbd55d4beef4526f8d817d,bp_mentionee__684c55c699bbd55d4beef4526f8d817d
philip goldberg,US Ambassador Philip Goldberg,,Colombia,Ambassador,Bogotá,Office of the U.S. Ambassador to Colombia,U.S. Embassy in Colombia,USEmbassyBogota,IndustryTerm,US Ambassador Philip Goldberg,,bp_mentionee,8e381a1096252c1e57388ba8eb3b10f9,bp_mentionee__8e381a1096252c1e57388ba8eb3b10f9
rebecca gonzales,US Ambassador Rebecca Gonzales,,Lesotho,Ambassador,Maseru,Office of the U.S. Ambassador to Lesotho,U.S. Embassy in Lesotho,USEmbassyMaseru,Diplomat,US Ambassador Rebecca Gonzales,,bp_mentionee,9e0c3557695bfbd92c54fa05b2536e79,bp_mentionee__9e0c3557695bfbd92c54fa05b2536e79
tanya gould-street,US Member Tanya Gould-Street,,USA,Member,Washington DC,United States Advisory Council on Human Trafficking,President's Interagency Task Force To Monitor and Combat Trafficking in Persons,IdentifiableMe,ForeignMinistry,US Member Tanya Gould-Street,,bp_mentionee,447cdcb7712f0d8dce09e44b7cd93262,bp_mentionee__447cdcb7712f0d8dce09e44b7cd93262
dorothy gray,US U.S. Representative Dorothy Gray,,USA,U.S. Representative,New York,Public Delegates,United States Mission to the United Nations,,Exec,US U.S. Representative Dorothy Gray,,bp_mentionee,aa43f384f9834305201d0bd14b8df52a,bp_mentionee__aa43f384f9834305201d0bd14b8df52a
david hale,US Under Secretary David Hale,,USA,Under Secretary,Washington DC,Under Secretary for Political Affairs,Office of the Secretary,StateDept,Legislator,US Under Secretary David Hale,,bp_mentionee,2d194cd9ce6ba86ac2e48dd27f2f2377,bp_mentionee__2d194cd9ce6ba86ac2e48dd27f2f2377
jennifer hall godfrey,US Under Secretary Jennifer Hall Godfrey,,USA,Under Secretary,Washington DC,Under Secretary for Public Diplomacy and Public Affairs,,UnderSecPD,Organization,US Under Secretary Jennifer Hall Godfrey,,bp_mentionee,083455141bc85dfcaaed895530006dec,bp_mentionee__083455141bc85dfcaaed895530006dec
michael hammer,US Ambassador Michael Hammer,,Democratic Republic of the Congo,Ambassador,Kinshasa,U.S. Embassy in the Democratic Republic of the Congo,,mikehammerusa,Refinery,US Ambassador Michael Hammer,,bp_mentionee,beca43080ee04685d8e7a47f559dc7c6,bp_mentionee__beca43080ee04685d8e7a47f559dc7c6
dennis hankins,US Ambassador Dennis Hankins,,Mali,Ambassador,Bamako,Office of the U.S. Ambassador to Mali,U.S. Embassy in Mali,USEmbassyMali,FTO,US Ambassador Dennis Hankins,,bp_mentionee,bc9db8dfcbb31f8ea5a0716b96003c13,bp_mentionee__bc9db8dfcbb31f8ea5a0716b96003c13
kevin hanrahan,US Vice Chair Kevin Hanrahan,,USA,Vice Chair,Washington DC,J. William Fulbright Foreign Scholarship Board,Bureau of Educational and Cultural Affairs,KevinHanrahan6,Consulates,US Vice Chair Kevin Hanrahan,,bp_mentionee,102a02fefa528265388f55ad66e5bdaa,bp_mentionee__102a02fefa528265388f55ad66e5bdaa
jayne harkins,US U.S. Commissioner Jayne Harkins,,USA,U.S. Commissioner,El Paso,"International Boundary and Water Commission, United States and Mexico -- United States Section",Office of the Secretary,harkjay350,Legislator,US U.S. Commissioner Jayne Harkins,,bp_mentionee,c7c3b2c7d386ce18b4a93905c52e6fc8,bp_mentionee__c7c3b2c7d386ce18b4a93905c52e6fc8
peter haymond,US Ambassador Peter Haymond,,Laos,Ambassador,Vientiane,Office of the U.S. Ambassador to Laos,U.S. Embassy in Laos,usembassyvte,Media,US Ambassador Peter Haymond,,bp_mentionee,8860fcf7c8e30205d516f0619f2ba805,bp_mentionee__8860fcf7c8e30205d516f0619f2ba805
dennis hearne,US Ambassador Dennis Hearne,,Mozambique,Ambassador,Maputo,Office of the U.S. Ambassador to Mozambique,U.S. Embassy in Mozambique,USEmbassyMaputo,News,US Ambassador Dennis Hearne,,bp_mentionee,926daa175210ccdb5589ba6749aec038,bp_mentionee__926daa175210ccdb5589ba6749aec038
mark hendricks,US Member Mark Hendricks,,USA,Member,Washington DC,Cultural Property Advisory Committee,Bureau of Educational and Cultural Affairs,,Pipeline,US Member Mark Hendricks,,bp_mentionee,9b6c5478a942ab4dbc4718ec04e846ae,bp_mentionee__9b6c5478a942ab4dbc4718ec04e846ae
john hennessey-niland,US Ambassador John Hennessey-Niland,,Palau,Ambassador,Ngerulmud,Office of the U.S. Ambassador to the Republic of Palau,U.S. Embassy in the Republic of Palau,,Exec,US Ambassador John Hennessey-Niland,,bp_mentionee,c637fc95cd88b0270a16022639f599ce,bp_mentionee__c637fc95cd88b0270a16022639f599ce
christopher henzel,US Ambassador Christopher Henzel,,Yemen,Ambassador,Sana'a,Office of the U.S. Ambassador to Yemen,U.S. Embassy in Yemen,USEmbassyYemen,DiplomaticFacilities,US Ambassador Christopher Henzel,,bp_mentionee,fcc53149a37e475bd47a4bf204e9b37c,bp_mentionee__fcc53149a37e475bd47a4bf204e9b37c
melanie higgins,US Ambassador Melanie Higgins,,Burundi,Ambassador,Bujumbura,Office of the U.S. Ambassador to Burundi,U.S. Embassy in Burundi,US_Emb_Burundi,Diplomat,US Ambassador Melanie Higgins,,bp_mentionee,153bb87f92968bfb54626a2b14a7c0b4,bp_mentionee__153bb87f92968bfb54626a2b14a7c0b4
ricardo hilaire,US Member Ricardo Hilaire,,USA,Member,Washington DC,Cultural Property Advisory Committee,Bureau of Educational and Cultural Affairs,RickStHilaire,Person,US Member Ricardo Hilaire,,bp_mentionee,950dbd573053133f702963d8a7d76bb4,bp_mentionee__950dbd573053133f702963d8a7d76bb4
kyle hipsley,US U.S. Commissioner Kyle Hipsley,,USA,U.S. Commissioner,Washington DC,"International Boundary Commission, U.S. and Canada -- United States Section",Office of the Secretary,,Diplomat,US U.S. Commissioner Kyle Hipsley,,bp_mentionee,cbf5d4bad66bc35df566d2a41c83e3f7,bp_mentionee__cbf5d4bad66bc35df566d2a41c83e3f7
andrea hipwell,US Member Andrea Hipwell,,USA,Member,Washington DC,United States Advisory Council on Human Trafficking,President's Interagency Task Force To Monitor and Combat Trafficking in Persons,,FTO,US Member Andrea Hipwell,,bp_mentionee,94de2b68063a1beca6db58de0e0194c6,bp_mentionee__94de2b68063a1beca6db58de0e0194c6
dereck hogan,US Ambassador Dereck Hogan,,Moldova,Ambassador,Chisinau,Office of the U.S. Ambassador to Moldova,U.S. Embassy in Moldova,USembMoldova,Refinery,US Ambassador Dereck Hogan,,bp_mentionee,7c4fb924a7e0f32274ce560e55d104df,bp_mentionee__7c4fb924a7e0f32274ce560e55d104df
joey hood,US Assistant Secretary Joey Hood,,USA,Assistant Secretary,Washington DC,Bureau of Near Eastern Affairs,Under Secretary for Political Affairs,StateDept_NEA,Keyphrase,US Assistant Secretary Joey Hood,,bp_mentionee,5f8a8d2981a967024fbe35d26bc0ab85,bp_mentionee__5f8a8d2981a967024fbe35d26bc0ab85
bella hounakey,US Member Bella Hounakey,,USA,Member,Washington DC,United States Advisory Council on Human Trafficking,President's Interagency Task Force To Monitor and Combat Trafficking in Persons,,Keyphrase,US Member Bella Hounakey,,bp_mentionee,3509158e0724e23e727d7a0a3f28192e,bp_mentionee__3509158e0724e23e727d7a0a3f28192e
william hybl,US Vice Chairman William Hybl,,USA,Vice Chairman,Washington DC,United States Advisory Commission on Public Diplomacy,Under Secretary for Public Diplomacy and Public Affairs,,CompanyKeyword,US Vice Chairman William Hybl,,bp_mentionee,41fb0f5ad14068724c482667deeedc17,bp_mentionee__41fb0f5ad14068724c482667deeedc17
nancy izzo-jackson,US Assistant Secretary Nancy Izzo-Jackson,,USA,Assistant Secretary,Washington DC,"Bureau of Population, Refugees and Migration","Under Secretary for Civilian Security, Democracy, and Human Rights",StatePRM,LegislativeCommittee,US Assistant Secretary Nancy Izzo-Jackson,,bp_mentionee,fd3195b483ac06ed0e00c30b7da7f9d6,bp_mentionee__fd3195b483ac06ed0e00c30b7da7f9d6
alphonso jackson,US Member Alphonso Jackson,,USA,Member,Washington DC,J. William Fulbright Foreign Scholarship Board,Bureau of Educational and Cultural Affairs,,space,US Member Alphonso Jackson,,bp_mentionee,ec82d8936a9448d96ebcf809bafd2a70,bp_mentionee__ec82d8936a9448d96ebcf809bafd2a70
bonnie jenkins,US Under Secretary (Intention to Nominate) Bonnie Jenkins,,USA,Under Secretary (Intention to Nominate),Washington DC,Under Secretary for Arms Control and International Security,,Jenkinsbd,Consulates,US Under Secretary (Intention to Nominate) Bonnie Jenkins,,bp_mentionee,841b3b8d819b4b72a6063f42bae3a0f6,bp_mentionee__841b3b8d819b4b72a6063f42bae3a0f6
jennifer jensen,US Member Jennifer Jensen,,USA,Member,Washington DC,Public-Private Partnership Advisory Council to End Human Trafficking,,,Pipeline,US Member Jennifer Jensen,,bp_mentionee,bb6cef7d417e78a027f44d332bd8e6f1,bp_mentionee__bb6cef7d417e78a027f44d332bd8e6f1
jenni jessen,US Member Jenni Jessen,,USA,Member,Washington DC,United States Advisory Council on Human Trafficking,,,News,US Member Jenni Jessen,,bp_mentionee,586fa183518603ac056ce1dd791c7ed2,bp_mentionee__586fa183518603ac056ce1dd791c7ed2
lisa johnson,US Ambassador Lisa Johnson,,Namibia,Ambassador,Windhoek,Office of the U.S. Ambassador to Namibia,U.S. Embassy in Namibia,USEmbNamibia,Exec,US Ambassador Lisa Johnson,,bp_mentionee,6729e361e498afe3b9b1894060f88919,bp_mentionee__6729e361e498afe3b9b1894060f88919
kari johnstone,US Ambassador-at-Large Kari Johnstone,,USA,Ambassador-at-Large,Washington DC,Office to Monitor and Combat Trafficking in Persons,"Under Secretary for Civilian Security, Democracy, and Human Rights",JTIP_State,Refinery,US Ambassador-at-Large Kari Johnstone,,bp_mentionee,704fb9cbf40c0b58324b461bc1d798d2,bp_mentionee__704fb9cbf40c0b58324b461bc1d798d2
c. s. kang,US Under Secretary C. S. Kang,,USA,Under Secretary,Washington DC,Under Secretary for Arms Control and International Security,,UnderSecT,DiplomaticFacilities,US Under Secretary C. S. Kang,,bp_mentionee,51d55c38ea3da2acab581a580e5bf399,bp_mentionee__51d55c38ea3da2acab581a580e5bf399
lisa kenna,US Ambassador (Incoming) Lisa Kenna,,Peru,Ambassador (Incoming),Lima,Office of the U.S. Ambassador to Peru,U.S. Embassy in Peru,USEMBASSYPERU,FTO,US Ambassador (Incoming) Lisa Kenna,,bp_mentionee,8c717ed08631810a55fb2689880634a8,bp_mentionee__8c717ed08631810a55fb2689880634a8
john kerry,US Special Presidential Envoy for Climate John Kerry,,USA,Special Presidential Envoy for Climate,Washington DC,Office of the Special Presidential Envoy for Climate,Office of the Secretary,JohnKerry,IndustryTerm,US Special Presidential Envoy for Climate John Kerry,,bp_mentionee,a1bcea701f18decef2b9181c162066e0,bp_mentionee__a1bcea701f18decef2b9181c162066e0
