german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pfeilstrasse,"Pfeilstrasse in Cologne, Germany",50.9367972,6.9410929,1,,,,,,space,"Pfeilstrasse in Cologne, Germany",,german_fires_cologne_locations,14920d3cc9adab1fe1131e1444c7d235,german_fires_cologne_locations__14920d3cc9adab1fe1131e1444c7d235
pferdmengesstrasse,"Pferdmengesstrasse in Cologne, Germany",50.9012127,6.9737113,1,,,,,,Organization,"Pferdmengesstrasse in Cologne, Germany",,german_fires_cologne_locations,aa6e6fe4e74f73c4605ed1bb372d13fa,german_fires_cologne_locations__aa6e6fe4e74f73c4605ed1bb372d13fa
pfingstrosenweg,"Pfingstrosenweg in Cologne, Germany",50.921657,6.986767,1,,,,,,ForeignMinistry,"Pfingstrosenweg in Cologne, Germany",,german_fires_cologne_locations,e362dc29320e38b24525eaf2b895651d,german_fires_cologne_locations__e362dc29320e38b24525eaf2b895651d
pfitznerstrasse,"Pfitznerstrasse in Cologne, Germany",50.9357923,6.9185155,1,,,,,,FTO,"Pfitznerstrasse in Cologne, Germany",,german_fires_cologne_locations,6cdc10da9d8151a74aa8b8044c548e55,german_fires_cologne_locations__6cdc10da9d8151a74aa8b8044c548e55
pflasterhofweg,"Pflasterhofweg in Cologne, Germany",50.876143,7.0308343,1,,,,,,space,"Pflasterhofweg in Cologne, Germany",,german_fires_cologne_locations,8be6386a6bc56634ef354481debd94a7,german_fires_cologne_locations__8be6386a6bc56634ef354481debd94a7
philipp-reis-strasse,"Philipp-Reis-strasse in Cologne, Germany",50.885504,7.0596412,1,,,,,,Organization,"Philipp-Reis-strasse in Cologne, Germany",,german_fires_cologne_locations,ac20b8f2891ac96357119f732213a80a,german_fires_cologne_locations__ac20b8f2891ac96357119f732213a80a
philipp-rohl-strasse,"Philipp-Rohl-strasse in Cologne, Germany",50.9249438,6.8722715,1,,,,,,Diplomat,"Philipp-Rohl-strasse in Cologne, Germany",,german_fires_cologne_locations,d75a86acb98af4d53cb909a6acfb785a,german_fires_cologne_locations__d75a86acb98af4d53cb909a6acfb785a
philippstrasse,"Philippstrasse in Cologne, Germany",50.9500462,6.9205934,1,,,,,,AAEntity,"Philippstrasse in Cologne, Germany",,german_fires_cologne_locations,a5d2c728e85979bbe690833d49a49d4e,german_fires_cologne_locations__a5d2c728e85979bbe690833d49a49d4e
philipp-wirtgen-strasse,"Philipp-Wirtgen-strasse in Cologne, Germany",50.966329,6.9745776,1,,,,,,Consulates,"Philipp-Wirtgen-strasse in Cologne, Germany",,german_fires_cologne_locations,0dab89a5d7fdbc9a0b958316da67a0e4,german_fires_cologne_locations__0dab89a5d7fdbc9a0b958316da67a0e4
philipp-zorn-strasse,"Philipp-Zorn-strasse in Cologne, Germany",50.9754153,6.9682064,1,,,,,,Keyphrase,"Philipp-Zorn-strasse in Cologne, Germany",,german_fires_cologne_locations,f8440c56c48a82cbf9b9ed6352ccec89,german_fires_cologne_locations__f8440c56c48a82cbf9b9ed6352ccec89
picassoplatz,"Picassoplatz in Cologne, Germany",50.9432501,6.971313,1,,,,,,Refinery,"Picassoplatz in Cologne, Germany",,german_fires_cologne_locations,2b3f85c5f2556f8e9e731bdc8fcbf231,german_fires_cologne_locations__2b3f85c5f2556f8e9e731bdc8fcbf231
piccoloministrasse,"Piccoloministrasse in Cologne, Germany",50.9716383,7.0388979,1,,,,,,Pipeline,"Piccoloministrasse in Cologne, Germany",,german_fires_cologne_locations,c5700b9c670fc5c2e4b656f3062996d4,german_fires_cologne_locations__c5700b9c670fc5c2e4b656f3062996d4
pierstrasse,"Pierstrasse in Cologne, Germany",50.8495899,6.9770841,1,,,,,,Organization,"Pierstrasse in Cologne, Germany",,german_fires_cologne_locations,1463071f881421bcf8346214d0927d59,german_fires_cologne_locations__1463071f881421bcf8346214d0927d59
pilgrimstrasse,"Pilgrimstrasse in Cologne, Germany",50.9354741,6.9400215,1,,,,,,CompanyKeyword,"Pilgrimstrasse in Cologne, Germany",,german_fires_cologne_locations,fe88aa0bf8d1fbbad09c964cae9409a3,german_fires_cologne_locations__fe88aa0bf8d1fbbad09c964cae9409a3
pilzweg,"Pilzweg in Cologne, Germany",50.9834728,7.063749,1,,,,,,ForeignMinistry,"Pilzweg in Cologne, Germany",,german_fires_cologne_locations,74c0269580df8168c2d3abf910ff21f7,german_fires_cologne_locations__74c0269580df8168c2d3abf910ff21f7
pingenweg,"Pingenweg in Cologne, Germany",51.0024317,6.9002755,1,,,,,,Pipeline,"Pingenweg in Cologne, Germany",,german_fires_cologne_locations,2a0deda82525c48315a472833978b6a8,german_fires_cologne_locations__2a0deda82525c48315a472833978b6a8
pingsdorfer strasse,"Pingsdorfer strasse in Cologne, Germany",50.8952145,6.9544918,1,,,,,,ForeignMinistry,"Pingsdorfer strasse in Cologne, Germany",,german_fires_cologne_locations,7430b0e8295a07a2591d172aa9abd7bd,german_fires_cologne_locations__7430b0e8295a07a2591d172aa9abd7bd
pinienweg,"Pinienweg in Cologne, Germany",51.0004481,6.8565819,1,,,,,,Exec,"Pinienweg in Cologne, Germany",,german_fires_cologne_locations,b4d062e3faf9815d3571de3ca252a8aa,german_fires_cologne_locations__b4d062e3faf9815d3571de3ca252a8aa
pinovaweg,"Pinovaweg in Cologne, Germany",50.999029,6.8541954,1,,,,,,Pipeline,"Pinovaweg in Cologne, Germany",,german_fires_cologne_locations,48e356378aeff28c62bf0878ed3c011e,german_fires_cologne_locations__48e356378aeff28c62bf0878ed3c011e
pionierstrasse,"Pionierstrasse in Cologne, Germany",50.9644571,6.9784555,1,,,,,,CompanyKeyword,"Pionierstrasse in Cologne, Germany",,german_fires_cologne_locations,ba3da0bd96353dd9da6cdbb1237a494a,german_fires_cologne_locations__ba3da0bd96353dd9da6cdbb1237a494a
pipinstrasse,"Pipinstrasse in Cologne, Germany",50.9352497,6.9579077,1,,,,,,Person,"Pipinstrasse in Cologne, Germany",,german_fires_cologne_locations,a1e7ac8b8ecd7b1bebf900d079d57c9d,german_fires_cologne_locations__a1e7ac8b8ecd7b1bebf900d079d57c9d
pirolweg,"Pirolweg in Cologne, Germany",50.954057,6.8807243,1,,,,,,Person,"Pirolweg in Cologne, Germany",,german_fires_cologne_locations,6b2055997d441c8dc286ab28c59d1da1,german_fires_cologne_locations__6b2055997d441c8dc286ab28c59d1da1
piusstrasse,"Piusstrasse in Cologne, Germany",50.9415748,6.9226585,1,,,,,,ForeignMinister,"Piusstrasse in Cologne, Germany",,german_fires_cologne_locations,f4254396cdc340eea588b4236c8ac6dc,german_fires_cologne_locations__f4254396cdc340eea588b4236c8ac6dc
planckstrasse,"Planckstrasse in Cologne, Germany",50.886904,7.0681585,1,,,,,,Diplomat,"Planckstrasse in Cologne, Germany",,german_fires_cologne_locations,ab27c85522ee7e754d92cd314ff2af43,german_fires_cologne_locations__ab27c85522ee7e754d92cd314ff2af43
planitzweg,"Planitzweg in Cologne, Germany",50.8515682,7.1406397,1,,,,,,Keyphrase,"Planitzweg in Cologne, Germany",,german_fires_cologne_locations,1da599b1659d30c5b1a6aadcf1ea6d68,german_fires_cologne_locations__1da599b1659d30c5b1a6aadcf1ea6d68
plankgasse,"Plankgasse in Cologne, Germany",50.9474982,6.9533785,1,,,,,,FTO,"Plankgasse in Cologne, Germany",,german_fires_cologne_locations,2cc851faefae0e8ed328b8fe75702808,german_fires_cologne_locations__2cc851faefae0e8ed328b8fe75702808
plantagenstrasse,"Plantagenstrasse in Cologne, Germany",50.9323988,7.0179625,1,,,,,,Exec,"Plantagenstrasse in Cologne, Germany",,german_fires_cologne_locations,8523db81f79e53bf16d3609378cc17f9,german_fires_cologne_locations__8523db81f79e53bf16d3609378cc17f9
platanenweg,"Platanenweg in Cologne, Germany",50.9617302,6.8956172,1,,,,,,AAEntity,"Platanenweg in Cologne, Germany",,german_fires_cologne_locations,cf56e748321d9e4142f06934ecd4c3d6,german_fires_cologne_locations__cf56e748321d9e4142f06934ecd4c3d6
platenstrasse,"Platenstrasse in Cologne, Germany",50.9538673,6.9150709,1,,,,,,Consulates,"Platenstrasse in Cologne, Germany",,german_fires_cologne_locations,8c273450c1c5f1b0730ffdfdc9708d1c,german_fires_cologne_locations__8c273450c1c5f1b0730ffdfdc9708d1c
platz der kulturen,"Platz der Kulturen in Cologne, Germany",50.940854,6.960231,1,,,,,,Refinery,"Platz der Kulturen in Cologne, Germany",,german_fires_cologne_locations,31623e55258a9d1be552869466ee6f1a,german_fires_cologne_locations__31623e55258a9d1be552869466ee6f1a
plectrudengasse,"Plectrudengasse in Cologne, Germany",50.9346214,6.95952,1,,,,,,DiplomaticFacilities,"Plectrudengasse in Cologne, Germany",,german_fires_cologne_locations,2bf38e5103dfd1a3d71a08b660c5c7b7,german_fires_cologne_locations__2bf38e5103dfd1a3d71a08b660c5c7b7
pletschbachweg,"Pletschbachweg in Cologne, Germany",51.0625565,6.8685155,1,,,,,,ForeignMinister,"Pletschbachweg in Cologne, Germany",,german_fires_cologne_locations,60cb2209bbc0cbc57c6121a92ca1de5e,german_fires_cologne_locations__60cb2209bbc0cbc57c6121a92ca1de5e
plettenberger strasse,"Plettenberger strasse in Cologne, Germany",50.9413225,7.0369613,1,,,,,,AAEntity,"Plettenberger strasse in Cologne, Germany",,german_fires_cologne_locations,5ed98201352df2b7dbd41838879c7c94,german_fires_cologne_locations__5ed98201352df2b7dbd41838879c7c94
pliniusstrasse,"Pliniusstrasse in Cologne, Germany",50.9661605,6.9743497,1,,,,,,Pipeline,"Pliniusstrasse in Cologne, Germany",,german_fires_cologne_locations,09ede05ab7fcce0183752100f1f88a2a,german_fires_cologne_locations__09ede05ab7fcce0183752100f1f88a2a
pohlhofstrasse,"Pohlhofstrasse in Cologne, Germany",51.0100975,6.8435568,1,,,,,,Consulates,"Pohlhofstrasse in Cologne, Germany",,german_fires_cologne_locations,a09a201e0ed037e5deaa2a823218bb1a,german_fires_cologne_locations__a09a201e0ed037e5deaa2a823218bb1a
pohligstrasse,"Pohligstrasse in Cologne, Germany",50.9177888,6.9395332,1,,,,,,Person,"Pohligstrasse in Cologne, Germany",,german_fires_cologne_locations,63c24709f421bb181ff11d393fadcebc,german_fires_cologne_locations__63c24709f421bb181ff11d393fadcebc
pohlmanstrasse,"Pohlmanstrasse in Cologne, Germany",50.9762621,6.9671996,1,,,,,,Legislator,"Pohlmanstrasse in Cologne, Germany",,german_fires_cologne_locations,9e60e2fc0a83d899fecd8b876fdfd2f9,german_fires_cologne_locations__9e60e2fc0a83d899fecd8b876fdfd2f9
pohlstadtsweg,"Pohlstadtsweg in Cologne, Germany",50.9418363,7.0712297,1,,,,,,Consulates,"Pohlstadtsweg in Cologne, Germany",,german_fires_cologne_locations,ff6f7d9e009275dd4bca541a47e94875,german_fires_cologne_locations__ff6f7d9e009275dd4bca541a47e94875
poller damm,"Poller Damm in Cologne, Germany",50.9108577,6.996167,1,,,,,,Consulates,"Poller Damm in Cologne, Germany",,german_fires_cologne_locations,3cb4efc1bc1c1ea1b40bb49135ea5cc2,german_fires_cologne_locations__3cb4efc1bc1c1ea1b40bb49135ea5cc2
poller hauptstrasse,"Poller Hauptstrasse in Cologne, Germany",50.9114356,6.9901876,1,,,,,,Exec,"Poller Hauptstrasse in Cologne, Germany",,german_fires_cologne_locations,73f30b22010d6cb212d30d795f07bb13,german_fires_cologne_locations__73f30b22010d6cb212d30d795f07bb13
poller holzweg,"Poller Holzweg in Cologne, Germany",50.9175282,7.0056373,1,,,,,,ForeignMinister,"Poller Holzweg in Cologne, Germany",,german_fires_cologne_locations,0ada8ad4cb981e1f8a0c72f6b5e53626,german_fires_cologne_locations__0ada8ad4cb981e1f8a0c72f6b5e53626
poller kirchweg,"Poller Kirchweg in Cologne, Germany",50.921146,6.9818989,1,,,,,,Shipping,"Poller Kirchweg in Cologne, Germany",,german_fires_cologne_locations,78144ee52057fefeff900a922dd03b02,german_fires_cologne_locations__78144ee52057fefeff900a922dd03b02
poller weg,"Poller Weg in Cologne, Germany",50.9071493,7.0068628,1,,,,,,ForeignMinistry,"Poller Weg in Cologne, Germany",,german_fires_cologne_locations,6546e0ffb10c995e4d189cdcce71c1b0,german_fires_cologne_locations__6546e0ffb10c995e4d189cdcce71c1b0
