org,caption_name,guid,hq_address,hq_lat,hq_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
tube8,Tube8,,"San Francisco, US",37.7756852,-122.4179707,AAEntity,Tube8,,bug_bounty_hackerone_mapping,c986a10f07c2960d0eba630fbb4e4150,bug_bounty_hackerone_mapping__c986a10f07c2960d0eba630fbb4e4150
jamieweb,JamieWeb,,"San Francisco, US",37.7756852,-122.4179707,Wells,JamieWeb,,bug_bounty_hackerone_mapping,93109b097cadc63bfa27e76c81ceb84b,bug_bounty_hackerone_mapping__93109b097cadc63bfa27e76c81ceb84b
tendermint,Tendermint,,"Tendermint, Berkeley, CA, USA",37.8715226,-122.273042,Keyphrase,Tendermint,,bug_bounty_hackerone_mapping,6697dbabbf1c1bb3c86972616055dbea,bug_bounty_hackerone_mapping__6697dbabbf1c1bb3c86972616055dbea
crowdstrike,Crowdstrike,bf4a86f7dafcbcf775aac40e5b6d1d31,"Crowdstrike, Sunnyvale, California, United States",37.3776783,-122.0332625,ForeignMinistry,Crowdstrike,,bug_bounty_hackerone_mapping,ed0a2027905123263d7ea564e8bc2532,bug_bounty_hackerone_mapping__ed0a2027905123263d7ea564e8bc2532
fanduel,FanDuel,,"San Francisco, US",37.7756852,-122.4179707,News,FanDuel,,bug_bounty_hackerone_mapping,f5fe75177747eaf0597bd6e2a451bfd6,bug_bounty_hackerone_mapping__f5fe75177747eaf0597bd6e2a451bfd6
insulet corporation,Insulet Corporation,,"Isulet Corporation, Acton, Massachusetts, United States",42.523724,-71.422163,Diplomat,Insulet Corporation,,bug_bounty_hackerone_mapping,490e1cd40013cff98adfabcbbc221fc9,bug_bounty_hackerone_mapping__490e1cd40013cff98adfabcbbc221fc9
bmw group,BMW Group,b80ef0ce876c4ca2aaaebe2ec640d4fd,"BMW, Munich, Germany",48.188012,11.5740858,Media,BMW Group,,bug_bounty_hackerone_mapping,5227f7938f9731a2900a261883c77467,bug_bounty_hackerone_mapping__5227f7938f9731a2900a261883c77467
curve,Curve,,"San Francisco, US",37.7756852,-122.4179707,Shipping,Curve,,bug_bounty_hackerone_mapping,2cb4d4a3f8dacd623fa045a44febd476,bug_bounty_hackerone_mapping__2cb4d4a3f8dacd623fa045a44febd476
facebook,Facebook,5f93a33c704b55fb5824e3f7dce802d0,"Facebook HQ, Menlo Park, CA, USA",37.485073,-122.1482824,Refinery,Facebook,,bug_bounty_hackerone_mapping,d85544fce402c7a2a96a48078edaf203,bug_bounty_hackerone_mapping__d85544fce402c7a2a96a48078edaf203
bitwala,Bitwala,,"Bitwala, Berlin, Germany",52.5023728,13.4119609,FTO,Bitwala,,bug_bounty_hackerone_mapping,63bbbdc83bca29e59aa7a3d57a55de43,bug_bounty_hackerone_mapping__63bbbdc83bca29e59aa7a3d57a55de43
orion labs,Orion Labs,,"Orion Labs, San Francisco, CA, USA",37.766906,-122.406888,Person,Orion Labs,,bug_bounty_hackerone_mapping,3e9c6dafed23da9a9362de21a670510b,bug_bounty_hackerone_mapping__3e9c6dafed23da9a9362de21a670510b
openmage,OpenMage,,"San Francisco, US",37.7756852,-122.4179707,DiplomaticFacilities,OpenMage,,bug_bounty_hackerone_mapping,c29047fc19150a0bf57478b91d9ef314,bug_bounty_hackerone_mapping__c29047fc19150a0bf57478b91d9ef314
tencent,Tencent,8c16a2b94a1c9a0cbca90cf2e51fab58,"Tencent, Shenzhen, China",22.540434,113.934437,Diplomat,Tencent,,bug_bounty_hackerone_mapping,9414b97199d909061ce91aeb8faa421f,bug_bounty_hackerone_mapping__9414b97199d909061ce91aeb8faa421f
bugpoc,BugPoC,,"San Francisco, US",37.7756852,-122.4179707,AAEntity,BugPoC,,bug_bounty_hackerone_mapping,fce3e8a31f6105b6f20012de18996119,bug_bounty_hackerone_mapping__fce3e8a31f6105b6f20012de18996119
