keyword,guid,caption_name,topic_guid,topic_name,concatenated,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
michaelmiebach,2d896a0b81c537e9b9ea0713628560f2,Mastercard CEO Michael Miebach,214218,Reputation,hashtagContains:MichaelMiebach,space,Mastercard CEO Michael Miebach,,lte_hashtag_contains_mapping,bb1dcda00258438890c5613db930d3c7,lte_hashtag_contains_mapping__bb1dcda00258438890c5613db930d3c7
deepmind,29d99882da5223603d025ccb959dfcbf,DeepMind,214218,Reputation,hashtagContains:DeepMind,Pipeline,DeepMind,,lte_hashtag_contains_mapping,0831beb3084156aee5b3646a045a1151,lte_hashtag_contains_mapping__0831beb3084156aee5b3646a045a1151
demishassabis,29d99882da5223603d025ccb959dfcbf,DeepMind CEO Demis Hassabis,214218,Reputation,hashtagContains:DemisHassabis,Exec,DeepMind CEO Demis Hassabis,,lte_hashtag_contains_mapping,d88891d300a34d21c03bda594a566204,lte_hashtag_contains_mapping__d88891d300a34d21c03bda594a566204
bannerhealth,ae5fdf798738a319b00dc0ac6d06671a,Banner Health,214218,Reputation,hashtagContains:BannerHealth,Refinery,Banner Health,,lte_hashtag_contains_mapping,1815532d49b5071f48352d5baf039a17,lte_hashtag_contains_mapping__1815532d49b5071f48352d5baf039a17
peterfine,ae5fdf798738a319b00dc0ac6d06671a,Banner Health CEO Peter Fine,214218,Reputation,hashtagContains:PeterFine,News,Banner Health CEO Peter Fine,,lte_hashtag_contains_mapping,cf54840650e051aab900b55bae91f8df,lte_hashtag_contains_mapping__cf54840650e051aab900b55bae91f8df
saskpower,606312d90f2a673b838455e4dd37ba35,SaskPower,214218,Reputation,hashtagContains:SaskPower,Organization,SaskPower,,lte_hashtag_contains_mapping,6f805e7423bdda7b1f1375943b35740a,lte_hashtag_contains_mapping__6f805e7423bdda7b1f1375943b35740a
mikemarsh,606312d90f2a673b838455e4dd37ba35,SaskPower CEO Mike Marsh,214218,Reputation,hashtagContains:MikeMarsh,DiplomaticFacilities,SaskPower CEO Mike Marsh,,lte_hashtag_contains_mapping,8d8fc42d559aabbb23068928cc742058,lte_hashtag_contains_mapping__8d8fc42d559aabbb23068928cc742058
dickssportinggoods,452657498a6deb4abe1bfd5d742da282,Dick's Sporting Goods,214218,Reputation,hashtagContains:DICKSSportingGoods,Shipping,Dick's Sporting Goods,,lte_hashtag_contains_mapping,f51beea72e93c6af1c61200e29c63b4f,lte_hashtag_contains_mapping__f51beea72e93c6af1c61200e29c63b4f
edwardstack,452657498a6deb4abe1bfd5d742da282,Dick's Sporting Goods CEO Edward Stack,214218,Reputation,hashtagContains:EdwardStack,Wells,Dick's Sporting Goods CEO Edward Stack,,lte_hashtag_contains_mapping,40db91ab46423ca8cb9c0400713665d9,lte_hashtag_contains_mapping__40db91ab46423ca8cb9c0400713665d9
roku,f89af4ceae5be081915330396da1b796,Roku,214218,Reputation,hashtagContains:Roku,Refinery,Roku,,lte_hashtag_contains_mapping,292eebca0d5aa42928e07457ec8a22b3,lte_hashtag_contains_mapping__292eebca0d5aa42928e07457ec8a22b3
anthonywood,f89af4ceae5be081915330396da1b796,Roku CEO Anthony Wood,214218,Reputation,hashtagContains:AnthonyWood,IndustryTerm,Roku CEO Anthony Wood,,lte_hashtag_contains_mapping,4533615a90eab51c92e802e96d595e28,lte_hashtag_contains_mapping__4533615a90eab51c92e802e96d595e28
docusign,2ca393e84020afd3ca4e9081cc96e94f,Docusign,214218,Reputation,hashtagContains:Docusign,Keyphrase,Docusign,,lte_hashtag_contains_mapping,f13edbe504edc992acac48a0715758aa,lte_hashtag_contains_mapping__f13edbe504edc992acac48a0715758aa
danspringer,2ca393e84020afd3ca4e9081cc96e94f,Docusign CEO Dan Springer,214218,Reputation,hashtagContains:DanSpringer,Person,Docusign CEO Dan Springer,,lte_hashtag_contains_mapping,9e7ceed9658da7c2580843d3b490a112,lte_hashtag_contains_mapping__9e7ceed9658da7c2580843d3b490a112
waymo,69bb2b0e88234d04213412ad72e44ee5;29d99882da5223603d025ccb959dfcbf;422fa12f23e9d8325787f49af1efba4a,Google,214218,Reputation,hashtagContains:Waymo,ForeignMinistry,Google,,lte_hashtag_contains_mapping,8b36e9207c24c76e6719268e49201d94,lte_hashtag_contains_mapping__8b36e9207c24c76e6719268e49201d94
alphabet,69bb2b0e88234d04213412ad72e44ee5;29d99882da5223603d025ccb959dfcbf;422fa12f23e9d8325787f49af1efba4a,Google,214218,Reputation,hashtagContains:Alphabet,Person,Google,,lte_hashtag_contains_mapping,8b36e9207c24c76e6719268e49201d94,lte_hashtag_contains_mapping__8b36e9207c24c76e6719268e49201d94
adtalem,a03153bd0b88c5aa0c4015b844de032e,Adtalem Global Education,214218,Reputation,hashtagContains:Adtalem,Refinery,Adtalem Global Education,,lte_hashtag_contains_mapping,f0aa9ad0650e70b44c61877da70b6e7f,lte_hashtag_contains_mapping__f0aa9ad0650e70b44c61877da70b6e7f
lisawardell,a03153bd0b88c5aa0c4015b844de032e,Adtalem Global Education CEO Lisa Wardell,214218,Reputation,hashtagContains:LisaWardell,Shipping,Adtalem Global Education CEO Lisa Wardell,,lte_hashtag_contains_mapping,3e606cd09474522ebfbc04221fb504e8,lte_hashtag_contains_mapping__3e606cd09474522ebfbc04221fb504e8
