german_text,caption_text,lat,lon,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#gorbitzsud,"Gorbitz-Sud in Dresden, Germany",51.0424959,13.6648734,,,,IndustryTerm,"Gorbitz-Sud in Dresden, Germany",,german_fires_dresden_locations,3aba4ffbe2e7b4fc8ca85c041e28955f,german_fires_dresden_locations__3aba4ffbe2e7b4fc8ca85c041e28955f
#gorbitzost,"Gorbitz-Ost in Dresden, Germany",51.048172,13.677596,,,,DiplomaticFacilities,"Gorbitz-Ost in Dresden, Germany",,german_fires_dresden_locations,d59872a673bffea6efdc150fcf4ec7ec,german_fires_dresden_locations__d59872a673bffea6efdc150fcf4ec7ec
#hirsch,"Hirsch in Dresden, Germany",51.0640401,13.8205582,,,,Person,"Hirsch in Dresden, Germany",,german_fires_dresden_locations,e53b0373132eb2cae1c4d26b82f9625a,german_fires_dresden_locations__e53b0373132eb2cae1c4d26b82f9625a
#rochwitz,"Rochwitz in Dresden, Germany",51.0492668,13.8416044,,,,Shipping,"Rochwitz in Dresden, Germany",,german_fires_dresden_locations,7b363e0246f3bca71bbf7dbb3c96758b,german_fires_dresden_locations__7b363e0246f3bca71bbf7dbb3c96758b
#loschwitznordost,"Loschwitz-Nordost in Dresden, Germany",51.0542554,13.8145314,,,,space,"Loschwitz-Nordost in Dresden, Germany",,german_fires_dresden_locations,ce970540abaf3f8d8cfcbbdcda8bab73,german_fires_dresden_locations__ce970540abaf3f8d8cfcbbdcda8bab73
#niederpoyritz,"Niederpoyritz in Dresden, Germany",51.0289998,13.8465315,,,,LegislativeCommittee,"Niederpoyritz in Dresden, Germany",,german_fires_dresden_locations,7cf12cd850dd550f10725ee4a9ec3c8c,german_fires_dresden_locations__7cf12cd850dd550f10725ee4a9ec3c8c
#sobrigen,"Sobrigen in Dresden, Germany",50.9946871,13.8811523,,,,Consulates,"Sobrigen in Dresden, Germany",,german_fires_dresden_locations,9ebf06b9b1be15cada206a7bc775c96f,german_fires_dresden_locations__9ebf06b9b1be15cada206a7bc775c96f
#oberpoyritz,"Oberpoyritz in Dresden, Germany",51.0014954,13.8978876,,,,Consulates,"Oberpoyritz in Dresden, Germany",,german_fires_dresden_locations,df680da562a063b1525fa2b062883f41,german_fires_dresden_locations__df680da562a063b1525fa2b062883f41
#leipzigervorstadtwest,"Leipziger Vorstadt-West in Dresden, Germany",51.0759476,13.7411739,,,,News,"Leipziger Vorstadt-West in Dresden, Germany",,german_fires_dresden_locations,1a1af708786117dd7933f120e588e179,german_fires_dresden_locations__1a1af708786117dd7933f120e588e179
#kaditzsud,"Kaditz-Sud in Dresden, Germany",51.0826635,13.6848657,,,,CompanyKeyword,"Kaditz-Sud in Dresden, Germany",,german_fires_dresden_locations,1100fc20a257da83d9a87843eb874c9d,german_fires_dresden_locations__1100fc20a257da83d9a87843eb874c9d
