rkeyword,rcaption_name,rlocation,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
аэродроме ваново-северний,Russian Ivanovo Severny air base in Ivanovo,r12,188258,Shipping,Russian Ivanovo Severny air base in Ivanovo,,dgm_russianallmentions,726c68248a2c00b68f728964ed19ba39,dgm_russianallmentions__726c68248a2c00b68f728964ed19ba39
аэродром канск,Russian Kansk air base in Krasnoyarsk Krai,r13,188258,News,Russian Kansk air base in Krasnoyarsk Krai,,dgm_russianallmentions,9d16a685b9867551d807d55bf88d0606,dgm_russianallmentions__9d16a685b9867551d807d55bf88d0606
аэродроме канск,Russian Kansk air base in Krasnoyarsk Krai,r13,188258,Keyphrase,Russian Kansk air base in Krasnoyarsk Krai,,dgm_russianallmentions,9d16a685b9867551d807d55bf88d0606,dgm_russianallmentions__9d16a685b9867551d807d55bf88d0606
авиабаза хмеймим,"Russian Khmeimin air base in Latakia, Syria",r14,188258,FTO,"Russian Khmeimin air base in Latakia, Syria",,dgm_russianallmentions,1671babee6a7673327a9141e4edaec46,dgm_russianallmentions__1671babee6a7673327a9141e4edaec46
авиабазе хмеймим,"Russian Khmeimin air base in Latakia, Syria",r14,188258,News,"Russian Khmeimin air base in Latakia, Syria",,dgm_russianallmentions,1671babee6a7673327a9141e4edaec46,dgm_russianallmentions__1671babee6a7673327a9141e4edaec46
аэродром хороль,Russian Khorol air base in Primorsky Krai,r15,188258,Refinery,Russian Khorol air base in Primorsky Krai,,dgm_russianallmentions,59ae0095e77d602f48a0170487c2a95c,dgm_russianallmentions__59ae0095e77d602f48a0170487c2a95c
аэродроме хороль,Russian Khorol air base in Primorsky Krai,r15,188258,DiplomaticFacilities,Russian Khorol air base in Primorsky Krai,,dgm_russianallmentions,59ae0095e77d602f48a0170487c2a95c,dgm_russianallmentions__59ae0095e77d602f48a0170487c2a95c
аэродром клоково,Russian Klokovo air base in Tula,r16,188258,IndustryTerm,Russian Klokovo air base in Tula,,dgm_russianallmentions,a129e01b19f43592acc29f75ed2fdc04,dgm_russianallmentions__a129e01b19f43592acc29f75ed2fdc04
аэродроме клоково,Russian Klokovo air base in Tula,r16,188258,LegislativeCommittee,Russian Klokovo air base in Tula,,dgm_russianallmentions,a129e01b19f43592acc29f75ed2fdc04,dgm_russianallmentions__a129e01b19f43592acc29f75ed2fdc04
аэропорт кондинское,Russian Kondinskoye Airport in Khanty-Mansi Autonomous Okrug,r17,188258,ForeignMinistry,Russian Kondinskoye Airport in Khanty-Mansi Autonomous Okrug,,dgm_russianallmentions,80dd3052e0768aa51b8bf121966a1717,dgm_russianallmentions__80dd3052e0768aa51b8bf121966a1717
аэропорте кондинское,Russian Kondinskoye Airport in Khanty-Mansi Autonomous Okrug,r17,188258,Pipeline,Russian Kondinskoye Airport in Khanty-Mansi Autonomous Okrug,,dgm_russianallmentions,80dd3052e0768aa51b8bf121966a1717,dgm_russianallmentions__80dd3052e0768aa51b8bf121966a1717
аэродром кубинка,Russian Kubinka air base in Moscow Oblast,r18,188258,ForeignMinistry,Russian Kubinka air base in Moscow Oblast,,dgm_russianallmentions,323de2e2f9729b36372750b2b1331d69,dgm_russianallmentions__323de2e2f9729b36372750b2b1331d69
аэродроме кубинка,Russian Kubinka air base in Moscow Oblast,r18,188258,Refinery,Russian Kubinka air base in Moscow Oblast,,dgm_russianallmentions,323de2e2f9729b36372750b2b1331d69,dgm_russianallmentions__323de2e2f9729b36372750b2b1331d69
аэродром левашово,Russian Levashovo air base in St Petersburg,r19,188258,Organization,Russian Levashovo air base in St Petersburg,,dgm_russianallmentions,f4d8b942535d890c0ecde7b1eec652c2,dgm_russianallmentions__f4d8b942535d890c0ecde7b1eec652c2
аэродроме левашово,Russian Levashovo air base in St Petersburg,r19,188258,Consulates,Russian Levashovo air base in St Petersburg,,dgm_russianallmentions,f4d8b942535d890c0ecde7b1eec652c2,dgm_russianallmentions__f4d8b942535d890c0ecde7b1eec652c2
аэродром липецк-2,Russian Lipetsk air base in Lipetsk,r20,188258,Pipeline,Russian Lipetsk air base in Lipetsk,,dgm_russianallmentions,4106052d77b045ca41508396131e7b91,dgm_russianallmentions__4106052d77b045ca41508396131e7b91
аэродроме липецк-2,Russian Lipetsk air base in Lipetsk,r20,188258,Organization,Russian Lipetsk air base in Lipetsk,,dgm_russianallmentions,4106052d77b045ca41508396131e7b91,dgm_russianallmentions__4106052d77b045ca41508396131e7b91
аэропорт лоухи-3,Russian Loukhi-3 Air base in Karelia Republic,r21,188258,ForeignMinister,Russian Loukhi-3 Air base in Karelia Republic,,dgm_russianallmentions,9755fa5ace7292d9d986c4efcc84c557,dgm_russianallmentions__9755fa5ace7292d9d986c4efcc84c557
аэропорте лоухи-3,Russian Loukhi-3 Air base in Karelia Republic,r21,188258,Exec,Russian Loukhi-3 Air base in Karelia Republic,,dgm_russianallmentions,9755fa5ace7292d9d986c4efcc84c557,dgm_russianallmentions__9755fa5ace7292d9d986c4efcc84c557
авиабаза майсионвара,Russian Maysionvara air base in Suojarvia,r22,188258,Media,Russian Maysionvara air base in Suojarvia,,dgm_russianallmentions,e3b22df01f5487a7e3ca991fe1669a28,dgm_russianallmentions__e3b22df01f5487a7e3ca991fe1669a28
авиабазе майсионвара,Russian Maysionvara air base in Suojarvia,r22,188258,ForeignMinistry,Russian Maysionvara air base in Suojarvia,,dgm_russianallmentions,e3b22df01f5487a7e3ca991fe1669a28,dgm_russianallmentions__e3b22df01f5487a7e3ca991fe1669a28
аэродром менгон,Russian Mengon air base in Khabarovsk Krai,r23,188258,Exec,Russian Mengon air base in Khabarovsk Krai,,dgm_russianallmentions,88b519a838588e8637b0a4cc1346b2f4,dgm_russianallmentions__88b519a838588e8637b0a4cc1346b2f4
аэродроме менгон,Russian Mengon air base in Khabarovsk Krai,r23,188258,Refinery,Russian Mengon air base in Khabarovsk Krai,,dgm_russianallmentions,88b519a838588e8637b0a4cc1346b2f4,dgm_russianallmentions__88b519a838588e8637b0a4cc1346b2f4
аэродром мичуринск,Russian Michurinsk air base in Tambov Oblast,r24,188258,Consulates,Russian Michurinsk air base in Tambov Oblast,,dgm_russianallmentions,0a80afc709e9c7680787ef4dd830f4f2,dgm_russianallmentions__0a80afc709e9c7680787ef4dd830f4f2
аэродроме мичуринск,Russian Michurinsk air base in Tambov Oblast,r24,188258,Wells,Russian Michurinsk air base in Tambov Oblast,,dgm_russianallmentions,0a80afc709e9c7680787ef4dd830f4f2,dgm_russianallmentions__0a80afc709e9c7680787ef4dd830f4f2
аэродром остров большевик,Russian Ostrov Bolshevik air base on Bolshevik Island,r25,188258,News,Russian Ostrov Bolshevik air base on Bolshevik Island,,dgm_russianallmentions,fd1fed4f4c9cf887fd920e258486c13a,dgm_russianallmentions__fd1fed4f4c9cf887fd920e258486c13a
аэродроме остров большевик,Russian Ostrov Bolshevik air base on Bolshevik Island,r25,188258,Refinery,Russian Ostrov Bolshevik air base on Bolshevik Island,,dgm_russianallmentions,fd1fed4f4c9cf887fd920e258486c13a,dgm_russianallmentions__fd1fed4f4c9cf887fd920e258486c13a
аэродром печора,Russian Pechora air base in Berezovka,r26,188258,space,Russian Pechora air base in Berezovka,,dgm_russianallmentions,9e15d71a53bdbfbc70604a3c2f74eb00,dgm_russianallmentions__9e15d71a53bdbfbc70604a3c2f74eb00
аэродроме печора,Russian Pechora air base in Berezovka,r26,188258,Keyphrase,Russian Pechora air base in Berezovka,,dgm_russianallmentions,9e15d71a53bdbfbc70604a3c2f74eb00,dgm_russianallmentions__9e15d71a53bdbfbc70604a3c2f74eb00
аэродром берёзовка,Russian Pechora air base in Berezovka,r26,188258,Refinery,Russian Pechora air base in Berezovka,,dgm_russianallmentions,9e15d71a53bdbfbc70604a3c2f74eb00,dgm_russianallmentions__9e15d71a53bdbfbc70604a3c2f74eb00
аэродроме берёзовка,Russian Pechora air base in Berezovka,r26,188258,Keyphrase,Russian Pechora air base in Berezovka,,dgm_russianallmentions,9e15d71a53bdbfbc70604a3c2f74eb00,dgm_russianallmentions__9e15d71a53bdbfbc70604a3c2f74eb00
авиабаза подужеме,Russian Podyzhemye air base in Kem,r27,188258,Consulates,Russian Podyzhemye air base in Kem,,dgm_russianallmentions,8e0910e5bbc2f7d57e6574e3ac40e853,dgm_russianallmentions__8e0910e5bbc2f7d57e6574e3ac40e853
авиабазе подужеме,Russian Podyzhemye air base in Kem,r27,188258,Shipping,Russian Podyzhemye air base in Kem,,dgm_russianallmentions,8e0910e5bbc2f7d57e6574e3ac40e853,dgm_russianallmentions__8e0910e5bbc2f7d57e6574e3ac40e853
аэродром правдинск,Russian Pravdinsk air base in Kaliningrad Oblast,r28,188258,Exec,Russian Pravdinsk air base in Kaliningrad Oblast,,dgm_russianallmentions,724af1f7cab6d93a850812e6e06560be,dgm_russianallmentions__724af1f7cab6d93a850812e6e06560be
аэродроме правдинск,Russian Pravdinsk air base in Kaliningrad Oblast,r28,188258,FTO,Russian Pravdinsk air base in Kaliningrad Oblast,,dgm_russianallmentions,724af1f7cab6d93a850812e6e06560be,dgm_russianallmentions__724af1f7cab6d93a850812e6e06560be
аэродром рогачёво,Russian Rogachovo air base on Yuzhny Island,r29,188258,News,Russian Rogachovo air base on Yuzhny Island,,dgm_russianallmentions,21cf6784c684e7bc45ada1f4cd40b7bc,dgm_russianallmentions__21cf6784c684e7bc45ada1f4cd40b7bc
аэродроме рогачёво,Russian Rogachovo air base on Yuzhny Island,r29,188258,LegislativeCommittee,Russian Rogachovo air base on Yuzhny Island,,dgm_russianallmentions,21cf6784c684e7bc45ada1f4cd40b7bc,dgm_russianallmentions__21cf6784c684e7bc45ada1f4cd40b7bc
аэродром савватия,Russian Savatiya air base in Arkhangelsk Oblast,r30,188258,FTO,Russian Savatiya air base in Arkhangelsk Oblast,,dgm_russianallmentions,21ac88c3caa255dd41d27faedddc9b95,dgm_russianallmentions__21ac88c3caa255dd41d27faedddc9b95
аэродроме савватия,Russian Savatiya air base in Arkhangelsk Oblast,r30,188258,CompanyKeyword,Russian Savatiya air base in Arkhangelsk Oblast,,dgm_russianallmentions,21ac88c3caa255dd41d27faedddc9b95,dgm_russianallmentions__21ac88c3caa255dd41d27faedddc9b95
аэродром шайковка,Russian Shaykovka air base in Kaluga Oblast,r31,188258,AAEntity,Russian Shaykovka air base in Kaluga Oblast,,dgm_russianallmentions,7387b0bdcfcf0e76467c4c47b1082251,dgm_russianallmentions__7387b0bdcfcf0e76467c4c47b1082251
аэродроме шайковка,Russian Shaykovka air base in Kaluga Oblast,r31,188258,Pipeline,Russian Shaykovka air base in Kaluga Oblast,,dgm_russianallmentions,7387b0bdcfcf0e76467c4c47b1082251,dgm_russianallmentions__7387b0bdcfcf0e76467c4c47b1082251
аэродром тикси-западный,Russian Tiksi West air base in Sakha Republic,r32,188258,Pipeline,Russian Tiksi West air base in Sakha Republic,,dgm_russianallmentions,569302cf85f92b958f34d7becea385fb,dgm_russianallmentions__569302cf85f92b958f34d7becea385fb
аэродроме тикси-западный,Russian Tiksi West air base in Sakha Republic,r32,188258,Refinery,Russian Tiksi West air base in Sakha Republic,,dgm_russianallmentions,569302cf85f92b958f34d7becea385fb,dgm_russianallmentions__569302cf85f92b958f34d7becea385fb
центральная угловая,Russian Uglovoye airfield in Vozdvizhenka,r33,188258,ForeignMinister,Russian Uglovoye airfield in Vozdvizhenka,,dgm_russianallmentions,f46692897576c674097432d746f23119,dgm_russianallmentions__f46692897576c674097432d746f23119
центральной угловой,Russian Uglovoye airfield in Vozdvizhenka,r33,188258,Legislator,Russian Uglovoye airfield in Vozdvizhenka,,dgm_russianallmentions,f46692897576c674097432d746f23119,dgm_russianallmentions__f46692897576c674097432d746f23119
аэродром укурей,Russian Ukurey air base in Chernysevsk,r34,188258,Keyphrase,Russian Ukurey air base in Chernysevsk,,dgm_russianallmentions,425fdeb7f62ee984af49b48d3a17c2b7,dgm_russianallmentions__425fdeb7f62ee984af49b48d3a17c2b7
аэродроме укурей,Russian Ukurey air base in Chernysevsk,r34,188258,Consulates,Russian Ukurey air base in Chernysevsk,,dgm_russianallmentions,425fdeb7f62ee984af49b48d3a17c2b7,dgm_russianallmentions__425fdeb7f62ee984af49b48d3a17c2b7
аэродром орешково,Russian Oreshkovo air base in Vorotynsk,r35,188258,Shipping,Russian Oreshkovo air base in Vorotynsk,,dgm_russianallmentions,cf50bf54c8cdbec69570dabeff4b0d1c,dgm_russianallmentions__cf50bf54c8cdbec69570dabeff4b0d1c
аэродроме орешково,Russian Oreshkovo air base in Vorotynsk,r35,188258,Media,Russian Oreshkovo air base in Vorotynsk,,dgm_russianallmentions,cf50bf54c8cdbec69570dabeff4b0d1c,dgm_russianallmentions__cf50bf54c8cdbec69570dabeff4b0d1c
аэродром алакуртти,Russian Alakurtti air base in Murmansk Oblast,r36,188258,ForeignMinister,Russian Alakurtti air base in Murmansk Oblast,,dgm_russianallmentions,965bb69be6263ea11a8c0bb85977fe67,dgm_russianallmentions__965bb69be6263ea11a8c0bb85977fe67
аэродроме алакуртти,Russian Alakurtti air base in Murmansk Oblast,r36,188258,Diplomat,Russian Alakurtti air base in Murmansk Oblast,,dgm_russianallmentions,965bb69be6263ea11a8c0bb85977fe67,dgm_russianallmentions__965bb69be6263ea11a8c0bb85977fe67
аэродром черняховск,Russian Chernyakhovsk air base in Kaliningrad Oblast,r37,188258,Media,Russian Chernyakhovsk air base in Kaliningrad Oblast,,dgm_russianallmentions,0f69c5b21f5533af0088448b637c84db,dgm_russianallmentions__0f69c5b21f5533af0088448b637c84db
аэродроме черняховск,Russian Chernyakhovsk air base in Kaliningrad Oblast,r37,188258,Diplomat,Russian Chernyakhovsk air base in Kaliningrad Oblast,,dgm_russianallmentions,0f69c5b21f5533af0088448b637c84db,dgm_russianallmentions__0f69c5b21f5533af0088448b637c84db
аэродром гремиха,Russian Gremikha air base in Kachalovka,r38,188258,Organization,Russian Gremikha air base in Kachalovka,,dgm_russianallmentions,d445bedeb8b834afffa0c83db9659543,dgm_russianallmentions__d445bedeb8b834afffa0c83db9659543
аэродроме гремиха,Russian Gremikha air base in Kachalovka,r38,188258,Person,Russian Gremikha air base in Kachalovka,,dgm_russianallmentions,d445bedeb8b834afffa0c83db9659543,dgm_russianallmentions__d445bedeb8b834afffa0c83db9659543
аэродром чкаловский,Russian Chkalovsk air base in Kaliningrad,r39,188258,Shipping,Russian Chkalovsk air base in Kaliningrad,,dgm_russianallmentions,de1df64691b01fe9f458f5dd0882b3f7,dgm_russianallmentions__de1df64691b01fe9f458f5dd0882b3f7
аэродроме чкаловский,Russian Chkalovsk air base in Kaliningrad,r39,188258,DiplomaticFacilities,Russian Chkalovsk air base in Kaliningrad,,dgm_russianallmentions,de1df64691b01fe9f458f5dd0882b3f7,dgm_russianallmentions__de1df64691b01fe9f458f5dd0882b3f7
ленинградская военно-морская база,Russian Leningrad Naval base in St Petersburg,r40,188258,CompanyKeyword,Russian Leningrad Naval base in St Petersburg,,dgm_russianallmentions,ef4650d1394dba935480d0ee33e2df85,dgm_russianallmentions__ef4650d1394dba935480d0ee33e2df85
ленинградской военно-морской базе,Russian Leningrad Naval base in St Petersburg,r40,188258,Media,Russian Leningrad Naval base in St Petersburg,,dgm_russianallmentions,ef4650d1394dba935480d0ee33e2df85,dgm_russianallmentions__ef4650d1394dba935480d0ee33e2df85
аэродром веретье,Russian Ostrov air base in Pskov Oblast,r41,188258,FTO,Russian Ostrov air base in Pskov Oblast,,dgm_russianallmentions,86c7fb399ed95bdc7e05132faf4cb9e5,dgm_russianallmentions__86c7fb399ed95bdc7e05132faf4cb9e5
аэродроме веретье,Russian Ostrov air base in Pskov Oblast,r41,188258,FTO,Russian Ostrov air base in Pskov Oblast,,dgm_russianallmentions,86c7fb399ed95bdc7e05132faf4cb9e5,dgm_russianallmentions__86c7fb399ed95bdc7e05132faf4cb9e5
