handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
brandon_k_yip,District Councillor Brandon Yip,Keyphrase,District Councillor Brandon Yip,,dgm_hong_kong_ei_key_authors,116ef24d3ff8c5e74331629e8c7eda34,dgm_hong_kong_ei_key_authors__116ef24d3ff8c5e74331629e8c7eda34
clarisseysy,Former district councillor Clarisse Yeung,Consulates,Former district councillor Clarisse Yeung,,dgm_hong_kong_ei_key_authors,8fadbae446e2470b250ee0ddf01ca636,dgm_hong_kong_ei_key_authors__8fadbae446e2470b250ee0ddf01ca636
kennethl_legco,Former legislative council member Kenneth Leung,Refinery,Former legislative council member Kenneth Leung,,dgm_hong_kong_ei_key_authors,55ab928efab9dd85563a1ce6af205c2a,dgm_hong_kong_ei_key_authors__55ab928efab9dd85563a1ce6af205c2a
ramonyuen3,District Councillor Ramon Yuen,FTO,District Councillor Ramon Yuen,,dgm_hong_kong_ei_key_authors,84180899afc7e2378de9e88da194e068,dgm_hong_kong_ei_key_authors__84180899afc7e2378de9e88da194e068
chhung10,Former district councillor C H Hung,Shipping,Former district councillor C H Hung,,dgm_hong_kong_ei_key_authors,2115f8228c0f8b66616a8bbe5ee14f98,dgm_hong_kong_ei_key_authors__2115f8228c0f8b66616a8bbe5ee14f98
kwongchunyu,District Councillor Roy Kwong,space,District Councillor Roy Kwong,,dgm_hong_kong_ei_key_authors,04aae4ea5912088210db7cf3a7e5c96f,dgm_hong_kong_ei_key_authors__04aae4ea5912088210db7cf3a7e5c96f
denniswhkwok,Former legislative council member Dennis Kwok,IndustryTerm,Former legislative council member Dennis Kwok,,dgm_hong_kong_ei_key_authors,491209abb4c04aa4c6febed853785cdb,dgm_hong_kong_ei_key_authors__491209abb4c04aa4c6febed853785cdb
tiffanyykw,Former district councillor Tiffany Yuen,Media,Former district councillor Tiffany Yuen,,dgm_hong_kong_ei_key_authors,f4725dacbc6f23b73eb00f34f7e2c75e,dgm_hong_kong_ei_key_authors__f4725dacbc6f23b73eb00f34f7e2c75e
leotlchu,District Councillor Leo Chu,FTO,District Councillor Leo Chu,,dgm_hong_kong_ei_key_authors,277ae3fa9a6221aa81d183d3ca5fbdd9,dgm_hong_kong_ei_key_authors__277ae3fa9a6221aa81d183d3ca5fbdd9
carmenkamanlau,Former district councillor Carmen Lau,News,Former district councillor Carmen Lau,,dgm_hong_kong_ei_key_authors,cc7c4e4dc67568128fb50c6c0d1a770d,dgm_hong_kong_ei_key_authors__cc7c4e4dc67568128fb50c6c0d1a770d
