keyword,caption_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
delta,Force Protection Condition Delta,188258,Consulates,Force Protection Condition Delta,,fpcon_mentionee,31ccd86c4d51fa3c0115a68823de0a48,fpcon_mentionee__31ccd86c4d51fa3c0115a68823de0a48
normal,Force Protection Condition Normal,188258,Keyphrase,Force Protection Condition Normal,,fpcon_mentionee,74c38af3cd5b14bc01d9fc1b1d65440a,fpcon_mentionee__74c38af3cd5b14bc01d9fc1b1d65440a
charlie,Force Protection Condition Charlie,188258,Media,Force Protection Condition Charlie,,fpcon_mentionee,65728fc14902faa689a7bc3a829c354b,fpcon_mentionee__65728fc14902faa689a7bc3a829c354b
bravo,Force Protection Condition Bravo,188258,Shipping,Force Protection Condition Bravo,,fpcon_mentionee,c235d4dd68051082ea874d264a39124e,fpcon_mentionee__c235d4dd68051082ea874d264a39124e
alpha,Force Protection Condition Alpha,188258,space,Force Protection Condition Alpha,,fpcon_mentionee,3b6010645bab01dcfb3db3892eff3026,fpcon_mentionee__3b6010645bab01dcfb3db3892eff3026
