german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
lisztstrasse,"Lisztstrasse in Monchengladbach, Germany",51.1373252,6.4089131,1,,,,AAEntity,"Lisztstrasse in Monchengladbach, Germany",,german_fires_monchengladbach_locations,77b478f83675ef2629c1be1535b2fe53,german_fires_monchengladbach_locations__761162d23fbc70afffc11bacf9799426
werner-luderitz-weg,"Werner-Luderitz-Weg in Monchengladbach, Germany",51.1119056,6.4183331,1,,,,News,"Werner-Luderitz-Weg in Monchengladbach, Germany",,german_fires_monchengladbach_locations,82e5d393fda92eb20797bdfc95038502,german_fires_monchengladbach_locations__6f77537386b07eb8c35c8eeab369f015
am tannenwaldchen,"Am Tannenwaldchen in Monchengladbach, Germany",51.1133954,6.417039,1,,,,Shipping,"Am Tannenwaldchen in Monchengladbach, Germany",,german_fires_monchengladbach_locations,55737f4194194db78fd21ddacc8d5da3,german_fires_monchengladbach_locations__907e9f7c29d43a2e7c555ec0d13fd52c
schultheissenstrasse,"Schultheissenstrasse in Monchengladbach, Germany",51.1548003,6.4830536,1,,,,DiplomaticFacilities,"Schultheissenstrasse in Monchengladbach, Germany",,german_fires_monchengladbach_locations,d01990b8bb4bfc4e3049c05926b941da,german_fires_monchengladbach_locations__5f9ff744091f8446acfaa5e59fbaef30
bahnhofsplatz,"Bahnhofsplatz in Monchengladbach, Germany",51.1323744,6.4119622,1,,,,space,"Bahnhofsplatz in Monchengladbach, Germany",,german_fires_monchengladbach_locations,28547ae8616bde081a3520253d22aea4,german_fires_monchengladbach_locations__72e05b83714457aa15c5813c2c373b79
bethelstrasse,"Bethelstrasse in Monchengladbach, Germany",51.153648,6.4922189,1,,,,Organization,"Bethelstrasse in Monchengladbach, Germany",,german_fires_monchengladbach_locations,7883f65804f88947a1fc4fab1bcf332f,german_fires_monchengladbach_locations__9df6a8aa39c9e05b8269a2d4882b196a
stahlenend,"Stahlenend in Monchengladbach, Germany",51.1041294,6.4185375,1,,,,Consulates,"Stahlenend in Monchengladbach, Germany",,german_fires_monchengladbach_locations,89d5792c88bb6851f61eb9fab1f54af7,german_fires_monchengladbach_locations__a7e3e18ba333aa3d0e64b1de25299b92
dahler weg,"Dahler Weg in Monchengladbach, Germany",51.1256447,6.3980891,1,,,,CompanyKeyword,"Dahler Weg in Monchengladbach, Germany",,german_fires_monchengladbach_locations,aca06f6684ffc037eb7e4dc382e33c43,german_fires_monchengladbach_locations__ce521de0b64944dcf8e2227c9339fc34
zur alten bahn,"Zur Alten Bahn in Monchengladbach, Germany",51.148414,6.4159811,1,,,,Consulates,"Zur Alten Bahn in Monchengladbach, Germany",,german_fires_monchengladbach_locations,f5166d8ed23288b1eb2b547aaf0d186c,german_fires_monchengladbach_locations__5f7ca24d815861d651b6a5984867c9b8
venrather weg,"Venrather Weg in Monchengladbach, Germany",51.1044583,6.3702553,1,,,,IndustryTerm,"Venrather Weg in Monchengladbach, Germany",,german_fires_monchengladbach_locations,481de46b6419b52515967f531024face,german_fires_monchengladbach_locations__78e22a8acab0e8b516509b0f200fe915
jagersteg,"Jagersteg in Monchengladbach, Germany",51.1196399,6.3653271,1,,,,Exec,"Jagersteg in Monchengladbach, Germany",,german_fires_monchengladbach_locations,0d406f9d29126505f25b4d88807e25e3,german_fires_monchengladbach_locations__ba92e242ab0fcfb848f475cbce7c3ecc
am bruch,"Am Bruch in Monchengladbach, Germany",51.112342,6.4084957,1,,,,Legislator,"Am Bruch in Monchengladbach, Germany",,german_fires_monchengladbach_locations,696bbc6d384825bc501cbbf50ac3ef29,german_fires_monchengladbach_locations__3be580f72db81fc72e3c48c38c37e3b6
honiggasse,"Honiggasse in Monchengladbach, Germany",51.1298961,6.4124987,1,,,,space,"Honiggasse in Monchengladbach, Germany",,german_fires_monchengladbach_locations,9a001cf6aabdd397709889bbd1237e34,german_fires_monchengladbach_locations__d94e521149f8fd8924338a92a9497f39
vikarienweg,"Vikarienweg in Monchengladbach, Germany",51.1544667,6.4898877,1,,,,FTO,"Vikarienweg in Monchengladbach, Germany",,german_fires_monchengladbach_locations,708a237df23b2cfba1a5295a2ba7f27a,german_fires_monchengladbach_locations__5ee8bf3427bb008d8c79927db03d0e83
in der dellen,"In der Dellen in Monchengladbach, Germany",51.1197102,6.3544659,1,,,,Exec,"In der Dellen in Monchengladbach, Germany",,german_fires_monchengladbach_locations,c4ceb771dad31e3bd4cc1ee21386ab46,german_fires_monchengladbach_locations__29d34b136a1c463bd758c45b83eb0b25
straussstrasse,"Straussstrasse in Monchengladbach, Germany",51.1344908,6.4101858,1,,,,Media,"Straussstrasse in Monchengladbach, Germany",,german_fires_monchengladbach_locations,89c33fe9e730ce9622feafd20c5b36c4,german_fires_monchengladbach_locations__beb2fcc8ef3edbdb41428971baffc4a8
handelstrasse,"Handelstrasse in Monchengladbach, Germany",51.1349884,6.4071023,1,,,,Diplomat,"Handelstrasse in Monchengladbach, Germany",,german_fires_monchengladbach_locations,83f20f4342ce48ba550c5cf5b870538a,german_fires_monchengladbach_locations__dd3b154e224798ed65e43b2ad287ad72
andreasstrasse,"Andreasstrasse in Monchengladbach, Germany",51.1534513,6.4873336,1,,,,Consulates,"Andreasstrasse in Monchengladbach, Germany",,german_fires_monchengladbach_locations,48802fb57acb17d2a6045caa63ad6b24,german_fires_monchengladbach_locations__8e3ed3e190755a0fb0c35738c433d60d
verdistrasse,"Verdistrasse in Monchengladbach, Germany",51.1328408,6.4085177,1,,,,Keyphrase,"Verdistrasse in Monchengladbach, Germany",,german_fires_monchengladbach_locations,c1a8ce22434bfc1d12c1d7ee3880bdb5,german_fires_monchengladbach_locations__958e6e9d8065da52e6ca23e938273126
an der waldesruh,"An der Waldesruh in Monchengladbach, Germany",51.1568683,6.4795394,1,,,,ForeignMinistry,"An der Waldesruh in Monchengladbach, Germany",,german_fires_monchengladbach_locations,6760368743c872900fddd73848085600,german_fires_monchengladbach_locations__4bba1fc4875fa0fe430d6831a0cb7fb6
am muhlenberg,"Am Muhlenberg in Monchengladbach, Germany",51.1122298,6.4138681,1,,,,Exec,"Am Muhlenberg in Monchengladbach, Germany",,german_fires_monchengladbach_locations,ff85557f848d7ddc57d9f2a03a8752c4,german_fires_monchengladbach_locations__03f9e3655a3ee2b583198f4e9a8bb09b
palandweg,"Palandweg in Monchengladbach, Germany",51.1677188,6.5122811,1,,,,FTO,"Palandweg in Monchengladbach, Germany",,german_fires_monchengladbach_locations,37bcbb10716d6ce8f7603c5dc8f84b4c,german_fires_monchengladbach_locations__70105a0119dd19ae66f4589fadbe7839
