german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kolbeweg,"Kolbeweg in Darmstadt, Germany",49.8494484,8.6320733,1,,,,,,,,FTO,"Kolbeweg in Darmstadt, Germany",,german_fires_darmstadt_locations,73788e7b7b5e4202a737a2c349ea0dd4,german_fires_darmstadt_locations__73788e7b7b5e4202a737a2c349ea0dd4
kollwitzweg,"Kollwitzweg in Darmstadt, Germany",49.9076951,8.6640131,1,,,,,,,,LegislativeCommittee,"Kollwitzweg in Darmstadt, Germany",,german_fires_darmstadt_locations,1710387be1be1502e499b0b345df2989,german_fires_darmstadt_locations__1710387be1be1502e499b0b345df2989
kolner str.,"Kolner Str. in Darmstadt, Germany",49.8815729,8.6170296,1,,,,,,,,DiplomaticFacilities,"Kolner Str. in Darmstadt, Germany",,german_fires_darmstadt_locations,b39b79a668d4d363cc0ede23e4c3531e,german_fires_darmstadt_locations__b39b79a668d4d363cc0ede23e4c3531e
kolpingweg,"Kolpingweg in Darmstadt, Germany",49.9175142,8.6545393,1,,,,,,,,AAEntity,"Kolpingweg in Darmstadt, Germany",,german_fires_darmstadt_locations,baef2e7c20ea2f820503fde5d683e9b5,german_fires_darmstadt_locations__baef2e7c20ea2f820503fde5d683e9b5
kopernikusplatz,"Kopernikusplatz in Darmstadt, Germany",49.8781547,8.6617826,1,,,,,,,,Refinery,"Kopernikusplatz in Darmstadt, Germany",,german_fires_darmstadt_locations,c18fcf6b638e08b7dd77a329e1cf8b28,german_fires_darmstadt_locations__c18fcf6b638e08b7dd77a329e1cf8b28
korellweg,"Korellweg in Darmstadt, Germany",49.8331777,8.6530525,1,,,,,,,,DiplomaticFacilities,"Korellweg in Darmstadt, Germany",,german_fires_darmstadt_locations,c984a26bbd347afda6d184b18d18d85b,german_fires_darmstadt_locations__c984a26bbd347afda6d184b18d18d85b
kornerstr.,"Kornerstr. in Darmstadt, Germany",49.9309363,8.6435361,1,,,,,,,,IndustryTerm,"Kornerstr. in Darmstadt, Germany",,german_fires_darmstadt_locations,d86d81f589e560551b77b83b7851625a,german_fires_darmstadt_locations__d86d81f589e560551b77b83b7851625a
kornweg,"Kornweg in Darmstadt, Germany",49.9000701,8.6677678,1,,,,,,,,Wells,"Kornweg in Darmstadt, Germany",,german_fires_darmstadt_locations,dd63b5ada67b6b72367f1f6984c65606,german_fires_darmstadt_locations__dd63b5ada67b6b72367f1f6984c65606
kranichsteiner str.,"Kranichsteiner Str. in Darmstadt, Germany",49.9030246,8.7009407,1,,,,,,,,Media,"Kranichsteiner Str. in Darmstadt, Germany",,german_fires_darmstadt_locations,6bc71671e419731709d75363c7da0256,german_fires_darmstadt_locations__6bc71671e419731709d75363c7da0256
krohweg,"Krohweg in Darmstadt, Germany",49.8660639,8.6496185,1,,,,,,,,LegislativeCommittee,"Krohweg in Darmstadt, Germany",,german_fires_darmstadt_locations,fd1dce5aa24f57597dc1cf67a3975e95,german_fires_darmstadt_locations__fd1dce5aa24f57597dc1cf67a3975e95
kronstadter weg,"Kronstadter Weg in Darmstadt, Germany",49.8506448,8.6231054,1,,,,,,,,Media,"Kronstadter Weg in Darmstadt, Germany",,german_fires_darmstadt_locations,ae0070027d9ded12021a01311a80e4d5,german_fires_darmstadt_locations__ae0070027d9ded12021a01311a80e4d5
