handle,caption_name,location_lower,exclude_groups,include_groups,entity_type,location,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
bujqesiagoval,Albanian agriculture ministry,albania,albania;country;stateprovince,,agriculture ministry,Albania,41.153332,20.168331,AgricultureMinistry,Albanian agriculture ministry,,noneng_dgm_agr_mentioner_government,09be30080a19b86befd0af2bc6a9ac0c,noneng_dgm_agr_mentioner_government__09be30080a19b86befd0af2bc6a9ac0c
madr_algerie,Algerian agriculture ministry,algeria,algeria;country;stateprovince,,agriculture ministry,Algeria,28.033886,1.659626,AgricultureMinistry,Algerian agriculture ministry,,noneng_dgm_agr_mentioner_government,1a364a42567339b0557a2229344c0ab9,noneng_dgm_agr_mentioner_government__1a364a42567339b0557a2229344c0ab9
bmlrt_at,Austrian agriculture ministry,austria,austria;country;stateprovince,,agriculture ministry,Austria,47.516231,14.550072,AgricultureMinistry,Austrian agriculture ministry,,noneng_dgm_agr_mentioner_government,10630ea2def0498996d39d894cb81ebe,noneng_dgm_agr_mentioner_government__10630ea2def0498996d39d894cb81ebe
bahrain_works,Bahraini agriculture ministry,bahrain,bahrain;country;stateprovince,,agriculture ministry,Bahrain,26.0667,50.5577,AgricultureMinistry,Bahraini agriculture ministry,,noneng_dgm_agr_mentioner_government,22b06b401242e1e405fb885c323bbdf4,noneng_dgm_agr_mentioner_government__22b06b401242e1e405fb885c323bbdf4
mshp_by,Belarusian agriculture ministry,belarus,belarus;country;stateprovince,,agriculture ministry,Belarus,53.709807,27.953389,AgricultureMinistry,Belarusian agriculture ministry,,noneng_dgm_agr_mentioner_government,2716b02572aa8a94b4ed430dc12f232c,noneng_dgm_agr_mentioner_government__2716b02572aa8a94b4ed430dc12f232c
moafbhutan,Bhutanese agriculture ministry,bhutan,bhutan;country;stateprovince,,agriculture ministry,Bhutan,27.514162,90.433601,AgricultureMinistry,Bhutanese agriculture ministry,,noneng_dgm_agr_mentioner_government,031d80ae1b1c665a7773f33608b86c65,noneng_dgm_agr_mentioner_government__031d80ae1b1c665a7773f33608b86c65
mdrytoficial,Bolivian agriculture ministry,bolivia,bolivia;country;stateprovince,,agriculture ministry,Bolivia,-16.290154,-63.588653,AgricultureMinistry,Bolivian agriculture ministry,,noneng_dgm_agr_mentioner_government,f93aa436ae38a5d2eade31343aec2143,noneng_dgm_agr_mentioner_government__f93aa436ae38a5d2eade31343aec2143
bg_maff,Bulgarian agriculture ministry,bulgaria,bulgaria;country;stateprovince,,agriculture ministry,Bulgaria,42.733883,25.48583,AgricultureMinistry,Bulgarian agriculture ministry,,noneng_dgm_agr_mentioner_government,4aa25e59e60ad9650f5c94a3ebf930b5,noneng_dgm_agr_mentioner_government__4aa25e59e60ad9650f5c94a3ebf930b5
bmineagrie,Burundi agriculture ministry,burundi,burundi;country;stateprovince,,agriculture ministry,Burundi,-3.373056,29.918886,AgricultureMinistry,Burundi agriculture ministry,,noneng_dgm_agr_mentioner_government,eb74b3b49eb357399f9e638d67a95940,noneng_dgm_agr_mentioner_government__eb74b3b49eb357399f9e638d67a95940
minagrici,Ivorian agriculture ministry,côte d'ivoire,côte d'ivoire;country;stateprovince,,agriculture ministry,Côte d'Ivoire,7.539989,-5.54708,AgricultureMinistry,Ivorian agriculture ministry,,noneng_dgm_agr_mentioner_government,42f4227f61c3b0e70805af831004631e,noneng_dgm_agr_mentioner_government__42f4227f61c3b0e70805af831004631e
minadercm,Cameroonian agriculture ministry,cameroon,cameroon;country;stateprovince,,agriculture ministry,Cameroon,7.369722,12.354722,AgricultureMinistry,Cameroonian agriculture ministry,,noneng_dgm_agr_mentioner_government,cbedea3e26791570b85c79ba8381df05,noneng_dgm_agr_mentioner_government__cbedea3e26791570b85c79ba8381df05
elevagetchad,Chadian agriculture ministry,chad,chad;country;stateprovince,,agriculture ministry,Chad,15.454166,18.732207,AgricultureMinistry,Chadian agriculture ministry,,noneng_dgm_agr_mentioner_government,bdf50b322ef17217dd2899e62af0bf66,noneng_dgm_agr_mentioner_government__bdf50b322ef17217dd2899e62af0bf66
minagricl,Chilean agriculture ministry,chile,chile;country;stateprovince,,agriculture ministry,Chile,-35.675147,-71.542969,AgricultureMinistry,Chilean agriculture ministry,,noneng_dgm_agr_mentioner_government,35c0ad4b90a8e7bc90618fa257e8bdc7,noneng_dgm_agr_mentioner_government__35c0ad4b90a8e7bc90618fa257e8bdc7
