keyword,caption_name,groups,topic_id,entity_type,guid,Lat,Lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
seabornevirginisland,Seaborne Airlines,airline operators,,airline operators,,,,AirlineOperators,Seaborne Airlines,,dgm_tsa_mentioned_entities,be8e2730ccaa6479f780fd08139522b1,dgm_tsa_mentioned_entities__be8e2730ccaa6479f780fd08139522b1
seaborneairlines,Seaborne Airlines,airline operators,,airline operators,,,,AirlineOperators,Seaborne Airlines,,dgm_tsa_mentioned_entities,7cc5201316448aa3b83eff1f0e7a203e,dgm_tsa_mentioned_entities__7cc5201316448aa3b83eff1f0e7a203e
seaborne airlines,Seaborne Airlines,airline operators,,airline operators,,,,AirlineOperators,Seaborne Airlines,,dgm_tsa_mentioned_entities,6bb77eff70760f6b7467f92cc7fea2eb,dgm_tsa_mentioned_entities__6bb77eff70760f6b7467f92cc7fea2eb
scandinavian airlines,Scandinavian Airlines,airline operators,,airline operators,e59b53cd9703cfef5917eab38e125993,,,AirlineOperators,Scandinavian Airlines,,dgm_tsa_mentioned_entities,0a175942ab639e48e1cf726107902224,dgm_tsa_mentioned_entities__0a175942ab639e48e1cf726107902224
saudia,Saudia Airlines,airline operators,,airline operators,,,,AirlineOperators,Saudia Airlines,,dgm_tsa_mentioned_entities,ed2826f6acb69e3eb60654dc19178c66,dgm_tsa_mentioned_entities__ed2826f6acb69e3eb60654dc19178c66
saudi arabian airlines,Saudia Airlines,airline operators,,airline operators,,,,AirlineOperators,Saudia Airlines,,dgm_tsa_mentioned_entities,b680f13e7fc4e99957dbb205d98047d9,dgm_tsa_mentioned_entities__b680f13e7fc4e99957dbb205d98047d9
sata internacional,Azores Airlines,airline operators,,airline operators,,,,AirlineOperators,Azores Airlines,,dgm_tsa_mentioned_entities,f837f617cce4db984a800a8be232ce0f,dgm_tsa_mentioned_entities__f837f617cce4db984a800a8be232ce0f
royal jordanian,Royal Jordanian Airlines,airline operators,,airline operators,dd209d9bed004ddca99c95e642d60a35,,,AirlineOperators,Royal Jordanian Airlines,,dgm_tsa_mentioned_entities,d4ea8b8c41728df50b1b7077c4276f58,dgm_tsa_mentioned_entities__d4ea8b8c41728df50b1b7077c4276f58
royal air maroc,Royal Air Maroc,airline operators,,airline operators,,,,AirlineOperators,Royal Air Maroc,,dgm_tsa_mentioned_entities,31df9d26e44fe5f40f76010d074945cf,dgm_tsa_mentioned_entities__31df9d26e44fe5f40f76010d074945cf
rossaviation,Rectrix Aviation,airline operators,,airline operators,,,,AirlineOperators,Rectrix Aviation,,dgm_tsa_mentioned_entities,a349166473116264c26bd2a228832804,dgm_tsa_mentioned_entities__a349166473116264c26bd2a228832804
