german_word,caption_text,threshold,topic,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
dringender entstorungsarbeiten,urgent repairs,Local Signal,,1005,IndustryTerm,urgent repairs,,german_mapping_eventType,e4b35ed6b2a793b964a0a92d93e7ae93,german_mapping_eventType__e4b35ed6b2a793b964a0a92d93e7ae93
einwirkung dritter,interference with rail traffic,Local Signal,,1005,Diplomat,interference with rail traffic,,german_mapping_eventType,74e59fd4abaa29409d63b5c2182bf00a,german_mapping_eventType__74e59fd4abaa29409d63b5c2182bf00a
entgleist,train derailed,Local Urgent,188129,5,News,train derailed,,german_mapping_eventType,b4aec5c831b475eb03fbd068ebbb3581,german_mapping_eventType__b4aec5c831b475eb03fbd068ebbb3581
explosion,explosion,National Urgent,188118,2,Legislator,explosion,,german_mapping_eventType,0f90cac94bfd7222b85c4114d122c5ac,german_mapping_eventType__0f90cac94bfd7222b85c4114d122c5ac
#explosion,explosion,National Urgent,188118,2,FTO,explosion,,german_mapping_eventType,0f90cac94bfd7222b85c4114d122c5ac,german_mapping_eventType__0f90cac94bfd7222b85c4114d122c5ac
extreme witterung,adverse weather conditions,Local Signal,188141,1005,space,adverse weather conditions,,german_mapping_eventType,bdde80955d1f25976eb67ffbc364b430,german_mapping_eventType__bdde80955d1f25976eb67ffbc364b430
fahrzeugstorung,train fault,Local Signal,,1005,News,train fault,,german_mapping_eventType,e2d28ad966780fffcc8a474190f76edc,german_mapping_eventType__e2d28ad966780fffcc8a474190f76edc
fehlender triebfahrzeugfuhrer,lack of driver,Local Signal,,1005,Exec,lack of driver,,german_mapping_eventType,9beb8a12530745f4e90d26b4209340cf,german_mapping_eventType__9beb8a12530745f4e90d26b4209340cf
feuermeldung,fire alarm,Signal,188118,30,IndustryTerm,fire alarm,,german_mapping_eventType,1133e0d9630e7e4f2158776df786993f,german_mapping_eventType__1133e0d9630e7e4f2158776df786993f
feuerwehrtaucher,police diver operation,Local Urgent,"188118, 188290",8,Keyphrase,police diver operation,,german_mapping_eventType,3e6a79f9d711e6520cc9f239c819c1d8,german_mapping_eventType__3e6a79f9d711e6520cc9f239c819c1d8
frost,frost,Local Signal,188141,1005,Pipeline,frost,,german_mapping_eventType,2b82477bcccc369d9d8ed30bb1200803,german_mapping_eventType__2b82477bcccc369d9d8ed30bb1200803
gas-leck,gas leak,Local Urgent,"188241, 188188",12,Person,gas leak,,german_mapping_eventType,1516240bc89a1a494e8aeb67393b5886,german_mapping_eventType__1516240bc89a1a494e8aeb67393b5886
gasaustromung,gas leak,Local Urgent,"188241, 188188",12,IndustryTerm,gas leak,,german_mapping_eventType,1516240bc89a1a494e8aeb67393b5886,german_mapping_eventType__1516240bc89a1a494e8aeb67393b5886
gleisarbeit,track maintenance,Local Signal,,1005,Refinery,track maintenance,,german_mapping_eventType,d7b8fef8b1936135e0d21d9418833a60,german_mapping_eventType__d7b8fef8b1936135e0d21d9418833a60
gleisarbeiten,track maintenance,Local Signal,,1005,Exec,track maintenance,,german_mapping_eventType,d7b8fef8b1936135e0d21d9418833a60,german_mapping_eventType__d7b8fef8b1936135e0d21d9418833a60
grossbrand,large scale fire,Local Urgent,188118,3,Wells,large scale fire,,german_mapping_eventType,d24e65b50aa0842ebaa931898ee20979,german_mapping_eventType__d24e65b50aa0842ebaa931898ee20979
haltezeituberschreitung,missing stop,Local Signal,,1005,Legislator,missing stop,,german_mapping_eventType,04e6613730002f8a9d63ad0334e3240a,german_mapping_eventType__04e6613730002f8a9d63ad0334e3240a
heimrauchmelder,fire alarm,Signal,188118,30,LegislativeCommittee,fire alarm,,german_mapping_eventType,1133e0d9630e7e4f2158776df786993f,german_mapping_eventType__1133e0d9630e7e4f2158776df786993f
hilfeleistung,assistance,Signal,188118,31,FTO,assistance,,german_mapping_eventType,bfd175972bfae38549e3a3cf51a4be1d,german_mapping_eventType__bfd175972bfae38549e3a3cf51a4be1d
hohe verspatung,severe delays,Local Signal,,1005,AAEntity,severe delays,,german_mapping_eventType,4cbde256bf4ebae547b5e534e6e9e040,german_mapping_eventType__4cbde256bf4ebae547b5e534e6e9e040
hohes fahrgastaufkommen,high volume of passengers,Local Signal,,1000,LegislativeCommittee,high volume of passengers,,german_mapping_eventType,a6ff3951a10a4ce9f0d49aac64f8aff0,german_mapping_eventType__a6ff3951a10a4ce9f0d49aac64f8aff0
infrastrukturstorung,infrastructure disruption,Local Signal,,1005,IndustryTerm,infrastructure disruption,,german_mapping_eventType,d4bd721459e0bf51bc4822d389b48186,german_mapping_eventType__d4bd721459e0bf51bc4822d389b48186
kohlenstoffmonoxid,carbon monoxide leak,Local Urgent,188122,13,Exec,carbon monoxide leak,,german_mapping_eventType,fc7b7d6e1332d9e1705a8dcd6a3da0ac,german_mapping_eventType__fc7b7d6e1332d9e1705a8dcd6a3da0ac
nicht besetzten stellwerks,signal failure,Local Signal,,1005,Shipping,signal failure,,german_mapping_eventType,3ad354dd2ca59aa58063ae6005bf5d62,german_mapping_eventType__3ad354dd2ca59aa58063ae6005bf5d62
notarzteinsatz,emergency medical services deployment,Signal,188118,25,Legislator,emergency medical services deployment,,german_mapping_eventType,32523fd6b8014cf23061e90027da944e,german_mapping_eventType__32523fd6b8014cf23061e90027da944e
notarzteinsatz,medical emergency,Local Signal,,1005,News,medical emergency,,german_mapping_eventType,4256f04ee2c146f0a3aa7b7a440af8b9,german_mapping_eventType__4256f04ee2c146f0a3aa7b7a440af8b9
notarzteinsatzes,medical emergency,Local Signal,,1005,Keyphrase,medical emergency,,german_mapping_eventType,4256f04ee2c146f0a3aa7b7a440af8b9,german_mapping_eventType__4256f04ee2c146f0a3aa7b7a440af8b9
notwendige arbeiten am zug,emergency works to train,Local Signal,,1005,Media,emergency works to train,,german_mapping_eventType,1e0cdc2524124b06ebba2cedd6a8456b,german_mapping_eventType__1e0cdc2524124b06ebba2cedd6a8456b
notwendige bauarbeiten,emergency construction works,Local Signal,,1005,Exec,emergency construction works,,german_mapping_eventType,5a43a7c0197e4fbbb5ae80525b426dd2,german_mapping_eventType__5a43a7c0197e4fbbb5ae80525b426dd2
olspur,oil leak,Signal,"188122, 188130",15,ForeignMinister,oil leak,,german_mapping_eventType,df69819bfaece77dc34f9025387c8d5d,german_mapping_eventType__df69819bfaece77dc34f9025387c8d5d
personalausfall,staff shortage,Local Signal,,1005,Pipeline,staff shortage,,german_mapping_eventType,743d13e53703055d3039a76cb60d7ef9,german_mapping_eventType__743d13e53703055d3039a76cb60d7ef9
personenimgleis,people on the tracks,Signal,,1005,FTO,people on the tracks,,german_mapping_eventType,a5e383b0c363bcd70bdd2871125baeae,german_mapping_eventType__a5e383b0c363bcd70bdd2871125baeae
pkw im gleis,car on tracks,Local Signal,188130,1005,Exec,car on tracks,,german_mapping_eventType,6fd1a48cbcef65afac61ff22e90d17e8,german_mapping_eventType__6fd1a48cbcef65afac61ff22e90d17e8
polizeieinsatzes,police operation,Signal,188296,1005,Legislator,police operation,,german_mapping_eventType,c8bd87d3ad562a87dd0e41d34e8d11b7,german_mapping_eventType__c8bd87d3ad562a87dd0e41d34e8d11b7
polizeilichen anordnung,police operation,Signal,188296,1005,LegislativeCommittee,police operation,,german_mapping_eventType,c8bd87d3ad562a87dd0e41d34e8d11b7,german_mapping_eventType__c8bd87d3ad562a87dd0e41d34e8d11b7
rauchentwicklung,smoke development,Signal,188118,26,Pipeline,smoke development,,german_mapping_eventType,bad60da01d9a579edbb290ced12ec8ea,german_mapping_eventType__bad60da01d9a579edbb290ced12ec8ea
rauchwolke,smoke development,Signal,188118,29,Wells,smoke development,,german_mapping_eventType,bad60da01d9a579edbb290ced12ec8ea,german_mapping_eventType__bad60da01d9a579edbb290ced12ec8ea
reanimation,reanimation,Signal,188118,32,Pipeline,reanimation,,german_mapping_eventType,3abddbc0f32ca5b5d56af802ee1fd8a0,german_mapping_eventType__3abddbc0f32ca5b5d56af802ee1fd8a0
rettungsdiensteinsatz,rescue service deployment,Signal,188118,24,Keyphrase,rescue service deployment,,german_mapping_eventType,219fe1bcccdcff084ab11f588098a522,german_mapping_eventType__219fe1bcccdcff084ab11f588098a522
s-bahn,train,Signal,188129,36,Wells,train,,german_mapping_eventType,61b3a8faa9c1091806675c230a9abe64,german_mapping_eventType__61b3a8faa9c1091806675c230a9abe64
sbahn,train,Signal,188129,39,space,train,,german_mapping_eventType,61b3a8faa9c1091806675c230a9abe64,german_mapping_eventType__61b3a8faa9c1091806675c230a9abe64
schaden an der oberleitung,damage to overhead wires,Local Signal,,1005,Wells,damage to overhead wires,,german_mapping_eventType,d8014e4d5d8d65afc2a928295f2ef562,german_mapping_eventType__d8014e4d5d8d65afc2a928295f2ef562
schnee,snow,Local Signal,188141,1005,News,snow,,german_mapping_eventType,2b93fbdf27d43547bec8794054c28e00,german_mapping_eventType__2b93fbdf27d43547bec8794054c28e00
schnee und eis,snow and ice,Local Signal,188141,1005,Legislator,snow and ice,,german_mapping_eventType,e37779e45a7f8a1d8384280c709946b6,german_mapping_eventType__e37779e45a7f8a1d8384280c709946b6
schweren unfall,serious accident,Local Urgent,188130,9,Keyphrase,serious accident,,german_mapping_eventType,32aadc146bf1368f75604f226e5e4fc6,german_mapping_eventType__32aadc146bf1368f75604f226e5e4fc6
schwerer unfall,serious crash,Local Urgent,188130,10,Media,serious crash,,german_mapping_eventType,ba74fc1de09c0a39ea1800c6534d2788,german_mapping_eventType__ba74fc1de09c0a39ea1800c6534d2788
signalstorung,signal failure,Local Signal,,1005,CompanyKeyword,signal failure,,german_mapping_eventType,3ad354dd2ca59aa58063ae6005bf5d62,german_mapping_eventType__3ad354dd2ca59aa58063ae6005bf5d62
stellwerkausfall,signal failure,Local Signal,,1005,Keyphrase,signal failure,,german_mapping_eventType,3ad354dd2ca59aa58063ae6005bf5d62,german_mapping_eventType__3ad354dd2ca59aa58063ae6005bf5d62
stellwerksstorung,signal failure,Local Signal,,1005,AAEntity,signal failure,,german_mapping_eventType,3ad354dd2ca59aa58063ae6005bf5d62,german_mapping_eventType__3ad354dd2ca59aa58063ae6005bf5d62
storung am gleis,disruption on track,Local Signal,,1005,Wells,disruption on track,,german_mapping_eventType,ff3e694ad79a1f63f9fcb3a0e427e9fc,german_mapping_eventType__ff3e694ad79a1f63f9fcb3a0e427e9fc
storung an einem stellwerk,signal failure,Local Signal,,1005,ForeignMinistry,signal failure,,german_mapping_eventType,3ad354dd2ca59aa58063ae6005bf5d62,german_mapping_eventType__3ad354dd2ca59aa58063ae6005bf5d62
storungen an den signalanlagen,signal problems,Local Signal,,1005,ForeignMinister,signal problems,,german_mapping_eventType,9df797a31333b26068819ca24ac9ebcc,german_mapping_eventType__9df797a31333b26068819ca24ac9ebcc
strassenbahn,train,Signal,188129,34,space,train,,german_mapping_eventType,61b3a8faa9c1091806675c230a9abe64,german_mapping_eventType__61b3a8faa9c1091806675c230a9abe64
technische storung,technical issue,Local Signal,,1005,ForeignMinister,technical issue,,german_mapping_eventType,1834bf4c288e45da8da6b92f9f9e6887,german_mapping_eventType__1834bf4c288e45da8da6b92f9f9e6887
technischen storung,technical issue,Local Signal,,1005,Pipeline,technical issue,,german_mapping_eventType,1834bf4c288e45da8da6b92f9f9e6887,german_mapping_eventType__1834bf4c288e45da8da6b92f9f9e6887
technische storung an der lok,technical issue with engine,Local Signal,,1002,CompanyKeyword,technical issue with engine,,german_mapping_eventType,cdd715a90282075ef2b3dcaa304ee6c0,german_mapping_eventType__cdd715a90282075ef2b3dcaa304ee6c0
u-bahn,subway,Signal,188129,37,space,subway,,german_mapping_eventType,de80593878cb1673c62a7f338dc7e4e1,german_mapping_eventType__de80593878cb1673c62a7f338dc7e4e1
ubahn,subway,Signal,188129,38,News,subway,,german_mapping_eventType,de80593878cb1673c62a7f338dc7e4e1,german_mapping_eventType__de80593878cb1673c62a7f338dc7e4e1
uberholung durch einen anderen zug,being overtaken by another train,Local Signal,,1003,FTO,being overtaken by another train,,german_mapping_eventType,c59f53702805a145eee7fa0083283737,german_mapping_eventType__c59f53702805a145eee7fa0083283737
unfall,crash,Signal,188130,22,ForeignMinistry,crash,,german_mapping_eventType,dcaa9fd4f23aaf0c29f540becf35b46f,german_mapping_eventType__dcaa9fd4f23aaf0c29f540becf35b46f
ungesicherte oder defekte bahnubergange,defective railroad crossing,Local Signal,,1005,FTO,defective railroad crossing,,german_mapping_eventType,38d35a66cb53c52a886e1911ca6c7f3a,german_mapping_eventType__38d35a66cb53c52a886e1911ca6c7f3a
unwetter,storm,Local Signal,,1005,Pipeline,storm,,german_mapping_eventType,849c829d658baaeff512d766b0db3cce,german_mapping_eventType__849c829d658baaeff512d766b0db3cce
verdaechtiger gegenstand,suspicious package,Local Urgent,188296,1005,Media,suspicious package,,german_mapping_eventType,89913541ff8bead604ce8600062b2946,german_mapping_eventType__89913541ff8bead604ce8600062b2946
verkehrliche zugvorbereitung,train being prepared,Local Signal,,1005,ForeignMinister,train being prepared,,german_mapping_eventType,d504bf7377de67fe1cf4f5e163c7aea1,german_mapping_eventType__d504bf7377de67fe1cf4f5e163c7aea1
verkehrsunfall,crash,Signal,188130,21,space,crash,,german_mapping_eventType,dcaa9fd4f23aaf0c29f540becf35b46f,german_mapping_eventType__dcaa9fd4f23aaf0c29f540becf35b46f
verspatung aus vorheriger fahrt,delay to an earlier service,Local Signal,,1004,News,delay to an earlier service,,german_mapping_eventType,fb09152b75f08b41fff77d082b2ad9dc,german_mapping_eventType__fb09152b75f08b41fff77d082b2ad9dc
verspatung aus vorheriger fahrt,earlier delayed train,Local Signal,,1005,Organization,earlier delayed train,,german_mapping_eventType,874f6711aa575ce1dfad4793c39e684e,german_mapping_eventType__874f6711aa575ce1dfad4793c39e684e
verspatung des vorausfahrenden zuges,earlier delayed train,Local Signal,,1005,ForeignMinistry,earlier delayed train,,german_mapping_eventType,874f6711aa575ce1dfad4793c39e684e,german_mapping_eventType__874f6711aa575ce1dfad4793c39e684e
verzogerungen im betriebsablauf,delayed operating schedule,Local Signal,,1005,Consulates,delayed operating schedule,,german_mapping_eventType,5562c02ef158e3258b31846bf9dac7c3,german_mapping_eventType__5562c02ef158e3258b31846bf9dac7c3
von der strasse abgekommen,vehicle leaves road,Signal,188130,28,Refinery,vehicle leaves road,,german_mapping_eventType,cd48f7e191fe57c9d3cbdd88b0b76da8,german_mapping_eventType__cd48f7e191fe57c9d3cbdd88b0b76da8
vorangegangene storung,disruption,Local Signal,,1005,space,disruption,,german_mapping_eventType,9afc5863924344e5efec09f5bf1f1956,german_mapping_eventType__9afc5863924344e5efec09f5bf1f1956
warten auf fahrgaste aus einem anderen zug,waiting for passengers from another train,Local Signal,,1005,AAEntity,waiting for passengers from another train,,german_mapping_eventType,4416896aee28b906fb2874cefb9d94d1,german_mapping_eventType__4416896aee28b906fb2874cefb9d94d1
warten auf triebfahrzeugfuhrer,waiting for driver,Local Signal,,1005,Person,waiting for driver,,german_mapping_eventType,475104ea27f59ea142bd952d8d86bbbd,german_mapping_eventType__475104ea27f59ea142bd952d8d86bbbd
wegen einer suizid ankundigung,person threatening suicide,Signal,,1005,Refinery,person threatening suicide,,german_mapping_eventType,48fb8a70b9ae16f93c867f9ce2335741,german_mapping_eventType__48fb8a70b9ae16f93c867f9ce2335741
weichenstorung,switch failure,Local Signal,,1005,ForeignMinistry,switch failure,,german_mapping_eventType,3d0b38dc282913462d4bee2637baa869,german_mapping_eventType__3d0b38dc282913462d4bee2637baa869
weltkriegsbombe,World War II bomb found,Local Urgent,188118,6,FTO,World War II bomb found,,german_mapping_eventType,3d6cedc84c1328f29b5ea0a3adcf578e,german_mapping_eventType__3d6cedc84c1328f29b5ea0a3adcf578e
wende,being turned around,Local Signal,,1005,Person,being turned around,,german_mapping_eventType,8ebca74027bcb224eb1d6306e158ea4c,german_mapping_eventType__8ebca74027bcb224eb1d6306e158ea4c
wetterbedingte storung,adverse weather conditions,Local Signal,188141,1005,Wells,adverse weather conditions,,german_mapping_eventType,bdde80955d1f25976eb67ffbc364b430,german_mapping_eventType__bdde80955d1f25976eb67ffbc364b430
wetterbedingte storungen,adverse weather conditions,Local Signal,188141,1005,Keyphrase,adverse weather conditions,,german_mapping_eventType,bdde80955d1f25976eb67ffbc364b430,german_mapping_eventType__bdde80955d1f25976eb67ffbc364b430
witterungsbedingt,adverse weather conditions,Local Signal,188141,1005,Person,adverse weather conditions,,german_mapping_eventType,bdde80955d1f25976eb67ffbc364b430,german_mapping_eventType__bdde80955d1f25976eb67ffbc364b430
witterungsbedingte storung,adverse weather conditions,Local Signal,188141,1005,Keyphrase,adverse weather conditions,,german_mapping_eventType,bdde80955d1f25976eb67ffbc364b430,german_mapping_eventType__bdde80955d1f25976eb67ffbc364b430
