german_word,caption_text,threshold,topic,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
VU,crash,Signal,188130,23,Exec,crash,,german_mapping_eventType,dcaa9fd4f23aaf0c29f540becf35b46f,german_mapping_eventType__dcaa9fd4f23aaf0c29f540becf35b46f
VU-schwer,serious crash,Signal,188130,23,Wells,serious crash,,german_mapping_eventType,ba74fc1de09c0a39ea1800c6534d2788,german_mapping_eventType__ba74fc1de09c0a39ea1800c6534d2788
medizinischen Notfall,medical emergency,Signal,188118,28,ForeignMinistry,medical emergency,,german_mapping_eventType,4256f04ee2c146f0a3aa7b7a440af8b9,german_mapping_eventType__4256f04ee2c146f0a3aa7b7a440af8b9
Notfallturoffnung,Emergency door opening,Signal,188118,34,IndustryTerm,Emergency door opening,,german_mapping_eventType,3520154cc9f18c781d4cf4145e3caf88,german_mapping_eventType__3520154cc9f18c781d4cf4145e3caf88
Schwerer Verkehrsunfall,serious car crash,Signal,188130,23,ForeignMinister,serious car crash,,german_mapping_eventType,e39075cbfa85312ad318878ff9811ff7,german_mapping_eventType__e39075cbfa85312ad318878ff9811ff7
Ausgeloster Rauchwarnmelder - Fehlauslosung,Smoke alarm malfunction,Signal,188118,19,DiplomaticFacilities,Smoke alarm malfunction,,german_mapping_eventType,da86037ed28f1c1347654b9a0b78e44a,german_mapping_eventType__da86037ed28f1c1347654b9a0b78e44a
Gebaude-Gross,large fire,Signal,188118,18,CompanyKeyword,large fire,,german_mapping_eventType,913d1eb00584266a43c8e6296ed291a9,german_mapping_eventType__913d1eb00584266a43c8e6296ed291a9
#brand,fire,Signal,188118,19,Wells,fire,,german_mapping_eventType,015f28b9df1bdd36427dd976fb73b29d,german_mapping_eventType__015f28b9df1bdd36427dd976fb73b29d
#brand auf einem parkplatz,fire on parking lot,Signal,"188118, 188130",19,Shipping,fire on parking lot,,german_mapping_eventType,030d690b6cb659a8cf79cb477662b551,german_mapping_eventType__030d690b6cb659a8cf79cb477662b551
todlichen #Badeunfall,One dead in swimming accident,Local Urgent,"188131, 188290",6,Media,One dead in swimming accident,,german_mapping_eventType,d4a4264985415a4f5f34eefb16cdbf5a,german_mapping_eventType__d4a4264985415a4f5f34eefb16cdbf5a
H:Turnotoffnung,emergency responders breach door,Signal,188118,34,AAEntity,emergency responders breach door,,german_mapping_eventType,b22cd96980cf896570bf139d37a915b8,german_mapping_eventType__b22cd96980cf896570bf139d37a915b8
#Verkehrsunfall,crash,Signal,188130,23,FTO,crash,,german_mapping_eventType,dcaa9fd4f23aaf0c29f540becf35b46f,german_mapping_eventType__dcaa9fd4f23aaf0c29f540becf35b46f
B:Gebaude-Gross,large fire,Signal,188118,19,DiplomaticFacilities,large fire,,german_mapping_eventType,913d1eb00584266a43c8e6296ed291a9,german_mapping_eventType__913d1eb00584266a43c8e6296ed291a9
