keyword,caption_name,location_id,groups,country,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
catamarca,"Catamarca, Argentina",catamarcaargentina,argentina,Argentina,Refinery,"Catamarca, Argentina",,dgm_latamnarcoticslocations,24870f14ca38cbf5b3ce58e148b2d923,dgm_latamnarcoticslocations__24870f14ca38cbf5b3ce58e148b2d923
chaco,"Chaco, Argentina",chacoargentina,argentina,Argentina,ForeignMinister,"Chaco, Argentina",,dgm_latamnarcoticslocations,2c3b2ae02c1063118bec0d0553809549,dgm_latamnarcoticslocations__2c3b2ae02c1063118bec0d0553809549
chubut,"Chubut, Argentina",chubutargentina,argentina,Argentina,space,"Chubut, Argentina",,dgm_latamnarcoticslocations,4a2d2c900c20859b31c248e41e352443,dgm_latamnarcoticslocations__4a2d2c900c20859b31c248e41e352443
buenos aires,"Buenos Aires, Argentina",buenosairesargentina,argentina,Argentina,Media,"Buenos Aires, Argentina",,dgm_latamnarcoticslocations,1b9dc370755a443025c8726278cdf531,dgm_latamnarcoticslocations__1b9dc370755a443025c8726278cdf531
corrientes,"Corrientes, Argentina",corrientesargentina,argentina,Argentina,Wells,"Corrientes, Argentina",,dgm_latamnarcoticslocations,71018a974992710e1684916f90bf571e,dgm_latamnarcoticslocations__71018a974992710e1684916f90bf571e
entre rios,"Entre Rios, Argentina",entreriosargentina,argentina,Argentina,Diplomat,"Entre Rios, Argentina",,dgm_latamnarcoticslocations,19804cab6f7698801e576566c477736f,dgm_latamnarcoticslocations__19804cab6f7698801e576566c477736f
jujuy,"Jujuy, Argentina",jujuyargentina,argentina,Argentina,IndustryTerm,"Jujuy, Argentina",,dgm_latamnarcoticslocations,744a828deabf96597c904bd5a202f1e3,dgm_latamnarcoticslocations__744a828deabf96597c904bd5a202f1e3
la pampa,"La Pampa, Argentina",lapampaargentina,argentina,Argentina,DiplomaticFacilities,"La Pampa, Argentina",,dgm_latamnarcoticslocations,95b237746016194aef88c9dbff7b702a,dgm_latamnarcoticslocations__95b237746016194aef88c9dbff7b702a
la rioja,"La Rioja, Argentina",lariojaargentina,argentina,Argentina,Diplomat,"La Rioja, Argentina",,dgm_latamnarcoticslocations,2ab3bf3e559ecf210b67f0a368614657,dgm_latamnarcoticslocations__2ab3bf3e559ecf210b67f0a368614657
mendoza,"Mendoza, Argentina",mendozaargentina,argentina,Argentina,DiplomaticFacilities,"Mendoza, Argentina",,dgm_latamnarcoticslocations,8aaeef384a4da24564b937beff7c8f3b,dgm_latamnarcoticslocations__8aaeef384a4da24564b937beff7c8f3b
neuquen,"Neuquen, Argentina",neuquenargentina,argentina,Argentina,space,"Neuquen, Argentina",,dgm_latamnarcoticslocations,9eb030785486eddc22223c6495d72ab7,dgm_latamnarcoticslocations__9eb030785486eddc22223c6495d72ab7
salta,"Salta, Argentina",saltaargentina,argentina,Argentina,ForeignMinistry,"Salta, Argentina",,dgm_latamnarcoticslocations,16f2954d79fe3c235a2ec13f70f1394b,dgm_latamnarcoticslocations__16f2954d79fe3c235a2ec13f70f1394b
san juan,"San Juan, Argentina",sanjuanargentina,argentina,Argentina,Refinery,"San Juan, Argentina",,dgm_latamnarcoticslocations,1bf904793f5ece51590e49f0e744d56f,dgm_latamnarcoticslocations__1bf904793f5ece51590e49f0e744d56f
santa fe,"Santa Fe, Argentina",santafeargentina,argentina,Argentina,FTO,"Santa Fe, Argentina",,dgm_latamnarcoticslocations,345797c4d1145b0f2eb59d5516759e73,dgm_latamnarcoticslocations__345797c4d1145b0f2eb59d5516759e73
santiago del estero,"Santiago del Estero, Argentina",santiagodelesteroargentina,argentina,Argentina,ForeignMinistry,"Santiago del Estero, Argentina",,dgm_latamnarcoticslocations,efeb636a44e98bfcf14034c98f203914,dgm_latamnarcoticslocations__efeb636a44e98bfcf14034c98f203914
tucuman,"Tucuman, Argentina",tucumanargentina,argentina,Argentina,Media,"Tucuman, Argentina",,dgm_latamnarcoticslocations,6fae4d4da720a51c9cf4548b402accb6,dgm_latamnarcoticslocations__6fae4d4da720a51c9cf4548b402accb6
caqueta,"Caqueta, Colombia",caquetaargentina,argentina,Argentina,Person,"Caqueta, Colombia",,dgm_latamnarcoticslocations,05cc7f80ab598d20b9a51e8cc724a5bf,dgm_latamnarcoticslocations__05cc7f80ab598d20b9a51e8cc724a5bf
rosario,"Rosario, Argentina",rosarioargentina,argentina,Argentina,Legislator,"Rosario, Argentina",,dgm_latamnarcoticslocations,0e6d343bf3d8318ab4ee9de38fd1707f,dgm_latamnarcoticslocations__0e6d343bf3d8318ab4ee9de38fd1707f
mar del plata,"Mar del Plata, Argentina",mardelplataargentina,argentina,Argentina,Person,"Mar del Plata, Argentina",,dgm_latamnarcoticslocations,4b1589320a4bf063f183abdee24adf8d,dgm_latamnarcoticslocations__4b1589320a4bf063f183abdee24adf8d
san miguel de tucuman,"San Miguel de Tucuman, Argentina",sanmigueldetucumanargentina,argentina,Argentina,Exec,"San Miguel de Tucuman, Argentina",,dgm_latamnarcoticslocations,2ff64efed5f7bc456627831d11c38946,dgm_latamnarcoticslocations__2ff64efed5f7bc456627831d11c38946
santa fe de la vera cruz,"Santa Fe de la Vera Cruz, Argentina",santafedelaveracruzargentina,argentina,Argentina,Organization,"Santa Fe de la Vera Cruz, Argentina",,dgm_latamnarcoticslocations,8a5993c01a7fdd57aeafc03c5930c484,dgm_latamnarcoticslocations__8a5993c01a7fdd57aeafc03c5930c484
vicente lopez,"Vicente Lopez, Argentina",vicentelopezargentina,argentina,Argentina,Diplomat,"Vicente Lopez, Argentina",,dgm_latamnarcoticslocations,562d6b037a761f6e19b436dc7cb2bb4f,dgm_latamnarcoticslocations__562d6b037a761f6e19b436dc7cb2bb4f
bahia blanca,"Bahia Blanca, Argentina",bahiablancaargentina,argentina,Argentina,IndustryTerm,"Bahia Blanca, Argentina",,dgm_latamnarcoticslocations,1d6611a8fa13d94f6c5c4212393b36ba,dgm_latamnarcoticslocations__1d6611a8fa13d94f6c5c4212393b36ba
resistencia,"Resistencia, Argentina",resistenciaargentina,argentina,Argentina,FTO,"Resistencia, Argentina",,dgm_latamnarcoticslocations,038ed371b18f584016c040ea4ac27668,dgm_latamnarcoticslocations__038ed371b18f584016c040ea4ac27668
posadas,"Posadas, Argentina",posadasargentina,argentina,Argentina,Pipeline,"Posadas, Argentina",,dgm_latamnarcoticslocations,7370e9ac79961b8ede86f2a8dd153c57,dgm_latamnarcoticslocations__7370e9ac79961b8ede86f2a8dd153c57
san salvador de jujuy,"San Salvador de Jujuy, Argentina",sansalvadordejujuyargentina,argentina,Argentina,Legislator,"San Salvador de Jujuy, Argentina",,dgm_latamnarcoticslocations,799f87925cb5df9f5f86c7b7a268214c,dgm_latamnarcoticslocations__799f87925cb5df9f5f86c7b7a268214c
merlo,"Merlo, Argentina",merloargentina,argentina,Argentina,Shipping,"Merlo, Argentina",,dgm_latamnarcoticslocations,f50b9f1617f9a349e7df582704c7710e,dgm_latamnarcoticslocations__f50b9f1617f9a349e7df582704c7710e
quilmes,"Quilmes, Argentina",quilmesargentina,argentina,Argentina,News,"Quilmes, Argentina",,dgm_latamnarcoticslocations,9fe8a33b81cea1be57bb11974f229448,dgm_latamnarcoticslocations__9fe8a33b81cea1be57bb11974f229448
banfield,"Banfield, Argentina",banfieldargentina,argentina,Argentina,Keyphrase,"Banfield, Argentina",,dgm_latamnarcoticslocations,cdf1f7277a7fcffa43575fd763b90cfb,dgm_latamnarcoticslocations__cdf1f7277a7fcffa43575fd763b90cfb
jose c paz,"Jose C Paz, Argentina",josecpazargentina,argentina,Argentina,LegislativeCommittee,"Jose C Paz, Argentina",,dgm_latamnarcoticslocations,fa5d2d25ef6abb283fa7d143f23a81a7,dgm_latamnarcoticslocations__fa5d2d25ef6abb283fa7d143f23a81a7
lanus,"Lanus, Argentina",lanusargentina,argentina,Argentina,space,"Lanus, Argentina",,dgm_latamnarcoticslocations,cfdfaeab33126ce8a0adb4414d20b9b3,dgm_latamnarcoticslocations__cfdfaeab33126ce8a0adb4414d20b9b3
godoy cruz,"Godoy Cruz, Argentina",godoycruzargentina,argentina,Argentina,ForeignMinister,"Godoy Cruz, Argentina",,dgm_latamnarcoticslocations,5dc0bd3b45eb27b4929407fd3990e422,dgm_latamnarcoticslocations__5dc0bd3b45eb27b4929407fd3990e422
las heras,"Las Heras, Argentina",lasherasargentina,argentina,Argentina,Person,"Las Heras, Argentina",,dgm_latamnarcoticslocations,43c26a732fe271196109c065584f690c,dgm_latamnarcoticslocations__43c26a732fe271196109c065584f690c
gregorio de laferrere,"Gregorio de Laferrere, Argentina",gregoriodelaferrereargentina,argentina,Argentina,ForeignMinistry,"Gregorio de Laferrere, Argentina",,dgm_latamnarcoticslocations,162fae27a70fa78174de4636a75cc1fc,dgm_latamnarcoticslocations__162fae27a70fa78174de4636a75cc1fc
comodoro rivadavia,"Comodoro Rivadavia, Argentina",comodororivadaviaargentina,argentina,Argentina,Legislator,"Comodoro Rivadavia, Argentina",,dgm_latamnarcoticslocations,646de04a943a997aea559e1ae95f8907,dgm_latamnarcoticslocations__646de04a943a997aea559e1ae95f8907
ituzaingo,"Ituzaingo, Argentina",ituzaingoargentina,argentina,Argentina,Refinery,"Ituzaingo, Argentina",,dgm_latamnarcoticslocations,3c7e32f9829b21306b67939bb4f69c07,dgm_latamnarcoticslocations__3c7e32f9829b21306b67939bb4f69c07
berazategui,"Berazategui, Argentina",berazateguiargentina,argentina,Argentina,DiplomaticFacilities,"Berazategui, Argentina",,dgm_latamnarcoticslocations,55b39865c56f55eec68133b75635c104,dgm_latamnarcoticslocations__55b39865c56f55eec68133b75635c104
gonzalez catan,"Gonzalez Catan, Argentina",gonzalezcatanargentina,argentina,Argentina,LegislativeCommittee,"Gonzalez Catan, Argentina",,dgm_latamnarcoticslocations,8e0ec04586d6684bb5f139b46787d6d5,dgm_latamnarcoticslocations__8e0ec04586d6684bb5f139b46787d6d5
ezeiza,"Ezeiza, Argentina",ezeizaargentina,argentina,Argentina,Person,"Ezeiza, Argentina",,dgm_latamnarcoticslocations,f03983f4b537a38a1f1677ea526ad23c,dgm_latamnarcoticslocations__f03983f4b537a38a1f1677ea526ad23c
san fernando del valle de catamarca,"San Fernando del Valle de Catamarca, Argentina",sanfernandodelvalledecatamarcaargentina,argentina,Argentina,DiplomaticFacilities,"San Fernando del Valle de Catamarca, Argentina",,dgm_latamnarcoticslocations,3a6bcaafc74cb26820bcf97131a4cb45,dgm_latamnarcoticslocations__3a6bcaafc74cb26820bcf97131a4cb45
rio cuarto,"Rio Cuarto, Argentina",riocuartoargentina,argentina,Argentina,Shipping,"Rio Cuarto, Argentina",,dgm_latamnarcoticslocations,bbe8637297eaf3cd1f7d29765c88cbef,dgm_latamnarcoticslocations__bbe8637297eaf3cd1f7d29765c88cbef
moreno,"Moreno, Argentina",morenoargentina,argentina,Argentina,Keyphrase,"Moreno, Argentina",,dgm_latamnarcoticslocations,0637eb1699ca92dcb60bae30b16bdfc7,dgm_latamnarcoticslocations__0637eb1699ca92dcb60bae30b16bdfc7
san fernando de la buena vista,"San Fernando de la Buena Vista, Argentina",sanfernandodelabuenavistaargentina,argentina,Argentina,Shipping,"San Fernando de la Buena Vista, Argentina",,dgm_latamnarcoticslocations,66d39e12912f32286d63ce37e306a768,dgm_latamnarcoticslocations__66d39e12912f32286d63ce37e306a768
isidro casanova,"Isidro Casanova, Argentina",isidrocasanovaargentina,argentina,Argentina,Organization,"Isidro Casanova, Argentina",,dgm_latamnarcoticslocations,d777e92a8e24e6e7f7987572f8200dfd,dgm_latamnarcoticslocations__d777e92a8e24e6e7f7987572f8200dfd
san nicolas de los arroyos,"San Nicolas de los Arroyos, Argentina",sannicolasdelosarroyosargentina,argentina,Argentina,LegislativeCommittee,"San Nicolas de los Arroyos, Argentina",,dgm_latamnarcoticslocations,a5e6e3c1399a062b3bba44068f0ecd03,dgm_latamnarcoticslocations__a5e6e3c1399a062b3bba44068f0ecd03
florencio varela,"Florencio Varela, Argentina",florenciovarelaargentina,argentina,Argentina,space,"Florencio Varela, Argentina",,dgm_latamnarcoticslocations,e3410c06f86e9b60fe695b9e12dad177,dgm_latamnarcoticslocations__e3410c06f86e9b60fe695b9e12dad177
tandil,"Tandil, Argentina",tandilargentina,argentina,Argentina,CompanyKeyword,"Tandil, Argentina",,dgm_latamnarcoticslocations,74b15a4880f0ab694dd20809c7c55bef,dgm_latamnarcoticslocations__74b15a4880f0ab694dd20809c7c55bef
avellaneda,"Avellaneda, Argentina",avellanedaargentina,argentina,Argentina,space,"Avellaneda, Argentina",,dgm_latamnarcoticslocations,ff44eb859984ae236b92bdf63e2db4a6,dgm_latamnarcoticslocations__ff44eb859984ae236b92bdf63e2db4a6
lomas de zamora,"Lomas de Zamora, Argentina",lomasdezamoraargentina,argentina,Argentina,Person,"Lomas de Zamora, Argentina",,dgm_latamnarcoticslocations,14093109763821212979a7d193d935b9,dgm_latamnarcoticslocations__14093109763821212979a7d193d935b9
temperley,"Temperley, Argentina",temperleyargentina,argentina,Argentina,LegislativeCommittee,"Temperley, Argentina",,dgm_latamnarcoticslocations,a74ab9f2e3a22b9df26c984bd8fda229,dgm_latamnarcoticslocations__a74ab9f2e3a22b9df26c984bd8fda229
villa mercedes,"Villa Mercedes, Argentina",villamercedesargentina,argentina,Argentina,Wells,"Villa Mercedes, Argentina",,dgm_latamnarcoticslocations,f0c25e2729e9fa589efcb6ae6c9e65f4,dgm_latamnarcoticslocations__f0c25e2729e9fa589efcb6ae6c9e65f4
olavarria,"Olavarria, Argentina",olavarriaargentina,argentina,Argentina,DiplomaticFacilities,"Olavarria, Argentina",,dgm_latamnarcoticslocations,0f2993298c9fc7398f0e1fa9110ec1cb,dgm_latamnarcoticslocations__0f2993298c9fc7398f0e1fa9110ec1cb
monte grande,"Monte Grande, Argentina",montegrandeargentina,argentina,Argentina,CompanyKeyword,"Monte Grande, Argentina",,dgm_latamnarcoticslocations,1fb59f1730c7451988558249220cc57c,dgm_latamnarcoticslocations__1fb59f1730c7451988558249220cc57c
bernal,"Bernal, Argentina",bernalargentina,argentina,Argentina,Pipeline,"Bernal, Argentina",,dgm_latamnarcoticslocations,427790cb1f0dd5ca08a9656ab23d524a,dgm_latamnarcoticslocations__427790cb1f0dd5ca08a9656ab23d524a
san carlos de bariloche,"San Carlos de Bariloche, Argentina",sancarlosdebarilocheargentina,argentina,Argentina,LegislativeCommittee,"San Carlos de Bariloche, Argentina",,dgm_latamnarcoticslocations,5ae0f14f15a4849dcfa3efa8c18af9e9,dgm_latamnarcoticslocations__5ae0f14f15a4849dcfa3efa8c18af9e9
villa krause,"Villa Krause, Argentina",villakrauseargentina,argentina,Argentina,Keyphrase,"Villa Krause, Argentina",,dgm_latamnarcoticslocations,319716f1c630831520f5fda93513a5f8,dgm_latamnarcoticslocations__319716f1c630831520f5fda93513a5f8
la banda,"La Banda, Argentina",labandaargentina,argentina,Argentina,Refinery,"La Banda, Argentina",,dgm_latamnarcoticslocations,b792b1199586f2990e4bb7dd9ab0258f,dgm_latamnarcoticslocations__b792b1199586f2990e4bb7dd9ab0258f
san justo,"San Justo, Argentina",sanjustoargentina,argentina,Argentina,ForeignMinister,"San Justo, Argentina",,dgm_latamnarcoticslocations,4797883fb62ff633e5b22dc181d1f8ef,dgm_latamnarcoticslocations__4797883fb62ff633e5b22dc181d1f8ef
pergamino,"Pergamino, Argentina",pergaminoargentina,argentina,Argentina,Legislator,"Pergamino, Argentina",,dgm_latamnarcoticslocations,cce3719e9c778f255b5f2bae14d065cf,dgm_latamnarcoticslocations__cce3719e9c778f255b5f2bae14d065cf
castelar,"Castelar, Argentina",castelarargentina,argentina,Argentina,FTO,"Castelar, Argentina",,dgm_latamnarcoticslocations,338e87a2f9324a6a316717db3a549952,dgm_latamnarcoticslocations__338e87a2f9324a6a316717db3a549952
rafael castillo,"Rafael Castillo, Argentina",rafaelcastilloargentina,argentina,Argentina,ForeignMinistry,"Rafael Castillo, Argentina",,dgm_latamnarcoticslocations,8bb555cf329b078e145c4a2b07d35d04,dgm_latamnarcoticslocations__8bb555cf329b078e145c4a2b07d35d04
libertad,"Libertad, Argentina",libertadargentina,argentina,Argentina,FTO,"Libertad, Argentina",,dgm_latamnarcoticslocations,cd6e9ffc75fe20334224db993e5a251f,dgm_latamnarcoticslocations__cd6e9ffc75fe20334224db993e5a251f
ramos mejia,"Ramos Mejia, Argentina",ramosmejiaargentina,argentina,Argentina,Media,"Ramos Mejia, Argentina",,dgm_latamnarcoticslocations,130001384dc9f0cd42f7039524470d2a,dgm_latamnarcoticslocations__130001384dc9f0cd42f7039524470d2a
trelew,"Trelew, Argentina",trelewargentina,argentina,Argentina,space,"Trelew, Argentina",,dgm_latamnarcoticslocations,6844511260ceaaece8e1a244b810fae2,dgm_latamnarcoticslocations__6844511260ceaaece8e1a244b810fae2
lujan,"Lujan, Argentina",lujanargentina,argentina,Argentina,Exec,"Lujan, Argentina",,dgm_latamnarcoticslocations,ffada3070572d77d9f036934c7be0e7a,dgm_latamnarcoticslocations__ffada3070572d77d9f036934c7be0e7a
rio gallegos,"Rio Gallegos, Argentina",riogallegosargentina,argentina,Argentina,AAEntity,"Rio Gallegos, Argentina",,dgm_latamnarcoticslocations,d459da8cbb318e4e5919045fc64f27fb,dgm_latamnarcoticslocations__d459da8cbb318e4e5919045fc64f27fb
caseros,"Caseros, Argentina",caserosargentina,argentina,Argentina,IndustryTerm,"Caseros, Argentina",,dgm_latamnarcoticslocations,5ebf3f34660d4b5b5100cfe93dac0338,dgm_latamnarcoticslocations__5ebf3f34660d4b5b5100cfe93dac0338
trujui,"Trujui, Argentina",trujuiargentina,argentina,Argentina,Legislator,"Trujui, Argentina",,dgm_latamnarcoticslocations,1ea56213d9e04b099ed022b5a009c4fa,dgm_latamnarcoticslocations__1ea56213d9e04b099ed022b5a009c4fa
moron,"Moron, Argentina",moronargentina,argentina,Argentina,Consulates,"Moron, Argentina",,dgm_latamnarcoticslocations,602ecb64791ee0860395e10d4b5fe177,dgm_latamnarcoticslocations__602ecb64791ee0860395e10d4b5fe177
rafaela,"Rafaela, Argentina",rafaelaargentina,argentina,Argentina,FTO,"Rafaela, Argentina",,dgm_latamnarcoticslocations,8f7b92db73018a217bf11270c8b23bbf,dgm_latamnarcoticslocations__8f7b92db73018a217bf11270c8b23bbf
virrey del pino,"Virrey del Pino, Argentina",virreydelpinoargentina,argentina,Argentina,space,"Virrey del Pino, Argentina",,dgm_latamnarcoticslocations,1a8a30f6bc8b9dc5e89d2f92c4ecf042,dgm_latamnarcoticslocations__1a8a30f6bc8b9dc5e89d2f92c4ecf042
presidencia roque saenz pena,"Presidencia Roque Saenz Pena, Argentina",presidenciaroquesaenzpenaargentina,argentina,Argentina,Refinery,"Presidencia Roque Saenz Pena, Argentina",,dgm_latamnarcoticslocations,2f8e0b3a71ad32d8e20270a27d2f565b,dgm_latamnarcoticslocations__2f8e0b3a71ad32d8e20270a27d2f565b
parque san martin,"Parque San Martin, Argentina",parquesanmartinargentina,argentina,Argentina,Keyphrase,"Parque San Martin, Argentina",,dgm_latamnarcoticslocations,4a540a872d403fb8496a09ec78f0f2fd,dgm_latamnarcoticslocations__4a540a872d403fb8496a09ec78f0f2fd
berisso,"Berisso, Argentina",berissoargentina,argentina,Argentina,IndustryTerm,"Berisso, Argentina",,dgm_latamnarcoticslocations,a69f834b5bbd227b3199a136ec106891,dgm_latamnarcoticslocations__a69f834b5bbd227b3199a136ec106891
chimbas,"Chimbas, Argentina",chimbasargentina,argentina,Argentina,Consulates,"Chimbas, Argentina",,dgm_latamnarcoticslocations,967a4aa12950ce44fb4a5a1d99dab750,dgm_latamnarcoticslocations__967a4aa12950ce44fb4a5a1d99dab750
campana,"Campana, Argentina",campanaargentina,argentina,Argentina,IndustryTerm,"Campana, Argentina",,dgm_latamnarcoticslocations,48f67d9975b1a2bbcf356f86d66ca22b,dgm_latamnarcoticslocations__48f67d9975b1a2bbcf356f86d66ca22b
zarate,"Zarate, Argentina",zarateargentina,argentina,Argentina,Keyphrase,"Zarate, Argentina",,dgm_latamnarcoticslocations,61ef8fafb5e60ac624926bc2c7ce9627,dgm_latamnarcoticslocations__61ef8fafb5e60ac624926bc2c7ce9627
burzaco,"Burzaco, Argentina",burzacoargentina,argentina,Argentina,Diplomat,"Burzaco, Argentina",,dgm_latamnarcoticslocations,70710f02188509077b9f85275dc10a5e,dgm_latamnarcoticslocations__70710f02188509077b9f85275dc10a5e
grand bourg,"Grand Bourg, Argentina",grandbourgargentina,argentina,Argentina,CompanyKeyword,"Grand Bourg, Argentina",,dgm_latamnarcoticslocations,463a165cb58faefeeca2e9bd509bf58d,dgm_latamnarcoticslocations__463a165cb58faefeeca2e9bd509bf58d
monte chingolo,"Monte Chingolo, Argentina",montechingoloargentina,argentina,Argentina,FTO,"Monte Chingolo, Argentina",,dgm_latamnarcoticslocations,19b82a65c31878de1aae10f11505fab4,dgm_latamnarcoticslocations__19b82a65c31878de1aae10f11505fab4
necochea,"Necochea, Argentina",necocheaargentina,argentina,Argentina,space,"Necochea, Argentina",,dgm_latamnarcoticslocations,4bda511074e231a3a1800c5ea494084d,dgm_latamnarcoticslocations__4bda511074e231a3a1800c5ea494084d
rivadavia,"Rivadavia, Argentina",rivadaviaargentina,argentina,Argentina,space,"Rivadavia, Argentina",,dgm_latamnarcoticslocations,47fd289560607c2db13820d8f78d1a72,dgm_latamnarcoticslocations__47fd289560607c2db13820d8f78d1a72
puerto iguazu,"Puerto Iguazu, Argentina",puertoiguazuargentina,argentina,Argentina,Shipping,"Puerto Iguazu, Argentina",,dgm_latamnarcoticslocations,6d6bd055b041def6516fa1c28dcfc382,dgm_latamnarcoticslocations__6d6bd055b041def6516fa1c28dcfc382
general roca,"General Roca, Argentina",generalrocaargentina,argentina,Argentina,Shipping,"General Roca, Argentina",,dgm_latamnarcoticslocations,755145432fcd77b414053130674c14fa,dgm_latamnarcoticslocations__755145432fcd77b414053130674c14fa
remedios de escalada,"Remedios de Escalada, Argentina",remediosdeescaladaargentina,argentina,Argentina,AAEntity,"Remedios de Escalada, Argentina",,dgm_latamnarcoticslocations,ea09a17beab74f4c19bd25982d683bc7,dgm_latamnarcoticslocations__ea09a17beab74f4c19bd25982d683bc7
puerto madryn,"Puerto Madryn, Argentina",puertomadrynargentina,argentina,Argentina,ForeignMinistry,"Puerto Madryn, Argentina",,dgm_latamnarcoticslocations,72970b6570c92e54a85163b722fbad76,dgm_latamnarcoticslocations__72970b6570c92e54a85163b722fbad76
gualeguaychu,"Gualeguaychu, Argentina",gualeguaychuargentina,argentina,Argentina,Shipping,"Gualeguaychu, Argentina",,dgm_latamnarcoticslocations,8572964e740cd22c62555210a1fd00f7,dgm_latamnarcoticslocations__8572964e740cd22c62555210a1fd00f7
la tablada,"La Tablada, Argentina",latabladaargentina,argentina,Argentina,Shipping,"La Tablada, Argentina",,dgm_latamnarcoticslocations,702402cfbd495e17bdc770b44430ac69,dgm_latamnarcoticslocations__702402cfbd495e17bdc770b44430ac69
villa maria,"Villa Maria, Argentina",villamariaargentina,argentina,Argentina,space,"Villa Maria, Argentina",,dgm_latamnarcoticslocations,3662780b50a600d4f3f2de604474426a,dgm_latamnarcoticslocations__3662780b50a600d4f3f2de604474426a
cipolletti,"Cipolletti, Argentina",cipollettiargentina,argentina,Argentina,ForeignMinistry,"Cipolletti, Argentina",,dgm_latamnarcoticslocations,18d75e459c3eb30c299eb82f69d6732d,dgm_latamnarcoticslocations__18d75e459c3eb30c299eb82f69d6732d
san ramon de la nueva oran,"San Ramon de la Nueva Oran, Argentina",sanramondelanuevaoranargentina,argentina,Argentina,AAEntity,"San Ramon de la Nueva Oran, Argentina",,dgm_latamnarcoticslocations,ee5282818faf396c1c3f91c0cc43db28,dgm_latamnarcoticslocations__ee5282818faf396c1c3f91c0cc43db28
florida este,"Florida Este, Argentina",floridaesteargentina,argentina,Argentina,Shipping,"Florida Este, Argentina",,dgm_latamnarcoticslocations,9e090dd6d3940881b7b423916b99cc4b,dgm_latamnarcoticslocations__9e090dd6d3940881b7b423916b99cc4b
ciudad madero,"Ciudad Madero, Argentina",ciudadmaderoargentina,argentina,Argentina,Person,"Ciudad Madero, Argentina",,dgm_latamnarcoticslocations,eee028efb9f5466e84c533a38812da3a,dgm_latamnarcoticslocations__eee028efb9f5466e84c533a38812da3a
olivos,"Olivos, Argentina",olivosargentina,argentina,Argentina,FTO,"Olivos, Argentina",,dgm_latamnarcoticslocations,beb39bc8a41f31ccd602c8a2452b5db7,dgm_latamnarcoticslocations__beb39bc8a41f31ccd602c8a2452b5db7
venado tuerto,"Venado Tuerto, Argentina",venadotuertoargentina,argentina,Argentina,DiplomaticFacilities,"Venado Tuerto, Argentina",,dgm_latamnarcoticslocations,8dfb4826afdfe8b81b2470f39c448329,dgm_latamnarcoticslocations__8dfb4826afdfe8b81b2470f39c448329
san pedro de jujuy,"San Pedro de Jujuy, Argentina",sanpedrodejujuyargentina,argentina,Argentina,Legislator,"San Pedro de Jujuy, Argentina",,dgm_latamnarcoticslocations,85684169be91e5a09816277f7b905da4,dgm_latamnarcoticslocations__85684169be91e5a09816277f7b905da4
el palomar,"El Palomar, Argentina",elpalomarargentina,argentina,Argentina,Legislator,"El Palomar, Argentina",,dgm_latamnarcoticslocations,5a8d05d48c71b620a34c6d19828949ed,dgm_latamnarcoticslocations__5a8d05d48c71b620a34c6d19828949ed
villa gobernador galvez,"Villa Gobernador Galvez, Argentina",villagobernadorgalvezargentina,argentina,Argentina,Legislator,"Villa Gobernador Galvez, Argentina",,dgm_latamnarcoticslocations,0b013f2b98c8dcace5d953bf00b74d45,dgm_latamnarcoticslocations__0b013f2b98c8dcace5d953bf00b74d45
villa luzuriaga,"Villa Luzuriaga, Argentina",villaluzuriagaargentina,argentina,Argentina,ForeignMinister,"Villa Luzuriaga, Argentina",,dgm_latamnarcoticslocations,a4a92f785997bb6ab754ece10b28f7ad,dgm_latamnarcoticslocations__a4a92f785997bb6ab754ece10b28f7ad
boulogne sur mer,"Boulogne Sur Mer, Argentina",boulognesurmerargentina,argentina,Argentina,LegislativeCommittee,"Boulogne Sur Mer, Argentina",,dgm_latamnarcoticslocations,4a267c14ea03171d9dd1459ed748ce2e,dgm_latamnarcoticslocations__4a267c14ea03171d9dd1459ed748ce2e
ciudadela,"Ciudadela, Argentina",ciudadelaargentina,argentina,Argentina,CompanyKeyword,"Ciudadela, Argentina",,dgm_latamnarcoticslocations,28938ef2fe2eb1d0f4c6b519cfc3e0a1,dgm_latamnarcoticslocations__28938ef2fe2eb1d0f4c6b519cfc3e0a1
lujan de cuyo,"Lujan de Cuyo, Argentina",lujandecuyoargentina,argentina,Argentina,Keyphrase,"Lujan de Cuyo, Argentina",,dgm_latamnarcoticslocations,858e5f64d3ccaa97602942fd12e51aff,dgm_latamnarcoticslocations__858e5f64d3ccaa97602942fd12e51aff
ezpeleta,"Ezpeleta, Argentina",ezpeletaargentina,argentina,Argentina,FTO,"Ezpeleta, Argentina",,dgm_latamnarcoticslocations,574a083f8b17856abf68f199ce80e9dd,dgm_latamnarcoticslocations__574a083f8b17856abf68f199ce80e9dd
concepcion del uruguay,"Concepcion del Uruguay, Argentina",concepciondeluruguayargentina,argentina,Argentina,ForeignMinister,"Concepcion del Uruguay, Argentina",,dgm_latamnarcoticslocations,a61f8345c915368954e52406e7186a31,dgm_latamnarcoticslocations__a61f8345c915368954e52406e7186a31
goya,"Goya, Argentina",goyaargentina,argentina,Argentina,Diplomat,"Goya, Argentina",,dgm_latamnarcoticslocations,d8e6e48c810256c39d676e61abd050df,dgm_latamnarcoticslocations__d8e6e48c810256c39d676e61abd050df
