keyword,caption_name,location_id,groups,country,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
gachantiva,"Gachantiva, Colombia",gachantivacolombia,colombia,Colombia,FTO,"Gachantiva, Colombia",,dgm_latamnarcoticslocations,2158eaeacb14b2753625572067d30a4d,dgm_latamnarcoticslocations__2158eaeacb14b2753625572067d30a4d
gameza,"Gameza, Colombia",gamezacolombia,colombia,Colombia,space,"Gameza, Colombia",,dgm_latamnarcoticslocations,72e819756d2fd6e96980ce3348e7cd53,dgm_latamnarcoticslocations__72e819756d2fd6e96980ce3348e7cd53
garagoa,"Garagoa, Colombia",garagoacolombia,colombia,Colombia,Pipeline,"Garagoa, Colombia",,dgm_latamnarcoticslocations,49c2d9d0a7d3a8bb09a276fecc0f34b9,dgm_latamnarcoticslocations__49c2d9d0a7d3a8bb09a276fecc0f34b9
guacamayas,"Guacamayas, Colombia",guacamayascolombia,colombia,Colombia,FTO,"Guacamayas, Colombia",,dgm_latamnarcoticslocations,e415fd0131dc7a3f1226465d5e7f15a9,dgm_latamnarcoticslocations__e415fd0131dc7a3f1226465d5e7f15a9
guateque,"Guateque, Colombia",guatequecolombia,colombia,Colombia,Shipping,"Guateque, Colombia",,dgm_latamnarcoticslocations,6d00f661388911484f8bf8458618dbc7,dgm_latamnarcoticslocations__6d00f661388911484f8bf8458618dbc7
guayata,"Guayata, Colombia",guayatacolombia,colombia,Colombia,Shipping,"Guayata, Colombia",,dgm_latamnarcoticslocations,ebb6b3ab133e600c3919abc08146c163,dgm_latamnarcoticslocations__ebb6b3ab133e600c3919abc08146c163
guican,"Guican, Colombia",guicancolombia,colombia,Colombia,DiplomaticFacilities,"Guican, Colombia",,dgm_latamnarcoticslocations,6b5ac2e08585b3f0e105823363c3e164,dgm_latamnarcoticslocations__6b5ac2e08585b3f0e105823363c3e164
iza,"Iza, Colombia",izacolombia,colombia,Colombia,Legislator,"Iza, Colombia",,dgm_latamnarcoticslocations,9c99e63c76a743ea546b0c255b42aa34,dgm_latamnarcoticslocations__9c99e63c76a743ea546b0c255b42aa34
jenesano,"Jenesano, Colombia",jenesanocolombia,colombia,Colombia,IndustryTerm,"Jenesano, Colombia",,dgm_latamnarcoticslocations,174191d13430d33239b719afa71189f4,dgm_latamnarcoticslocations__174191d13430d33239b719afa71189f4
la capilla,"La Capilla, Colombia",lacapillacolombia,colombia,Colombia,Person,"La Capilla, Colombia",,dgm_latamnarcoticslocations,0a293ddab74373aa0bfa7fd0b69daee2,dgm_latamnarcoticslocations__0a293ddab74373aa0bfa7fd0b69daee2
la uvita,"La Uvita, Colombia",lauvitacolombia,colombia,Colombia,CompanyKeyword,"La Uvita, Colombia",,dgm_latamnarcoticslocations,24cd5935ce1cd0d692a98ebf7cfda8af,dgm_latamnarcoticslocations__24cd5935ce1cd0d692a98ebf7cfda8af
labranzagrande,"Labranzagrande, Colombia",labranzagrandecolombia,colombia,Colombia,Exec,"Labranzagrande, Colombia",,dgm_latamnarcoticslocations,cdbb091957ba95e29199ca384558a57b,dgm_latamnarcoticslocations__cdbb091957ba95e29199ca384558a57b
macanal,"Macanal, Colombia",macanalcolombia,colombia,Colombia,Legislator,"Macanal, Colombia",,dgm_latamnarcoticslocations,8be212e690a3813d2589bde64cfc5f27,dgm_latamnarcoticslocations__8be212e690a3813d2589bde64cfc5f27
maripi,"Maripi, Colombia",maripicolombia,colombia,Colombia,CompanyKeyword,"Maripi, Colombia",,dgm_latamnarcoticslocations,da61ae426ef628c176482114b5fa662b,dgm_latamnarcoticslocations__da61ae426ef628c176482114b5fa662b
miraflores,"Miraflores, Colombia",miraflorescolombia,colombia,Colombia,Consulates,"Miraflores, Colombia",,dgm_latamnarcoticslocations,c4ad90e5f5aefaef97428b0801e69f60,dgm_latamnarcoticslocations__c4ad90e5f5aefaef97428b0801e69f60
mongua,"Mongua, Colombia",monguacolombia,colombia,Colombia,DiplomaticFacilities,"Mongua, Colombia",,dgm_latamnarcoticslocations,ea82e7e5ab5e3c34cc00795fba138c6d,dgm_latamnarcoticslocations__ea82e7e5ab5e3c34cc00795fba138c6d
