german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pfarrer-lotz-strasse,"Pfarrer-Lotz-strasse in Bad Hersfeld, Germany",50.8771479,9.6935699,1,,,,Pipeline,"Pfarrer-Lotz-strasse in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,31380ebfb9d6372527f8646785c2e7b8,german_fires_badhersfeld_locations__31380ebfb9d6372527f8646785c2e7b8
pfeiffergasse,"Pfeiffergasse in Bad Hersfeld, Germany",50.8675112,9.7078786,1,,,,Pipeline,"Pfeiffergasse in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,7ceb6753f6d92b361153481b949494e8,german_fires_badhersfeld_locations__7ceb6753f6d92b361153481b949494e8
philipp-hafner-strasse,"Philipp-Hafner-strasse in Bad Hersfeld, Germany",50.8683048,9.7331986,1,,,,CompanyKeyword,"Philipp-Hafner-strasse in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,58a00e60917cea398c525f1c748ed386,german_fires_badhersfeld_locations__58a00e60917cea398c525f1c748ed386
pommernweg,"Pommernweg in Bad Hersfeld, Germany",50.8492503,9.6734574,1,,,,IndustryTerm,"Pommernweg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,9e24f8881f85ce11947a9968eea0ccc5,german_fires_badhersfeld_locations__9e24f8881f85ce11947a9968eea0ccc5
quittenweg,"Quittenweg in Bad Hersfeld, Germany",50.8412845,9.7037967,1,,,,Organization,"Quittenweg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,6f43800be41accfb3cab54f44392d47b,german_fires_badhersfeld_locations__6f43800be41accfb3cab54f44392d47b
raiffeisenstrasse,"Raiffeisenstrasse in Bad Hersfeld, Germany",50.8305604,9.6642816,1,,,,Media,"Raiffeisenstrasse in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,c132c183566306cf7f02590b21e1e2ae,german_fires_badhersfeld_locations__c132c183566306cf7f02590b21e1e2ae
ransen,"Ransen in Bad Hersfeld, Germany",50.8691303,9.7078566,1,,,,Pipeline,"Ransen in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,aeb51d683133f4b25edd007c93f5efd6,german_fires_badhersfeld_locations__aeb51d683133f4b25edd007c93f5efd6
rasenweg,"Rasenweg in Bad Hersfeld, Germany",50.8689197,9.7568959,1,,,,Person,"Rasenweg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,35c354da72b5e46737515ae783d0b864,german_fires_badhersfeld_locations__35c354da72b5e46737515ae783d0b864
rauherweg,"Rauherweg in Bad Hersfeld, Germany",50.860719,9.7346071,1,,,,News,"Rauherweg in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,d22a69fe6280f1d12b8568919c925e6a,german_fires_badhersfeld_locations__d22a69fe6280f1d12b8568919c925e6a
reckeroder strasse,"Reckeroder strasse in Bad Hersfeld, Germany",50.8690722,9.6911381,1,,,,Organization,"Reckeroder strasse in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,4802f4bcda0615c7466db6f68665b0dd,german_fires_badhersfeld_locations__4802f4bcda0615c7466db6f68665b0dd
reichsstrasse,"Reichsstrasse in Bad Hersfeld, Germany",50.8687567,9.7133556,1,,,,ForeignMinister,"Reichsstrasse in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,9be3053b630d54dc3741a14caaf70129,german_fires_badhersfeld_locations__9be3053b630d54dc3741a14caaf70129
rennhofchen,"Rennhofchen in Bad Hersfeld, Germany",50.8700584,9.7062207,1,,,,Media,"Rennhofchen in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,4499d97cac8bb1ff4c1ee6bdbb3a3a5b,german_fires_badhersfeld_locations__4499d97cac8bb1ff4c1ee6bdbb3a3a5b
rhonstrasse,"Rhonstrasse in Bad Hersfeld, Germany",50.8603804,9.7444445,1,,,,AAEntity,"Rhonstrasse in Bad Hersfeld, Germany",,german_fires_badhersfeld_locations,03d3d20c4543de3a2423394da555d327,german_fires_badhersfeld_locations__03d3d20c4543de3a2423394da555d327
