german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#buckeburgerweg,"Buckeburger Weg in Frankfurt, Germany",50.0922381,8.4996281,1,,,,Diplomat,"Buckeburger Weg in Frankfurt, Germany",,german_fires_frankfurt_locations,ee965a3cfe76c0b3bcd8148c9fbd1fd7,german_fires_frankfurt_locations__e6098a1bc858c3bfeba2330290e6ab8e
#budapesterstrasse,"Budapester Strasse in Frankfurt, Germany",50.2037638,8.672464,1,,,,Pipeline,"Budapester Strasse in Frankfurt, Germany",,german_fires_frankfurt_locations,d5182b67ec57d20b4d2f289757d27405,german_fires_frankfurt_locations__ed43e74ff0105ddb8516c57754a8f192
#budingerstrasse,"Budinger Strasse in Frankfurt, Germany",50.1514612,8.6842644,1,,,,Legislator,"Budinger Strasse in Frankfurt, Germany",,german_fires_frankfurt_locations,67365f6ce4ac907b1d07b253f121ed26,german_fires_frankfurt_locations__c00347fd298f2f13299f99570fcfe6c0
#bundenweg,"Bundenweg in Frankfurt, Germany",50.1403418,8.6810157,1,,,,Wells,"Bundenweg in Frankfurt, Germany",,german_fires_frankfurt_locations,ecab1c390b15c0c816059294a671c587,german_fires_frankfurt_locations__8208c0cec691f0c02300620df75e9912
#burgelerstrasse,"Burgeler Strasse in Frankfurt, Germany",50.1175865,8.7720477,1,,,,Refinery,"Burgeler Strasse in Frankfurt, Germany",,german_fires_frankfurt_locations,ccc00cf73ae534d27dde8cc1a41ebcce,german_fires_frankfurt_locations__4800aaae76cb9764467f5ae81ab77686
#burgenlandweg,"Burgenlandweg in Frankfurt, Germany",50.0940336,8.7326557,1,,,,News,"Burgenlandweg in Frankfurt, Germany",,german_fires_frankfurt_locations,2b325deb4121336286b941607adc7e27,german_fires_frankfurt_locations__68300a58a3d05ac8299ab2806b98c42d
#burgermeisterschubertpark,"Burgermeister-Schubert-Park in Frankfurt, Germany",50.090955,8.613436,1,,,,Diplomat,"Burgermeister-Schubert-Park in Frankfurt, Germany",,german_fires_frankfurt_locations,4b37926d2c7b57804a8b5b2111e072fa,german_fires_frankfurt_locations__3e4c3299fee9b38096e02548cfd56c79
#burgerstrasse,"Burgerstrasse in Frankfurt, Germany",50.1872736,8.7013116,1,,,,Person,"Burgerstrasse in Frankfurt, Germany",,german_fires_frankfurt_locations,09c516eee498695b3867e6a5d1a15772,german_fires_frankfurt_locations__cae715aafadf51508ca379430519ef3b
#burgfriedenstrasse,"Burgfriedenstrasse in Frankfurt, Germany",50.1240392,8.6102215,1,,,,LegislativeCommittee,"Burgfriedenstrasse in Frankfurt, Germany",,german_fires_frankfurt_locations,89ef77aa86e44c8fd03c934333505fe0,german_fires_frankfurt_locations__cc81065f845b281b71584f496337e397
#burggraben,"Burggraben in Frankfurt, Germany",50.0984947,8.5466807,1,,,,LegislativeCommittee,"Burggraben in Frankfurt, Germany",,german_fires_frankfurt_locations,00fdf1e16c14d893a0f5bd87b040b7db,german_fires_frankfurt_locations__d5a2e751567d25235707c7da10af99b7
#burgholzerplatz,"Burgholzer Platz in Frankfurt, Germany",50.1558321,8.6686499,1,,,,News,"Burgholzer Platz in Frankfurt, Germany",,german_fires_frankfurt_locations,80885e9a6a868e5be918508b0c0dd15b,german_fires_frankfurt_locations__62b9455f067975e51b4b5b1969c23690
#burgholzerstrasse,"Burgholzer Strasse in Frankfurt, Germany",50.1557655,8.6676662,1,,,,News,"Burgholzer Strasse in Frankfurt, Germany",,german_fires_frankfurt_locations,9e3ed528f8eb1bd60739eeb47d4f908b,german_fires_frankfurt_locations__04999be5826f78e3ce8c39e0c2dc548b
#burglehen,"Burglehen in Frankfurt, Germany",50.122165,8.7717262,1,,,,Person,"Burglehen in Frankfurt, Germany",,german_fires_frankfurt_locations,55d3bdb33fe48fb27aa633a0e50bbc2f,german_fires_frankfurt_locations__c191d1ad1d73653019cac8e359ad64ef
#burgstrasse,"Burgstrasse in Frankfurt, Germany",50.1252529,8.6995973,1,,,,Pipeline,"Burgstrasse in Frankfurt, Germany",,german_fires_frankfurt_locations,d5673899ea4b5ea939f82991064ac17e,german_fires_frankfurt_locations__8fe09c3ec399e9f6ca112caebbca93c6
