german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
jupp-eickhoff-weg,"Jupp-Eickhoff-Weg in Hamm, Germany",51.6872876,7.8168529,1,,,,,,,,Consulates,"Jupp-Eickhoff-Weg in Hamm, Germany",,german_fires_hamm_locations,efd4ab77ff77120f157d8a39a45e5c73,german_fires_hamm_locations__efd4ab77ff77120f157d8a39a45e5c73
jurgen-graef-allee,"Jurgen-Graef-Allee in Hamm, Germany",51.6879497,7.8337915,1,,,,,,,,ForeignMinister,"Jurgen-Graef-Allee in Hamm, Germany",,german_fires_hamm_locations,598ebc4cd212deb92e0185f38e4d1166,german_fires_hamm_locations__598ebc4cd212deb92e0185f38e4d1166
justus-liebig-strasse,"Justus-Liebig-Strasse in Hamm, Germany",51.6411877,7.781596,1,,,,,,,,LegislativeCommittee,"Justus-Liebig-Strasse in Hamm, Germany",,german_fires_hamm_locations,427cb9c0fdbf96b4b0c7567229fe6c81,german_fires_hamm_locations__427cb9c0fdbf96b4b0c7567229fe6c81
jutlandweg,"Jutlandweg in Hamm, Germany",51.6721925,7.788231,1,,,,,,,,Exec,"Jutlandweg in Hamm, Germany",,german_fires_hamm_locations,e683894f2a122faf3ddc0dc0dc79721d,german_fires_hamm_locations__e683894f2a122faf3ddc0dc0dc79721d
k'park-strasse,"K'Park-Strasse in Hamm, Germany",51.6753453,7.9379039,1,,,,,,,,DiplomaticFacilities,"K'Park-Strasse in Hamm, Germany",,german_fires_hamm_locations,b8e31be2d0d309290ff665e86accae1b,german_fires_hamm_locations__b8e31be2d0d309290ff665e86accae1b
kaliszring,"Kaliszring in Hamm, Germany",51.6728063,7.8344479,1,,,,,,,,CompanyKeyword,"Kaliszring in Hamm, Germany",,german_fires_hamm_locations,0b90c0f9d488f42b70cfdd40634e052e,german_fires_hamm_locations__0b90c0f9d488f42b70cfdd40634e052e
kamener strasse,"Kamener Strasse in Hamm, Germany",51.6383353,7.7425412,1,,,,,,,,DiplomaticFacilities,"Kamener Strasse in Hamm, Germany",,german_fires_hamm_locations,9864aa68d6971bd8ee0d4a65304c6900,german_fires_hamm_locations__9864aa68d6971bd8ee0d4a65304c6900
kamener strasse,"Kamener Strasse in Hamm, Germany",51.6383353,7.7425412,1,,,,,,,,Shipping,"Kamener Strasse in Hamm, Germany",,german_fires_hamm_locations,9864aa68d6971bd8ee0d4a65304c6900,german_fires_hamm_locations__9864aa68d6971bd8ee0d4a65304c6900
kamillenweg,"Kamillenweg in Hamm, Germany",51.7156978,7.8305849,1,,,,,,,,Keyphrase,"Kamillenweg in Hamm, Germany",,german_fires_hamm_locations,8615849d689f11d399ee9312bca849c6,german_fires_hamm_locations__8615849d689f11d399ee9312bca849c6
kampe,"Kampe in Hamm, Germany",51.7024072,7.7432558,1,,,,,,,,News,"Kampe in Hamm, Germany",,german_fires_hamm_locations,ce2c110aa301b1647e1d3af969844e6b,german_fires_hamm_locations__ce2c110aa301b1647e1d3af969844e6b
