german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
feuerbacher weg,"Feuerbacher Weg in Hildesheim, Germany",52.1171282,9.9031224,1,,,,,Exec,"Feuerbacher Weg in Hildesheim, Germany",,german_fires_hildesheim_locations,a550b64ff8e824fac94dbed065a2c68b,german_fires_hildesheim_locations__a550b64ff8e824fac94dbed065a2c68b
fichtestrasse,"Fichtestrasse in Hildesheim, Germany",52.168067,9.9431145,1,,,,,Wells,"Fichtestrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,516868978a03f7ba217bb29c5147f87f,german_fires_hildesheim_locations__516868978a03f7ba217bb29c5147f87f
fillerkamp,"Fillerkamp in Hildesheim, Germany",52.1370311,9.9195669,1,,,,,Legislator,"Fillerkamp in Hildesheim, Germany",,german_fires_hildesheim_locations,09259b801cb3bdf7737b0b771c87f305,german_fires_hildesheim_locations__09259b801cb3bdf7737b0b771c87f305
fliederweg,"Fliederweg in Hildesheim, Germany",52.1173069,9.9929069,1,,,,,Legislator,"Fliederweg in Hildesheim, Germany",,german_fires_hildesheim_locations,9a52fb3435bbad8e5e75f158aa40ccc3,german_fires_hildesheim_locations__9a52fb3435bbad8e5e75f158aa40ccc3
florianweg,"Florianweg in Hildesheim, Germany",52.1117591,9.9962516,1,,,,,Media,"Florianweg in Hildesheim, Germany",,german_fires_hildesheim_locations,f7e886ce675e5487d70906db048136bd,german_fires_hildesheim_locations__f7e886ce675e5487d70906db048136bd
fokkerstrasse,"Fokkerstrasse in Hildesheim, Germany",52.1773956,9.9469882,1,,,,,Shipping,"Fokkerstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,c0d5a9784c4e9c33b2cf6d7ed091a179,german_fires_hildesheim_locations__c0d5a9784c4e9c33b2cf6d7ed091a179
frankenstrasse,"Frankenstrasse in Hildesheim, Germany",52.1571879,9.9736448,1,,,,,CompanyKeyword,"Frankenstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,db1d68f5cad46fc799c77e6c4ec9593d,german_fires_hildesheim_locations__db1d68f5cad46fc799c77e6c4ec9593d
franz-eger-strasse,"Franz-Eger-Strasse in Hildesheim, Germany",52.172666,9.9661947,1,,,,,News,"Franz-Eger-Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,8dca419ba3f6a03f882b7e835b52aecd,german_fires_hildesheim_locations__8dca419ba3f6a03f882b7e835b52aecd
franz-hartmann-weg,"Franz-Hartmann-Weg in Hildesheim, Germany",52.1750237,9.9692418,1,,,,,Person,"Franz-Hartmann-Weg in Hildesheim, Germany",,german_fires_hildesheim_locations,1ed34e84ea62b137a9ea4fab64b163fd,german_fires_hildesheim_locations__1ed34e84ea62b137a9ea4fab64b163fd
franz-heise-weg,"Franz-Heise-Weg in Hildesheim, Germany",52.1644178,10.0140289,1,,,,,Refinery,"Franz-Heise-Weg in Hildesheim, Germany",,german_fires_hildesheim_locations,92be2d52bd0ffc27d86a68babc6ba548,german_fires_hildesheim_locations__92be2d52bd0ffc27d86a68babc6ba548
