company,GUID,caption name,exactcheck,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mylan,8fc49fc4a1c567169f4d2092122c70b0,Mylan,,Media,Mylan,,CrunchbaseFunding_CompanyMapping,8b94de7669b3b2ef38c3f4637a78f8a8,CrunchbaseFunding_CompanyMapping__8b94de7669b3b2ef38c3f4637a78f8a8
oracle,8fe63e6ff302dc0387483ac34b96b4bd,Oracle,,Keyphrase,Oracle,,CrunchbaseFunding_CompanyMapping,30162ed78b6c10f731411f2fc440c24f,CrunchbaseFunding_CompanyMapping__30162ed78b6c10f731411f2fc440c24f
orcl,8fe63e6ff302dc0387483ac34b96b4bd,Oracle,,Wells,Oracle,,CrunchbaseFunding_CompanyMapping,30162ed78b6c10f731411f2fc440c24f,CrunchbaseFunding_CompanyMapping__30162ed78b6c10f731411f2fc440c24f
richemont,8fe894b368fceb74597c02f8e47fb13e,Richemont,,Legislator,Richemont,,CrunchbaseFunding_CompanyMapping,1bb3381b20e62b175d7a90cdea3ce177,CrunchbaseFunding_CompanyMapping__1bb3381b20e62b175d7a90cdea3ce177
intuit,90e0e462392ca272b4e59801d8e11507,Intuit,,ForeignMinister,Intuit,,CrunchbaseFunding_CompanyMapping,9af606ecc5a5cff1cb05cf23c4f2173d,CrunchbaseFunding_CompanyMapping__9af606ecc5a5cff1cb05cf23c4f2173d
alcoa,912c7f4c962b842002462c097711a224,Alcoa,,News,Alcoa,,CrunchbaseFunding_CompanyMapping,43c9d246e29acfebd217d14740993446,CrunchbaseFunding_CompanyMapping__43c9d246e29acfebd217d14740993446
hsbc,914fc0ddfc7d82f93070dfc556c9b721,HSBC,,AAEntity,HSBC,,CrunchbaseFunding_CompanyMapping,f8f8f7fcceffcd4c66e2e4f9670b27aa,CrunchbaseFunding_CompanyMapping__f8f8f7fcceffcd4c66e2e4f9670b27aa
hubbell,9189fc639f56894f6b4716ac7268b052,Hubbell,,Legislator,Hubbell,,CrunchbaseFunding_CompanyMapping,71c3c6050a5164ad8d139b489c2a42b2,CrunchbaseFunding_CompanyMapping__71c3c6050a5164ad8d139b489c2a42b2
catalent,91e31d7af1bd3451cb93f8f38bf5e036,Catalent,,Legislator,Catalent,,CrunchbaseFunding_CompanyMapping,d54f060c536527037a22f6a3be40f303,CrunchbaseFunding_CompanyMapping__d54f060c536527037a22f6a3be40f303
norsk hydro,925cdbd6b30a1bbd26aad2ba4920447f,Norsk Hydro,,ForeignMinister,Norsk Hydro,,CrunchbaseFunding_CompanyMapping,14050f1a5eef44aa5966b4993129fab6,CrunchbaseFunding_CompanyMapping__14050f1a5eef44aa5966b4993129fab6
barclays,928058eba19658895d2b341a9fb791f9,Barclays,,DiplomaticFacilities,Barclays,,CrunchbaseFunding_CompanyMapping,167cd5762065530b3bf05b9d1f4fed66,CrunchbaseFunding_CompanyMapping__167cd5762065530b3bf05b9d1f4fed66
chipotle,93f1fe5720c34ec307ebed753cd78288,Chipotle,,News,Chipotle,,CrunchbaseFunding_CompanyMapping,951d9b40ea15a154234366aab2271632,CrunchbaseFunding_CompanyMapping__951d9b40ea15a154234366aab2271632
bombardier,941ce0d6b45160d314d37c747db79b5c,Bombardier,,Exec,Bombardier,,CrunchbaseFunding_CompanyMapping,7015ea08a136b9bb9aee90295316d7ee,CrunchbaseFunding_CompanyMapping__7015ea08a136b9bb9aee90295316d7ee
lands' end,944b09615c71dd94dfe3e1c8686a982a,Lands' End,,DiplomaticFacilities,Lands' End,,CrunchbaseFunding_CompanyMapping,f070dd1bb717a6c5c9c22072ca05d9f9,CrunchbaseFunding_CompanyMapping__f070dd1bb717a6c5c9c22072ca05d9f9
oxy inc.,947451a3db558bc8061d25e7e9a2c442,OXY Inc.,,AAEntity,OXY Inc.,,CrunchbaseFunding_CompanyMapping,4b8b156948ce6f3f02f5d9252421ee65,CrunchbaseFunding_CompanyMapping__4b8b156948ce6f3f02f5d9252421ee65
albertsons,949eebc349bda3ce68cb04fe43baa843,Albertsons,,space,Albertsons,,CrunchbaseFunding_CompanyMapping,767e924278099a2e4f3d05c5c2bf766a,CrunchbaseFunding_CompanyMapping__767e924278099a2e4f3d05c5c2bf766a
morgan stanley,9597f9cbacb1485175682349860da818,Morgan Stanley,,ForeignMinister,Morgan Stanley,,CrunchbaseFunding_CompanyMapping,0e72dec947a8b849cb33ca5799320f5a,CrunchbaseFunding_CompanyMapping__0e72dec947a8b849cb33ca5799320f5a
