keyword,caption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
level 1,level 1 travel advisory,Pipeline,level 1 travel advisory,,dgm_traveladvisories_levels_us,f83d780ca97b6a15a8a8fa93044997a8,dgm_traveladvisories_levels_us__f83d780ca97b6a15a8a8fa93044997a8
level 2,level 2 travel advisory,Wells,level 2 travel advisory,,dgm_traveladvisories_levels_us,36901c93255b9e32cc9270ef8154d1ac,dgm_traveladvisories_levels_us__36901c93255b9e32cc9270ef8154d1ac
level 3,level 3 travel advisory,News,level 3 travel advisory,,dgm_traveladvisories_levels_us,8d78eb872ad47871529bfcfe5d271592,dgm_traveladvisories_levels_us__8d78eb872ad47871529bfcfe5d271592
level 4,level 4 travel advisory,Refinery,level 4 travel advisory,,dgm_traveladvisories_levels_us,98eb98d921ae796c450cf55f83e82e78,dgm_traveladvisories_levels_us__98eb98d921ae796c450cf55f83e82e78
level 5,level 5 travel advisory,Person,level 5 travel advisory,,dgm_traveladvisories_levels_us,794b1d2d47a97034f3b9f2addc1e5c5f,dgm_traveladvisories_levels_us__794b1d2d47a97034f3b9f2addc1e5c5f
