keyword,caption_name,location_lower,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
zahna-elster,"Zahna-Elster, Germany",zahna-elster,51.8872632,12.8062204,Keyphrase,"Zahna-Elster, Germany",,dgm_german_location,2fd3032775b9b742bfa82abd5ec4e698,dgm_german_location__2fd3032775b9b742bfa82abd5ec4e698
zarrentin am schaalsee,"Zarrentin am Schaalsee, Germany",zarrentin am schaalsee,53.5487491,10.9163473,ForeignMinistry,"Zarrentin am Schaalsee, Germany",,dgm_german_location,b71ccc84badf24bb96228bb9ce3cf97f,dgm_german_location__b71ccc84badf24bb96228bb9ce3cf97f
zehdenick,"Zehdenick, Germany",zehdenick,52.9791731,13.3378948,Pipeline,"Zehdenick, Germany",,dgm_german_location,720442c12a35bdd0a6dd88507502d07c,dgm_german_location__720442c12a35bdd0a6dd88507502d07c
zeil a.main,"Zeil am Main, Germany",zeil a.main,50.011546,10.5922117,IndustryTerm,"Zeil am Main, Germany",,dgm_german_location,91ecb37d0e162f6cddfb3a5251a454f1,dgm_german_location__91ecb37d0e162f6cddfb3a5251a454f1
zeitz,"Zeitz, Germany",zeitz,51.0443266,12.1402795,Consulates,"Zeitz, Germany",,dgm_german_location,a50cebd5e6f80a6cb58f99fd9b6595c1,dgm_german_location__a50cebd5e6f80a6cb58f99fd9b6595c1
zell mosel,"Zell (Mosel), Germany",zell mosel,50.0324264,7.1964981,AAEntity,"Zell (Mosel), Germany",,dgm_german_location,1502836bd8d97691d9f4d48d836e61d5,dgm_german_location__1502836bd8d97691d9f4d48d836e61d5
zell am harmersbach,"Zell am Harmersbach, Germany",zell am harmersbach,48.3471573,8.0656529,DiplomaticFacilities,"Zell am Harmersbach, Germany",,dgm_german_location,e20382b3d497c4549f5cf4efae2d8db2,dgm_german_location__e20382b3d497c4549f5cf4efae2d8db2
zell im wiesental,"Zell im Wiesental, Germany",zell im wiesental,47.7095219,7.8572617,ForeignMinister,"Zell im Wiesental, Germany",,dgm_german_location,78030b79bc9b8736024a12ac0c755a47,dgm_german_location__78030b79bc9b8736024a12ac0c755a47
zella-mehlis,"Zella-Mehlis, Germany",zella-mehlis,50.658799,10.6649645,Exec,"Zella-Mehlis, Germany",,dgm_german_location,cf7ee1c87726639f923bd54eaa70c8b9,dgm_german_location__cf7ee1c87726639f923bd54eaa70c8b9
zerbst_anhalt,"Zerbst, Germany",zerbst_anhalt,51.9669481,12.0846211,Wells,"Zerbst, Germany",,dgm_german_location,eae32fdc36a0359e11e7310f67abeaae,dgm_german_location__eae32fdc36a0359e11e7310f67abeaae
zeulenroda-triebes,"Zeulenroda-Triebes, Germany",zeulenroda-triebes,50.6292435,12.0391162,CompanyKeyword,"Zeulenroda-Triebes, Germany",,dgm_german_location,e223ab4336940dcb77278f953f2e100d,dgm_german_location__e223ab4336940dcb77278f953f2e100d
ziegenrück,"Ziegenrück, Germany",ziegenrück,50.6083002,11.6509304,ForeignMinister,"Ziegenrück, Germany",,dgm_german_location,0ce5b7ebbaef0139d5f98a1692d1bc84,dgm_german_location__0ce5b7ebbaef0139d5f98a1692d1bc84
zierenberg,"Zierenberg, Germany",zierenberg,51.3678209,9.3014482,CompanyKeyword,"Zierenberg, Germany",,dgm_german_location,6d1b86b7ea0e237afe7ed44d86ab3f33,dgm_german_location__6d1b86b7ea0e237afe7ed44d86ab3f33
ziesar,"Ziesar, Germany",ziesar,52.2674683,12.2874395,Keyphrase,"Ziesar, Germany",,dgm_german_location,02dfaeae4b639b1fd131c21f3bc7640f,dgm_german_location__02dfaeae4b639b1fd131c21f3bc7640f
zirndorf,"Zirndorf, Germany",zirndorf,49.444555,10.9550183,Media,"Zirndorf, Germany",,dgm_german_location,5cabd67d3d971988a03e797a6135004c,dgm_german_location__5cabd67d3d971988a03e797a6135004c
zittau,"Zittau, Germany",zittau,50.8999681,14.8029971,space,"Zittau, Germany",,dgm_german_location,6d2f86ec1866e4edf998b9c5fbd6a49e,dgm_german_location__6d2f86ec1866e4edf998b9c5fbd6a49e
zörbig,"Zörbig, Germany",zörbig,51.6281275,12.1195606,Keyphrase,"Zörbig, Germany",,dgm_german_location,9854b242b407c997c895e1ad0e0a43f0,dgm_german_location__9854b242b407c997c895e1ad0e0a43f0
zossen,"Zossen, Germany",zossen,52.2169747,13.453792,Organization,"Zossen, Germany",,dgm_german_location,a8d05b5aa8a0eb0323da24769bf4b988,dgm_german_location__a8d05b5aa8a0eb0323da24769bf4b988
zschopau,"Zschopau, Germany",zschopau,50.7474463,13.0745705,IndustryTerm,"Zschopau, Germany",,dgm_german_location,7634b953a489836c815756a5283dcf7f,dgm_german_location__7634b953a489836c815756a5283dcf7f
zülpich,"Zülpich, Germany",zülpich,50.6938699,6.6549936,DiplomaticFacilities,"Zülpich, Germany",,dgm_german_location,766aba2c7464b6281ddc2406d822600b,dgm_german_location__766aba2c7464b6281ddc2406d822600b
zweibrücken,"Zweibrücken, Germany",zweibrücken,49.2450528,7.3634022,Diplomat,"Zweibrücken, Germany",,dgm_german_location,0f816c2327f5f90905bb8002323e345b,dgm_german_location__0f816c2327f5f90905bb8002323e345b
zwenkau,"Zwenkau, Germany",zwenkau,51.2166912,12.3305257,Legislator,"Zwenkau, Germany",,dgm_german_location,b147130f7d9a5a2454ebab273c0b5051,dgm_german_location__b147130f7d9a5a2454ebab273c0b5051
zwickau,"Zwickau, Germany",zwickau,50.7102169,12.4733725,LegislativeCommittee,"Zwickau, Germany",,dgm_german_location,123cc0d065a347c121c31520659e790b,dgm_german_location__123cc0d065a347c121c31520659e790b
zwiesel,"Zwiesel, Germany",zwiesel,49.0177574,13.2379307,AAEntity,"Zwiesel, Germany",,dgm_german_location,ba17c1eed579860cfb4b05cc0bd15b19,dgm_german_location__ba17c1eed579860cfb4b05cc0bd15b19
zwingenberg,"Zwingenberg, Germany",zwingenberg,49.7250007,8.6109754,Consulates,"Zwingenberg, Germany",,dgm_german_location,4d50fde91382d5b712b7411608e31306,dgm_german_location__4d50fde91382d5b712b7411608e31306
zwönitz,"Zwönitz, Germany",zwönitz,50.6320683,12.8095151,Diplomat,"Zwönitz, Germany",,dgm_german_location,20413774a89206cd13113d382abd6a9e,dgm_german_location__20413774a89206cd13113d382abd6a9e
xanten,"Xanten, Germany",xanten,51.6571081,6.4486504,Organization,"Xanten, Germany",,dgm_german_location,c7561d6c9b8b18f9095611a19424dd15,dgm_german_location__c7561d6c9b8b18f9095611a19424dd15
wachenheim an der weinstraße,"Wachenheim, Germany",wachenheim an der weinstraße,49.441111,8.18,CompanyKeyword,"Wachenheim, Germany",,dgm_german_location,a6ccf3603d6f7bd49b1cad08b13b5b56,dgm_german_location__a6ccf3603d6f7bd49b1cad08b13b5b56
wächtersbach,"Wächtersbach, Germany",wächtersbach,50.2550222,9.2918865,AAEntity,"Wächtersbach, Germany",,dgm_german_location,1a76857441310376a07702ad77098073,dgm_german_location__1a76857441310376a07702ad77098073
wadern,"Wadern, Germany",wadern,49.5409429,6.889597,Media,"Wadern, Germany",,dgm_german_location,e0f109a1294be3fe84dd61ec5d787e7a,dgm_german_location__e0f109a1294be3fe84dd61ec5d787e7a
waghäusel,"Waghäusel, Germany",waghäusel,49.2495336,8.5154348,CompanyKeyword,"Waghäusel, Germany",,dgm_german_location,f48151a09902be7d6a261851b67f5a75,dgm_german_location__f48151a09902be7d6a261851b67f5a75
wahlstedt,"Wahlstedt, Germany",wahlstedt,53.9528496,10.2099094,ForeignMinistry,"Wahlstedt, Germany",,dgm_german_location,4102b287b191bd396c82930d5e169e56,dgm_german_location__4102b287b191bd396c82930d5e169e56
waiblingen,"Waiblingen, Germany",waiblingen,48.8293519,9.3185739,CompanyKeyword,"Waiblingen, Germany",,dgm_german_location,25f7cd8ed4db874d3c00388b0953d227,dgm_german_location__25f7cd8ed4db874d3c00388b0953d227
waibstadt,"Waibstadt, Germany",waibstadt,49.30042,8.9197318,LegislativeCommittee,"Waibstadt, Germany",,dgm_german_location,6e361fc9fd68fa58ba1240919d9696f8,dgm_german_location__6e361fc9fd68fa58ba1240919d9696f8
waischenfeld,"Waischenfeld, Germany",waischenfeld,49.8477842,11.3469137,Legislator,"Waischenfeld, Germany",,dgm_german_location,bacd593ce8f9ccc1dfdadfee39bcb027,dgm_german_location__bacd593ce8f9ccc1dfdadfee39bcb027
waldbröl,"Waldbröl, Germany",waldbröl,50.881469,7.6287457,Wells,"Waldbröl, Germany",,dgm_german_location,d75be649f873e5526d0997f3c34de3a4,dgm_german_location__d75be649f873e5526d0997f3c34de3a4
waldeck,"Waldeck, Germany",waldeck,51.2076269,9.0646516,Legislator,"Waldeck, Germany",,dgm_german_location,86039ea5fd6266c6b9a26f2763030381,dgm_german_location__86039ea5fd6266c6b9a26f2763030381
waldenbuch,"Waldenbuch, Germany",waldenbuch,48.6408189,9.138027,News,"Waldenbuch, Germany",,dgm_german_location,20650f1df4829df7fe345d76e0a324da,dgm_german_location__20650f1df4829df7fe345d76e0a324da
waldenburg,"Waldenburg, Germany",waldenburg,49.1832843,9.6385802,Consulates,"Waldenburg, Germany",,dgm_german_location,abb3bd9ff6ab4b34c6096b0a00f9328b,dgm_german_location__abb3bd9ff6ab4b34c6096b0a00f9328b
waldershof,"Waldershof, Germany",waldershof,49.9803214,12.0645205,IndustryTerm,"Waldershof, Germany",,dgm_german_location,7ba57b1086c64f7c6a085a061c46a01c,dgm_german_location__7ba57b1086c64f7c6a085a061c46a01c
waldkappel,"Waldkappel, Germany",waldkappel,51.1456827,9.8772466,ForeignMinister,"Waldkappel, Germany",,dgm_german_location,28d7c608b74e9a0216db7e250452d3a1,dgm_german_location__28d7c608b74e9a0216db7e250452d3a1
waldkirch,"Waldkirch, Germany",waldkirch,48.0914682,7.9586468,Refinery,"Waldkirch, Germany",,dgm_german_location,c3b9cc1342b3758248687d5968ddafed,dgm_german_location__c3b9cc1342b3758248687d5968ddafed
waldkirchen,"Waldkirchen, Germany",waldkirchen,48.7291545,13.6009591,Consulates,"Waldkirchen, Germany",,dgm_german_location,5d6627f2b7f915d74b5415dd0da85d25,dgm_german_location__5d6627f2b7f915d74b5415dd0da85d25
waldkraiburg,"Waldkraiburg, Germany",waldkraiburg,48.2086516,12.4016363,Pipeline,"Waldkraiburg, Germany",,dgm_german_location,252d605c3f57b56229f4dfd910ac044b,dgm_german_location__252d605c3f57b56229f4dfd910ac044b
waldmünchen,"Waldmünchen, Germany",waldmünchen,49.3783747,12.7059963,Legislator,"Waldmünchen, Germany",,dgm_german_location,72aab6594e4e808de1d319c439670817,dgm_german_location__72aab6594e4e808de1d319c439670817
waldsassen,"Waldsassen, Germany",waldsassen,50.0028412,12.3055734,Pipeline,"Waldsassen, Germany",,dgm_german_location,83c43da8e0f3a78359adf6c86f031b36,dgm_german_location__83c43da8e0f3a78359adf6c86f031b36
waldshut-tiengen,"Waldshut-Tiengen, Germany",waldshut-tiengen,47.6327253,8.2719155,Media,"Waldshut-Tiengen, Germany",,dgm_german_location,4e18762e8e88a89cfedb9e55a6023482,dgm_german_location__4e18762e8e88a89cfedb9e55a6023482
walldorf,"Walldorf, Germany",walldorf,49.3063689,8.6427693,Organization,"Walldorf, Germany",,dgm_german_location,08fa7e00f0f7217594359cb1c7fb834e,dgm_german_location__08fa7e00f0f7217594359cb1c7fb834e
walldürn,"Walldürn, Germany",walldürn,49.5810849,9.36216,Media,"Walldürn, Germany",,dgm_german_location,fd21cc209244264ad7430bb3c841761c,dgm_german_location__fd21cc209244264ad7430bb3c841761c
wallenfels,"Wallenfels, Germany",wallenfels,50.2683801,11.4717459,IndustryTerm,"Wallenfels, Germany",,dgm_german_location,5011d1903e4ce5873b6dec89bf5b0008,dgm_german_location__5011d1903e4ce5873b6dec89bf5b0008
walsrode,"Walsrode, Germany",walsrode,52.861732,9.5930916,Legislator,"Walsrode, Germany",,dgm_german_location,3786a755bbbd542290b5553f4664b420,dgm_german_location__3786a755bbbd542290b5553f4664b420
waltershausen,"Waltershausen, Germany",waltershausen,50.9003774,10.5607552,Exec,"Waltershausen, Germany",,dgm_german_location,223bea2648ae91952ea5bc1a37e40480,dgm_german_location__223bea2648ae91952ea5bc1a37e40480
waltrop,"Waltrop, Germany",waltrop,51.6216271,7.4030797,Organization,"Waltrop, Germany",,dgm_german_location,b793d60070231c6a3aee62169dfba690,dgm_german_location__b793d60070231c6a3aee62169dfba690
wanfried,"Wanfried, Germany",wanfried,51.1815,10.173811,IndustryTerm,"Wanfried, Germany",,dgm_german_location,20b47b11cedda26f9f643e26389d2504,dgm_german_location__20b47b11cedda26f9f643e26389d2504
wangen im allgäu,"Wangen im Allgäu, Germany",wangen im allgäu,47.6874999,9.8318005,Person,"Wangen im Allgäu, Germany",,dgm_german_location,de9a6f74e4f8a35aec867ec5f921207c,dgm_german_location__de9a6f74e4f8a35aec867ec5f921207c
wanzleben-börde,"Wanzleben-Börde, Germany",wanzleben-börde,52.0897963,11.366905,Person,"Wanzleben-Börde, Germany",,dgm_german_location,447331f6a1176e15aa8ee6d005442801,dgm_german_location__447331f6a1176e15aa8ee6d005442801
warburg,"Warburg, Germany",warburg,51.4899078,9.14519,Person,"Warburg, Germany",,dgm_german_location,71157d93f4ec33daef59ed07b2a3f85d,dgm_german_location__71157d93f4ec33daef59ed07b2a3f85d
waren müritz,"Waren (Müritz), Germany",waren müritz,53.5161667,12.6818562,Pipeline,"Waren (Müritz), Germany",,dgm_german_location,322f78037403658e4561d2ded5c4ee24,dgm_german_location__322f78037403658e4561d2ded5c4ee24
warendorf,"Warendorf, Germany",warendorf,51.9538685,7.9908987,LegislativeCommittee,"Warendorf, Germany",,dgm_german_location,c225b8da915c3e7afec3ac6a4d3ea549,dgm_german_location__c225b8da915c3e7afec3ac6a4d3ea549
warstein,"Warstein, Germany",warstein,51.4491749,8.3557715,Media,"Warstein, Germany",,dgm_german_location,96e2f1efccda4c4b8c8e2e5853a9a1ff,dgm_german_location__96e2f1efccda4c4b8c8e2e5853a9a1ff
wassenberg,"Wassenberg, Germany",wassenberg,51.1012901,6.1555425,LegislativeCommittee,"Wassenberg, Germany",,dgm_german_location,427a56f4c8f64f8e60d96334ed6f1032,dgm_german_location__427a56f4c8f64f8e60d96334ed6f1032
wasserburg a.inn,"Wasserburg am Inn, Germany",wasserburg a.inn,48.0527463,12.224529,Exec,"Wasserburg am Inn, Germany",,dgm_german_location,8c5de3f3504a6fac27ead17a4b85e50d,dgm_german_location__8c5de3f3504a6fac27ead17a4b85e50d
wassertrüdingen,"Wassertrüdingen, Germany",wassertrüdingen,49.0421344,10.5980971,Wells,"Wassertrüdingen, Germany",,dgm_german_location,48ff41f7f881c3d063328db154cf9cc9,dgm_german_location__48ff41f7f881c3d063328db154cf9cc9
wasungen,"Wasungen, Germany",wasungen,50.6602548,10.3730384,Media,"Wasungen, Germany",,dgm_german_location,f35f5c8c7136b6f7164d139eda9e90fb,dgm_german_location__f35f5c8c7136b6f7164d139eda9e90fb
wedel,"Wedel, Germany",wedel,53.5823813,9.7137465,FTO,"Wedel, Germany",,dgm_german_location,0e9c724c658b1ed61e47871e6be16cb6,dgm_german_location__0e9c724c658b1ed61e47871e6be16cb6
weener,"Weener, Germany",weener,53.1638205,7.346154,Keyphrase,"Weener, Germany",,dgm_german_location,87e38e6920fdbb8f4b204855f8c1fc3e,dgm_german_location__87e38e6920fdbb8f4b204855f8c1fc3e
wegberg,"Wegberg, Germany",wegberg,51.1423399,6.2815922,DiplomaticFacilities,"Wegberg, Germany",,dgm_german_location,dd459700721bcda0c3d044c9b64de639,dgm_german_location__dd459700721bcda0c3d044c9b64de639
wegeleben,"Wegeleben, Germany",wegeleben,51.8821669,11.1723532,DiplomaticFacilities,"Wegeleben, Germany",,dgm_german_location,efa27550571a84ffb07f7182260cd62f,dgm_german_location__efa27550571a84ffb07f7182260cd62f
weiden i.d.opf.,"Weiden in der Oberpfalz, Germany",weiden i.d.opf.,49.6743636,12.1489337,Shipping,"Weiden in der Oberpfalz, Germany",,dgm_german_location,6710acf491365ee4d04218723dc06526,dgm_german_location__6710acf491365ee4d04218723dc06526
weikersheim,"Weikersheim, Germany",weikersheim,49.4806358,9.9034504,Shipping,"Weikersheim, Germany",,dgm_german_location,c6d17100cc0ba769f509a09e287bab46,dgm_german_location__c6d17100cc0ba769f509a09e287bab46
weil am rhein,"Weil am Rhein, Germany",weil am rhein,47.5934368,7.6198121,Pipeline,"Weil am Rhein, Germany",,dgm_german_location,0f0d1217fe3bfb9b9e3e26b056942344,dgm_german_location__0f0d1217fe3bfb9b9e3e26b056942344
weil der stadt,"Weil der Stadt, Germany",weil der stadt,48.7535937,8.8727422,Media,"Weil der Stadt, Germany",,dgm_german_location,e4922e00546cd4985702f3559a27d937,dgm_german_location__e4922e00546cd4985702f3559a27d937
weilburg,"Weilburg, Germany",weilburg,50.4859255,8.2722569,FTO,"Weilburg, Germany",,dgm_german_location,4ca5a6791c4902af3dcfc2635a4871e2,dgm_german_location__4ca5a6791c4902af3dcfc2635a4871e2
weilheim an der teck,"Weilheim an der Teck, Germany",weilheim an der teck,48.6179469,9.5355678,ForeignMinister,"Weilheim an der Teck, Germany",,dgm_german_location,936204e6e652ec823e7f9a4b9de72bc8,dgm_german_location__936204e6e652ec823e7f9a4b9de72bc8
weilheim i.ob,"Weilheim in Oberbayern, Germany",weilheim i.ob,47.8406859,11.1421379,FTO,"Weilheim in Oberbayern, Germany",,dgm_german_location,a06ae8faec9f5d81414135f6042e5085,dgm_german_location__a06ae8faec9f5d81414135f6042e5085
weimar,"Weimar, Germany",weimar,50.9794934,11.3235439,Organization,"Weimar, Germany",,dgm_german_location,2948491243080b6fdf184d405573bdf8,dgm_german_location__2948491243080b6fdf184d405573bdf8
weinheim,"Weinheim, Germany",weinheim,49.544964,8.6602704,Consulates,"Weinheim, Germany",,dgm_german_location,1e2040e4bb292f3f14665e521d7a38be,dgm_german_location__1e2040e4bb292f3f14665e521d7a38be
weinsberg,"Weinsberg, Germany",weinsberg,49.1484633,9.2872657,Person,"Weinsberg, Germany",,dgm_german_location,3dfc8178ed86f48691fd0a139ecf64cf,dgm_german_location__3dfc8178ed86f48691fd0a139ecf64cf
weinstadt,"Weinstadt, Germany",weinstadt,48.8108645,9.3644475,Wells,"Weinstadt, Germany",,dgm_german_location,678ae5537c3a68dbdb93cfbefe972c7e,dgm_german_location__678ae5537c3a68dbdb93cfbefe972c7e
weißenberg,"Weißenberg, Germany",weißenberg,51.1977135,14.6604675,space,"Weißenberg, Germany",,dgm_german_location,eda9c022011d1925d201a40908887418,dgm_german_location__eda9c022011d1925d201a40908887418
weißenburg i.bay.,"Weißenburg in Bayern, Germany",weißenburg i.bay.,49.0272089,10.9710237,Diplomat,"Weißenburg in Bayern, Germany",,dgm_german_location,8c95c0aa65bbb85d2d08f292f9742d17,dgm_german_location__8c95c0aa65bbb85d2d08f292f9742d17
weißenfels,"Weißenfels, Germany",weißenfels,51.1987896,11.9668979,Organization,"Weißenfels, Germany",,dgm_german_location,bba9cd15846417002e02c32541c0a22d,dgm_german_location__bba9cd15846417002e02c32541c0a22d
weißenhorn,"Weißenhorn, Germany",weißenhorn,48.3037462,10.1561201,IndustryTerm,"Weißenhorn, Germany",,dgm_german_location,4a7d393ad881d6d8b4271375115e1635,dgm_german_location__4a7d393ad881d6d8b4271375115e1635
weißensee,"Weißensee, Germany",weißensee,46.7140952,13.2949527,Wells,"Weißensee, Germany",,dgm_german_location,4c440d16e658dbcaf4fa5d055fcbe5ef,dgm_german_location__4c440d16e658dbcaf4fa5d055fcbe5ef
weißenstadt,"Weißenstadt, Germany",weißenstadt,50.1015135,11.8855088,LegislativeCommittee,"Weißenstadt, Germany",,dgm_german_location,9d3733b69beaa6467721291b823267e7,dgm_german_location__9d3733b69beaa6467721291b823267e7
weißenthurm,"Weißenthurm, Germany",weißenthurm,50.4150027,7.4543421,Consulates,"Weißenthurm, Germany",,dgm_german_location,c74ccfc9cd135d5caf03efcffa9969fe,dgm_german_location__c74ccfc9cd135d5caf03efcffa9969fe
weismain,"Weismain, Germany",weismain,50.086376,11.242007,Exec,"Weismain, Germany",,dgm_german_location,394ef02e21d5241cd9600efd386a6d99,dgm_german_location__394ef02e21d5241cd9600efd386a6d99
weißwasser_o.l.,"Weißwasser, Germany",weißwasser_o.l.,51.5043518,14.6345926,ForeignMinistry,"Weißwasser, Germany",,dgm_german_location,3c97b29fd6876bb10dbce5d85911e83c,dgm_german_location__3c97b29fd6876bb10dbce5d85911e83c
weiterstadt,"Weiterstadt, Germany",weiterstadt,49.8991611,8.5991073,News,"Weiterstadt, Germany",,dgm_german_location,72459ba63389101dd9643f09a9be073e,dgm_german_location__72459ba63389101dd9643f09a9be073e
welzheim,"Welzheim, Germany",welzheim,48.8744378,9.6318238,Legislator,"Welzheim, Germany",,dgm_german_location,34a50ef1df6241fe440fdfc10a77e46e,dgm_german_location__34a50ef1df6241fe440fdfc10a77e46e
welzow,"Welzow, Germany",welzow,51.5799672,14.172679,Media,"Welzow, Germany",,dgm_german_location,c8e6864d3e5fdcff808363675e9c7355,dgm_german_location__c8e6864d3e5fdcff808363675e9c7355
wemding,"Wemding, Germany",wemding,48.8744277,10.7236307,Exec,"Wemding, Germany",,dgm_german_location,41a608ff36046a26482f38aca1757b72,dgm_german_location__41a608ff36046a26482f38aca1757b72
wendlingen am neckar,"Wendlingen, Germany",wendlingen am neckar,48.671757,9.3827676,Media,"Wendlingen, Germany",,dgm_german_location,e7a01a9534816e55a40063b500919da7,dgm_german_location__e7a01a9534816e55a40063b500919da7
werben elbe,"Werben (Elbe), Germany",werben elbe,52.865106,11.984189,LegislativeCommittee,"Werben (Elbe), Germany",,dgm_german_location,8bceda545a8ae76624aa6d4658ee5527,dgm_german_location__8bceda545a8ae76624aa6d4658ee5527
werdau,"Werdau, Germany",werdau,50.7288716,12.3751839,Shipping,"Werdau, Germany",,dgm_german_location,66b3172a85b31d514b305dbcc70c9235,dgm_german_location__66b3172a85b31d514b305dbcc70c9235
werder havel,"Werder (Havel), Germany",werder havel,52.3647941,12.8700716,Pipeline,"Werder (Havel), Germany",,dgm_german_location,ad9c85c583070fd025557ac5d6cb20b6,dgm_german_location__ad9c85c583070fd025557ac5d6cb20b6
werdohl,"Werdohl, Germany",werdohl,51.2573883,7.7706271,Diplomat,"Werdohl, Germany",,dgm_german_location,d0ba2d01b59ec7f7bab688c2ac71f56e,dgm_german_location__d0ba2d01b59ec7f7bab688c2ac71f56e
werl,"Werl, Germany",werl,51.5583773,7.9114426,IndustryTerm,"Werl, Germany",,dgm_german_location,0678c753d91c8445e1ebc7d3bcc0be2b,dgm_german_location__0678c753d91c8445e1ebc7d3bcc0be2b
werlte,"Werlte, Germany",werlte,52.8525209,7.671886,Person,"Werlte, Germany",,dgm_german_location,74e67cdb5c027f9a5401680ac84860f6,dgm_german_location__74e67cdb5c027f9a5401680ac84860f6
wermelskirchen,"Wermelskirchen, Germany",wermelskirchen,51.1405229,7.2209524,Consulates,"Wermelskirchen, Germany",,dgm_german_location,9b45ddde7b3165f1c5ae683bd27df05a,dgm_german_location__9b45ddde7b3165f1c5ae683bd27df05a
wernau neckar,"Wernau, Germany",wernau neckar,48.6914602,9.417934,FTO,"Wernau, Germany",,dgm_german_location,808be5e45078431888419e44ca3d2ee8,dgm_german_location__808be5e45078431888419e44ca3d2ee8
werne,"Werne, Germany",werne,51.665041,7.631431,Media,"Werne, Germany",,dgm_german_location,d07143aa222813d9c668ee7db99798f8,dgm_german_location__d07143aa222813d9c668ee7db99798f8
werneuchen,"Werneuchen, Germany",werneuchen,52.6300024,13.7358711,Person,"Werneuchen, Germany",,dgm_german_location,48535ff18e3f41a6045bbe4faa3ed33a,dgm_german_location__48535ff18e3f41a6045bbe4faa3ed33a
wernigerode,"Wernigerode, Germany",wernigerode,51.8368113,10.7844266,IndustryTerm,"Wernigerode, Germany",,dgm_german_location,bb30016e0375a3755dea8ae0a57b847f,dgm_german_location__bb30016e0375a3755dea8ae0a57b847f
wertheim,"Wertheim am Main, Germany",wertheim,49.7586035,9.5128511,Shipping,"Wertheim am Main, Germany",,dgm_german_location,bb6dbb42b4eaa56418606eded00afd81,dgm_german_location__bb6dbb42b4eaa56418606eded00afd81
werther westf.,"Werther, Germany",werther westf.,52.0738784,8.4147863,Pipeline,"Werther, Germany",,dgm_german_location,2d225e33d31eb7d67a3da56faaa7c8f8,dgm_german_location__2d225e33d31eb7d67a3da56faaa7c8f8
wertingen,"Wertingen, Germany",wertingen,48.5617904,10.6791623,Exec,"Wertingen, Germany",,dgm_german_location,439cb68b1447999739a243adb3d4e066,dgm_german_location__439cb68b1447999739a243adb3d4e066
wesel,"Wesel, Germany",wesel,51.6643079,6.6295679,IndustryTerm,"Wesel, Germany",,dgm_german_location,b154d7778937c823770c6555780e7bb3,dgm_german_location__b154d7778937c823770c6555780e7bb3
wesenberg,"Wesenberg, Germany",wesenberg,53.2849218,12.9656055,Refinery,"Wesenberg, Germany",,dgm_german_location,655b4740e7af0ea5633aea798b0b70c0,dgm_german_location__655b4740e7af0ea5633aea798b0b70c0
wesselburen,"Wesselburen, Germany",wesselburen,54.2105035,8.9259304,Media,"Wesselburen, Germany",,dgm_german_location,d1a167bf1eabf2d51fcd682d3db1b79c,dgm_german_location__d1a167bf1eabf2d51fcd682d3db1b79c
wesseling,"Wesseling, Germany",wesseling,50.8255624,6.9725385,ForeignMinister,"Wesseling, Germany",,dgm_german_location,c0330fde781af6c3a3ca20b1c9db25e5,dgm_german_location__c0330fde781af6c3a3ca20b1c9db25e5
westerburg,"Westerburg, Germany",westerburg,50.5624894,7.9714527,Refinery,"Westerburg, Germany",,dgm_german_location,d885ff3abe9bedd882f4b8a38b05f9d4,dgm_german_location__d885ff3abe9bedd882f4b8a38b05f9d4
westerstede,"Westerstede, Germany",westerstede,53.2550728,7.926366,DiplomaticFacilities,"Westerstede, Germany",,dgm_german_location,b68fdfd9a03c861ae8753ca18f83e27e,dgm_german_location__b68fdfd9a03c861ae8753ca18f83e27e
wetter hessen,"Wetter, Hesse, Germany",wetter hessen,50.9025347,8.7225229,Diplomat,"Wetter, Hesse, Germany",,dgm_german_location,84ad64d463eec5d91c68ad941185e11e,dgm_german_location__84ad64d463eec5d91c68ad941185e11e
wetter ruhr,"Wetter (Ruhr), Germany",wetter ruhr,51.3860225,7.3914998,Wells,"Wetter (Ruhr), Germany",,dgm_german_location,67bdf833af4f5c09e89e72405ba90b08,dgm_german_location__67bdf833af4f5c09e89e72405ba90b08
wettin-löbejün,"Wettin-Löbejün, Germany",wettin-löbejün,51.6368092,11.8996596,Consulates,"Wettin-Löbejün, Germany",,dgm_german_location,530ea58ed81a6fe78d65084dce92419c,dgm_german_location__530ea58ed81a6fe78d65084dce92419c
wetzlar,"Wetzlar, Germany",wetzlar,50.5589802,8.5081645,Legislator,"Wetzlar, Germany",,dgm_german_location,f106a6a8f39a19f43007b25bddeb5963,dgm_german_location__f106a6a8f39a19f43007b25bddeb5963
widdern,"Widdern, Germany",widdern,49.3163829,9.4155546,ForeignMinistry,"Widdern, Germany",,dgm_german_location,b83228091655e9f2258ab1a946340438,dgm_german_location__b83228091655e9f2258ab1a946340438
wiehe,"Wiehe, Germany",wiehe,51.2663273,11.4119195,CompanyKeyword,"Wiehe, Germany",,dgm_german_location,081bb622f5e234d831b38003c4df6fb8,dgm_german_location__081bb622f5e234d831b38003c4df6fb8
wiehl,"Wiehl, Germany",wiehl,50.9487426,7.5608848,Diplomat,"Wiehl, Germany",,dgm_german_location,abdbde08ba1f904d7f4f8285859f4637,dgm_german_location__abdbde08ba1f904d7f4f8285859f4637
