keyword,caption_name,location_lower,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hennigsdorf,"Hennigsdorf, Germany",hennigsdorf,52.6320478,13.2011404,AAEntity,"Hennigsdorf, Germany",,dgm_german_location,d1857fed9005b26c7982370ddc9ea968,dgm_german_location__d1857fed9005b26c7982370ddc9ea968
heppenheim bergstraße,"Heppenheim, Germany",heppenheim bergstraße,49.6430169,8.6675419,Legislator,"Heppenheim, Germany",,dgm_german_location,43a3d083fb59642ccb1205a87d625dc2,dgm_german_location__43a3d083fb59642ccb1205a87d625dc2
herbolzheim,"Herbolzheim, Germany",herbolzheim,48.2207134,7.7696909,Person,"Herbolzheim, Germany",,dgm_german_location,843ccfd76202410832f929cb86262c26,dgm_german_location__843ccfd76202410832f929cb86262c26
herborn,"Herborn, Germany",herborn,50.6784088,8.2997096,ForeignMinistry,"Herborn, Germany",,dgm_german_location,2bfaeb99dfc4b99de7ad26641078db4d,dgm_german_location__2bfaeb99dfc4b99de7ad26641078db4d
herbrechtingen,"Herbrechtingen, Germany",herbrechtingen,48.6268982,10.1731094,LegislativeCommittee,"Herbrechtingen, Germany",,dgm_german_location,b16a7bd2887187d6f4c00ab33a9ee56a,dgm_german_location__b16a7bd2887187d6f4c00ab33a9ee56a
herbstein,"Herbstein, Germany",herbstein,50.5616639,9.3476778,Consulates,"Herbstein, Germany",,dgm_german_location,b09da36b8d983825742f4765433ad9a1,dgm_german_location__b09da36b8d983825742f4765433ad9a1
herdecke,"Herdecke, Germany",herdecke,51.4031667,7.4328376,space,"Herdecke, Germany",,dgm_german_location,b8f527b7abd17f3cba487c2c0612b352,dgm_german_location__b8f527b7abd17f3cba487c2c0612b352
herdorf,"Herdorf, Germany",herdorf,50.7780348,7.947323,FTO,"Herdorf, Germany",,dgm_german_location,06669e253a0df82c7924e792d460fbbe,dgm_german_location__06669e253a0df82c7924e792d460fbbe
herford,"Herford, Germany",herford,52.1178305,8.6793998,Pipeline,"Herford, Germany",,dgm_german_location,c7e9f4988d3858d2be463887319049e4,dgm_german_location__c7e9f4988d3858d2be463887319049e4
heringen werra,"Heringen, Germany",heringen werra,50.8944039,9.9983929,Exec,"Heringen, Germany",,dgm_german_location,696d5ad886a3c88fea6032869bebf100,dgm_german_location__696d5ad886a3c88fea6032869bebf100
heringen_helme,"Heringen, Germany",heringen_helme,51.4470197,10.8799324,Consulates,"Heringen, Germany",,dgm_german_location,696d5ad886a3c88fea6032869bebf100,dgm_german_location__696d5ad886a3c88fea6032869bebf100
hermeskeil,"Hermeskeil, Germany",hermeskeil,49.657222,6.948889,ForeignMinistry,"Hermeskeil, Germany",,dgm_german_location,841a9cf1bfd616e9fc6acc1660bf9734,dgm_german_location__841a9cf1bfd616e9fc6acc1660bf9734
hermsdorf,"Hermsdorf, Germany",hermsdorf,50.8961276,11.8567193,Pipeline,"Hermsdorf, Germany",,dgm_german_location,b0a9b0e1c4b7f12893e318c13df0a730,dgm_german_location__b0a9b0e1c4b7f12893e318c13df0a730
herrenberg,"Herrenberg, Germany",herrenberg,48.5950369,8.8671577,IndustryTerm,"Herrenberg, Germany",,dgm_german_location,265ce696d283306ef6545e3418f1c980,dgm_german_location__265ce696d283306ef6545e3418f1c980
herrieden,"Herrieden, Germany",herrieden,49.2353489,10.4949623,Legislator,"Herrieden, Germany",,dgm_german_location,26528cf0722b6520f63e94d91bac3ead,dgm_german_location__26528cf0722b6520f63e94d91bac3ead
herrnhut,"Herrnhut, Germany",herrnhut,51.0172494,14.7406151,Consulates,"Herrnhut, Germany",,dgm_german_location,f7dfb85131483a786f50dda1794cd011,dgm_german_location__f7dfb85131483a786f50dda1794cd011
hersbruck,"Hersbruck, Germany",hersbruck,49.5077712,11.430538,FTO,"Hersbruck, Germany",,dgm_german_location,7603d1bffebf7ee23dc0ac4e55f498ef,dgm_german_location__7603d1bffebf7ee23dc0ac4e55f498ef
herten,"Herten, Germany",herten,51.6020534,7.1389575,Legislator,"Herten, Germany",,dgm_german_location,a96a67a2ac87ab8ca4cf15c2288a5d89,dgm_german_location__a96a67a2ac87ab8ca4cf15c2288a5d89
herzberg elster,"Herzberg (Elster), Germany",herzberg elster,51.6801434,13.2101622,Diplomat,"Herzberg (Elster), Germany",,dgm_german_location,cf94e90e6567e74a9de2b457095841d1,dgm_german_location__cf94e90e6567e74a9de2b457095841d1
herzberg am harz,"Herzberg am Harz, Germany",herzberg am harz,51.6514495,10.3379685,Organization,"Herzberg am Harz, Germany",,dgm_german_location,54407f1ed4e63a0e7c469ca85fa977ca,dgm_german_location__54407f1ed4e63a0e7c469ca85fa977ca
herzogenaurach,"Herzogenaurach, Germany",herzogenaurach,49.5682987,10.8828577,Pipeline,"Herzogenaurach, Germany",,dgm_german_location,1a4c57c4e83341b403e61b9fb99138b3,dgm_german_location__1a4c57c4e83341b403e61b9fb99138b3
herzogenrath,"Herzogenrath, Germany",herzogenrath,50.8649918,6.091241,Pipeline,"Herzogenrath, Germany",,dgm_german_location,94cc896d3e9aedd941ef4a03406b4087,dgm_german_location__94cc896d3e9aedd941ef4a03406b4087
hessisch lichtenau,"Hessisch Lichtenau, Germany",hessisch lichtenau,51.1982109,9.7197866,FTO,"Hessisch Lichtenau, Germany",,dgm_german_location,a5b16c965f0cdfd2bdc67173a7a36f5d,dgm_german_location__a5b16c965f0cdfd2bdc67173a7a36f5d
hessisch oldendorf,"Hessisch Oldendorf, Germany",hessisch oldendorf,52.1715493,9.2459403,DiplomaticFacilities,"Hessisch Oldendorf, Germany",,dgm_german_location,f373a2c23a4ec531bcec34fbf5e71947,dgm_german_location__f373a2c23a4ec531bcec34fbf5e71947
hettingen,"Hettingen, Germany",hettingen,48.2183065,9.2334784,Consulates,"Hettingen, Germany",,dgm_german_location,732c6207c9c6ee6534d64f4c150f648d,dgm_german_location__732c6207c9c6ee6534d64f4c150f648d
