keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Kamerun,Cameroon,Cameroon,Country,Country,Cameroon,,dgm_traveladvisories_country_ger,4be25f9d27da71d4e98775668b5b12af,dgm_traveladvisories_country_ger__4be25f9d27da71d4e98775668b5b12af
Kanada,Canada,Canada,Country,Country,Canada,,dgm_traveladvisories_country_ger,445d337b5cd5de476f99333df6b0c2a7,dgm_traveladvisories_country_ger__445d337b5cd5de476f99333df6b0c2a7
Kap Verde,Cape Verde,Cape Verde,Country,Country,Cape Verde,,dgm_traveladvisories_country_ger,81975d05c61d8de83f46487739fd77cf,dgm_traveladvisories_country_ger__81975d05c61d8de83f46487739fd77cf
Zentralafrikanische Republik,Central African Republic,Central African Republic,Country,Country,Central African Republic,,dgm_traveladvisories_country_ger,aa293d284f52b08da5ba7fe7792fe9c3,dgm_traveladvisories_country_ger__aa293d284f52b08da5ba7fe7792fe9c3
Tschad,Chad,Chad,Country,Country,Chad,,dgm_traveladvisories_country_ger,e03653dedd6f4e142f4aca131995964f,dgm_traveladvisories_country_ger__e03653dedd6f4e142f4aca131995964f
Chile,Chile,Chile,Country,Country,Chile,,dgm_traveladvisories_country_ger,2e6507f70a9cc26fb50f5fd82a83c7ef,dgm_traveladvisories_country_ger__2e6507f70a9cc26fb50f5fd82a83c7ef
China,China,China,Country,Country,China,,dgm_traveladvisories_country_ger,ae54a5c026f31ada088992587d92cb3a,dgm_traveladvisories_country_ger__ae54a5c026f31ada088992587d92cb3a
Kolumbien,Colombia,Colombia,Country,Country,Colombia,,dgm_traveladvisories_country_ger,ef3388cc5659bccb742fb8af762f1bfd,dgm_traveladvisories_country_ger__ef3388cc5659bccb742fb8af762f1bfd
Komoren,Comoros,Comoros,Country,Country,Comoros,,dgm_traveladvisories_country_ger,4234d1794dd33c1b6ed975eab5148040,dgm_traveladvisories_country_ger__4234d1794dd33c1b6ed975eab5148040
Costa Rica,Costa Rica,Costa Rica,Country,Country,Costa Rica,,dgm_traveladvisories_country_ger,5882b568d8a010ef48a6896f53b6eddb,dgm_traveladvisories_country_ger__5882b568d8a010ef48a6896f53b6eddb
Elfenbeinküste,Côte d’Ivoire,Côte d’Ivoire,Country,Country,Côte d’Ivoire,,dgm_traveladvisories_country_ger,c856565f38d8ed5dcc6e4ad20f226045,dgm_traveladvisories_country_ger__c856565f38d8ed5dcc6e4ad20f226045
Kroatien,Croatia,Croatia,Country,Country,Croatia,,dgm_traveladvisories_country_ger,560d4c6ff431c86546f3fcec72c748c7,dgm_traveladvisories_country_ger__560d4c6ff431c86546f3fcec72c748c7
Kuba,Cuba,Cuba,Country,Country,Cuba,,dgm_traveladvisories_country_ger,33cac763789c407f405b2cf0dce7df89,dgm_traveladvisories_country_ger__33cac763789c407f405b2cf0dce7df89
Zypern,Cyprus,Cyprus,Country,Country,Cyprus,,dgm_traveladvisories_country_ger,ea2ba3f8011e19e3101ce65fdcefbcc4,dgm_traveladvisories_country_ger__ea2ba3f8011e19e3101ce65fdcefbcc4
Tschechien,Czech Republic,Czech Republic,Country,Country,Czech Republic,,dgm_traveladvisories_country_ger,51802d8bb965d0e5be697f07d16922e8,dgm_traveladvisories_country_ger__51802d8bb965d0e5be697f07d16922e8
Demokratische Republik Kongo,Democratic Republic of the Congo,Democratic Republic of the Congo,Country,Country,Democratic Republic of the Congo,,dgm_traveladvisories_country_ger,b2ce07e6bc0b55222aa66fcc1b16b732,dgm_traveladvisories_country_ger__b2ce07e6bc0b55222aa66fcc1b16b732
Dänemark,Denmark,Denmark,Country,Country,Denmark,,dgm_traveladvisories_country_ger,424214945ba5615eca039bfe5d731c09,dgm_traveladvisories_country_ger__424214945ba5615eca039bfe5d731c09
Dschibuti,Djibouti,Djibouti,Country,Country,Djibouti,,dgm_traveladvisories_country_ger,902f92c09660b797958acb27421fd9ac,dgm_traveladvisories_country_ger__902f92c09660b797958acb27421fd9ac
Dominica,Dominica,Dominica,Country,Country,Dominica,,dgm_traveladvisories_country_ger,531c552093668f148d3c826fca6e3cc8,dgm_traveladvisories_country_ger__531c552093668f148d3c826fca6e3cc8
Dominikanische Republik,Dominican Republic,Dominican Republic,Country,Country,Dominican Republic,,dgm_traveladvisories_country_ger,662c15622f9c9c5decc0db80edb6c416,dgm_traveladvisories_country_ger__662c15622f9c9c5decc0db80edb6c416
Osttimor,East Timor,East Timor,Country,Country,East Timor,,dgm_traveladvisories_country_ger,cdf56823520aa77542149f3b5c83d253,dgm_traveladvisories_country_ger__cdf56823520aa77542149f3b5c83d253
Ecuador,Ecuador,Ecuador,Country,Country,Ecuador,,dgm_traveladvisories_country_ger,4d5d85af33ec2aaedb674d2d6a7d53b6,dgm_traveladvisories_country_ger__4d5d85af33ec2aaedb674d2d6a7d53b6
Ägypten,Egypt,Egypt,Country,Country,Egypt,,dgm_traveladvisories_country_ger,e31959fe2842dacea4d16d36e9813620,dgm_traveladvisories_country_ger__e31959fe2842dacea4d16d36e9813620
