german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
graf-adolf-strasse,"Graf-Adolf-Strasse in Solingen, Germany",51.140112,7.159214,1,,,,,,,,,IndustryTerm,"Graf-Adolf-Strasse in Solingen, Germany",,german_fires_solingen_locations,704e0766d5842f59f970c75a7e6ad209,german_fires_solingen_locations__704e0766d5842f59f970c75a7e6ad209
graf-engelbert-strasse,"Graf-Engelbert-Strasse in Solingen, Germany",51.1688003,7.0826033,1,,,,,,,,,FTO,"Graf-Engelbert-Strasse in Solingen, Germany",,german_fires_solingen_locations,d669c89bb791440efff6621c64b72e8c,german_fires_solingen_locations__d669c89bb791440efff6621c64b72e8c
graf-wilhelm-platz,"Graf-Wilhelm-Platz in Solingen, Germany",51.170875,7.082708,1,,,,,,,,,ForeignMinister,"Graf-Wilhelm-Platz in Solingen, Germany",,german_fires_solingen_locations,a2a67916e460b10d4b9a3e26ba06fbc5,german_fires_solingen_locations__a2a67916e460b10d4b9a3e26ba06fbc5
grafrather markt,"Grafrather Markt in Solingen, Germany",51.2087399,7.0711877,1,,,,,,,,,Person,"Grafrather Markt in Solingen, Germany",,german_fires_solingen_locations,eb9b5789fb9c7b3b9d588edad582dfbb,german_fires_solingen_locations__eb9b5789fb9c7b3b9d588edad582dfbb
grafrather strasse,"Grafrather Strasse in Solingen, Germany",51.191096,7.0563594,1,,,,,,,,,Wells,"Grafrather Strasse in Solingen, Germany",,german_fires_solingen_locations,10d3dc38e2dd12110bc82a1fa83b90f4,german_fires_solingen_locations__10d3dc38e2dd12110bc82a1fa83b90f4
grenzstrasse,"Grenzstrasse in Solingen, Germany",51.1708727,6.9864357,1,,,,,,,,,ForeignMinister,"Grenzstrasse in Solingen, Germany",,german_fires_solingen_locations,48bd0b17cba7c2b94a55b87cc43b04e4,german_fires_solingen_locations__48bd0b17cba7c2b94a55b87cc43b04e4
greuel,"Greuel in Solingen, Germany",51.1548684,7.0272162,1,,,,,,,,,News,"Greuel in Solingen, Germany",,german_fires_solingen_locations,80d4fefa0c8557fab07127c96a45f008,german_fires_solingen_locations__80d4fefa0c8557fab07127c96a45f008
grillparzerstrasse,"Grillparzerstrasse in Solingen, Germany",51.1514162,7.0141932,1,,,,,,,,,space,"Grillparzerstrasse in Solingen, Germany",,german_fires_solingen_locations,04516fe827c6930b7caacde17e5e3dfe,german_fires_solingen_locations__04516fe827c6930b7caacde17e5e3dfe
grimmstrasse,"Grimmstrasse in Solingen, Germany",51.1782985,7.0612113,1,,,,,,,,,FTO,"Grimmstrasse in Solingen, Germany",,german_fires_solingen_locations,4b93f323434271e53e1eb6f2518efeee,german_fires_solingen_locations__4b93f323434271e53e1eb6f2518efeee
groditzberg,"Groditzberg in Solingen, Germany",51.1458332,7.0113983,1,,,,,,,,,IndustryTerm,"Groditzberg in Solingen, Germany",,german_fires_solingen_locations,80443a8f3c4cc15d2d6513108e597be1,german_fires_solingen_locations__80443a8f3c4cc15d2d6513108e597be1
grunbaumstrasse,"Grunbaumstrasse in Solingen, Germany",51.1572207,7.1016048,1,,,,,,,,,IndustryTerm,"Grunbaumstrasse in Solingen, Germany",,german_fires_solingen_locations,75c5365060820c5dff74ac012d36ac34,german_fires_solingen_locations__75c5365060820c5dff74ac012d36ac34
grundstrasse,"Grundstrasse in Solingen, Germany",51.1660666,7.0707739,1,,,,,,,,,FTO,"Grundstrasse in Solingen, Germany",,german_fires_solingen_locations,6e79ed5cf7fecb5c7675f769b9a53b3c,german_fires_solingen_locations__6e79ed5cf7fecb5c7675f769b9a53b3c
grunental,"Grunental in Solingen, Germany",51.1441611,7.0713398,1,,,,,,,,,space,"Grunental in Solingen, Germany",,german_fires_solingen_locations,9c12c1dc95f4daf83faff1f89791a832,german_fires_solingen_locations__9c12c1dc95f4daf83faff1f89791a832
grunewalder strasse,"Grunewalder Strasse in Solingen, Germany",51.1616447,7.0777158,1,,,,,,,,,Organization,"Grunewalder Strasse in Solingen, Germany",,german_fires_solingen_locations,64da4dd1b5abaf60367cabe90e4de988,german_fires_solingen_locations__64da4dd1b5abaf60367cabe90e4de988
grunstrasse,"Grunstrasse in Solingen, Germany",51.1607169,6.9971424,1,,,,,,,,,LegislativeCommittee,"Grunstrasse in Solingen, Germany",,german_fires_solingen_locations,bff9b38ebc125c170a84a2baa092fd75,german_fires_solingen_locations__bff9b38ebc125c170a84a2baa092fd75
gudrunstrasse,"Gudrunstrasse in Solingen, Germany",51.1915946,7.0813625,1,,,,,,,,,FTO,"Gudrunstrasse in Solingen, Germany",,german_fires_solingen_locations,0f86677a1277755353fd8b9983f0628f,german_fires_solingen_locations__0f86677a1277755353fd8b9983f0628f
