keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
justice roberts,justice roberts,US Supreme Court Justice John Roberts,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice John Roberts,,dgm_SCOTUS,88a762e91b806fabab03f189c8da7eaa,dgm_SCOTUS__88a762e91b806fabab03f189c8da7eaa
samuel a. alito,samuel a. alito,US Supreme Court Justice Samuel Alito,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Samuel Alito,,dgm_SCOTUS,38dcc9e971cfdc53040c083dd19f28e9,dgm_SCOTUS__38dcc9e971cfdc53040c083dd19f28e9
neil m. gorsuch,neil m. gorsuch,US Supreme Court Justice Neil Gorsuch,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Neil Gorsuch,,dgm_SCOTUS,d27c909b3ba0ec28f770c2ea7e75c519,dgm_SCOTUS__d27c909b3ba0ec28f770c2ea7e75c519
samuel alito,samuel alito,US Supreme Court Justice Samuel Alito,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Samuel Alito,,dgm_SCOTUS,38dcc9e971cfdc53040c083dd19f28e9,dgm_SCOTUS__38dcc9e971cfdc53040c083dd19f28e9
neil gorsuch,neil gorsuch,US Supreme Court Justice Neil Gorsuch,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Neil Gorsuch,,dgm_SCOTUS,d27c909b3ba0ec28f770c2ea7e75c519,dgm_SCOTUS__d27c909b3ba0ec28f770c2ea7e75c519
samuel a alito,samuel a alito,US Supreme Court Justice Samuel Alito,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Samuel Alito,,dgm_SCOTUS,38dcc9e971cfdc53040c083dd19f28e9,dgm_SCOTUS__38dcc9e971cfdc53040c083dd19f28e9
neil m gorsuch,neil m gorsuch,US Supreme Court Justice Neil Gorsuch,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Neil Gorsuch,,dgm_SCOTUS,d27c909b3ba0ec28f770c2ea7e75c519,dgm_SCOTUS__d27c909b3ba0ec28f770c2ea7e75c519
justice alito,justice alito,US Supreme Court Justice Samuel Alito,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Samuel Alito,,dgm_SCOTUS,38dcc9e971cfdc53040c083dd19f28e9,dgm_SCOTUS__38dcc9e971cfdc53040c083dd19f28e9
justice gorsuch,justice gorsuch,US Supreme Court Justice Neil Gorsuch,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Neil Gorsuch,,dgm_SCOTUS,d27c909b3ba0ec28f770c2ea7e75c519,dgm_SCOTUS__d27c909b3ba0ec28f770c2ea7e75c519
elenakagan,elenakagan,US Supreme Court Justice Elena Kagan,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Elena Kagan,,dgm_SCOTUS,36d483749c0813c189c932213d05f2f6,dgm_SCOTUS__36d483749c0813c189c932213d05f2f6
